{HEADER}
user_id: 123
target_id: 126
target_screen_position_mm: [135.88, -48.04]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 19.7156
endpoint_error_mm: [-0.7712, 46.7413, 2.1809]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,126,0,284.9720,99.7343,787.7236,284.1286,132.4141,764.5097,-0.0034,0.0779,-0.0024,0.9970,1841.0000,1830.0000,1863.0000,,,,
0.0147,126,0,285.9022,99.6162,782.1333,285.2625,132.3006,758.9194,-0.0011,0.0734,-0.0031,0.9973,1838.0000,1831.0000,1863.0000,,,,
0.0236,126,0,285.9022,99.6162,782.1333,285.2625,132.3006,758.9194,-0.0011,0.0734,-0.0031,0.9973,1836.0000,1832.0000,1863.0000,,,,
0.0356,126,0,294.3705,100.7797,784.0176,293.4475,133.4573,760.8037,-0.0037,0.0829,-0.0025,0.9966,1830.0000,1834.0000,1863.0000,,,,
0.0443,126,0,294.3705,100.7797,784.0176,293.4475,133.4573,760.8037,-0.0037,0.0829,-0.0025,0.9966,1826.0000,1835.0000,1863.0000,,,,
0.0556,126,0,294.3705,100.7797,784.0176,293.4475,133.4573,760.8037,-0.0037,0.0829,-0.0025,0.9966,1820.0000,1836.0000,1863.0000,,,,
0.0677,126,0,297.0146,101.0356,781.8369,296.0399,133.7117,758.6229,-0.0031,0.0835,-0.0013,0.9965,1813.0000,1837.0000,1863.0000,,,,
0.0797,126,0,297.0146,101.0356,781.8369,296.0399,133.7117,758.6229,-0.0031,0.0835,-0.0013,0.9965,1806.0000,1837.0000,1863.0000,,,,
0.0917,126,0,250.7098,92.8235,679.6227,256.6512,124.9697,656.4088,0.0000,0.0000,0.0000,1.0000,1799.0000,1838.0000,1863.0000,,,,
0.1002,126,0,250.7098,92.8235,679.6227,256.6512,124.9697,656.4088,0.0000,0.0000,0.0000,1.0000,1795.0000,1837.0000,1863.0000,,,,
