{HEADER}
user_id: 123
target_id: 262
target_screen_position_mm: [-88.11, 32.12]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 7.3522
endpoint_error_mm: [0.8777, 28.5586, -1.0127]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,262,0,-113.4392,-68.3873,1366.5522,-112.8555,-35.7019,1343.3384,-0.0321,-0.0567,-0.0268,0.9975,1837.0000,371.0000,1264.0000,,,,
0.0133,262,0,-113.4392,-68.3873,1366.5522,-112.8555,-35.7019,1343.3384,-0.0321,-0.0567,-0.0268,0.9975,1837.0000,371.0000,1272.0000,,,,
0.0245,262,0,-93.0426,-55.5667,1099.9923,-84.9647,-23.8897,1076.7784,0.0000,0.0000,0.0000,1.0000,1837.0000,371.0000,1281.0000,,,,
0.0334,262,0,-93.0426,-55.5667,1099.9923,-84.9647,-23.8897,1076.7784,0.0000,0.0000,0.0000,1.0000,1837.0000,370.0000,1316.0000,,,,
0.0440,262,0,-112.8610,-71.2273,1357.0519,-111.8708,-38.5516,1333.8380,-0.0417,-0.0433,-0.0282,0.9978,1837.0000,370.0000,1345.0000,,,,
0.0560,262,0,-112.8610,-71.2273,1357.0519,-111.8708,-38.5516,1333.8380,-0.0417,-0.0433,-0.0282,0.9978,1837.0000,369.0000,1322.0000,,,,
0.0680,262,0,-112.8610,-71.2273,1357.0519,-111.8708,-38.5516,1333.8380,-0.0417,-0.0433,-0.0282,0.9978,1837.0000,368.0000,1303.0000,,,,
0.0801,262,0,-115.1656,-70.7783,1369.3932,-114.9597,-38.0883,1346.1793,-0.0339,-0.0530,-0.0277,0.9976,1837.0000,368.0000,1290.0000,,,,
0.0921,262,0,-115.1656,-70.7783,1369.3932,-114.9597,-38.0883,1346.1793,-0.0339,-0.0530,-0.0277,0.9976,1837.0000,368.0000,1281.0000,,,,
0.1008,262,0,-115.4609,-70.4624,1375.9591,-114.7139,-37.7802,1352.7452,-0.0372,-0.0424,-0.0296,0.9980,1837.0000,368.0000,1277.0000,,,,
0.1120,262,0,-115.4609,-70.4624,1375.9591,-114.7139,-37.7802,1352.7452,-0.0372,-0.0424,-0.0296,0.9980,1837.0000,368.0000,1273.0000,,,,
0.1243,262,0,-114.3276,-68.4736,1367.8203,-113.4927,-35.7936,1344.6064,-0.0353,-0.0428,-0.0289,0.9980,1837.0000,368.0000,1271.0000,,,,
0.1361,262,0,-114.3276,-68.4736,1367.8203,-113.4927,-35.7936,1344.6064,-0.0353,-0.0428,-0.0289,0.9980,1837.0000,368.0000,1276.0000,,,,
0.1480,262,0,-112.8519,-65.8826,1359.2081,-111.8285,-33.2079,1335.9943,-0.0362,-0.0510,-0.0294,0.9976,1837.0000,368.0000,1281.0000,,,,
0.1603,262,0,-112.8519,-65.8826,1359.2081,-111.8285,-33.2079,1335.9943,-0.0362,-0.0510,-0.0294,0.9976,1837.0000,367.0000,1295.0000,,,,
0.1690,262,0,-112.8519,-65.8826,1359.2081,-111.8285,-33.2079,1335.9943,-0.0362,-0.0510,-0.0294,0.9976,1837.0000,367.0000,1303.0000,,,,
0.1800,262,0,-113.4006,-65.9292,1369.5825,-112.4214,-33.2532,1346.3687,-0.0244,-0.0485,-0.0296,0.9981,1837.0000,366.0000,1310.0000,,,,
0.1920,262,0,-113.4006,-65.9292,1369.5825,-112.4214,-33.2532,1346.3687,-0.0244,-0.0485,-0.0296,0.9981,1837.0000,365.0000,1317.0000,,,,
0.2040,262,0,-109.5403,-61.1229,1362.5050,-108.9121,-28.4383,1339.2911,-0.0415,-0.0393,-0.0303,0.9979,1837.0000,365.0000,1324.0000,,,,
0.2163,262,0,-109.5403,-61.1229,1362.5050,-108.9121,-28.4383,1339.2911,-0.0415,-0.0393,-0.0303,0.9979,1837.0000,365.0000,1350.0000,,,,
0.2250,262,0,-104.5670,-58.1290,1360.6222,-104.5865,-25.4383,1337.4083,-0.0344,-0.0470,-0.0295,0.9979,1837.0000,365.0000,1363.0000,,,,
0.2360,262,0,-104.5670,-58.1290,1360.6222,-104.5865,-25.4383,1337.4083,-0.0344,-0.0470,-0.0295,0.9979,1837.0000,365.0000,1389.0000,,,,
0.2481,262,0,-100.4205,-54.4433,1344.3190,-99.6118,-21.7626,1321.1051,-0.0491,-0.0387,-0.0294,0.9976,1837.0000,365.0000,1412.0000,,,,
0.2601,262,0,-100.4205,-54.4433,1344.3190,-99.6118,-21.7626,1321.1051,-0.0491,-0.0387,-0.0294,0.9976,1837.0000,365.0000,1440.0000,,,,
0.2719,262,0,-100.4205,-54.4433,1344.3190,-99.6118,-21.7626,1321.1051,-0.0491,-0.0387,-0.0294,0.9976,1837.0000,365.0000,1463.0000,,,,
0.2843,262,0,-82.3122,-41.6398,1120.3373,-89.6343,-9.7796,1097.1234,0.0000,0.0000,0.0000,1.0000,1837.0000,364.0000,1492.0000,,,,
0.2931,262,0,-82.3122,-41.6398,1120.3373,-89.6343,-9.7796,1097.1234,0.0000,0.0000,0.0000,1.0000,1837.0000,364.0000,1530.0000,,,,
0.3040,262,0,-96.6654,-44.5707,1351.6686,-97.5328,-11.8915,1328.4547,-0.0232,-0.0439,-0.0282,0.9984,1837.0000,364.0000,1570.0000,,,,
0.3161,262,0,-96.6654,-44.5707,1351.6686,-97.5328,-11.8915,1328.4547,-0.0232,-0.0439,-0.0282,0.9984,1837.0000,364.0000,1604.0000,,,,
0.3281,262,0,-97.9009,-39.6693,1360.7360,-97.4908,-6.9812,1337.5221,-0.0300,-0.0430,-0.0281,0.9982,1837.0000,364.0000,1628.0000,,,,
0.3401,262,0,-97.9009,-39.6693,1360.7360,-97.4908,-6.9812,1337.5221,-0.0300,-0.0430,-0.0281,0.9982,1837.0000,364.0000,1662.0000,,,,
0.3487,262,0,-97.9009,-39.6693,1360.7360,-97.4908,-6.9812,1337.5221,-0.0300,-0.0430,-0.0281,0.9982,1837.0000,364.0000,1680.0000,,,,
0.3602,262,0,-98.6928,-34.0604,1357.2394,-98.3903,-1.3711,1334.0255,-0.0295,-0.0363,-0.0278,0.9985,1837.0000,364.0000,1702.0000,,,,
0.3721,262,0,-98.6928,-34.0604,1357.2394,-98.3903,-1.3711,1334.0255,-0.0295,-0.0363,-0.0278,0.9985,1837.0000,363.0000,1732.0000,,,,
0.3842,262,0,-97.5687,-27.8243,1347.6980,-97.2411,4.8647,1324.4841,-0.0213,-0.0386,-0.0269,0.9987,1837.0000,361.0000,1759.0000,,,,
0.3960,262,0,-97.5687,-27.8243,1347.6980,-97.2411,4.8647,1324.4841,-0.0213,-0.0386,-0.0269,0.9987,1837.0000,359.0000,1797.0000,,,,
0.4080,262,0,-94.6166,-28.7780,1338.2708,-94.4160,3.9121,1315.0569,-0.0348,-0.0385,-0.0287,0.9982,1837.0000,357.0000,1821.0000,,,,
0.4167,262,0,-94.6166,-28.7780,1338.2708,-94.4160,3.9121,1315.0569,-0.0348,-0.0385,-0.0287,0.9982,1837.0000,356.0000,1835.0000,,,,
0.4281,262,0,-89.4824,-38.1327,1348.6884,-88.9484,-5.4464,1325.4745,-0.0241,-0.0350,-0.0296,0.9987,1837.0000,354.0000,1844.0000,,,,
0.4401,262,0,-89.4824,-38.1327,1348.6884,-88.9484,-5.4464,1325.4745,-0.0241,-0.0350,-0.0296,0.9987,1837.0000,353.0000,1834.0000,,,,
0.4524,262,0,-78.2494,-45.8446,1343.4308,-77.6675,-13.1591,1320.2169,-0.0335,-0.0375,-0.0281,0.9983,1837.0000,353.0000,1824.0000,,,,
0.4642,262,0,-78.2494,-45.8446,1343.4308,-77.6675,-13.1591,1320.2169,-0.0335,-0.0375,-0.0281,0.9983,1837.0000,353.0000,1798.0000,,,,
