{HEADER}
user_id: 123
target_id: 126
target_screen_position_mm: [135.88, -48.04]
fingertip_offset: [1.51, 33.58, 19.27]
completion_time: 14.1493
endpoint_error_mm: [18.4430, 20.8874, 8.5383]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,126,0,144.8688,110.0792,782.3435,145.7906,143.6764,763.0714,-0.0065,0.0043,-0.0465,0.9989,1850.0000,1826.0000,1875.0000,,,,
0.0159,126,0,144.8688,110.0792,782.3435,145.7906,143.6764,763.0714,-0.0065,0.0043,-0.0465,0.9989,1848.0000,1824.0000,1875.0000,,,,
0.0260,126,0,144.3381,109.7595,777.3216,144.9959,143.3630,758.0494,-0.0067,0.0007,-0.0479,0.9988,1844.0000,1824.0000,1875.0000,,,,
0.0348,126,0,144.3381,109.7595,777.3216,144.9959,143.3630,758.0494,-0.0067,0.0007,-0.0479,0.9988,1837.0000,1825.0000,1875.0000,,,,
0.0435,126,0,144.3381,109.7595,777.3216,144.9959,143.3630,758.0494,-0.0067,0.0007,-0.0479,0.9988,1830.0000,1827.0000,1875.0000,,,,
0.0557,126,0,143.6377,108.9883,774.1734,144.5915,142.5846,754.9012,-0.0074,0.0038,-0.0475,0.9988,1817.0000,1828.0000,1875.0000,,,,
0.0675,126,0,143.6377,108.9883,774.1734,144.5915,142.5846,754.9012,-0.0074,0.0038,-0.0475,0.9988,1804.0000,1828.0000,1875.0000,,,,
0.0796,126,0,144.7671,108.6763,777.6122,145.3472,142.2812,758.3400,-0.0100,0.0043,-0.0478,0.9988,1790.0000,1828.0000,1875.0000,,,,
0.0916,126,0,144.7671,108.6763,777.6122,145.3472,142.2812,758.3400,-0.0100,0.0043,-0.0478,0.9988,1775.0000,1828.0000,1875.0000,,,,
0.1003,126,0,144.7671,108.6763,777.6122,145.3472,142.2812,758.3400,-0.0100,0.0043,-0.0478,0.9988,1765.0000,1828.0000,1875.0000,,,,
0.1120,126,0,143.5885,107.6876,770.0246,144.6137,141.2818,750.7524,-0.0040,-0.0019,-0.0492,0.9988,1751.0000,1828.0000,1875.0000,,,,
0.1237,126,0,143.5885,107.6876,770.0246,144.6137,141.2818,750.7524,-0.0040,-0.0019,-0.0492,0.9988,1737.0000,1828.0000,1875.0000,,,,
