{HEADER}
user_id: 123
target_id: 374
target_screen_position_mm: [-71.92, 96.08]
fingertip_offset: [0.82, 32.98, 18.23]
completion_time: 8.8879
endpoint_error_mm: [1.4048, -3.6282, 0.4695]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,374,0,-84.1850,-158.7358,735.3554,-87.8651,-125.9510,717.1255,-0.6642,0.2473,0.2565,0.6572,1823.0000,1802.0000,1810.0000,3.6801,-32.7848,,
0.0123,374,0,-84.1850,-158.7358,735.3554,-87.8651,-125.9510,717.1255,-0.6642,0.2473,0.2565,0.6572,1823.0000,1798.0000,1804.0000,3.6801,-32.7848,,
0.0243,374,0,-84.1850,-158.7358,735.3554,-87.8651,-125.9510,717.1255,-0.6642,0.2473,0.2565,0.6572,1823.0000,1795.0000,1795.0000,3.6801,-32.7848,,
0.0364,374,0,-91.9388,-173.5589,795.6751,-88.1389,-140.7878,777.4453,-0.0435,-0.1074,-0.0900,0.9892,1823.0000,1793.0000,1786.0000,-3.8000,-32.7711,,
0.0456,374,0,-91.9388,-173.5589,795.6751,-88.1389,-140.7878,777.4453,-0.0435,-0.1074,-0.0900,0.9892,1823.0000,1792.0000,1778.0000,-3.8000,-32.7711,,
0.0558,374,0,-91.9388,-173.5589,795.6751,-88.1389,-140.7878,777.4453,-0.0435,-0.1074,-0.0900,0.9892,1823.0000,1791.0000,1768.0000,-3.8000,-32.7711,,
0.0679,374,0,-92.7171,-174.2154,793.1441,-89.1186,-141.4216,774.9142,-0.0466,-0.1092,-0.0891,0.9889,1823.0000,1791.0000,1755.0000,-3.5985,-32.7938,,
0.0798,374,0,-92.7171,-174.2154,793.1441,-89.1186,-141.4216,774.9142,-0.0466,-0.1092,-0.0891,0.9889,1823.0000,1791.0000,1743.0000,-3.5985,-32.7938,,
0.0920,374,0,-94.4094,-172.6954,788.8513,-90.3301,-139.9579,770.6214,-0.0414,-0.1068,-0.0912,0.9892,1823.0000,1791.0000,1730.0000,-4.0793,-32.7375,,
0.1008,374,0,-94.4094,-172.6954,788.8513,-90.3301,-139.9579,770.6214,-0.0414,-0.1068,-0.0912,0.9892,1823.0000,1790.0000,1721.0000,-4.0793,-32.7375,,
0.1119,374,0,-94.4094,-172.6954,788.8513,-90.3301,-139.9579,770.6214,-0.0414,-0.1068,-0.0912,0.9892,1823.0000,1790.0000,1709.0000,-4.0793,-32.7375,,
0.1239,374,0,-95.2601,-171.6559,790.6559,-91.2144,-138.9143,772.4260,-0.0400,-0.1071,-0.0908,0.9893,1823.0000,1790.0000,1696.0000,-4.0457,-32.7417,,
0.1359,374,0,-95.2601,-171.6559,790.6559,-91.2144,-138.9143,772.4260,-0.0400,-0.1071,-0.0908,0.9893,1823.0000,1789.0000,1684.0000,-4.0457,-32.7417,,
0.1478,374,0,-95.5876,-165.8201,780.6385,-90.5098,-133.2226,762.4087,-0.0401,-0.1118,-0.0906,0.9888,1823.0000,1788.0000,1672.0000,-5.0778,-32.5975,,
0.1599,374,0,-95.5876,-165.8201,780.6385,-90.5098,-133.2226,762.4087,-0.0401,-0.1118,-0.0906,0.9888,1823.0000,1787.0000,1661.0000,-5.0778,-32.5975,,
0.1686,374,0,-95.5876,-165.8201,780.6385,-90.5098,-133.2226,762.4087,-0.0401,-0.1118,-0.0906,0.9888,1823.0000,1786.0000,1653.0000,-5.0778,-32.5975,,
0.1799,374,0,-97.2865,-164.0288,790.1183,-93.3632,-131.2722,771.8884,-0.0434,-0.1083,-0.0919,0.9889,1823.0000,1785.0000,1644.0000,-3.9233,-32.7565,,
0.1919,374,0,-97.2865,-164.0288,790.1183,-93.3632,-131.2722,771.8884,-0.0434,-0.1083,-0.0919,0.9889,1823.0000,1782.0000,1633.0000,-3.9233,-32.7565,,
0.2039,374,0,-97.2865,-164.0288,790.1183,-93.3632,-131.2722,771.8884,-0.0434,-0.1083,-0.0919,0.9889,1823.0000,1780.0000,1623.0000,-3.9233,-32.7565,,
0.2161,374,0,-96.8583,-160.1475,782.8578,-92.7731,-127.4108,764.6280,-0.0366,-0.1051,-0.0925,0.9895,1823.0000,1777.0000,1613.0000,-4.0852,-32.7367,,
0.2251,374,0,-96.8583,-160.1475,782.8578,-92.7731,-127.4108,764.6280,-0.0366,-0.1051,-0.0925,0.9895,1823.0000,1775.0000,1606.0000,-4.0852,-32.7367,,
0.2360,374,0,-95.1594,-157.1783,780.3423,-91.1333,-124.4342,762.1125,-0.0380,-0.1050,-0.0953,0.9892,1823.0000,1773.0000,1598.0000,-4.0261,-32.7441,,
0.2481,374,0,-95.1594,-157.1783,780.3423,-91.1333,-124.4342,762.1125,-0.0380,-0.1050,-0.0953,0.9892,1823.0000,1770.0000,1589.0000,-4.0261,-32.7441,,
0.2600,374,0,-95.1594,-157.1783,780.3423,-91.1333,-124.4342,762.1125,-0.0380,-0.1050,-0.0953,0.9892,1823.0000,1768.0000,1581.0000,-4.0261,-32.7441,,
0.2718,374,0,-93.1430,-151.5918,767.6566,-88.5047,-118.9289,749.4268,-0.0371,-0.1020,-0.0971,0.9893,1823.0000,1766.0000,1572.0000,-4.6383,-32.6630,,
0.2844,374,0,-93.1430,-151.5918,767.6566,-88.5047,-118.9289,749.4268,-0.0371,-0.1020,-0.0971,0.9893,1823.0000,1764.0000,1565.0000,-4.6383,-32.6630,,
0.2933,374,0,-93.1430,-151.5918,767.6566,-88.5047,-118.9289,749.4268,-0.0371,-0.1020,-0.0971,0.9893,1823.0000,1762.0000,1559.0000,-4.6383,-32.6630,,
0.3042,374,0,-89.9561,-142.0857,762.2665,-85.9716,-109.3365,744.0366,-0.0290,-0.0996,-0.0977,0.9898,1823.0000,1760.0000,1553.0000,-3.9845,-32.7492,,
0.3158,374,0,-89.9561,-142.0857,762.2665,-85.9716,-109.3365,744.0366,-0.0290,-0.0996,-0.0977,0.9898,1823.0000,1756.0000,1550.0000,-3.9845,-32.7492,,
0.3281,374,0,-87.3055,-141.4433,774.0090,-82.8489,-108.7550,755.7791,-0.0344,-0.0977,-0.0981,0.9898,1823.0000,1753.0000,1546.0000,-4.4566,-32.6883,,
0.3399,374,0,-87.3055,-141.4433,774.0090,-82.8489,-108.7550,755.7791,-0.0344,-0.0977,-0.0981,0.9898,1823.0000,1752.0000,1541.0000,-4.4566,-32.6883,,
0.3519,374,0,-87.3055,-141.4433,774.0090,-82.8489,-108.7550,755.7791,-0.0344,-0.0977,-0.0981,0.9898,1823.0000,1750.0000,1535.0000,-4.4566,-32.6883,,
0.3606,374,0,-84.2827,-138.9961,769.7758,-79.7673,-106.3159,751.5459,-0.0295,-0.0980,-0.0984,0.9899,1823.0000,1749.0000,1531.0000,-4.5154,-32.6802,,
0.3720,374,0,-84.2827,-138.9961,769.7758,-79.7673,-106.3159,751.5459,-0.0295,-0.0980,-0.0984,0.9899,1823.0000,1748.0000,1525.0000,-4.5154,-32.6802,,
0.3837,374,0,-79.1438,-136.1165,767.5990,-74.9795,-103.3897,749.3691,-0.0293,-0.0955,-0.0981,0.9902,1823.0000,1748.0000,1520.0000,-4.1643,-32.7268,,
0.3959,374,0,-79.1438,-136.1165,767.5990,-74.9795,-103.3897,749.3691,-0.0293,-0.0955,-0.0981,0.9902,1823.0000,1748.0000,1515.0000,-4.1643,-32.7268,,
0.4078,374,0,-79.1438,-136.1165,767.5990,-74.9795,-103.3897,749.3691,-0.0293,-0.0955,-0.0981,0.9902,1823.0000,1749.0000,1509.0000,-4.1643,-32.7268,,
0.4168,374,0,-74.9293,-132.2869,756.5475,-70.2899,-99.6241,738.3176,-0.0298,-0.0906,-0.0991,0.9905,1823.0000,1749.0000,1504.0000,-4.6394,-32.6628,,
0.4282,374,0,-74.9293,-132.2869,756.5475,-70.2899,-99.6241,738.3176,-0.0298,-0.0906,-0.0991,0.9905,1823.0000,1750.0000,1501.0000,-4.6394,-32.6628,,
0.4399,374,0,-74.9293,-132.2869,756.5475,-70.2899,-99.6241,738.3176,-0.0298,-0.0906,-0.0991,0.9905,1823.0000,1751.0000,1495.0000,-4.6394,-32.6628,,
0.4517,374,0,-68.2118,-128.6814,752.6755,-63.2973,-96.0589,734.4456,-0.0273,-0.0897,-0.1024,0.9903,1823.0000,1752.0000,1490.0000,-4.9146,-32.6225,,
0.4639,374,0,-68.2118,-128.6814,752.6755,-63.2973,-96.0589,734.4456,-0.0273,-0.0897,-0.1024,0.9903,1823.0000,1755.0000,1485.0000,-4.9146,-32.6225,,
0.4758,374,0,-61.7223,-122.5713,755.2304,-57.1973,-89.8924,737.0005,-0.0266,-0.0848,-0.1035,0.9906,1823.0000,1758.0000,1481.0000,-4.5250,-32.6789,,
0.4850,374,0,-61.7223,-122.5713,755.2304,-57.1973,-89.8924,737.0005,-0.0266,-0.0848,-0.1035,0.9906,1823.0000,1762.0000,1479.0000,-4.5250,-32.6789,,
0.4958,374,0,-61.7223,-122.5713,755.2304,-57.1973,-89.8924,737.0005,-0.0266,-0.0848,-0.1035,0.9906,1823.0000,1764.0000,1477.0000,-4.5250,-32.6789,,
0.5076,374,0,-55.8362,-113.2771,750.3186,-51.7683,-80.5382,732.0887,-0.0206,-0.0824,-0.1041,0.9909,1823.0000,1767.0000,1475.0000,-4.0679,-32.7389,,
0.5198,374,0,-55.8362,-113.2771,750.3186,-51.7683,-80.5382,732.0887,-0.0206,-0.0824,-0.1041,0.9909,1823.0000,1770.0000,1478.0000,-4.0679,-32.7389,,
0.5320,374,0,-46.8576,-103.6380,748.9891,-41.8977,-71.0223,730.7592,-0.0193,-0.0749,-0.1043,0.9915,1823.0000,1772.0000,1479.0000,-4.9599,-32.6157,,
0.5437,374,0,-46.8576,-103.6380,748.9891,-41.8977,-71.0223,730.7592,-0.0193,-0.0749,-0.1043,0.9915,1823.0000,1776.0000,1486.0000,-4.9599,-32.6157,,
0.5521,374,0,-46.8576,-103.6380,748.9891,-41.8977,-71.0223,730.7592,-0.0193,-0.0749,-0.1043,0.9915,1823.0000,1779.0000,1489.0000,-4.9599,-32.6157,,
0.5640,374,0,-39.8570,-96.2732,742.6755,-35.1586,-63.6188,724.4456,-0.0163,-0.0746,-0.1046,0.9916,1823.0000,1783.0000,1493.0000,-4.6985,-32.6544,,
0.5760,374,0,-39.8570,-96.2732,742.6755,-35.1586,-63.6188,724.4456,-0.0163,-0.0746,-0.1046,0.9916,1823.0000,1787.0000,1499.0000,-4.6985,-32.6544,,
0.5877,374,0,-28.5351,-84.5126,739.7919,-24.0903,-51.8228,721.5621,-0.0143,-0.0678,-0.1039,0.9922,1823.0000,1792.0000,1505.0000,-4.4448,-32.6899,,
0.5998,374,0,-28.5351,-84.5126,739.7919,-24.0903,-51.8228,721.5621,-0.0143,-0.0678,-0.1039,0.9922,1823.0000,1799.0000,1517.0000,-4.4448,-32.6899,,
0.6084,374,0,-28.5351,-84.5126,739.7919,-24.0903,-51.8228,721.5621,-0.0143,-0.0678,-0.1039,0.9922,1823.0000,1803.0000,1523.0000,-4.4448,-32.6899,,
0.6198,374,0,-19.1744,-71.2385,688.7462,-9.9789,-39.5553,670.5163,0.5111,-0.1099,-0.0577,0.8505,1823.0000,1804.0000,1531.0000,-9.1956,-31.6832,,
0.6354,374,0,-19.1744,-71.2385,688.7462,-9.9789,-39.5553,670.5163,0.5111,-0.1099,-0.0577,0.8505,1823.0000,1804.0000,1550.0000,-9.1956,-31.6832,,
0.6440,374,0,-8.9113,-66.5075,729.1082,-4.3543,-33.8331,710.8784,-0.0069,-0.0596,-0.1037,0.9928,1823.0000,1804.0000,1558.0000,-4.5570,-32.6744,,
0.6557,374,0,-8.9113,-66.5075,729.1082,-4.3543,-33.8331,710.8784,-0.0069,-0.0596,-0.1037,0.9928,1823.0000,1804.0000,1572.0000,-4.5570,-32.6744,,
0.6678,374,0,-4.3145,-59.3718,715.4976,-0.0950,-26.6521,697.2678,-0.0026,-0.0549,-0.1022,0.9932,1823.0000,1804.0000,1583.0000,-4.2195,-32.7197,,
0.6762,374,0,-4.3145,-59.3718,715.4976,-0.0950,-26.6521,697.2678,-0.0026,-0.0549,-0.1022,0.9932,1823.0000,1804.0000,1593.0000,-4.2195,-32.7197,,
0.6879,374,0,-4.3145,-59.3718,715.4976,-0.0950,-26.6521,697.2678,-0.0026,-0.0549,-0.1022,0.9932,1823.0000,1804.0000,1605.0000,-4.2195,-32.7197,,
0.6998,374,0,2.7048,-53.3032,718.3445,7.3479,-20.6409,700.1146,-0.0012,-0.0517,-0.1022,0.9934,1823.0000,1804.0000,1614.0000,-4.6431,-32.6623,,
0.7119,374,0,2.7048,-53.3032,718.3445,7.3479,-20.6409,700.1146,-0.0012,-0.0517,-0.1022,0.9934,1823.0000,1804.0000,1627.0000,-4.6431,-32.6623,,
0.7245,374,0,11.0351,-42.5141,709.6903,15.8704,-9.8797,691.4604,0.0009,-0.0460,-0.1053,0.9934,1823.0000,1804.0000,1638.0000,-4.8352,-32.6344,,
0.7365,374,0,11.0351,-42.5141,709.6903,15.8704,-9.8797,691.4604,0.0009,-0.0460,-0.1053,0.9934,1823.0000,1804.0000,1657.0000,-4.8352,-32.6344,,
0.7467,374,0,16.1266,-34.9735,706.3254,20.9174,-2.3326,688.0956,0.0055,-0.0415,-0.1070,0.9934,1823.0000,1804.0000,1676.0000,-4.7909,-32.6409,,
0.7564,374,0,16.1266,-34.9735,706.3254,20.9174,-2.3326,688.0956,0.0055,-0.0415,-0.1070,0.9934,1823.0000,1804.0000,1696.0000,-4.7909,-32.6409,,
0.7678,374,0,16.1266,-34.9735,706.3254,20.9174,-2.3326,688.0956,0.0055,-0.0415,-0.1070,0.9934,1821.0000,1804.0000,1717.0000,-4.7909,-32.6409,,
0.7801,374,0,21.4982,-27.6522,699.6392,26.3966,4.9728,681.4094,0.0061,-0.0369,-0.1059,0.9937,1797.0000,1804.0000,1735.0000,-4.8984,-32.6250,,
0.7918,374,0,21.4982,-27.6522,699.6392,26.3966,4.9728,681.4094,0.0061,-0.0369,-0.1059,0.9937,1768.0000,1804.0000,1759.0000,-4.8984,-32.6250,,
0.8006,374,0,30.4490,-15.9596,688.3324,35.0778,16.7047,670.1025,0.0132,-0.0334,-0.1055,0.9938,1750.0000,1804.0000,1773.0000,-4.6288,-32.6643,,
0.8118,374,0,30.4490,-15.9596,688.3324,35.0778,16.7047,670.1025,0.0132,-0.0334,-0.1055,0.9938,1719.0000,1804.0000,1799.0000,-4.6288,-32.6643,,
0.8242,374,0,30.4490,-15.9596,688.3324,35.0778,16.7047,670.1025,0.0132,-0.0334,-0.1055,0.9938,1692.0000,1804.0000,1811.0000,-4.6288,-32.6643,,
0.8359,374,0,34.7553,-7.7743,680.5419,39.7371,24.8380,662.3120,0.0162,-0.0280,-0.1070,0.9937,1672.0000,1804.0000,1811.0000,-4.9818,-32.6124,,
0.8480,374,0,34.7553,-7.7743,680.5419,39.7371,24.8380,662.3120,0.0162,-0.0280,-0.1070,0.9937,1647.0000,1804.0000,1811.0000,-4.9818,-32.6124,,
0.8599,374,0,42.7150,1.9560,668.2111,47.5994,34.5831,649.9812,0.0183,-0.0262,-0.1090,0.9935,1624.0000,1804.0000,1811.0000,-4.8845,-32.6271,,
0.8685,374,0,42.7150,1.9560,668.2111,47.5994,34.5831,649.9812,0.0183,-0.0262,-0.1090,0.9935,1603.0000,1804.0000,1811.0000,-4.8845,-32.6271,,
