{HEADER}
user_id: 123
target_id: 177
target_screen_position_mm: [-7.96, -15.92]
fingertip_offset: [0.82, 32.98, 18.23]
completion_time: 7.7340
endpoint_error_mm: [8.3350, 8.3727, 1.1757]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,177,0,-229.8829,-181.5592,1079.4814,-225.8098,-148.8209,1061.2516,-0.0733,-0.0917,-0.0760,0.9902,1832.0000,1785.0000,1791.0000,-4.0731,-32.7383,,
0.0158,177,0,-229.8829,-181.5592,1079.4814,-225.8098,-148.8209,1061.2516,-0.0733,-0.0917,-0.0760,0.9902,1832.0000,1769.0000,1766.0000,-4.0731,-32.7383,,
0.0247,177,0,-210.4457,-165.0937,1015.2648,-202.9251,-132.9717,997.0350,0.2488,-0.2202,-0.0174,0.9430,1832.0000,1761.0000,1757.0000,-7.5206,-32.1220,,
0.0332,177,0,-210.4457,-165.0937,1015.2648,-202.9251,-132.9717,997.0350,0.2488,-0.2202,-0.0174,0.9430,1832.0000,1753.0000,1748.0000,-7.5206,-32.1220,,
0.0418,177,0,-210.4457,-165.0937,1015.2648,-202.9251,-132.9717,997.0350,0.2488,-0.2202,-0.0174,0.9430,1832.0000,1746.0000,1741.0000,-7.5206,-32.1220,,
0.0540,177,0,-220.6862,-173.9364,1081.4489,-217.6724,-141.0837,1063.2190,-0.0723,-0.1097,-0.0744,0.9885,1832.0000,1735.0000,1731.0000,-3.0138,-32.8527,,
0.0663,177,0,-220.6862,-173.9364,1081.4489,-217.6724,-141.0837,1063.2190,-0.0723,-0.1097,-0.0744,0.9885,1832.0000,1724.0000,1722.0000,-3.0138,-32.8527,,
0.0782,177,0,-220.6862,-173.9364,1081.4489,-217.6724,-141.0837,1063.2190,-0.0723,-0.1097,-0.0744,0.9885,1832.0000,1713.0000,1714.0000,-3.0138,-32.8527,,
0.0903,177,0,-223.7012,-175.0597,1104.7517,-220.3676,-142.2379,1086.5219,-0.0725,-0.0965,-0.0767,0.9897,1832.0000,1701.0000,1704.0000,-3.3336,-32.8218,,
0.0989,177,0,-223.7012,-175.0597,1104.7517,-220.3676,-142.2379,1086.5219,-0.0725,-0.0965,-0.0767,0.9897,1832.0000,1693.0000,1699.0000,-3.3336,-32.8218,,
0.1101,177,0,-223.7012,-175.0597,1104.7517,-220.3676,-142.2379,1086.5219,-0.0725,-0.0965,-0.0767,0.9897,1832.0000,1682.0000,1690.0000,-3.3336,-32.8218,,
0.1224,177,0,-219.8740,-163.7808,1092.5918,-216.6157,-130.9514,1074.3619,-0.0646,-0.1026,-0.0719,0.9900,1832.0000,1671.0000,1681.0000,-3.2582,-32.8294,,
0.1342,177,0,-219.8740,-163.7808,1092.5918,-216.6157,-130.9514,1074.3619,-0.0646,-0.1026,-0.0719,0.9900,1832.0000,1659.0000,1674.0000,-3.2582,-32.8294,,
0.1463,177,0,-209.3822,-156.2785,1046.4105,-212.5701,-123.4423,1028.1807,0.3068,-0.1746,0.0504,0.9343,1832.0000,1645.0000,1667.0000,3.1879,-32.8363,,
0.1553,177,0,-209.3822,-156.2785,1046.4105,-212.5701,-123.4423,1028.1807,0.3068,-0.1746,0.0504,0.9343,1832.0000,1638.0000,1663.0000,3.1879,-32.8363,,
0.1661,177,0,-209.3822,-156.2785,1046.4105,-212.5701,-123.4423,1028.1807,0.3068,-0.1746,0.0504,0.9343,1832.0000,1627.0000,1658.0000,3.1879,-32.8363,,
0.1782,177,0,-216.1572,-163.5759,1096.8469,-213.1339,-130.7241,1078.6171,-0.0733,-0.1008,-0.0735,0.9895,1832.0000,1616.0000,1651.0000,-3.0233,-32.8518,,
0.1902,177,0,-216.1572,-163.5759,1096.8469,-213.1339,-130.7241,1078.6171,-0.0733,-0.1008,-0.0735,0.9895,1832.0000,1604.0000,1642.0000,-3.0233,-32.8518,,
0.2020,177,0,-216.1572,-163.5759,1096.8469,-213.1339,-130.7241,1078.6171,-0.0733,-0.1008,-0.0735,0.9895,1832.0000,1594.0000,1633.0000,-3.0233,-32.8518,,
0.2143,177,0,-213.6864,-167.7797,1104.8113,-209.5248,-135.0526,1086.5814,-0.0715,-0.0910,-0.0748,0.9905,1832.0000,1583.0000,1624.0000,-4.1615,-32.7271,,
0.2233,177,0,-213.6864,-167.7797,1104.8113,-209.5248,-135.0526,1086.5814,-0.0715,-0.0910,-0.0748,0.9905,1832.0000,1575.0000,1615.0000,-4.1615,-32.7271,,
0.2344,177,0,-206.8801,-167.3816,1104.2513,-203.2242,-134.5942,1086.0215,-0.0763,-0.0853,-0.0777,0.9904,1832.0000,1567.0000,1605.0000,-3.6559,-32.7875,,
0.2461,177,0,-206.8801,-167.3816,1104.2513,-203.2242,-134.5942,1086.0215,-0.0763,-0.0853,-0.0777,0.9904,1832.0000,1560.0000,1595.0000,-3.6559,-32.7875,,
0.2592,177,0,-206.8801,-167.3816,1104.2513,-203.2242,-134.5942,1086.0215,-0.0763,-0.0853,-0.0777,0.9904,1832.0000,1550.0000,1583.0000,-3.6559,-32.7875,,
0.2704,177,0,-201.4364,-160.5604,1092.4313,-197.7380,-127.7777,1074.2014,-0.0655,-0.0853,-0.0742,0.9914,1832.0000,1543.0000,1574.0000,-3.6984,-32.7827,,
0.2822,177,0,-201.4364,-160.5604,1092.4313,-197.7380,-127.7777,1074.2014,-0.0655,-0.0853,-0.0742,0.9914,1832.0000,1535.0000,1566.0000,-3.6984,-32.7827,,
0.2909,177,0,-201.4364,-160.5604,1092.4313,-197.7380,-127.7777,1074.2014,-0.0655,-0.0853,-0.0742,0.9914,1832.0000,1529.0000,1561.0000,-3.6984,-32.7827,,
0.3022,177,0,-194.4206,-149.0991,1085.9811,-191.0756,-116.2785,1067.7512,-0.0741,-0.0933,-0.0743,0.9901,1832.0000,1521.0000,1553.0000,-3.3450,-32.8206,,
0.3141,177,0,-194.4206,-149.0991,1085.9811,-191.0756,-116.2785,1067.7512,-0.0741,-0.0933,-0.0743,0.9901,1832.0000,1512.0000,1550.0000,-3.3450,-32.8206,,
0.3262,177,0,-184.4098,-139.0523,1056.8169,-179.9252,-106.3679,1038.5870,0.2884,0.2911,-0.1837,0.8935,1832.0000,1503.0000,1546.0000,-4.4846,-32.6844,,
0.3385,177,0,-184.4098,-139.0523,1056.8169,-179.9252,-106.3679,1038.5870,0.2884,0.2911,-0.1837,0.8935,1832.0000,1497.0000,1546.0000,-4.4846,-32.6844,,
0.3472,177,0,-184.4098,-139.0523,1056.8169,-179.9252,-106.3679,1038.5870,0.2884,0.2911,-0.1837,0.8935,1832.0000,1492.0000,1544.0000,-4.4846,-32.6844,,
0.3581,177,0,-189.3416,-139.1858,1105.3107,-185.7748,-106.3885,1087.0808,-0.0636,-0.0809,-0.0724,0.9921,1832.0000,1486.0000,1542.0000,-3.5668,-32.7973,,
