{HEADER}
user_id: 123
target_id: 291
target_screen_position_mm: [-104.04, 48.04]
fingertip_offset: [0.82, 32.98, 18.23]
completion_time: 8.1512
endpoint_error_mm: [-4.8191, 9.3238, 1.2201]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,291,0,-197.2000,-180.2011,1089.7889,-190.5569,-147.8862,1071.5591,-0.0505,-0.0580,-0.1258,0.9891,1832.0000,1787.0000,1807.0000,-6.6431,-32.3149,,
0.0165,291,0,-197.4387,-179.7706,1088.6833,-191.5028,-147.3184,1070.4535,-0.0465,-0.0558,-0.1251,0.9895,1832.0000,1777.0000,1797.0000,-5.9359,-32.4523,,
0.0266,291,0,-197.4387,-179.7706,1088.6833,-191.5028,-147.3184,1070.4535,-0.0465,-0.0558,-0.1251,0.9895,1832.0000,1770.0000,1789.0000,-5.9359,-32.4523,,
0.0353,291,0,-197.4387,-179.7706,1088.6833,-191.5028,-147.3184,1070.4535,-0.0465,-0.0558,-0.1251,0.9895,1832.0000,1764.0000,1782.0000,-5.9359,-32.4523,,
0.0441,291,0,-198.2256,-177.5354,1089.4014,-191.8052,-145.1756,1071.1715,-0.0552,-0.0554,-0.1255,0.9890,1832.0000,1757.0000,1774.0000,-6.4204,-32.3599,,
0.0553,291,0,-198.2256,-177.5354,1089.4014,-191.8052,-145.1756,1071.1715,-0.0552,-0.0554,-0.1255,0.9890,1832.0000,1749.0000,1763.0000,-6.4204,-32.3599,,
0.0674,291,0,-195.4943,-175.1195,1094.8623,-189.6555,-142.6496,1076.6324,-0.0515,-0.0582,-0.1236,0.9893,1832.0000,1739.0000,1751.0000,-5.8389,-32.4698,,
0.0795,291,0,-195.4943,-175.1195,1094.8623,-189.6555,-142.6496,1076.6324,-0.0515,-0.0582,-0.1236,0.9893,1832.0000,1729.0000,1739.0000,-5.8389,-32.4698,,
0.0917,291,0,-195.4943,-175.1195,1094.8623,-189.6555,-142.6496,1076.6324,-0.0515,-0.0582,-0.1236,0.9893,1832.0000,1720.0000,1727.0000,-5.8389,-32.4698,,
0.1035,291,0,-189.5437,-170.1151,1082.0372,-183.9225,-137.6069,1063.8074,-0.0448,-0.0485,-0.1224,0.9903,1832.0000,1711.0000,1716.0000,-5.6212,-32.5082,,
0.1122,291,0,-189.5437,-170.1151,1082.0372,-183.9225,-137.6069,1063.8074,-0.0448,-0.0485,-0.1224,0.9903,1832.0000,1704.0000,1708.0000,-5.6212,-32.5082,,
0.1246,291,0,-189.5437,-170.1151,1082.0372,-183.9225,-137.6069,1063.8074,-0.0448,-0.0485,-0.1224,0.9903,1832.0000,1694.0000,1696.0000,-5.6212,-32.5082,,
0.1354,291,0,-184.5391,-163.8772,1088.8926,-177.9198,-131.5574,1070.6627,-0.0463,-0.0489,-0.1170,0.9908,1832.0000,1687.0000,1687.0000,-6.6193,-32.3198,,
0.1474,291,0,-184.5391,-163.8772,1088.8926,-177.9198,-131.5574,1070.6627,-0.0463,-0.0489,-0.1170,0.9908,1832.0000,1678.0000,1677.0000,-6.6193,-32.3198,,
0.1596,291,0,-175.5401,-154.7396,1075.7834,-169.2753,-122.3492,1057.5536,-0.0380,-0.0494,-0.1128,0.9917,1832.0000,1669.0000,1668.0000,-6.2649,-32.3904,,
0.1714,291,0,-175.5401,-154.7396,1075.7834,-169.2753,-122.3492,1057.5536,-0.0380,-0.0494,-0.1128,0.9917,1832.0000,1662.0000,1660.0000,-6.2649,-32.3904,,
0.1805,291,0,-175.5401,-154.7396,1075.7834,-169.2753,-122.3492,1057.5536,-0.0380,-0.0494,-0.1128,0.9917,1832.0000,1656.0000,1654.0000,-6.2649,-32.3904,,
0.1917,291,0,-162.2439,-143.6500,1025.4467,-155.7449,-111.3058,1007.2168,0.4723,0.0061,-0.2084,0.8565,1832.0000,1649.0000,1647.0000,-6.4990,-32.3442,,
0.2037,291,0,-162.2439,-143.6500,1025.4467,-155.7449,-111.3058,1007.2168,0.4723,0.0061,-0.2084,0.8565,1832.0000,1644.0000,1643.0000,-6.4990,-32.3442,,
0.2154,291,0,-154.8440,-141.1910,1071.5481,-149.8402,-108.5820,1053.3182,-0.0422,-0.0352,-0.1122,0.9922,1832.0000,1638.0000,1637.0000,-5.0038,-32.6090,,
0.2274,291,0,-154.8440,-141.1910,1071.5481,-149.8402,-108.5820,1053.3182,-0.0422,-0.0352,-0.1122,0.9922,1832.0000,1633.0000,1632.0000,-5.0038,-32.6090,,
0.2361,291,0,-154.8440,-141.1910,1071.5481,-149.8402,-108.5820,1053.3182,-0.0422,-0.0352,-0.1122,0.9922,1832.0000,1629.0000,1628.0000,-5.0038,-32.6090,,
0.2475,291,0,-149.9178,-137.1775,1072.9554,-144.9397,-104.5646,1054.7256,-0.0364,-0.0379,-0.1099,0.9926,1832.0000,1625.0000,1623.0000,-4.9781,-32.6129,,
0.2594,291,0,-149.9178,-137.1775,1072.9554,-144.9397,-104.5646,1054.7256,-0.0364,-0.0379,-0.1099,0.9926,1832.0000,1620.0000,1618.0000,-4.9781,-32.6129,,
0.2715,291,0,-149.9178,-137.1775,1072.9554,-144.9397,-104.5646,1054.7256,-0.0364,-0.0379,-0.1099,0.9926,1832.0000,1615.0000,1613.0000,-4.9781,-32.6129,,
0.2834,291,0,-144.4975,-131.7891,1076.1332,-139.4302,-99.1899,1057.9033,-0.0338,-0.0304,-0.1088,0.9930,1832.0000,1610.0000,1607.0000,-5.0674,-32.5992,,
0.2953,291,0,-144.4975,-131.7891,1076.1332,-139.4302,-99.1899,1057.9033,-0.0338,-0.0304,-0.1088,0.9930,1832.0000,1605.0000,1603.0000,-5.0674,-32.5992,,
0.3040,291,0,-132.1421,-122.4400,1058.3121,-126.5741,-89.9226,1040.0823,-0.0313,-0.0347,-0.1063,0.9932,1832.0000,1602.0000,1600.0000,-5.5680,-32.5174,,
0.3155,291,0,-132.1421,-122.4400,1058.3121,-126.5741,-89.9226,1040.0823,-0.0313,-0.0347,-0.1063,0.9932,1832.0000,1600.0000,1599.0000,-5.5680,-32.5174,,
0.3275,291,0,-132.1421,-122.4400,1058.3121,-126.5741,-89.9226,1040.0823,-0.0313,-0.0347,-0.1063,0.9932,1832.0000,1598.0000,1597.0000,-5.5680,-32.5174,,
