{HEADER}
user_id: 123
target_id: 025
target_screen_position_mm: [-183.92, -96.08]
fingertip_offset: [0.82, 32.98, 18.23]
completion_time: 8.0394
endpoint_error_mm: [-3.6193, 13.7642, 5.2028]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,25,0,-297.9350,-10.0149,942.6908,-291.9245,22.4237,924.4609,-0.0406,-0.0471,-0.1241,0.9903,1814.0000,1790.0000,1813.0000,-6.0105,-32.4385,,
0.0123,25,0,-299.3391,-10.9427,942.4539,-293.1129,21.4551,924.2241,-0.0354,-0.0482,-0.1246,0.9904,1814.0000,1770.0000,1813.0000,-6.2262,-32.3978,,
0.0236,25,0,-299.3391,-10.9427,942.4539,-293.1129,21.4551,924.2241,-0.0354,-0.0482,-0.1246,0.9904,1814.0000,1752.0000,1813.0000,-6.2262,-32.3978,,
0.0323,25,0,-299.3391,-10.9427,942.4539,-293.1129,21.4551,924.2241,-0.0354,-0.0482,-0.1246,0.9904,1814.0000,1737.0000,1813.0000,-6.2262,-32.3978,,
0.0437,25,0,-299.0671,-10.3241,938.6124,-293.1799,22.1370,920.3825,-0.0352,-0.0493,-0.1221,0.9907,1814.0000,1719.0000,1813.0000,-5.8872,-32.4611,,
0.0557,25,0,-299.0671,-10.3241,938.6124,-293.1799,22.1370,920.3825,-0.0352,-0.0493,-0.1221,0.9907,1814.0000,1698.0000,1813.0000,-5.8872,-32.4611,,
0.0677,25,0,-298.6815,-9.7651,936.8228,-292.3925,22.6205,918.5929,-0.0331,-0.0429,-0.1199,0.9913,1814.0000,1678.0000,1813.0000,-6.2890,-32.3857,,
0.0798,25,0,-298.6815,-9.7651,936.8228,-292.3925,22.6205,918.5929,-0.0331,-0.0429,-0.1199,0.9913,1814.0000,1657.0000,1813.0000,-6.2890,-32.3857,,
0.0919,25,0,-298.6815,-9.7651,936.8228,-292.3925,22.6205,918.5929,-0.0331,-0.0429,-0.1199,0.9913,1814.0000,1635.0000,1813.0000,-6.2890,-32.3857,,
0.1007,25,0,-300.8901,-12.2716,942.2560,-295.0867,20.2046,924.0261,-0.0353,-0.0468,-0.1212,0.9909,1814.0000,1621.0000,1813.0000,-5.8034,-32.4762,,
0.1117,25,0,-300.8901,-12.2716,942.2560,-295.0867,20.2046,924.0261,-0.0353,-0.0468,-0.1212,0.9909,1814.0000,1601.0000,1813.0000,-5.8034,-32.4762,,
0.1237,25,0,-286.0722,-15.2538,910.5318,-281.5801,17.4296,892.3019,-0.0389,-0.0579,-0.1245,0.9898,1814.0000,1581.0000,1813.0000,-4.4920,-32.6834,,
0.1357,25,0,-286.0722,-15.2538,910.5318,-281.5801,17.4296,892.3019,-0.0389,-0.0579,-0.1245,0.9898,1814.0000,1564.0000,1813.0000,-4.4920,-32.6834,,
0.1482,25,0,-286.0722,-15.2538,910.5318,-281.5801,17.4296,892.3019,-0.0389,-0.0579,-0.1245,0.9898,1814.0000,1545.0000,1813.0000,-4.4920,-32.6834,,
0.1568,25,0,-292.3824,-19.5645,942.4302,-286.3384,12.8678,924.2004,-0.0402,-0.0451,-0.1246,0.9904,1814.0000,1532.0000,1813.0000,-6.0439,-32.4323,,
0.1676,25,0,-292.3824,-19.5645,942.4302,-286.3384,12.8678,924.2004,-0.0402,-0.0451,-0.1246,0.9904,1814.0000,1514.0000,1813.0000,-6.0439,-32.4323,,
0.1796,25,0,-292.3824,-19.5645,942.4302,-286.3384,12.8678,924.2004,-0.0402,-0.0451,-0.1246,0.9904,1814.0000,1495.0000,1813.0000,-6.0439,-32.4323,,
0.1915,25,0,-282.9208,-20.0690,935.9058,-276.8077,12.3503,917.6760,-0.0421,-0.0426,-0.1224,0.9907,1814.0000,1476.0000,1813.0000,-6.1131,-32.4193,,
0.2035,25,0,-282.9208,-20.0690,935.9058,-276.8077,12.3503,917.6760,-0.0421,-0.0426,-0.1224,0.9907,1814.0000,1460.0000,1813.0000,-6.1131,-32.4193,,
0.2153,25,0,-276.2818,-18.0143,936.9368,-270.5501,14.4746,918.7070,-0.0429,-0.0383,-0.1213,0.9909,1814.0000,1442.0000,1813.0000,-5.7317,-32.4889,,
0.2238,25,0,-276.2818,-18.0143,936.9368,-270.5501,14.4746,918.7070,-0.0429,-0.0383,-0.1213,0.9909,1814.0000,1430.0000,1813.0000,-5.7317,-32.4889,,
0.2353,25,0,-276.2818,-18.0143,936.9368,-270.5501,14.4746,918.7070,-0.0429,-0.0383,-0.1213,0.9909,1814.0000,1413.0000,1813.0000,-5.7317,-32.4889,,
0.2475,25,0,-271.2261,-16.5156,933.2795,-265.1587,15.9123,915.0497,-0.0392,-0.0367,-0.1201,0.9913,1814.0000,1395.0000,1813.0000,-6.0675,-32.4279,,
0.2596,25,0,-271.2261,-16.5156,933.2795,-265.1587,15.9123,915.0497,-0.0392,-0.0367,-0.1201,0.9913,1814.0000,1377.0000,1813.0000,-6.0675,-32.4279,,
0.2715,25,0,-255.5844,-17.1924,926.4124,-249.6876,15.2670,908.1825,-0.0417,-0.0315,-0.1173,0.9917,1814.0000,1362.0000,1813.0000,-5.8968,-32.4594,,
0.2835,25,0,-255.5844,-17.1924,926.4124,-249.6876,15.2670,908.1825,-0.0417,-0.0315,-0.1173,0.9917,1815.0000,1349.0000,1814.0000,-5.8968,-32.4594,,
0.2922,25,0,-255.5844,-17.1924,926.4124,-249.6876,15.2670,908.1825,-0.0417,-0.0315,-0.1173,0.9917,1815.0000,1340.0000,1814.0000,-5.8968,-32.4594,,
0.3045,25,0,-237.4762,-19.7495,913.3237,-231.9760,12.7795,895.0938,-0.0440,-0.0284,-0.1154,0.9919,1815.0000,1326.0000,1814.0000,-5.5002,-32.5289,,
0.3156,25,0,-237.4762,-19.7495,913.3237,-231.9760,12.7795,895.0938,-0.0440,-0.0284,-0.1154,0.9919,1815.0000,1319.0000,1814.0000,-5.5002,-32.5289,,
0.3275,25,0,-211.9357,-22.7865,913.1071,-205.9511,9.6568,894.8772,-0.0476,-0.0214,-0.1119,0.9923,1815.0000,1312.0000,1814.0000,-5.9846,-32.4433,,
0.3393,25,0,-211.9357,-22.7865,913.1071,-205.9511,9.6568,894.8772,-0.0476,-0.0214,-0.1119,0.9923,1815.0000,1313.0000,1814.0000,-5.9846,-32.4433,,
0.3486,25,0,-211.9357,-22.7865,913.1071,-205.9511,9.6568,894.8772,-0.0476,-0.0214,-0.1119,0.9923,1815.0000,1312.0000,1814.0000,-5.9846,-32.4433,,
0.3594,25,0,-200.0228,-28.7014,918.8251,-194.7322,3.8623,900.5953,-0.0510,-0.0140,-0.1128,0.9922,1815.0000,1309.0000,1814.0000,-5.2906,-32.5637,,
0.3715,25,0,-200.0228,-28.7014,918.8251,-194.7322,3.8623,900.5953,-0.0510,-0.0140,-0.1128,0.9922,1815.0000,1310.0000,1814.0000,-5.2906,-32.5637,,
0.3842,25,0,-187.2271,-32.0667,915.3400,-181.4413,0.4127,897.1101,-0.0505,0.0007,-0.1127,0.9923,1815.0000,1309.0000,1814.0000,-5.7857,-32.4794,,
0.3959,25,0,-187.2271,-32.0667,915.3400,-181.4413,0.4127,897.1101,-0.0505,0.0007,-0.1127,0.9923,1815.0000,1312.0000,1814.0000,-5.7857,-32.4794,,
0.4077,25,0,-187.2271,-32.0667,915.3400,-181.4413,0.4127,897.1101,-0.0505,0.0007,-0.1127,0.9923,1815.0000,1312.0000,1814.0000,-5.7857,-32.4794,,
0.4165,25,0,-179.6771,-30.4877,900.7933,-173.7220,1.9610,882.5635,-0.0362,-0.0055,-0.1142,0.9928,1815.0000,1311.0000,1814.0000,-5.9551,-32.4487,,
0.4274,25,0,-179.6771,-30.4877,900.7933,-173.7220,1.9610,882.5635,-0.0362,-0.0055,-0.1142,0.9928,1815.0000,1310.0000,1815.0000,-5.9551,-32.4487,,
0.4394,25,0,-179.6771,-30.4877,900.7933,-173.7220,1.9610,882.5635,-0.0362,-0.0055,-0.1142,0.9928,1815.0000,1308.0000,1815.0000,-5.9551,-32.4487,,
0.4515,25,0,-168.6993,-27.7453,903.8086,-163.1946,4.7829,885.5787,-0.0533,0.0036,-0.1137,0.9921,1815.0000,1304.0000,1815.0000,-5.5047,-32.5282,,
0.4647,25,0,-168.6993,-27.7453,903.8086,-163.1946,4.7829,885.5787,-0.0533,0.0036,-0.1137,0.9921,1815.0000,1303.0000,1815.0000,-5.5047,-32.5282,,
0.4755,25,0,-145.2801,-32.5430,876.5226,-132.0112,-2.3384,858.2927,-0.1065,0.3699,-0.0807,0.9194,1815.0000,1303.0000,1815.0000,-13.2690,-30.2046,,
0.4842,25,0,-145.2801,-32.5430,876.5226,-132.0112,-2.3384,858.2927,-0.1065,0.3699,-0.0807,0.9194,1815.0000,1315.0000,1815.0000,-13.2690,-30.2046,,
0.4954,25,0,-145.2801,-32.5430,876.5226,-132.0112,-2.3384,858.2927,-0.1065,0.3699,-0.0807,0.9194,1815.0000,1327.0000,1815.0000,-13.2690,-30.2046,,
0.5075,25,0,-137.5646,-36.9180,889.8326,-132.2713,-4.3547,871.6027,-0.0559,0.0109,-0.1130,0.9920,1815.0000,1335.0000,1815.0000,-5.2933,-32.5632,,
0.5197,25,0,-137.5646,-36.9180,889.8326,-132.2713,-4.3547,871.6027,-0.0559,0.0109,-0.1130,0.9920,1815.0000,1340.0000,1814.0000,-5.2933,-32.5632,,
0.5313,25,0,-127.6469,-32.7633,878.6649,-122.0919,-0.2437,860.4351,-0.0592,0.0127,-0.1166,0.9913,1815.0000,1343.0000,1812.0000,-5.5550,-32.5196,,
0.5397,25,0,-127.6469,-32.7633,878.6649,-122.0919,-0.2437,860.4351,-0.0592,0.0127,-0.1166,0.9913,1815.0000,1347.0000,1812.0000,-5.5550,-32.5196,,
