{HEADER}
user_id: 123
target_id: 292
target_screen_position_mm: [-88.11, 48.04]
fingertip_offset: [0.82, 32.98, 18.23]
completion_time: 10.9996
endpoint_error_mm: [7.4149, 19.7207, 1.7676]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,292,0,-214.7337,-332.5287,1335.3589,-208.3644,-300.1587,1317.1290,-0.0872,-0.0366,-0.1180,0.9885,1840.0000,1793.0000,1796.0000,-6.3693,-32.3700,,
0.0123,292,0,-214.7337,-332.5287,1335.3589,-208.3644,-300.1587,1317.1290,-0.0872,-0.0366,-0.1180,0.9885,1840.0000,1779.0000,1778.0000,-6.3693,-32.3700,,
0.0241,292,0,-214.7337,-332.5287,1335.3589,-208.3644,-300.1587,1317.1290,-0.0872,-0.0366,-0.1180,0.9885,1840.0000,1771.0000,1760.0000,-6.3693,-32.3700,,
0.0359,292,0,-212.8096,-326.5493,1322.2936,-205.6675,-294.3410,1304.0637,-0.0712,-0.0305,-0.1181,0.9900,1840.0000,1764.0000,1734.0000,-7.1421,-32.2083,,
0.0446,292,0,-212.8096,-326.5493,1322.2936,-205.6675,-294.3410,1304.0637,-0.0712,-0.0305,-0.1181,0.9900,1840.0000,1761.0000,1717.0000,-7.1421,-32.2083,,
0.0561,292,0,-204.4859,-314.8457,1290.2640,-185.2562,-288.0389,1272.0342,0.4903,0.3995,-0.2922,0.7174,1840.0000,1759.0000,1694.0000,-19.2296,-26.8068,,
0.0676,292,0,-204.4859,-314.8457,1290.2640,-185.2562,-288.0389,1272.0342,0.4903,0.3995,-0.2922,0.7174,1840.0000,1759.0000,1670.0000,-19.2296,-26.8068,,
0.0799,292,0,-204.4859,-314.8457,1290.2640,-185.2562,-288.0389,1272.0342,0.4903,0.3995,-0.2922,0.7174,1840.0000,1759.0000,1643.0000,-19.2296,-26.8068,,
0.0918,292,0,-208.8043,-320.8113,1323.1298,-204.1756,-288.1469,1304.8999,-0.1008,-0.0301,-0.1190,0.9873,1840.0000,1760.0000,1616.0000,-4.6287,-32.6643,,
0.1038,292,0,-208.8043,-320.8113,1323.1298,-204.1756,-288.1469,1304.8999,-0.1008,-0.0301,-0.1190,0.9873,1840.0000,1758.0000,1589.0000,-4.6287,-32.6643,,
