{HEADER}
user_id: 123
target_id: 262
target_screen_position_mm: [-88.11, 32.12]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 7.3718
endpoint_error_mm: [15.9797, 37.9629, -4.1143]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,262,0,-180.9067,32.5791,917.5768,-180.7263,65.0448,897.0832,0.0017,-0.0117,-0.0274,0.9996,1831.0000,1826.0000,1814.0000,-0.1804,-32.4656,,
0.0124,262,0,-180.9067,32.5791,917.5768,-180.7263,65.0448,897.0832,0.0017,-0.0117,-0.0274,0.9996,1831.0000,1825.0000,1814.0000,-0.1804,-32.4656,,
0.0215,262,0,-180.9067,32.5791,917.5768,-180.7263,65.0448,897.0832,0.0017,-0.0117,-0.0274,0.9996,1831.0000,1823.0000,1814.0000,-0.1804,-32.4656,,
0.0319,262,0,-181.9802,29.7482,924.8083,-181.8115,62.2139,904.3148,0.0007,-0.0133,-0.0266,0.9996,1831.0000,1821.0000,1814.0000,-0.1687,-32.4657,,
0.0439,262,0,-181.9802,29.7482,924.8083,-181.8115,62.2139,904.3148,0.0007,-0.0133,-0.0266,0.9996,1831.0000,1818.0000,1814.0000,-0.1687,-32.4657,,
0.0560,262,0,-183.2952,25.1279,927.5066,-183.6052,57.5926,907.0130,0.0015,-0.0126,-0.0259,0.9996,1831.0000,1814.0000,1814.0000,0.3100,-32.4646,,
0.0680,262,0,-183.2952,25.1279,927.5066,-183.6052,57.5926,907.0130,0.0015,-0.0126,-0.0259,0.9996,1831.0000,1811.0000,1814.0000,0.3100,-32.4646,,
0.0776,262,0,-183.2952,25.1279,927.5066,-183.6052,57.5926,907.0130,0.0015,-0.0126,-0.0259,0.9996,1831.0000,1808.0000,1814.0000,0.3100,-32.4646,,
0.0879,262,0,-183.7629,22.0297,922.5886,-183.8491,54.4957,902.0950,0.0014,-0.0163,-0.0261,0.9995,1831.0000,1804.0000,1814.0000,0.0862,-32.4660,,
0.0999,262,0,-183.7629,22.0297,922.5886,-183.8491,54.4957,902.0950,0.0014,-0.0163,-0.0261,0.9995,1831.0000,1801.0000,1814.0000,0.0862,-32.4660,,
0.1118,262,0,-185.9135,19.3180,914.3038,-185.7272,51.7836,893.8102,-0.0006,-0.0083,-0.0257,0.9996,1831.0000,1797.0000,1814.0000,-0.1863,-32.4656,,
0.1240,262,0,-185.9135,19.3180,914.3038,-185.7272,51.7836,893.8102,-0.0006,-0.0083,-0.0257,0.9996,1831.0000,1793.0000,1814.0000,-0.1863,-32.4656,,
0.1361,262,0,-190.1668,18.8009,927.3554,-190.1702,51.2670,906.8618,-0.0038,-0.0162,-0.0268,0.9995,1831.0000,1789.0000,1814.0000,0.0034,-32.4661,,
0.1453,262,0,-190.1668,18.8009,927.3554,-190.1702,51.2670,906.8618,-0.0038,-0.0162,-0.0268,0.9995,1831.0000,1786.0000,1814.0000,0.0034,-32.4661,,
0.1560,262,0,-190.1668,18.8009,927.3554,-190.1702,51.2670,906.8618,-0.0038,-0.0162,-0.0268,0.9995,1831.0000,1783.0000,1814.0000,0.0034,-32.4661,,
0.1679,262,0,-191.0618,17.8887,920.9444,-191.0868,50.3548,900.4508,-0.0021,-0.0142,-0.0277,0.9995,1831.0000,1779.0000,1814.0000,0.0249,-32.4661,,
0.1802,262,0,-191.0618,17.8887,920.9444,-191.0868,50.3548,900.4508,-0.0021,-0.0142,-0.0277,0.9995,1831.0000,1776.0000,1814.0000,0.0249,-32.4661,,
0.1922,262,0,-192.0681,18.7148,916.1126,-191.9961,51.1808,895.6190,-0.0048,-0.0158,-0.0288,0.9994,1831.0000,1772.0000,1814.0000,-0.0720,-32.4660,,
0.2009,262,0,-192.0681,18.7148,916.1126,-191.9961,51.1808,895.6190,-0.0048,-0.0158,-0.0288,0.9994,1831.0000,1769.0000,1814.0000,-0.0720,-32.4660,,
0.2118,262,0,-192.0681,18.7148,916.1126,-191.9961,51.1808,895.6190,-0.0048,-0.0158,-0.0288,0.9994,1831.0000,1766.0000,1814.0000,-0.0720,-32.4660,,
0.2239,262,0,-196.2929,19.8030,925.4426,-196.2091,52.2690,904.9490,0.0004,-0.0134,-0.0289,0.9995,1831.0000,1762.0000,1814.0000,-0.0838,-32.4660,,
0.2362,262,0,-196.2929,19.8030,925.4426,-196.2091,52.2690,904.9490,0.0004,-0.0134,-0.0289,0.9995,1831.0000,1758.0000,1814.0000,-0.0838,-32.4660,,
0.2478,262,0,-196.6221,21.3897,920.9955,-196.6380,53.8558,900.5019,-0.0040,-0.0144,-0.0286,0.9995,1831.0000,1754.0000,1814.0000,0.0159,-32.4661,,
0.2603,262,0,-196.6221,21.3897,920.9955,-196.6380,53.8558,900.5019,-0.0040,-0.0144,-0.0286,0.9995,1831.0000,1750.0000,1814.0000,0.0159,-32.4661,,
0.2690,262,0,-194.3652,22.0124,910.7858,-194.0371,54.4769,890.2922,-0.0012,-0.0189,-0.0288,0.9994,1831.0000,1747.0000,1814.0000,-0.3281,-32.4645,,
0.2798,262,0,-194.3652,22.0124,910.7858,-194.0371,54.4769,890.2922,-0.0012,-0.0189,-0.0288,0.9994,1831.0000,1744.0000,1814.0000,-0.3281,-32.4645,,
0.2919,262,0,-194.3652,22.0124,910.7858,-194.0371,54.4769,890.2922,-0.0012,-0.0189,-0.0288,0.9994,1831.0000,1740.0000,1814.0000,-0.3281,-32.4645,,
