{HEADER}
user_id: 123
target_id: 059
target_screen_position_mm: [-24.16, -79.88]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 7.0478
endpoint_error_mm: [-7.9944, -0.2827, 2.2912]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,59,0,140.4207,22.1338,723.4441,138.9710,54.5676,702.9505,0.2330,0.2371,0.0325,0.9426,1816.0000,1814.0000,1812.0000,1.4497,-32.4337,,
0.0123,59,0,140.4207,22.1338,723.4441,138.9710,54.5676,702.9505,0.2330,0.2371,0.0325,0.9426,1806.0000,1814.0000,1811.0000,1.4497,-32.4337,,
0.0247,59,0,149.5771,24.9426,781.6229,146.9492,57.3022,761.1293,-0.0475,0.0998,0.0189,0.9937,1796.0000,1814.0000,1812.0000,2.6278,-32.3596,,
0.0361,59,0,149.5771,24.9426,781.6229,146.9492,57.3022,761.1293,-0.0475,0.0998,0.0189,0.9937,1787.0000,1814.0000,1814.0000,2.6278,-32.3596,,
0.0478,59,0,149.5771,24.9426,781.6229,146.9492,57.3022,761.1293,-0.0475,0.0998,0.0189,0.9937,1777.0000,1814.0000,1814.0000,2.6278,-32.3596,,
0.0566,59,0,146.7698,25.9135,778.8292,144.2494,58.2816,758.3356,-0.0473,0.0991,0.0175,0.9938,1770.0000,1814.0000,1814.0000,2.5204,-32.3681,,
0.0680,59,0,146.7698,25.9135,778.8292,144.2494,58.2816,758.3356,-0.0473,0.0991,0.0175,0.9938,1761.0000,1814.0000,1814.0000,2.5204,-32.3681,,
0.0800,59,0,143.5107,26.9500,772.3392,141.0895,59.3257,751.8456,-0.0436,0.0995,0.0168,0.9939,1751.0000,1814.0000,1814.0000,2.4212,-32.3757,,
0.0921,59,0,143.5107,26.9500,772.3392,141.0895,59.3257,751.8456,-0.0436,0.0995,0.0168,0.9939,1742.0000,1814.0000,1814.0000,2.4212,-32.3757,,
0.1041,59,0,143.8688,28.9339,777.9385,141.6389,61.3233,757.4449,-0.0456,0.0991,0.0167,0.9939,1733.0000,1814.0000,1814.0000,2.2299,-32.3894,,
0.1160,59,0,143.8688,28.9339,777.9385,141.6389,61.3233,757.4449,-0.0456,0.0991,0.0167,0.9939,1723.0000,1814.0000,1814.0000,2.2299,-32.3894,,
0.1246,59,0,143.8688,28.9339,777.9385,141.6389,61.3233,757.4449,-0.0456,0.0991,0.0167,0.9939,1717.0000,1814.0000,1814.0000,2.2299,-32.3894,,
0.1362,59,0,143.2755,30.5830,774.3094,140.6301,62.9412,753.8158,-0.0474,0.1069,0.0183,0.9930,1707.0000,1814.0000,1814.0000,2.6454,-32.3582,,
0.1480,59,0,143.2755,30.5830,774.3094,140.6301,62.9412,753.8158,-0.0474,0.1069,0.0183,0.9930,1699.0000,1814.0000,1814.0000,2.6454,-32.3582,,
0.1601,59,0,145.5292,34.2930,775.5546,142.9013,66.6526,755.0610,-0.0434,0.1015,0.0180,0.9937,1689.0000,1814.0000,1814.0000,2.6278,-32.3596,,
0.1721,59,0,145.5292,34.2930,775.5546,142.9013,66.6526,755.0610,-0.0434,0.1015,0.0180,0.9937,1680.0000,1814.0000,1814.0000,2.6278,-32.3596,,
0.1809,59,0,145.5292,34.2930,775.5546,142.9013,66.6526,755.0610,-0.0434,0.1015,0.0180,0.9937,1672.0000,1814.0000,1814.0000,2.6278,-32.3596,,
0.1920,59,0,145.9795,37.0363,771.5800,143.5196,69.4091,751.0864,-0.0435,0.1021,0.0180,0.9937,1663.0000,1814.0000,1814.0000,2.4599,-32.3728,,
0.2041,59,0,145.9795,37.0363,771.5800,143.5196,69.4091,751.0864,-0.0435,0.1021,0.0180,0.9937,1653.0000,1814.0000,1814.0000,2.4599,-32.3728,,
0.2162,59,0,134.4791,38.4448,705.3209,134.7082,70.9101,684.8273,0.2426,0.2382,0.0294,0.9400,1644.0000,1814.0000,1814.0000,-0.2291,-32.4653,,
0.2280,59,0,134.4791,38.4448,705.3209,134.7082,70.9101,684.8273,0.2426,0.2382,0.0294,0.9400,1636.0000,1814.0000,1814.0000,-0.2291,-32.4653,,
0.2401,59,0,147.5622,45.0465,766.7367,145.2414,77.4296,746.2431,-0.0387,0.1045,0.0165,0.9936,1629.0000,1814.0000,1814.0000,2.3208,-32.3831,,
0.2488,59,0,147.5622,45.0465,766.7367,145.2414,77.4296,746.2431,-0.0387,0.1045,0.0165,0.9936,1621.0000,1814.0000,1814.0000,2.3208,-32.3831,,
0.2602,59,0,147.5622,45.0465,766.7367,145.2414,77.4296,746.2431,-0.0387,0.1045,0.0165,0.9936,1610.0000,1814.0000,1814.0000,2.3208,-32.3831,,
0.2720,59,0,136.2403,44.4630,695.9441,130.3584,76.3918,675.4505,0.5432,0.4060,-0.3517,0.6453,1600.0000,1814.0000,1814.0000,5.8819,-31.9288,,
