{HEADER}
user_id: 123
target_id: 220
target_screen_position_mm: [200.11, 0.00]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 6.8431
endpoint_error_mm: [-17.9509, -16.9915, 0.6584]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,220,0,351.3589,-131.5703,802.5251,349.7759,-99.1428,782.0315,-0.0716,0.0869,-0.0027,0.9936,1795.0000,1820.0000,1805.0000,1.5830,-32.4275,,
0.0119,220,0,351.3589,-131.5703,802.5251,349.7759,-99.1428,782.0315,-0.0716,0.0869,-0.0027,0.9936,1775.0000,1820.0000,1796.0000,1.5830,-32.4275,,
0.0241,220,0,351.3589,-131.5703,802.5251,349.7759,-99.1428,782.0315,-0.0716,0.0869,-0.0027,0.9936,1752.0000,1820.0000,1787.0000,1.5830,-32.4275,,
0.0353,220,0,357.4601,-125.8081,796.5348,355.7820,-93.3853,776.0412,-0.0685,0.0896,-0.0023,0.9936,1732.0000,1820.0000,1779.0000,1.6780,-32.4227,,
0.0442,220,0,357.4601,-125.8081,796.5348,355.7820,-93.3853,776.0412,-0.0685,0.0896,-0.0023,0.9936,1716.0000,1820.0000,1775.0000,1.6780,-32.4227,,
0.0553,220,0,361.9685,-117.9652,791.6877,360.2088,-85.5468,771.1942,-0.0683,0.0891,-0.0007,0.9937,1695.0000,1820.0000,1769.0000,1.7596,-32.4184,,
0.0673,220,0,361.9685,-117.9652,791.6877,360.2088,-85.5468,771.1942,-0.0683,0.0891,-0.0007,0.9937,1671.0000,1820.0000,1763.0000,1.7596,-32.4184,,
0.0795,220,0,361.9685,-117.9652,791.6877,360.2088,-85.5468,771.1942,-0.0683,0.0891,-0.0007,0.9937,1647.0000,1820.0000,1758.0000,1.7596,-32.4184,,
0.0915,220,0,345.4231,-104.6924,747.8448,348.1433,-72.3404,727.3512,0.1357,0.5754,-0.1047,0.7997,1625.0000,1820.0000,1753.0000,-2.7202,-32.3520,,
0.1032,220,0,345.4231,-104.6924,747.8448,348.1433,-72.3404,727.3512,0.1357,0.5754,-0.1047,0.7997,1602.0000,1820.0000,1750.0000,-2.7202,-32.3520,,
0.1124,220,0,364.9839,-99.9158,776.7281,364.1396,-67.4607,756.2345,-0.0627,0.0982,-0.0028,0.9932,1585.0000,1820.0000,1748.0000,0.8442,-32.4551,,
0.1237,220,0,364.9839,-99.9158,776.7281,364.1396,-67.4607,756.2345,-0.0627,0.0982,-0.0028,0.9932,1560.0000,1820.0000,1745.0000,0.8442,-32.4551,,
0.1353,220,0,364.9839,-99.9158,776.7281,364.1396,-67.4607,756.2345,-0.0627,0.0982,-0.0028,0.9932,1535.0000,1820.0000,1743.0000,0.8442,-32.4551,,
0.1474,220,0,370.8699,-92.4422,779.7024,369.4852,-60.0056,759.2088,-0.0570,0.0957,-0.0069,0.9937,1511.0000,1820.0000,1740.0000,1.3846,-32.4366,,
0.1595,220,0,370.8699,-92.4422,779.7024,369.4852,-60.0056,759.2088,-0.0570,0.0957,-0.0069,0.9937,1483.0000,1820.0000,1739.0000,1.3846,-32.4366,,
0.1683,220,0,375.0982,-82.3521,774.2389,373.8431,-49.9102,753.7453,-0.0556,0.0988,-0.0105,0.9935,1462.0000,1820.0000,1737.0000,1.2551,-32.4418,,
