{HEADER}
user_id: 123
target_id: 385
target_screen_position_mm: [104.04, 96.08]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 6.3355
endpoint_error_mm: [-9.8779, 12.7548, -3.4493]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,385,0,349.5741,-94.9257,495.8501,347.4381,-62.5299,475.3565,-0.5727,-0.3598,-0.1165,0.7273,1791.0000,1820.0000,1814.0000,2.1360,-32.3958,,
0.0123,385,0,349.5741,-94.9257,495.8501,347.4381,-62.5299,475.3565,-0.5727,-0.3598,-0.1165,0.7273,1761.0000,1820.0000,1814.0000,2.1360,-32.3958,,
0.0237,385,0,429.9164,-116.9738,609.5500,429.7317,-84.5082,589.0564,-0.0670,0.2078,-0.0165,0.9757,1734.0000,1820.0000,1812.0000,0.1847,-32.4656,,
0.0327,385,0,429.9164,-116.9738,609.5500,429.7317,-84.5082,589.0564,-0.0670,0.2078,-0.0165,0.9757,1715.0000,1820.0000,1809.0000,0.1847,-32.4656,,
0.0442,385,0,429.9164,-116.9738,609.5500,429.7317,-84.5082,589.0564,-0.0670,0.2078,-0.0165,0.9757,1687.0000,1820.0000,1804.0000,0.1847,-32.4656,,
0.0555,385,0,427.7913,-115.2822,607.1837,428.1081,-82.8176,586.6901,-0.0665,0.2081,-0.0177,0.9757,1661.0000,1820.0000,1798.0000,-0.3169,-32.4646,,
0.0676,385,0,427.7913,-115.2822,607.1837,428.1081,-82.8176,586.6901,-0.0665,0.2081,-0.0177,0.9757,1632.0000,1820.0000,1791.0000,-0.3169,-32.4646,,
0.0795,385,0,424.9182,-113.2354,605.0493,425.2338,-80.7708,584.5557,-0.0616,0.2098,-0.0190,0.9756,1605.0000,1820.0000,1784.0000,-0.3156,-32.4646,,
0.0917,385,0,424.9182,-113.2354,605.0493,425.2338,-80.7708,584.5557,-0.0616,0.2098,-0.0190,0.9756,1576.0000,1820.0000,1777.0000,-0.3156,-32.4646,,
0.1006,385,0,424.9182,-113.2354,605.0493,425.2338,-80.7708,584.5557,-0.0616,0.2098,-0.0190,0.9756,1556.0000,1820.0000,1772.0000,-0.3156,-32.4646,,
0.1117,385,0,350.2305,-92.9234,498.1122,348.7440,-60.4914,477.6186,0.2544,0.3488,-0.0639,0.8997,1531.0000,1820.0000,1766.0000,1.4865,-32.4321,,
0.1236,385,0,350.2305,-92.9234,498.1122,348.7440,-60.4914,477.6186,0.2544,0.3488,-0.0639,0.8997,1513.0000,1820.0000,1762.0000,1.4865,-32.4321,,
0.1356,385,0,426.1862,-113.7109,608.9134,426.6825,-81.2486,588.4198,-0.0647,0.2054,-0.0181,0.9764,1495.0000,1820.0000,1759.0000,-0.4963,-32.4623,,
0.1479,385,0,426.1862,-113.7109,608.9134,426.6825,-81.2486,588.4198,-0.0647,0.2054,-0.0181,0.9764,1463.0000,1820.0000,1751.0000,-0.4963,-32.4623,,
0.1596,385,0,423.8055,-113.7994,608.9887,424.2891,-81.3369,588.4951,-0.0652,0.2050,-0.0180,0.9764,1432.0000,1820.0000,1743.0000,-0.4836,-32.4625,,
0.1683,385,0,423.8055,-113.7994,608.9887,424.2891,-81.3369,588.4951,-0.0652,0.2050,-0.0180,0.9764,1411.0000,1820.0000,1738.0000,-0.4836,-32.4625,,
0.1796,385,0,423.8055,-113.7994,608.9887,424.2891,-81.3369,588.4951,-0.0652,0.2050,-0.0180,0.9764,1382.0000,1820.0000,1731.0000,-0.4836,-32.4625,,
0.1922,385,0,420.5606,-113.4241,608.4644,420.9209,-80.9600,587.9708,-0.0650,0.2056,-0.0190,0.9763,1349.0000,1820.0000,1724.0000,-0.3603,-32.4641,,
0.2036,385,0,420.5606,-113.4241,608.4644,420.9209,-80.9600,587.9708,-0.0650,0.2056,-0.0190,0.9763,1322.0000,1820.0000,1718.0000,-0.3603,-32.4641,,
0.2167,385,0,409.8977,-112.4311,599.9951,410.3436,-79.9681,579.5015,-0.0643,0.2027,-0.0194,0.9769,1289.0000,1820.0000,1710.0000,-0.4459,-32.4631,,
0.2254,385,0,409.8977,-112.4311,599.9951,410.3436,-79.9681,579.5015,-0.0643,0.2027,-0.0194,0.9769,1270.0000,1820.0000,1705.0000,-0.4459,-32.4631,,
0.2356,385,0,409.8977,-112.4311,599.9951,410.3436,-79.9681,579.5015,-0.0643,0.2027,-0.0194,0.9769,1247.0000,1820.0000,1700.0000,-0.4459,-32.4631,,
0.2478,385,0,412.4191,-113.2198,609.3433,412.9146,-80.7574,588.8497,-0.0637,0.2003,-0.0213,0.9774,1220.0000,1820.0000,1694.0000,-0.4955,-32.4623,,
0.2596,385,0,412.4191,-113.2198,609.3433,412.9146,-80.7574,588.8497,-0.0637,0.2003,-0.0213,0.9774,1192.0000,1820.0000,1688.0000,-0.4955,-32.4623,,
0.2716,385,0,404.7781,-110.3454,609.7773,405.6690,-77.8915,589.2838,-0.0613,0.1946,-0.0246,0.9787,1165.0000,1820.0000,1682.0000,-0.8908,-32.4539,,
0.2837,385,0,404.7781,-110.3454,609.7773,405.6690,-77.8915,589.2838,-0.0613,0.1946,-0.0246,0.9787,1137.0000,1820.0000,1677.0000,-0.8908,-32.4539,,
0.2923,385,0,404.7781,-110.3454,609.7773,405.6690,-77.8915,589.2838,-0.0613,0.1946,-0.0246,0.9787,1119.0000,1820.0000,1673.0000,-0.8908,-32.4539,,
0.3037,385,0,402.8348,-108.6268,616.9388,403.7464,-76.1735,596.4453,-0.0589,0.1925,-0.0282,0.9791,1093.0000,1820.0000,1668.0000,-0.9117,-32.4533,,
0.3156,385,0,402.8348,-108.6268,616.9388,403.7464,-76.1735,596.4453,-0.0589,0.1925,-0.0282,0.9791,1066.0000,1820.0000,1663.0000,-0.9117,-32.4533,,
0.3276,385,0,396.0610,-105.8126,614.9298,397.0195,-73.3606,594.4362,-0.0573,0.1897,-0.0298,0.9797,1040.0000,1820.0000,1659.0000,-0.9585,-32.4520,,
0.3395,385,0,396.0610,-105.8126,614.9298,397.0195,-73.3606,594.4362,-0.0573,0.1897,-0.0298,0.9797,1016.0000,1820.0000,1655.0000,-0.9585,-32.4520,,
