{HEADER}
user_id: 123
target_id: 126
target_screen_position_mm: [135.88, -48.04]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 9.0076
endpoint_error_mm: [13.2077, -8.6450, 0.9274]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,126,0,237.3883,71.9798,964.2143,236.3397,104.4289,943.7207,-0.0320,0.0707,0.0028,0.9970,1823.0000,1793.0000,1808.0000,1.0486,-32.4492,,
0.0136,126,0,238.3411,72.6468,963.9713,236.1932,105.0418,943.4777,-0.0311,0.0680,0.0032,0.9972,1813.0000,1793.0000,1808.0000,2.1479,-32.3950,,
0.0241,126,0,238.3411,72.6468,963.9713,236.1932,105.0418,943.4777,-0.0311,0.0680,0.0032,0.9972,1800.0000,1793.0000,1808.0000,2.1479,-32.3950,,
0.0332,126,0,238.3411,72.6468,963.9713,236.1932,105.0418,943.4777,-0.0311,0.0680,0.0032,0.9972,1789.0000,1794.0000,1808.0000,2.1479,-32.3950,,
0.0442,126,0,237.8270,73.7039,961.1876,236.5642,106.1454,940.6940,-0.0304,0.0734,0.0025,0.9968,1771.0000,1794.0000,1808.0000,1.2628,-32.4415,,
0.0558,126,0,237.8270,73.7039,961.1876,236.5642,106.1454,940.6940,-0.0304,0.0734,0.0025,0.9968,1751.0000,1795.0000,1808.0000,1.2628,-32.4415,,
0.0677,126,0,238.8846,76.7088,960.2844,237.8598,109.1587,939.7908,-0.0291,0.0743,0.0008,0.9968,1727.0000,1795.0000,1808.0000,1.0248,-32.4499,,
0.0798,126,0,238.8846,76.7088,960.2844,237.8598,109.1587,939.7908,-0.0291,0.0743,0.0008,0.9968,1705.0000,1795.0000,1808.0000,1.0248,-32.4499,,
0.0885,126,0,238.8846,76.7088,960.2844,237.8598,109.1587,939.7908,-0.0291,0.0743,0.0008,0.9968,1687.0000,1795.0000,1808.0000,1.0248,-32.4499,,
0.0995,126,0,234.4325,80.9983,963.2010,233.0559,113.4353,942.7074,-0.0304,0.0686,0.0012,0.9972,1666.0000,1795.0000,1808.0000,1.3766,-32.4369,,
0.1118,126,0,234.4325,80.9983,963.2010,233.0559,113.4353,942.7074,-0.0304,0.0686,0.0012,0.9972,1642.0000,1795.0000,1808.0000,1.3766,-32.4369,,
0.1237,126,0,229.9273,87.3478,958.6635,229.1098,119.8036,938.1699,-0.0294,0.0686,-0.0024,0.9972,1617.0000,1795.0000,1808.0000,0.8175,-32.4558,,
0.1357,126,0,229.9273,87.3478,958.6635,229.1098,119.8036,938.1699,-0.0294,0.0686,-0.0024,0.9972,1594.0000,1795.0000,1808.0000,0.8175,-32.4558,,
0.1485,126,0,232.6989,89.7205,958.1298,231.8029,122.1743,937.6362,-0.0256,0.0711,-0.0036,0.9971,1570.0000,1795.0000,1808.0000,0.8960,-32.4537,,
0.1573,126,0,232.6989,89.7205,958.1298,231.8029,122.1743,937.6362,-0.0256,0.0711,-0.0036,0.9971,1552.0000,1795.0000,1808.0000,0.8960,-32.4537,,
0.1678,126,0,235.7474,92.2088,955.1257,234.6372,124.6560,934.6321,-0.0263,0.0726,-0.0042,0.9970,1531.0000,1795.0000,1808.0000,1.1102,-32.4471,,
0.1799,126,0,235.7474,92.2088,955.1257,234.6372,124.6560,934.6321,-0.0263,0.0726,-0.0042,0.9970,1507.0000,1795.0000,1808.0000,1.1102,-32.4471,,
0.1918,126,0,235.7474,92.2088,955.1257,234.6372,124.6560,934.6321,-0.0263,0.0726,-0.0042,0.9970,1483.0000,1795.0000,1808.0000,1.1102,-32.4471,,
0.2037,126,0,239.4814,93.8059,949.5109,238.8640,126.2662,929.0173,-0.0235,0.0710,-0.0040,0.9972,1458.0000,1795.0000,1808.0000,0.6174,-32.4602,,
0.2157,126,0,239.4814,93.8059,949.5109,238.8640,126.2662,929.0173,-0.0235,0.0710,-0.0040,0.9972,1433.0000,1795.0000,1808.0000,0.6174,-32.4602,,
0.2243,126,0,246.3125,98.5494,949.2143,245.5191,131.0058,928.7207,-0.0236,0.0763,-0.0034,0.9968,1416.0000,1795.0000,1808.0000,0.7934,-32.4564,,
0.2355,126,0,246.3125,98.5494,949.2143,245.5191,131.0058,928.7207,-0.0236,0.0763,-0.0034,0.9968,1391.0000,1795.0000,1808.0000,0.7934,-32.4564,,
0.2478,126,0,249.9774,101.9336,945.2613,249.2238,134.3910,924.7677,-0.0246,0.0769,-0.0041,0.9967,1363.0000,1795.0000,1808.0000,0.7536,-32.4574,,
0.2610,126,0,249.9774,101.9336,945.2613,249.2238,134.3910,924.7677,-0.0246,0.0769,-0.0041,0.9967,1332.0000,1795.0000,1808.0000,0.7536,-32.4574,,
0.2718,126,0,252.5350,103.0980,937.9817,251.7138,135.5537,917.4881,-0.0224,0.0793,-0.0029,0.9966,1307.0000,1796.0000,1808.0000,0.8212,-32.4557,,
0.2805,126,0,252.5350,103.0980,937.9817,251.7138,135.5537,917.4881,-0.0224,0.0793,-0.0029,0.9966,1287.0000,1796.0000,1808.0000,0.8212,-32.4557,,
0.2918,126,0,252.5350,103.0980,937.9817,251.7138,135.5537,917.4881,-0.0224,0.0793,-0.0029,0.9966,1260.0000,1796.0000,1808.0000,0.8212,-32.4557,,
0.3040,126,0,254.3951,104.5588,933.1076,253.4923,137.0124,912.6140,-0.0223,0.0773,-0.0020,0.9968,1232.0000,1796.0000,1808.0000,0.9028,-32.4536,,
0.3159,126,0,254.3951,104.5588,933.1076,253.4923,137.0124,912.6140,-0.0223,0.0773,-0.0020,0.9968,1206.0000,1796.0000,1808.0000,0.9028,-32.4536,,
0.3278,126,0,257.4355,110.0861,936.5190,256.7561,142.5451,916.0254,-0.0207,0.0780,-0.0041,0.9967,1177.0000,1797.0000,1808.0000,0.6794,-32.4590,,
0.3397,126,0,257.4355,110.0861,936.5190,256.7561,142.5451,916.0254,-0.0207,0.0780,-0.0041,0.9967,1146.0000,1797.0000,1808.0000,0.6794,-32.4590,,
0.3491,126,0,254.5363,112.2834,932.0431,253.8526,144.7423,911.5495,-0.0183,0.0777,-0.0049,0.9968,1123.0000,1797.0000,1808.0000,0.6836,-32.4589,,
0.3600,126,0,254.5363,112.2834,932.0431,253.8526,144.7423,911.5495,-0.0183,0.0777,-0.0049,0.9968,1097.0000,1797.0000,1808.0000,0.6836,-32.4589,,
0.3717,126,0,254.5363,112.2834,932.0431,253.8526,144.7423,911.5495,-0.0183,0.0777,-0.0049,0.9968,1068.0000,1797.0000,1809.0000,0.6836,-32.4589,,
0.3839,126,0,250.7878,113.0977,926.7601,250.3978,145.5615,906.2665,-0.0167,0.0802,-0.0052,0.9966,1039.0000,1797.0000,1809.0000,0.3901,-32.4638,,
0.3959,126,0,250.7878,113.0977,926.7601,250.3978,145.5615,906.2665,-0.0167,0.0802,-0.0052,0.9966,1013.0000,1798.0000,1809.0000,0.3901,-32.4638,,
0.4077,126,0,244.9086,106.8663,914.3694,243.6118,139.3065,893.8759,-0.0279,0.0712,-0.0051,0.9971,987.0000,1798.0000,1809.0000,1.2968,-32.4402,,
0.4166,126,0,244.9086,106.8663,914.3694,243.6118,139.3065,893.8759,-0.0279,0.0712,-0.0051,0.9971,970.0000,1798.0000,1809.0000,1.2968,-32.4402,,
0.4277,126,0,245.2665,103.3353,920.5848,244.7249,135.7969,900.0912,-0.0250,0.0738,-0.0059,0.9969,950.0000,1798.0000,1809.0000,0.5416,-32.4616,,
0.4396,126,0,245.2665,103.3353,920.5848,244.7249,135.7969,900.0912,-0.0250,0.0738,-0.0059,0.9969,929.0000,1798.0000,1809.0000,0.5416,-32.4616,,
0.4518,126,0,240.3079,99.4683,912.2056,239.8887,131.9317,891.7120,-0.0264,0.0746,-0.0062,0.9968,905.0000,1799.0000,1809.0000,0.4192,-32.4634,,
0.4639,126,0,240.3079,99.4683,912.2056,239.8887,131.9317,891.7120,-0.0264,0.0746,-0.0062,0.9968,885.0000,1799.0000,1809.0000,0.4192,-32.4634,,
0.4725,126,0,240.3079,99.4683,912.2056,239.8887,131.9317,891.7120,-0.0264,0.0746,-0.0062,0.9968,869.0000,1799.0000,1810.0000,0.4192,-32.4634,,
0.4837,126,0,239.4530,96.6814,915.1840,238.4604,129.1323,894.6904,-0.0254,0.0706,-0.0045,0.9972,849.0000,1800.0000,1810.0000,0.9926,-32.4509,,
0.4958,126,0,239.4530,96.6814,915.1840,238.4604,129.1323,894.6904,-0.0254,0.0706,-0.0045,0.9972,829.0000,1800.0000,1810.0000,0.9926,-32.4509,,
0.5079,126,0,227.2941,89.3817,911.0129,226.2793,121.8319,890.5193,-0.0290,0.0647,-0.0031,0.9975,810.0000,1800.0000,1810.0000,1.0149,-32.4502,,
0.5198,126,0,227.2941,89.3817,911.0129,226.2793,121.8319,890.5193,-0.0290,0.0647,-0.0031,0.9975,799.0000,1800.0000,1810.0000,1.0149,-32.4502,,
0.5317,126,0,205.8781,82.8465,875.1288,208.8816,115.1733,854.6352,0.2746,0.0544,0.0573,0.9583,789.0000,1800.0000,1810.0000,-3.0035,-32.3269,,
0.5404,126,0,205.8781,82.8465,875.1288,208.8816,115.1733,854.6352,0.2746,0.0544,0.0573,0.9583,789.0000,1800.0000,1810.0000,-3.0035,-32.3269,,
0.5516,126,0,201.5999,80.8392,905.9514,200.7001,113.2929,885.4578,-0.0335,0.0571,-0.0065,0.9978,787.0000,1800.0000,1811.0000,0.8998,-32.4536,,
0.5636,126,0,201.5999,80.8392,905.9514,200.7001,113.2929,885.4578,-0.0335,0.0571,-0.0065,0.9978,787.0000,1800.0000,1811.0000,0.8998,-32.4536,,
0.5762,126,0,193.5567,74.4839,905.6227,192.7109,106.9390,885.1292,-0.0351,0.0563,-0.0066,0.9978,784.0000,1800.0000,1811.0000,0.8459,-32.4551,,
0.5877,126,0,193.5567,74.4839,905.6227,192.7109,106.9390,885.1292,-0.0351,0.0563,-0.0066,0.9978,785.0000,1800.0000,1811.0000,0.8459,-32.4551,,
0.5964,126,0,193.5567,74.4839,905.6227,192.7109,106.9390,885.1292,-0.0351,0.0563,-0.0066,0.9978,784.0000,1800.0000,1811.0000,0.8459,-32.4551,,
0.6076,126,0,184.0355,68.4443,898.9594,183.7503,100.9092,878.4658,-0.0383,0.0536,-0.0075,0.9978,780.0000,1800.0000,1811.0000,0.2853,-32.4649,,
0.6198,126,0,184.0355,68.4443,898.9594,183.7503,100.9092,878.4658,-0.0383,0.0536,-0.0075,0.9978,783.0000,1801.0000,1811.0000,0.2853,-32.4649,,
0.6317,126,0,167.3223,61.7796,897.9576,166.5314,94.2360,877.4640,-0.0416,0.0486,-0.0077,0.9979,783.0000,1801.0000,1811.0000,0.7909,-32.4565,,
0.6437,126,0,167.3223,61.7796,897.9576,166.5314,94.2360,877.4640,-0.0416,0.0486,-0.0077,0.9979,795.0000,1801.0000,1811.0000,0.7909,-32.4565,,
0.6558,126,0,154.3199,60.5788,895.8488,153.6588,93.0382,875.3552,-0.0407,0.0445,-0.0093,0.9981,804.0000,1801.0000,1812.0000,0.6611,-32.4594,,
0.6645,126,0,154.3199,60.5788,895.8488,153.6588,93.0382,875.3552,-0.0407,0.0445,-0.0093,0.9981,813.0000,1801.0000,1812.0000,0.6611,-32.4594,,
0.6760,126,0,154.3199,60.5788,895.8488,153.6588,93.0382,875.3552,-0.0407,0.0445,-0.0093,0.9981,821.0000,1801.0000,1812.0000,0.6611,-32.4594,,
0.6878,126,0,141.8548,57.0153,893.3413,141.1881,89.4745,872.8477,-0.0417,0.0389,-0.0092,0.9983,826.0000,1801.0000,1812.0000,0.6667,-32.4593,,
0.6997,126,0,141.8548,57.0153,893.3413,141.1881,89.4745,872.8477,-0.0417,0.0389,-0.0092,0.9983,840.0000,1801.0000,1812.0000,0.6667,-32.4593,,
0.7118,126,0,121.5310,49.6362,879.6323,116.8063,81.7566,859.1387,-0.6239,0.3477,0.1781,0.6768,850.0000,1801.0000,1812.0000,4.7247,-32.1205,,
