{HEADER}
user_id: 123
target_id: 385
target_screen_position_mm: [104.04, 96.08]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 7.6124
endpoint_error_mm: [7.5607, 20.6968, -1.4985]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,385,0,313.4773,-211.9919,749.3551,311.9138,-179.5634,728.8615,-0.0878,0.1243,-0.0043,0.9883,1783.0000,1800.0000,1806.0000,1.5636,-32.4284,,
0.0136,385,0,313.4773,-211.9919,749.3551,311.9138,-179.5634,728.8615,-0.0878,0.1243,-0.0043,0.9883,1766.0000,1800.0000,1791.0000,1.5636,-32.4284,,
0.0237,385,0,315.0648,-210.5105,748.9056,313.2807,-178.0934,728.4120,-0.0876,0.1253,-0.0031,0.9882,1748.0000,1800.0000,1776.0000,1.7841,-32.4171,,
0.0370,385,0,315.0648,-210.5105,748.9056,313.2807,-178.0934,728.4120,-0.0876,0.1253,-0.0031,0.9882,1724.0000,1800.0000,1758.0000,1.7841,-32.4171,,
0.0456,385,0,292.0457,-190.6725,688.4973,293.2852,-158.2301,668.0037,0.2097,0.2436,0.0002,0.9469,1706.0000,1800.0000,1744.0000,-1.2395,-32.4424,,
0.0557,385,0,292.0457,-190.6725,688.4973,293.2852,-158.2301,668.0037,0.2097,0.2436,0.0002,0.9469,1686.0000,1800.0000,1730.0000,-1.2395,-32.4424,,
0.0678,385,0,292.0457,-190.6725,688.4973,293.2852,-158.2301,668.0037,0.2097,0.2436,0.0002,0.9469,1666.0000,1800.0000,1717.0000,-1.2395,-32.4424,,
0.0798,385,0,316.9479,-203.7670,745.0497,315.5310,-171.3318,724.5561,-0.0876,0.1264,-0.0033,0.9881,1641.0000,1800.0000,1700.0000,1.4169,-32.4352,,
0.0915,385,0,316.9479,-203.7670,745.0497,315.5310,-171.3318,724.5561,-0.0876,0.1264,-0.0033,0.9881,1616.0000,1800.0000,1683.0000,1.4169,-32.4352,,
0.1003,385,0,319.7815,-195.1359,742.5135,318.6017,-162.6912,722.0199,-0.0851,0.1282,-0.0070,0.9881,1598.0000,1800.0000,1671.0000,1.1798,-32.4447,,
0.1116,385,0,319.7815,-195.1359,742.5135,318.6017,-162.6912,722.0199,-0.0851,0.1282,-0.0070,0.9881,1571.0000,1800.0000,1656.0000,1.1798,-32.4447,,
0.1236,385,0,322.6467,-190.0888,740.5071,321.5632,-157.6408,720.0135,-0.0820,0.1302,-0.0084,0.9881,1545.0000,1800.0000,1641.0000,1.0835,-32.4480,,
0.1356,385,0,322.6467,-190.0888,740.5071,321.5632,-157.6408,720.0135,-0.0820,0.1302,-0.0084,0.9881,1515.0000,1800.0000,1626.0000,1.0835,-32.4480,,
0.1477,385,0,322.6467,-190.0888,740.5071,321.5632,-157.6408,720.0135,-0.0820,0.1302,-0.0084,0.9881,1489.0000,1800.0000,1613.0000,1.0835,-32.4480,,
0.1596,385,0,319.9428,-182.5764,723.7537,318.8221,-150.1297,703.2601,-0.0854,0.1380,-0.0081,0.9867,1461.0000,1800.0000,1598.0000,1.1206,-32.4468,,
0.1687,385,0,319.9428,-182.5764,723.7537,318.8221,-150.1297,703.2601,-0.0854,0.1380,-0.0081,0.9867,1440.0000,1800.0000,1590.0000,1.1206,-32.4468,,
0.1798,385,0,328.7947,-178.9670,729.0073,327.8356,-146.5150,708.5137,-0.0771,0.1364,-0.0083,0.9876,1417.0000,1800.0000,1579.0000,0.9591,-32.4519,,
0.1916,385,0,328.7947,-178.9670,729.0073,327.8356,-146.5150,708.5137,-0.0771,0.1364,-0.0083,0.9876,1386.0000,1800.0000,1568.0000,0.9591,-32.4519,,
0.2036,385,0,329.0342,-175.2008,724.7172,327.7206,-142.7613,704.2236,-0.0762,0.1347,-0.0067,0.9879,1359.0000,1800.0000,1559.0000,1.3136,-32.4395,,
0.2157,385,0,329.0342,-175.2008,724.7172,327.7206,-142.7613,704.2236,-0.0762,0.1347,-0.0067,0.9879,1329.0000,1800.0000,1549.0000,1.3136,-32.4395,,
0.2276,385,0,329.0342,-175.2008,724.7172,327.7206,-142.7613,704.2236,-0.0762,0.1347,-0.0067,0.9879,1302.0000,1800.0000,1539.0000,1.3136,-32.4395,,
0.2365,385,0,329.7972,-170.2979,722.1433,328.9697,-137.8424,701.6497,-0.0733,0.1373,-0.0097,0.9878,1281.0000,1800.0000,1531.0000,0.8275,-32.4556,,
0.2476,385,0,329.7972,-170.2979,722.1433,328.9697,-137.8424,701.6497,-0.0733,0.1373,-0.0097,0.9878,1255.0000,1800.0000,1523.0000,0.8275,-32.4556,,
