{HEADER}
user_id: 124
target_id: 054
target_screen_position_mm: [-104.04, -79.88]
fingertip_offset: [3.03, 32.73, 19.23]
completion_time: 5.9040
endpoint_error_mm: [-3.5167, 55.6227, 5.0069]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.685735, 9.682273, 7.470439, 8.990629]
control_points_accel: [0.497382, -2.264590, 3.190859, -1.423652]
stiffness_measurements: [0.185872, 0.059771, 0.120415, 0.242385]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,54,0,359.7085,460.0362,685.0438,369.6263,491.3776,665.8156,0.1677,0.4227,-0.1012,0.8848,1818.0000,1823.0000,1839.0000,-9.9177,-31.3414,,
0.0131,54,0,359.7085,460.0362,685.0438,369.6263,491.3776,665.8156,0.1677,0.4227,-0.1012,0.8848,1773.0000,1823.0000,1839.0000,-9.9177,-31.3414,,
0.0247,54,0,359.7085,460.0362,685.0438,369.6263,491.3776,665.8156,0.1677,0.4227,-0.1012,0.8848,1722.0000,1823.0000,1839.0000,-9.9177,-31.3414,,
0.0337,54,0,359.3038,459.0490,686.9135,369.8813,490.1740,667.6853,0.1705,0.3248,-0.1181,0.9228,1686.0000,1823.0000,1839.0000,-10.5775,-31.1250,,
0.0439,54,0,359.3038,459.0490,686.9135,369.8813,490.1740,667.6853,0.1705,0.3248,-0.1181,0.9228,1644.0000,1823.0000,1839.0000,-10.5775,-31.1250,,
0.0559,54,0,362.6794,455.5442,686.1928,373.1788,486.6956,666.9647,0.1680,0.3113,-0.1216,0.9274,1595.0000,1823.0000,1839.0000,-10.4995,-31.1514,,
0.0679,54,0,362.6794,455.5442,686.1928,373.1788,486.6956,666.9647,0.1680,0.3113,-0.1216,0.9274,1552.0000,1823.0000,1839.0000,-10.4995,-31.1514,,
0.0800,54,0,362.6794,455.5442,686.1928,373.1788,486.6956,666.9647,0.1680,0.3113,-0.1216,0.9274,1504.0000,1823.0000,1839.0000,-10.4995,-31.1514,,
0.0925,54,0,363.6592,456.3026,687.0334,374.6352,487.2893,667.8053,-0.4189,0.1035,-0.1551,0.8887,1455.0000,1823.0000,1839.0000,-10.9760,-30.9867,,
0.1012,54,0,363.6592,456.3026,687.0334,374.6352,487.2893,667.8053,-0.4189,0.1035,-0.1551,0.8887,1418.0000,1823.0000,1839.0000,-10.9760,-30.9867,,
0.1119,54,0,361.2758,453.4761,690.5173,366.9680,485.8528,671.2891,0.4372,0.7763,0.2625,0.3706,1381.0000,1823.0000,1839.0000,-5.6922,-32.3766,,
0.1239,54,0,361.2758,453.4761,690.5173,366.9680,485.8528,671.2891,0.4372,0.7763,0.2625,0.3706,1334.0000,1823.0000,1839.0000,-5.6922,-32.3766,,
0.1359,54,0,358.1904,448.4561,692.7289,368.2928,479.7386,673.5008,0.1668,0.3121,-0.1185,0.9278,1290.0000,1823.0000,1839.0000,-10.1024,-31.2824,,
0.1478,54,0,358.1904,448.4561,692.7289,368.2928,479.7386,673.5008,0.1668,0.3121,-0.1185,0.9278,1246.0000,1823.0000,1839.0000,-10.1024,-31.2824,,
0.1568,54,0,358.1904,448.4561,692.7289,368.2928,479.7386,673.5008,0.1668,0.3121,-0.1185,0.9278,1209.0000,1823.0000,1839.0000,-10.1024,-31.2824,,
0.1677,54,0,353.2727,447.8813,704.3545,363.9280,478.9797,685.1263,0.1740,0.4096,-0.1000,0.8899,1168.0000,1823.0000,1839.0000,-10.6553,-31.0984,,
0.1800,54,0,353.2727,447.8813,704.3545,363.9280,478.9797,685.1263,0.1740,0.4096,-0.1000,0.8899,1119.0000,1823.0000,1839.0000,-10.6553,-31.0984,,
0.1919,54,0,198.4999,252.6230,407.4532,207.8713,284.1320,388.2250,0.1438,0.3932,-0.1065,0.9019,1082.0000,1823.0000,1840.0000,-9.3714,-31.5091,,
0.2041,54,0,198.4999,252.6230,407.4532,207.8713,284.1320,388.2250,0.1438,0.3932,-0.1065,0.9019,1107.0000,1823.0000,1840.0000,-9.3714,-31.5091,,
0.2158,54,0,197.2586,253.6658,415.0481,206.8295,285.1149,395.8199,0.1447,0.3860,-0.1076,0.9047,1122.0000,1823.0000,1840.0000,-9.5709,-31.4491,,
0.2255,54,0,197.2586,253.6658,415.0481,206.8295,285.1149,395.8199,0.1447,0.3860,-0.1076,0.9047,1132.0000,1823.0000,1840.0000,-9.5709,-31.4491,,
0.2359,54,0,197.4163,255.3580,427.4641,206.5743,286.9298,408.2360,0.1448,0.3714,-0.1098,0.9105,1137.0000,1823.0000,1840.0000,-9.1580,-31.5718,,
