{HEADER}
user_id: 124
target_id: 057
target_screen_position_mm: [-56.00, -79.88]
fingertip_offset: [3.03, 32.73, 19.23]
completion_time: 8.4475
endpoint_error_mm: [3.8090, 7.3683, 3.1698]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.685735, 9.682273, 7.470439, 8.990629]
control_points_accel: [0.497382, -2.264590, 3.190859, -1.423652]
stiffness_measurements: [0.185872, 0.059771, 0.120415, 0.242385]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,57,0,-91.7983,117.4414,895.0917,-98.1554,149.6941,875.8636,0.0100,0.0215,0.0578,0.9980,1869.0000,1831.0000,1839.0000,6.3570,-32.2527,,
0.0119,57,0,-93.3524,115.6557,889.8600,-99.0676,148.0282,870.6319,0.0054,0.0196,0.0574,0.9981,1867.0000,1831.0000,1839.0000,5.7152,-32.3726,,
0.0239,57,0,-93.3524,115.6557,889.8600,-99.0676,148.0282,870.6319,0.0054,0.0196,0.0574,0.9981,1868.0000,1827.0000,1839.0000,5.7152,-32.3726,,
0.0358,57,0,-93.3524,115.6557,889.8600,-99.0676,148.0282,870.6319,0.0054,0.0196,0.0574,0.9981,1868.0000,1821.0000,1839.0000,5.7152,-32.3726,,
0.0445,57,0,-93.9936,116.5297,889.8899,-100.0323,148.8435,870.6617,0.0109,0.0195,0.0575,0.9981,1868.0000,1813.0000,1839.0000,6.0387,-32.3138,,
0.0555,57,0,-93.9936,116.5297,889.8899,-100.0323,148.8435,870.6617,0.0109,0.0195,0.0575,0.9981,1868.0000,1804.0000,1839.0000,6.0387,-32.3138,,
0.0674,57,0,-95.0011,118.1995,890.0177,-92.8490,151.0022,870.7896,0.4242,0.3662,-0.1046,0.8216,1869.0000,1793.0000,1839.0000,-2.1522,-32.8027,,
0.0793,57,0,-95.0011,118.1995,890.0177,-92.8490,151.0022,870.7896,0.4242,0.3662,-0.1046,0.8216,1870.0000,1782.0000,1839.0000,-2.1522,-32.8027,,
0.0920,57,0,-95.0011,118.1995,890.0177,-92.8490,151.0022,870.7896,0.4242,0.3662,-0.1046,0.8216,1871.0000,1770.0000,1839.0000,-2.1522,-32.8027,,
0.1039,57,0,-95.2860,117.8589,886.2096,-101.1071,150.2126,866.9814,0.0151,0.0205,0.0576,0.9980,1871.0000,1759.0000,1839.0000,5.8211,-32.3537,,
0.1125,57,0,-95.2860,117.8589,886.2096,-101.1071,150.2126,866.9814,0.0151,0.0205,0.0576,0.9980,1872.0000,1749.0000,1839.0000,5.8211,-32.3537,,
0.1236,57,0,-96.1307,117.6733,889.9777,-102.1298,149.9944,870.7496,0.0081,0.0177,0.0592,0.9981,1872.0000,1738.0000,1839.0000,5.9990,-32.3212,,
0.1356,57,0,-96.1307,117.6733,889.9777,-102.1298,149.9944,870.7496,0.0081,0.0177,0.0592,0.9981,1872.0000,1725.0000,1839.0000,5.9990,-32.3212,,
0.1473,57,0,-97.5904,115.9163,887.9264,-103.6496,148.2263,868.6982,0.0070,0.0179,0.0588,0.9981,1872.0000,1713.0000,1839.0000,6.0592,-32.3100,,
0.1592,57,0,-97.5904,115.9163,887.9264,-103.6496,148.2263,868.6982,0.0070,0.0179,0.0588,0.9981,1872.0000,1701.0000,1839.0000,6.0592,-32.3100,,
0.1678,57,0,-97.5904,115.9163,887.9264,-103.6496,148.2263,868.6982,0.0070,0.0179,0.0588,0.9981,1872.0000,1693.0000,1839.0000,6.0592,-32.3100,,
0.1796,57,0,-99.6364,113.6220,887.0918,-105.4292,145.9808,867.8636,0.0072,0.0171,0.0572,0.9982,1872.0000,1681.0000,1839.0000,5.7928,-32.3588,,
0.1915,57,0,-99.6364,113.6220,887.0918,-105.4292,145.9808,867.8636,0.0072,0.0171,0.0572,0.9982,1872.0000,1668.0000,1839.0000,5.7928,-32.3588,,
0.2035,57,0,-99.8587,109.9630,885.0741,-105.9207,142.2724,865.8459,0.0044,0.0156,0.0561,0.9983,1872.0000,1657.0000,1839.0000,6.0621,-32.3094,,
0.2153,57,0,-99.8587,109.9630,885.0741,-105.9207,142.2724,865.8459,0.0044,0.0156,0.0561,0.9983,1872.0000,1645.0000,1839.0000,6.0621,-32.3094,,
0.2275,57,0,-99.8587,109.9630,885.0741,-105.9207,142.2724,865.8459,0.0044,0.0156,0.0561,0.9983,1872.0000,1634.0000,1839.0000,6.0621,-32.3094,,
0.2363,57,0,-101.0902,108.8215,885.8199,-107.0586,141.1483,866.5917,0.0077,0.0187,0.0562,0.9982,1872.0000,1625.0000,1839.0000,5.9684,-32.3269,,
0.2472,57,0,-101.0902,108.8215,885.8199,-107.0586,141.1483,866.5917,0.0077,0.0187,0.0562,0.9982,1872.0000,1615.0000,1839.0000,5.9684,-32.3269,,
0.2593,57,0,-101.7341,109.6581,882.5834,-107.7364,141.9787,863.3552,0.0099,0.0197,0.0550,0.9982,1872.0000,1603.0000,1839.0000,6.0023,-32.3206,,
0.2716,57,0,-101.7341,109.6581,882.5834,-107.7364,141.9787,863.3552,0.0099,0.0197,0.0550,0.9982,1872.0000,1590.0000,1839.0000,6.0023,-32.3206,,
0.2834,57,0,-102.1524,113.7905,886.8449,-107.7911,146.1764,867.6168,0.0144,0.0166,0.0549,0.9983,1872.0000,1579.0000,1839.0000,5.6387,-32.3860,,
0.2954,57,0,-102.1524,113.7905,886.8449,-107.7911,146.1764,867.6168,0.0144,0.0166,0.0549,0.9983,1872.0000,1567.0000,1839.0000,5.6387,-32.3860,,
0.3053,57,0,-102.1524,113.7905,886.8449,-107.7911,146.1764,867.6168,0.0144,0.0166,0.0549,0.9983,1872.0000,1557.0000,1839.0000,5.6387,-32.3860,,
0.3153,57,0,-96.4546,113.4447,876.5300,-102.2082,145.8105,857.3018,0.0108,0.0209,0.0532,0.9983,1872.0000,1548.0000,1839.0000,5.7537,-32.3658,,
0.3275,57,0,-96.4546,113.4447,876.5300,-102.2082,145.8105,857.3018,0.0108,0.0209,0.0532,0.9983,1872.0000,1539.0000,1839.0000,5.7537,-32.3658,,
0.3394,57,0,-87.6233,113.6079,878.9318,-93.6694,145.9203,859.7037,0.0109,0.0256,0.0557,0.9981,1872.0000,1530.0000,1839.0000,6.0461,-32.3124,,
0.3514,57,0,-87.6233,113.6079,878.9318,-93.6694,145.9203,859.7037,0.0109,0.0256,0.0557,0.9981,1872.0000,1525.0000,1839.0000,6.0461,-32.3124,,
0.3600,57,0,-87.6233,113.6079,878.9318,-93.6694,145.9203,859.7037,0.0109,0.0256,0.0557,0.9981,1872.0000,1520.0000,1839.0000,6.0461,-32.3124,,
0.3718,57,0,-83.6385,114.9892,873.8832,-89.5395,147.3284,854.6551,0.0122,0.0221,0.0551,0.9982,1872.0000,1514.0000,1839.0000,5.9010,-32.3392,,
0.3836,57,0,-83.6385,114.9892,873.8832,-89.5395,147.3284,854.6551,0.0122,0.0221,0.0551,0.9982,1872.0000,1509.0000,1839.0000,5.9010,-32.3392,,
0.3956,57,0,-81.1126,116.6348,869.4098,-86.8737,148.9993,850.1816,0.0097,0.0263,0.0536,0.9982,1872.0000,1503.0000,1839.0000,5.7611,-32.3644,,
0.4075,57,0,-81.1126,116.6348,869.4098,-86.8737,148.9993,850.1816,0.0097,0.0263,0.0536,0.9982,1872.0000,1498.0000,1839.0000,5.7611,-32.3644,,
0.4192,57,0,-78.0650,119.2807,877.3871,-83.7222,151.6634,858.1590,0.0121,0.0287,0.0534,0.9981,1872.0000,1491.0000,1839.0000,5.6572,-32.3828,,
0.4279,57,0,-78.0650,119.2807,877.3871,-83.7222,151.6634,858.1590,0.0121,0.0287,0.0534,0.9981,1872.0000,1488.0000,1839.0000,5.6572,-32.3828,,
0.4395,57,0,-78.0650,119.2807,877.3871,-83.7222,151.6634,858.1590,0.0121,0.0287,0.0534,0.9981,1872.0000,1482.0000,1840.0000,5.6572,-32.3828,,
0.4515,57,0,-72.2155,117.8502,872.6464,-81.5538,149.3692,853.4183,-0.5351,-0.3920,0.0865,0.7433,1872.0000,1475.0000,1840.0000,9.3383,-31.5189,,
0.4634,57,0,-72.2155,117.8502,872.6464,-81.5538,149.3692,853.4183,-0.5351,-0.3920,0.0865,0.7433,1872.0000,1469.0000,1840.0000,9.3383,-31.5189,,
0.4755,57,0,-55.0822,114.2926,866.2337,-60.1955,146.7657,847.0056,0.0107,0.0381,0.0502,0.9980,1872.0000,1464.0000,1840.0000,5.1133,-32.4731,,
0.4874,57,0,-55.0822,114.2926,866.2337,-60.1955,146.7657,847.0056,0.0107,0.0381,0.0502,0.9980,1863.0000,1471.0000,1840.0000,5.1133,-32.4731,,
0.4960,57,0,-41.7910,112.9351,856.0690,-47.3134,145.3411,836.8408,0.0090,0.0436,0.0515,0.9977,1858.0000,1475.0000,1840.0000,5.5224,-32.4060,,
0.5073,57,0,-41.7910,112.9351,856.0690,-47.3134,145.3411,836.8408,0.0090,0.0436,0.0515,0.9977,1848.0000,1486.0000,1840.0000,5.5224,-32.4060,,
0.5194,57,0,-41.7910,112.9351,856.0690,-47.3134,145.3411,836.8408,0.0090,0.0436,0.0515,0.9977,1840.0000,1494.0000,1840.0000,5.5224,-32.4060,,
0.5315,57,0,-29.6454,112.7293,848.8609,-35.1426,145.1396,829.6328,0.0111,0.0471,0.0508,0.9975,1832.0000,1501.0000,1840.0000,5.4971,-32.4103,,
0.5435,57,0,-29.6454,112.7293,848.8609,-35.1426,145.1396,829.6328,0.0111,0.0471,0.0508,0.9975,1822.0000,1512.0000,1840.0000,5.4971,-32.4103,,
