{HEADER}
user_id: 124
target_id: 207
target_screen_position_mm: [-7.96, 0.00]
fingertip_offset: [3.03, 32.73, 19.23]
completion_time: 6.8069
endpoint_error_mm: [11.3420, 29.7909, 4.4148]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.685735, 9.682273, 7.470439, 8.990629]
control_points_accel: [0.497382, -2.264590, 3.190859, -1.423652]
stiffness_measurements: [0.185872, 0.059771, 0.120415, 0.242385]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,207,0,-549.6487,-137.8338,634.0053,-545.3290,-105.2457,614.7772,-0.0793,-0.1991,-0.1137,0.9701,1831.0000,1783.0000,1840.0000,-4.3198,-32.5881,,
0.0116,207,0,-537.9450,-133.6332,622.4005,-533.5352,-101.0571,603.1724,-0.0719,-0.2027,-0.1112,0.9703,1831.0000,1726.0000,1832.0000,-4.4098,-32.5761,,
0.0227,207,0,-537.9450,-133.6332,622.4005,-533.5352,-101.0571,603.1724,-0.0719,-0.2027,-0.1112,0.9703,1831.0000,1677.0000,1825.0000,-4.4098,-32.5761,,
0.0347,207,0,-541.7596,-135.2215,627.2005,-536.9836,-102.6971,607.9724,-0.0726,-0.2003,-0.1137,0.9704,1831.0000,1634.0000,1818.0000,-4.7760,-32.5244,,
0.0467,207,0,-541.7596,-135.2215,627.2005,-536.9836,-102.6971,607.9724,-0.0726,-0.2003,-0.1137,0.9704,1831.0000,1585.0000,1809.0000,-4.7760,-32.5244,,
0.0555,207,0,-541.7596,-135.2215,627.2005,-536.9836,-102.6971,607.9724,-0.0726,-0.2003,-0.1137,0.9704,1831.0000,1550.0000,1802.0000,-4.7760,-32.5244,,
0.0666,207,0,-542.2088,-136.5855,626.5625,-537.4326,-104.0612,607.3344,-0.0737,-0.1997,-0.1152,0.9703,1831.0000,1509.0000,1794.0000,-4.7762,-32.5244,,
0.0785,207,0,-542.2088,-136.5855,626.5625,-537.4326,-104.0612,607.3344,-0.0737,-0.1997,-0.1152,0.9703,1831.0000,1464.0000,1785.0000,-4.7762,-32.5244,,
0.0906,207,0,-547.4305,-137.7780,633.7707,-542.7115,-105.2452,614.5425,-0.0757,-0.1997,-0.1168,0.9699,1831.0000,1422.0000,1777.0000,-4.7190,-32.5327,,
0.1026,207,0,-547.4305,-137.7780,633.7707,-542.7115,-105.2452,614.5425,-0.0757,-0.1997,-0.1168,0.9699,1831.0000,1374.0000,1767.0000,-4.7190,-32.5327,,
0.1145,207,0,-548.9838,-142.8700,645.2508,-544.4290,-110.3139,626.0226,-0.0790,-0.1898,-0.1175,0.9716,1831.0000,1333.0000,1759.0000,-4.5548,-32.5561,,
0.1233,207,0,-548.9838,-142.8700,645.2508,-544.4290,-110.3139,626.0226,-0.0790,-0.1898,-0.1175,0.9716,1831.0000,1296.0000,1750.0000,-4.5548,-32.5561,,
0.1347,207,0,-548.9838,-142.8700,645.2508,-544.4290,-110.3139,626.0226,-0.0790,-0.1898,-0.1175,0.9716,1831.0000,1254.0000,1741.0000,-4.5548,-32.5561,,
0.1465,207,0,-547.0569,-140.8624,652.4102,-541.8077,-108.4110,633.1821,-0.0807,-0.1834,-0.1164,0.9728,1832.0000,1204.0000,1730.0000,-5.2493,-32.4514,,
0.1588,207,0,-547.0569,-140.8624,652.4102,-541.8077,-108.4110,633.1821,-0.0807,-0.1834,-0.1164,0.9728,1832.0000,1159.0000,1721.0000,-5.2493,-32.4514,,
0.1705,207,0,-532.9416,-141.1272,647.8773,-528.2932,-108.5844,628.6492,-0.0786,-0.1718,-0.1174,0.9750,1832.0000,1110.0000,1711.0000,-4.6484,-32.5429,,
0.1793,207,0,-532.9416,-141.1272,647.8773,-528.2932,-108.5844,628.6492,-0.0786,-0.1718,-0.1174,0.9750,1832.0000,1082.0000,1705.0000,-4.6484,-32.5429,,
0.1907,207,0,-532.9416,-141.1272,647.8773,-528.2932,-108.5844,628.6492,-0.0786,-0.1718,-0.1174,0.9750,1832.0000,1038.0000,1695.0000,-4.6484,-32.5429,,
0.2027,207,0,-547.3243,-152.3595,685.0179,-538.9734,-120.5647,665.7898,-0.2539,0.0354,-0.2382,0.9368,1833.0000,992.0000,1685.0000,-8.3508,-31.7948,,
0.2147,207,0,-547.3243,-152.3595,685.0179,-538.9734,-120.5647,665.7898,-0.2539,0.0354,-0.2382,0.9368,1833.0000,946.0000,1672.0000,-8.3508,-31.7948,,
0.2270,207,0,-543.0019,-153.2503,715.2379,-538.1709,-120.7340,696.0097,-0.0748,-0.1394,-0.1140,0.9808,1833.0000,894.0000,1658.0000,-4.8310,-32.5163,,
0.2385,207,0,-543.0019,-153.2503,715.2379,-538.1709,-120.7340,696.0097,-0.0748,-0.1394,-0.1140,0.9808,1833.0000,848.0000,1647.0000,-4.8310,-32.5163,,
0.2473,207,0,-539.0670,-156.6683,741.3281,-534.4884,-124.1155,722.1000,-0.0767,-0.1219,-0.1146,0.9829,1834.0000,810.0000,1637.0000,-4.5786,-32.5528,,
0.2585,207,0,-539.0670,-156.6683,741.3281,-534.4884,-124.1155,722.1000,-0.0767,-0.1219,-0.1146,0.9829,1834.0000,766.0000,1624.0000,-4.5786,-32.5528,,
0.2707,207,0,-539.0670,-156.6683,741.3281,-534.4884,-124.1155,722.1000,-0.0767,-0.1219,-0.1146,0.9829,1834.0000,716.0000,1611.0000,-4.5786,-32.5528,,
0.2826,207,0,-534.8254,-158.4500,771.1680,-530.3651,-125.8808,751.9398,-0.0751,-0.1053,-0.1125,0.9852,1835.0000,666.0000,1598.0000,-4.4603,-32.5692,,
0.2947,207,0,-534.8254,-158.4500,771.1680,-530.3651,-125.8808,751.9398,-0.0751,-0.1053,-0.1125,0.9852,1835.0000,621.0000,1585.0000,-4.4603,-32.5692,,
0.3067,207,0,-512.1800,-156.2650,813.6640,-508.2008,-123.6336,794.4359,-0.0752,-0.0791,-0.1045,0.9885,1835.0000,574.0000,1572.0000,-3.9792,-32.6315,,
0.3156,207,0,-512.1800,-156.2650,813.6640,-508.2008,-123.6336,794.4359,-0.0752,-0.0791,-0.1045,0.9885,1835.0000,544.0000,1563.0000,-3.9792,-32.6315,,
0.3265,207,0,-493.9784,-154.1511,845.1160,-481.1691,-123.8762,825.8878,0.0000,0.0000,0.0000,1.0000,1835.0000,508.0000,1552.0000,-12.8093,-30.2749,,
0.3386,207,0,-493.9784,-154.1511,845.1160,-481.1691,-123.8762,825.8878,0.0000,0.0000,0.0000,1.0000,1836.0000,480.0000,1539.0000,-12.8093,-30.2749,,
0.3506,207,0,-458.8579,-145.7910,838.4360,-455.4841,-113.0914,819.2079,-0.0764,-0.0399,-0.0920,0.9920,1836.0000,452.0000,1529.0000,-3.3737,-32.6996,,
0.3626,207,0,-458.8579,-145.7910,838.4360,-455.4841,-113.0914,819.2079,-0.0764,-0.0399,-0.0920,0.9920,1836.0000,432.0000,1523.0000,-3.3737,-32.6996,,
