{HEADER}
user_id: 124
target_id: 275
target_screen_position_mm: [119.96, 32.12]
fingertip_offset: [3.03, 32.73, 19.23]
completion_time: 11.4594
endpoint_error_mm: [4.1432, 11.4835, -3.1152]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.685735, 9.682273, 7.470439, 8.990629]
control_points_accel: [0.497382, -2.264590, 3.190859, -1.423652]
stiffness_measurements: [0.185872, 0.059771, 0.120415, 0.242385]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,275,0,-198.6725,-54.8227,692.2523,-200.2823,-21.9889,673.0241,-0.0370,-0.0943,-0.0184,0.9947,1854.0000,1827.0000,1843.0000,1.6098,-32.8338,,
0.0121,275,0,-198.6725,-54.8227,692.2523,-200.2823,-21.9889,673.0241,-0.0370,-0.0943,-0.0184,0.9947,1854.0000,1824.0000,1843.0000,1.6098,-32.8338,,
0.0211,275,0,-198.6725,-54.8227,692.2523,-200.2823,-21.9889,673.0241,-0.0370,-0.0943,-0.0184,0.9947,1854.0000,1818.0000,1842.0000,1.6098,-32.8338,,
0.0318,275,0,-196.6457,-53.1971,684.0621,-198.2290,-20.3620,664.8340,-0.0373,-0.0939,-0.0193,0.9947,1854.0000,1807.0000,1841.0000,1.5833,-32.8350,,
0.0438,275,0,-196.6457,-53.1971,684.0621,-198.2290,-20.3620,664.8340,-0.0373,-0.0939,-0.0193,0.9947,1854.0000,1793.0000,1840.0000,1.5833,-32.8350,,
0.0561,275,0,-197.9651,-51.9571,692.5966,-199.4859,-19.1191,673.3685,-0.0367,-0.0942,-0.0196,0.9947,1854.0000,1776.0000,1838.0000,1.5208,-32.8380,,
0.0676,275,0,-197.9651,-51.9571,692.5966,-199.4859,-19.1191,673.3685,-0.0367,-0.0942,-0.0196,0.9947,1854.0000,1760.0000,1836.0000,1.5208,-32.8380,,
0.0795,275,0,-197.9651,-51.9571,692.5966,-199.4859,-19.1191,673.3685,-0.0367,-0.0942,-0.0196,0.9947,1854.0000,1742.0000,1835.0000,1.5208,-32.8380,,
0.0881,275,0,-196.3285,-50.0836,690.7122,-197.9985,-17.2528,671.4841,-0.0361,-0.0930,-0.0182,0.9948,1854.0000,1729.0000,1834.0000,1.6700,-32.8307,,
0.0997,275,0,-196.3285,-50.0836,690.7122,-197.9985,-17.2528,671.4841,-0.0361,-0.0930,-0.0182,0.9948,1854.0000,1711.0000,1832.0000,1.6700,-32.8307,,
0.1115,275,0,-194.4133,-48.8204,693.6458,-195.9474,-15.9830,674.4176,-0.0339,-0.0894,-0.0176,0.9953,1854.0000,1694.0000,1831.0000,1.5341,-32.8374,,
0.1237,275,0,-194.4133,-48.8204,693.6458,-195.9474,-15.9830,674.4176,-0.0339,-0.0894,-0.0176,0.9953,1854.0000,1676.0000,1830.0000,1.5341,-32.8374,,
0.1362,275,0,-194.4133,-48.8204,693.6458,-195.9474,-15.9830,674.4176,-0.0339,-0.0894,-0.0176,0.9953,1854.0000,1656.0000,1828.0000,1.5341,-32.8374,,
0.1476,275,0,-191.4462,-48.3998,694.5037,-193.1219,-15.5694,675.2756,-0.0335,-0.0905,-0.0188,0.9952,1854.0000,1639.0000,1827.0000,1.6757,-32.8305,,
0.1563,275,0,-191.4462,-48.3998,694.5037,-193.1219,-15.5694,675.2756,-0.0335,-0.0905,-0.0188,0.9952,1854.0000,1627.0000,1826.0000,1.6757,-32.8305,,
0.1675,275,0,-187.1749,-46.9797,698.0817,-188.9003,-14.1518,678.8535,-0.0314,-0.0865,-0.0174,0.9956,1854.0000,1612.0000,1825.0000,1.7254,-32.8279,,
0.1797,275,0,-187.1749,-46.9797,698.0817,-188.9003,-14.1518,678.8535,-0.0314,-0.0865,-0.0174,0.9956,1854.0000,1595.0000,1824.0000,1.7254,-32.8279,,
0.1917,275,0,-187.1749,-46.9797,698.0817,-188.9003,-14.1518,678.8535,-0.0314,-0.0865,-0.0174,0.9956,1854.0000,1580.0000,1824.0000,1.7254,-32.8279,,
0.2039,275,0,-183.3806,-46.4649,707.1220,-184.8687,-13.6254,687.8939,-0.0312,-0.0827,-0.0168,0.9959,1854.0000,1564.0000,1823.0000,1.4881,-32.8395,,
0.2127,275,0,-183.3806,-46.4649,707.1220,-184.8687,-13.6254,687.8939,-0.0312,-0.0827,-0.0168,0.9959,1854.0000,1553.0000,1822.0000,1.4881,-32.8395,,
0.2235,275,0,-174.6408,-45.0576,719.0325,-176.5049,-12.2373,699.8044,-0.0307,-0.0735,-0.0125,0.9967,1854.0000,1541.0000,1822.0000,1.8642,-32.8203,,
0.2356,275,0,-174.6408,-45.0576,719.0325,-176.5049,-12.2373,699.8044,-0.0307,-0.0735,-0.0125,0.9967,1854.0000,1528.0000,1821.0000,1.8642,-32.8203,,
0.2477,275,0,-174.6408,-45.0576,719.0325,-176.5049,-12.2373,699.8044,-0.0307,-0.0735,-0.0125,0.9967,1854.0000,1516.0000,1821.0000,1.8642,-32.8203,,
0.2596,275,0,-168.8257,-41.6411,716.1069,-170.7723,-8.8255,696.8787,-0.0300,-0.0710,-0.0077,0.9970,1854.0000,1504.0000,1820.0000,1.9466,-32.8155,,
0.2718,275,0,-168.8257,-41.6411,716.1069,-170.7723,-8.8255,696.8787,-0.0300,-0.0710,-0.0077,0.9970,1854.0000,1492.0000,1820.0000,1.9466,-32.8155,,
0.2805,275,0,-164.6255,-39.0953,724.0035,-166.7615,-6.2916,704.7754,-0.0262,-0.0674,-0.0081,0.9973,1854.0000,1483.0000,1821.0000,2.1360,-32.8037,,
0.2918,275,0,-164.6255,-39.0953,724.0035,-166.7615,-6.2916,704.7754,-0.0262,-0.0674,-0.0081,0.9973,1854.0000,1473.0000,1822.0000,2.1360,-32.8037,,
0.3036,275,0,-164.6255,-39.0953,724.0035,-166.7615,-6.2916,704.7754,-0.0262,-0.0674,-0.0081,0.9973,1854.0000,1462.0000,1823.0000,2.1360,-32.8037,,
0.3158,275,0,-158.4067,-37.8761,727.7198,-160.4908,-5.0690,708.4917,-0.0268,-0.0626,-0.0076,0.9977,1854.0000,1450.0000,1824.0000,2.0841,-32.8071,,
0.3277,275,0,-158.4067,-37.8761,727.7198,-160.4908,-5.0690,708.4917,-0.0268,-0.0626,-0.0076,0.9977,1854.0000,1441.0000,1825.0000,2.0841,-32.8071,,
0.3398,275,0,-145.0630,-43.9518,747.7846,-147.3447,-11.1579,728.5565,-0.0286,-0.0517,-0.0010,0.9983,1854.0000,1432.0000,1826.0000,2.2818,-32.7939,,
0.3487,275,0,-145.0630,-43.9518,747.7846,-147.3447,-11.1579,728.5565,-0.0286,-0.0517,-0.0010,0.9983,1854.0000,1429.0000,1824.0000,2.2818,-32.7939,,
0.3596,275,0,-131.1210,-45.2449,754.4545,-133.8756,-12.4873,735.2263,-0.0297,-0.0421,0.0049,0.9987,1854.0000,1425.0000,1822.0000,2.7545,-32.7576,,
0.3718,275,0,-131.1210,-45.2449,754.4545,-133.8756,-12.4873,735.2263,-0.0297,-0.0421,0.0049,0.9987,1854.0000,1426.0000,1820.0000,2.7545,-32.7576,,
0.3837,275,0,-131.1210,-45.2449,754.4545,-133.8756,-12.4873,735.2263,-0.0297,-0.0421,0.0049,0.9987,1854.0000,1424.0000,1818.0000,2.7545,-32.7576,,
0.3956,275,0,-121.4739,-42.2851,757.2117,-124.7390,-9.5745,737.9836,-0.0288,-0.0365,0.0114,0.9989,1854.0000,1422.0000,1816.0000,3.2651,-32.7106,,
0.4051,275,0,-121.4739,-42.2851,757.2117,-124.7390,-9.5745,737.9836,-0.0288,-0.0365,0.0114,0.9989,1854.0000,1422.0000,1816.0000,3.2651,-32.7106,,
0.4156,275,0,-114.8921,-40.5395,759.0055,-118.6820,-7.8855,739.7773,-0.0301,-0.0345,0.0092,0.9989,1854.0000,1422.0000,1816.0000,3.7899,-32.6540,,
0.4276,275,0,-114.8921,-40.5395,759.0055,-118.6820,-7.8855,739.7773,-0.0301,-0.0345,0.0092,0.9989,1854.0000,1424.0000,1816.0000,3.7899,-32.6540,,
0.4399,275,0,-114.6567,-45.7208,765.0626,-117.7692,-12.9953,745.8344,-0.0315,-0.0348,0.0073,0.9989,1854.0000,1423.0000,1816.0000,3.1125,-32.7255,,
0.4522,275,0,-114.6567,-45.7208,765.0626,-117.7692,-12.9953,745.8344,-0.0315,-0.0348,0.0073,0.9989,1854.0000,1421.0000,1813.0000,3.1125,-32.7255,,
0.4638,275,0,-114.6567,-45.7208,765.0626,-117.7692,-12.9953,745.8344,-0.0315,-0.0348,0.0073,0.9989,1854.0000,1417.0000,1811.0000,3.1125,-32.7255,,
0.4730,275,0,-113.4538,-50.1250,759.3237,-116.4151,-17.3854,740.0956,-0.0327,-0.0303,0.0054,0.9990,1854.0000,1414.0000,1809.0000,2.9612,-32.7395,,
0.4838,275,0,-113.4538,-50.1250,759.3237,-116.4151,-17.3854,740.0956,-0.0327,-0.0303,0.0054,0.9990,1854.0000,1410.0000,1804.0000,2.9612,-32.7395,,
