{HEADER}
user_id: 126
target_id: 057
target_screen_position_mm: [-56.00, -79.88]
fingertip_offset: [1.52, 31.79, 20.05]
completion_time: 6.6153
endpoint_error_mm: [-15.0001, 12.9849, 2.9919]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.829333, 6.945366, 8.158839, 7.363811]
control_points_accel: [-1.841099, 2.295798, -2.241730, 1.787030]
stiffness_measurements: [0.143792, 0.074999, 0.179081, 0.368585]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,57,0,14.2688,158.9993,588.8120,18.1699,190.5835,568.7627,0.2366,0.0209,0.0498,0.9701,1860.0000,1834.0000,1834.0000,1.8138,1.8138,,
0.0124,57,0,13.4936,159.0600,577.0180,14.1975,190.8764,556.9687,0.0490,0.0648,-0.0302,0.9962,1858.0000,1832.0000,1834.0000,1.8138,1.8138,,
0.0233,57,0,13.4936,159.0600,577.0180,14.1975,190.8764,556.9687,0.0490,0.0648,-0.0302,0.9962,1855.0000,1829.0000,1834.0000,1.8138,1.8138,,
0.0353,57,0,13.3922,162.3915,586.2380,14.3529,194.2013,566.1887,0.0482,0.0623,-0.0301,0.9964,1850.0000,1825.0000,1834.0000,1.8138,1.8138,,
0.0471,57,0,13.3922,162.3915,586.2380,14.3529,194.2013,566.1887,0.0482,0.0623,-0.0301,0.9964,1845.0000,1820.0000,1834.0000,1.8138,1.8138,,
0.0562,57,0,13.3922,162.3915,586.2380,14.3529,194.2013,566.1887,0.0482,0.0623,-0.0301,0.9964,1840.0000,1816.0000,1834.0000,1.8138,1.8138,,
0.0670,57,0,12.7572,161.8406,585.6211,13.5469,193.6550,565.5718,0.0501,0.0632,-0.0301,0.9963,1835.0000,1812.0000,1834.0000,1.8138,1.8138,,
0.0794,57,0,12.7572,161.8406,585.6211,13.5469,193.6550,565.5718,0.0501,0.0632,-0.0301,0.9963,1829.0000,1806.0000,1834.0000,1.8167,1.8167,,
0.0928,57,0,10.6871,161.4248,587.0771,3.5699,192.4430,567.0278,0.1816,0.4832,-0.0092,0.8564,1821.0000,1799.0000,1834.0000,1.7932,1.7932,,
0.1032,57,0,10.6871,161.4248,587.0771,3.5699,192.4430,567.0278,0.1816,0.4832,-0.0092,0.8564,1817.0000,1794.0000,1834.0000,1.7831,1.7831,,
0.1125,57,0,9.3563,161.1480,588.0894,10.2835,192.9587,568.0401,0.0488,0.0608,-0.0319,0.9964,1813.0000,1789.0000,1834.0000,1.7797,1.7797,,
0.1232,57,0,9.3563,161.1480,588.0894,10.2835,192.9587,568.0401,0.0488,0.0608,-0.0319,0.9964,1808.0000,1784.0000,1834.0000,1.7827,1.7827,,
0.1350,57,0,9.3563,161.1480,588.0894,10.2835,192.9587,568.0401,0.0488,0.0608,-0.0319,0.9964,1802.0000,1778.0000,1834.0000,1.7759,1.7759,,
0.1471,57,0,8.1146,160.7571,589.5368,8.6891,192.5762,569.4875,0.0487,0.0616,-0.0315,0.9964,1796.0000,1773.0000,1834.0000,1.7625,1.7625,,
0.1590,57,0,8.1146,160.7571,589.5368,8.6891,192.5762,569.4875,0.0487,0.0616,-0.0315,0.9964,1790.0000,1767.0000,1834.0000,1.7486,1.7486,,
0.1710,57,0,6.5849,160.4011,592.5023,7.3021,192.2173,572.4529,0.0485,0.0586,-0.0326,0.9966,1784.0000,1761.0000,1834.0000,1.7385,1.7385,,
0.1796,57,0,6.5849,160.4011,592.5023,7.3021,192.2173,572.4529,0.0485,0.0586,-0.0326,0.9966,1781.0000,1757.0000,1834.0000,1.7150,1.7150,,
0.1912,57,0,5.0121,158.9568,590.1263,5.8153,190.7709,570.0770,0.0473,0.0591,-0.0322,0.9966,1777.0000,1752.0000,1834.0000,1.6915,1.6915,,
0.2031,57,0,5.0121,158.9568,590.1263,5.8153,190.7709,570.0770,0.0473,0.0591,-0.0322,0.9966,1772.0000,1746.0000,1834.0000,1.4761,1.4761,,
0.2151,57,0,4.1584,160.0652,595.7137,4.4563,191.8881,575.6644,0.0473,0.0559,-0.0316,0.9968,1767.0000,1740.0000,1834.0000,1.1524,1.1524,,
0.2270,57,0,4.1584,160.0652,595.7137,4.4563,191.8881,575.6644,0.0473,0.0559,-0.0316,0.9968,1762.0000,1735.0000,1834.0000,1.0643,1.0643,,
0.2397,57,0,4.1584,160.0652,595.7137,4.4563,191.8881,575.6644,0.0473,0.0559,-0.0316,0.9968,1757.0000,1729.0000,1834.0000,1.0406,1.0406,,
0.2491,57,0,2.9923,159.5733,594.8790,3.6092,191.3916,574.8297,0.0506,0.0534,-0.0320,0.9968,1754.0000,1724.0000,1834.0000,1.0406,1.0406,,
0.2591,57,0,2.9923,159.5733,594.8790,3.6092,191.3916,574.8297,0.0506,0.0534,-0.0320,0.9968,1750.0000,1719.0000,1834.0000,1.0436,1.0436,,
0.2710,57,0,3.6309,159.1664,597.1419,4.2801,190.9840,577.0926,0.0480,0.0544,-0.0316,0.9969,1746.0000,1714.0000,1834.0000,1.0436,1.0436,,
0.2830,57,0,3.6309,159.1664,597.1419,4.2801,190.9840,577.0926,0.0480,0.0544,-0.0316,0.9969,1741.0000,1708.0000,1834.0000,1.0436,1.0436,,
0.2952,57,0,4.3130,158.3437,593.2606,4.9019,190.1625,573.2113,0.0463,0.0603,-0.0297,0.9967,1736.0000,1703.0000,1834.0000,1.0436,1.0436,,
0.3050,57,0,4.3130,158.3437,593.2606,4.9019,190.1625,573.2113,0.0463,0.0603,-0.0297,0.9967,1732.0000,1699.0000,1834.0000,1.0465,1.0465,,
0.3151,57,0,4.3130,158.3437,593.2606,4.9019,190.1625,573.2113,0.0463,0.0603,-0.0297,0.9967,1728.0000,1695.0000,1834.0000,1.0494,1.0494,,
0.3272,57,0,2.8764,157.3719,588.0859,3.5315,189.1894,568.0366,0.0495,0.0609,-0.0305,0.9965,1724.0000,1689.0000,1834.0000,1.0789,1.0789,,
0.3391,57,0,2.8764,157.3719,588.0859,3.5315,189.1894,568.0366,0.0495,0.0609,-0.0305,0.9965,1719.0000,1684.0000,1834.0000,1.1701,1.1701,,
0.3532,57,0,1.0378,155.6688,573.4342,0.6783,187.4910,553.3849,0.0459,0.0566,-0.0324,0.9968,1714.0000,1678.0000,1834.0000,1.3086,1.3086,,
0.3630,57,0,1.0378,155.6688,573.4342,0.6783,187.4910,553.3849,0.0459,0.0566,-0.0324,0.9968,1711.0000,1673.0000,1834.0000,1.3465,1.3465,,
0.3715,57,0,-0.2021,161.6132,591.2371,0.6772,193.4253,571.1877,0.0468,0.0592,-0.0317,0.9966,1709.0000,1670.0000,1834.0000,1.3436,1.3436,,
0.3832,57,0,-0.2021,161.6132,591.2371,0.6772,193.4253,571.1877,0.0468,0.0592,-0.0317,0.9966,1704.0000,1663.0000,1834.0000,1.3402,1.3402,,
0.3952,57,0,-2.6207,162.9692,592.5092,-1.9322,194.7859,572.4598,0.0477,0.0584,-0.0319,0.9966,1700.0000,1657.0000,1834.0000,1.3693,1.3693,,
0.4074,57,0,-2.6207,162.9692,592.5092,-1.9322,194.7859,572.4598,0.0477,0.0584,-0.0319,0.9966,1696.0000,1650.0000,1834.0000,1.3886,1.3886,,
0.4192,57,0,-2.6207,162.9692,592.5092,-1.9322,194.7859,572.4598,0.0477,0.0584,-0.0319,0.9966,1692.0000,1643.0000,1834.0000,1.4772,1.4772,,
0.4311,57,0,-5.9119,163.7635,591.7905,-4.9521,195.5733,571.7411,0.0496,0.0572,-0.0343,0.9965,1688.0000,1636.0000,1834.0000,1.6123,1.6123,,
0.4396,57,0,-5.9119,163.7635,591.7905,-4.9521,195.5733,571.7411,0.0496,0.0572,-0.0343,0.9965,1685.0000,1630.0000,1834.0000,1.6284,1.6284,,
0.4510,57,0,-8.1731,164.7277,591.4226,-7.3419,196.5411,571.3733,0.0493,0.0567,-0.0364,0.9965,1680.0000,1622.0000,1834.0000,1.4021,1.4021,,
0.4645,57,0,-8.1731,164.7277,591.4226,-7.3419,196.5411,571.3733,0.0493,0.0567,-0.0364,0.9965,1675.0000,1610.0000,1834.0000,1.3479,1.3479,,
