{HEADER}
user_id: 126
target_id: 208
target_screen_position_mm: [7.96, 0.00]
fingertip_offset: [1.52, 31.79, 20.05]
completion_time: 7.1437
endpoint_error_mm: [3.2341, 11.1570, -0.3867]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.829333, 6.945366, 8.158839, 7.363811]
control_points_accel: [-1.841099, 2.295798, -2.241730, 1.787030]
stiffness_measurements: [0.143792, 0.074999, 0.179081, 0.368585]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,208,0,79.9901,17.2609,722.0997,81.7038,49.0390,702.0504,0.0082,0.1015,-0.0507,0.9935,1843.0000,1820.0000,1835.0000,-0.2631,-0.2631,,
0.0102,208,0,79.9901,17.2609,722.0997,81.7038,49.0390,702.0504,0.0082,0.1015,-0.0507,0.9935,1837.0000,1820.0000,1835.0000,-0.2631,-0.2631,,
0.0195,208,0,80.9132,18.5725,722.8918,82.6872,50.3473,702.8425,0.0042,0.0998,-0.0504,0.9937,1831.0000,1820.0000,1835.0000,-0.2631,-0.2631,,
0.0315,208,0,80.9132,18.5725,722.8918,82.6872,50.3473,702.8425,0.0042,0.0998,-0.0504,0.9937,1822.0000,1820.0000,1835.0000,-0.2631,-0.2631,,
0.0433,208,0,82.2149,21.0044,719.6840,76.9253,52.3860,699.6347,-0.2572,0.3201,0.0316,0.9113,1815.0000,1820.0000,1835.0000,-0.2631,-0.2631,,
0.0551,208,0,82.2149,21.0044,719.6840,76.9253,52.3860,699.6347,-0.2572,0.3201,0.0316,0.9113,1808.0000,1820.0000,1835.0000,-0.2631,-0.2631,,
0.0671,208,0,82.2149,21.0044,719.6840,76.9253,52.3860,699.6347,-0.2572,0.3201,0.0316,0.9113,1800.0000,1820.0000,1835.0000,-0.2631,-0.2631,,
0.0759,208,0,83.5187,22.8476,718.0884,85.4132,54.6154,698.0391,0.0140,0.0983,-0.0526,0.9937,1793.0000,1820.0000,1835.0000,-0.2631,-0.2631,,
0.0872,208,0,83.5187,22.8476,718.0884,85.4132,54.6154,698.0391,0.0140,0.0983,-0.0526,0.9937,1785.0000,1820.0000,1835.0000,-0.2631,-0.2631,,
0.1008,208,0,85.7303,26.9665,717.9838,87.2905,58.7524,697.9345,0.0120,0.1027,-0.0525,0.9933,1774.0000,1820.0000,1835.0000,-0.2631,-0.2631,,
