{HEADER}
user_id: 127
target_id: 057
target_screen_position_mm: [-56.00, -79.88]
fingertip_offset: [0.90, 32.48, 19.99]
completion_time: 8.0153
endpoint_error_mm: [-5.4052, -10.7375, 7.7867]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.866152, 6.262093, 8.555854, 7.134895]
control_points_accel: [-1.434911, 2.992726, -3.489342, 1.931526]
stiffness_measurements: [0.160299, 0.232607, 0.084488, 0.496826]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,57,0,53.9978,12.1672,430.1938,55.3027,44.6363,410.2065,0.3289,0.2901,-0.2160,0.8724,1820.0000,1814.0000,1852.0000,-5.9754,10.5996,,
0.0120,57,0,53.9978,12.1672,430.1938,55.3027,44.6363,410.2065,0.3289,0.2901,-0.2160,0.8724,1802.0000,1814.0000,1852.0000,-5.9754,10.5996,,
0.0209,57,0,59.7347,13.5886,470.9634,60.8426,46.0651,450.9761,-0.0625,0.1732,-0.0532,0.9815,1791.0000,1814.0000,1852.0000,-5.9721,10.6014,,
0.0314,57,0,59.7347,13.5886,470.9634,60.8426,46.0651,450.9761,-0.0625,0.1732,-0.0532,0.9815,1778.0000,1814.0000,1852.0000,-5.9688,10.6033,,
0.0435,57,0,59.7347,13.5886,470.9634,60.8426,46.0651,450.9761,-0.0625,0.1732,-0.0532,0.9815,1769.0000,1814.0000,1852.0000,-5.9721,10.6014,,
0.0555,57,0,60.2583,14.2447,471.6828,61.2601,46.7247,451.6954,-0.0613,0.1740,-0.0540,0.9813,1759.0000,1814.0000,1852.0000,-5.9721,10.6014,,
0.0675,57,0,60.2583,14.2447,471.6828,61.2601,46.7247,451.6954,-0.0613,0.1740,-0.0540,0.9813,1749.0000,1814.0000,1852.0000,-5.9721,10.6014,,
0.0794,57,0,61.0665,16.2602,467.4454,62.5016,48.7238,447.4580,-0.0588,0.1739,-0.0550,0.9815,1740.0000,1814.0000,1852.0000,-5.9721,10.6014,,
0.0879,57,0,61.0665,16.2602,467.4454,62.5016,48.7238,447.4580,-0.0588,0.1739,-0.0550,0.9815,1733.0000,1814.0000,1852.0000,-5.9621,10.6041,,
0.0995,57,0,61.0665,16.2602,467.4454,62.5016,48.7238,447.4580,-0.0588,0.1739,-0.0550,0.9815,1724.0000,1814.0000,1852.0000,-5.9621,10.5889,,
0.1115,57,0,56.6964,16.8013,425.9365,58.2730,49.2584,405.9491,0.3337,0.2918,-0.2195,0.8691,1714.0000,1814.0000,1852.0000,-5.9588,10.5787,,
0.1234,57,0,56.6964,16.8013,425.9365,58.2730,49.2584,405.9491,0.3337,0.2918,-0.2195,0.8691,1705.0000,1814.0000,1852.0000,-5.9621,10.5737,,
0.1354,57,0,56.6964,16.8013,425.9365,58.2730,49.2584,405.9491,0.3337,0.2918,-0.2195,0.8691,1696.0000,1814.0000,1852.0000,-5.9588,10.5756,,
0.1481,57,0,63.9837,22.0759,462.4401,65.1311,54.5510,442.4527,-0.0567,0.1768,-0.0541,0.9811,1685.0000,1814.0000,1852.0000,-5.9521,10.5794,,
0.1568,57,0,63.9837,22.0759,462.4401,65.1311,54.5510,442.4527,-0.0567,0.1768,-0.0541,0.9811,1676.0000,1814.0000,1852.0000,-5.9555,10.5775,,
0.1674,57,0,65.4694,25.8962,457.5232,66.5345,58.3741,437.5359,-0.4550,0.5511,0.2608,0.6490,1664.0000,1814.0000,1852.0000,-5.9521,10.5794,,
0.1795,57,0,65.4694,25.8962,457.5232,66.5345,58.3741,437.5359,-0.4550,0.5511,0.2608,0.6490,1650.0000,1814.0000,1852.0000,-5.9455,10.5832,,
