{HEADER}
user_id: 130
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [2.01, 33.54, 18.56]
completion_time: 16.0308
endpoint_error_mm: [-1.1975, 4.0518, 31.4619]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.623162, 9.639349, 12.775930, 6.874553]
control_points_accel: [0.232463, 1.827177, -7.248406, 5.188766]
stiffness_measurements: [0.228392, 0.293825, 0.109327, 0.488727]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-189.5531,-102.0474,850.6144,-193.0594,-68.6345,832.0562,-0.0203,-0.0145,0.0166,0.9996,1887.0000,1847.0000,1836.0000,-1.0411,-2.5423,,
0.0113,354,0,-190.9212,-100.6382,849.0113,-190.8427,-67.0420,830.4531,0.0000,0.0000,0.0000,1.0000,1887.0000,1843.0000,1834.0000,-1.0411,-2.5423,,
0.0205,354,0,-190.9212,-100.6382,849.0113,-190.8427,-67.0420,830.4531,0.0000,0.0000,0.0000,1.0000,1887.0000,1841.0000,1833.0000,-1.0411,-2.5423,,
0.0334,354,0,-191.8201,-99.8568,849.6198,-195.4361,-66.4556,831.0615,-0.0195,-0.0164,0.0168,0.9995,1887.0000,1839.0000,1832.0000,-1.0411,-2.5456,,
0.0433,354,0,-192.8663,-98.2845,847.8947,-196.5190,-64.8873,829.3364,-0.0233,-0.0174,0.0164,0.9994,1887.0000,1830.0000,1828.0000,-1.0411,-2.5456,,
0.0549,354,0,-193.5698,-97.7763,848.2823,-196.9178,-64.3473,829.7241,-0.0197,-0.0176,0.0160,0.9995,1887.0000,1828.0000,1827.0000,-1.0411,-2.5456,,
0.0671,354,0,-193.5698,-97.7763,848.2823,-196.9178,-64.3473,829.7241,-0.0197,-0.0176,0.0160,0.9995,1887.0000,1825.0000,1826.0000,-1.0443,-2.5471,,
0.0790,354,0,-193.8281,-97.1079,847.9026,-197.8596,-63.7543,829.3444,-0.0202,-0.0205,0.0158,0.9995,1887.0000,1824.0000,1825.0000,-1.0443,-2.5471,,
0.0877,354,0,-194.3510,-95.5919,847.1056,-197.6690,-62.1599,828.5474,-0.0201,-0.0183,0.0151,0.9995,1887.0000,1816.0000,1822.0000,-1.0443,-2.5504,,
0.0991,354,0,-194.3510,-95.5919,847.1056,-197.6690,-62.1599,828.5474,-0.0201,-0.0183,0.0151,0.9995,1887.0000,1814.0000,1822.0000,-1.0443,-2.5504,,
0.1110,354,0,-194.9389,-94.9681,847.3160,-198.2809,-61.5384,828.7578,-0.0181,-0.0191,0.0151,0.9995,1887.0000,1813.0000,1821.0000,-1.0474,-2.5552,,
0.1230,354,0,-194.9573,-93.6714,846.3610,-198.5628,-60.2692,827.8027,-0.0177,-0.0191,0.0152,0.9995,1887.0000,1805.0000,1818.0000,-1.0474,-2.5552,,
