{HEADER}
user_id: 444
target_id: 151
target_screen_position_mm: [56.00, -32.12]
fingertip_offset: [0.85, 31.92, 21.16]
completion_time: 5.7356
endpoint_error_mm: [-5.1170, 38.2512, 2.3448]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.855463, 14.185488, 12.983670, 7.856045]
control_points_accel: [0.931956, -2.878074, -2.871488, 4.817605]
stiffness_measurements: [0.179333, 0.042347, 0.129175, 0.247636]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,151,0,179.1953,49.8210,638.9930,177.0836,81.6860,617.8331,-0.0248,0.0248,0.0037,0.9994,1801.0000,1836.0000,1813.0000,17.6014,20.8068,,
0.0122,151,0,179.3747,49.8275,639.9890,176.4788,81.6309,618.8290,-0.0269,0.0233,0.0035,0.9994,1801.0000,1836.0000,1813.0000,17.6014,20.8068,,
0.0217,151,0,176.9826,48.8814,640.5217,174.5460,80.7233,619.3618,-0.0278,0.0253,0.0033,0.9993,1801.0000,1836.0000,1813.0000,17.5891,20.8099,,
0.0322,151,0,176.9826,48.8814,640.5217,174.5460,80.7233,619.3618,-0.0278,0.0253,0.0033,0.9993,1801.0000,1836.0000,1813.0000,17.5606,20.8104,,
0.0439,151,0,177.0609,47.7833,640.8419,174.7897,79.6373,619.6819,-0.0291,0.0238,0.0030,0.9993,1801.0000,1836.0000,1813.0000,17.5375,20.8040,,
0.0557,151,0,176.7852,47.8208,642.8689,174.5195,79.6752,621.7090,-0.0313,0.0224,0.0023,0.9993,1801.0000,1836.0000,1813.0000,17.4594,20.8164,,
0.0678,151,0,176.7852,47.8208,642.8689,174.5195,79.6752,621.7090,-0.0313,0.0224,0.0023,0.9993,1801.0000,1836.0000,1813.0000,17.3797,20.8615,,
0.0797,151,0,176.9459,47.1104,642.8118,174.5278,78.9537,621.6519,-0.0301,0.0220,0.0018,0.9993,1801.0000,1836.0000,1813.0000,17.2942,20.9100,,
0.0884,151,0,176.9766,46.5983,642.3320,174.5700,78.4424,621.1721,-0.0302,0.0241,0.0021,0.9992,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.0997,151,0,176.9766,46.5983,642.3320,174.5700,78.4424,621.1721,-0.0302,0.0241,0.0021,0.9992,1801.0000,1836.0000,1813.0000,17.2794,20.9184,,
0.1119,151,0,177.6182,45.7720,642.8694,175.1878,77.6143,621.7095,-0.0302,0.0234,0.0016,0.9993,1801.0000,1836.0000,1813.0000,17.2764,20.9201,,
0.1239,151,0,178.2196,45.4519,642.0132,175.7859,77.2940,620.8533,-0.0313,0.0245,0.0008,0.9992,1801.0000,1836.0000,1813.0000,17.2764,20.9201,,
0.1358,151,0,178.4235,45.4978,641.7969,176.1494,77.3517,620.6370,-0.0327,0.0243,0.0006,0.9992,1801.0000,1836.0000,1813.0000,17.2764,20.9201,,
0.1445,151,0,178.4235,45.4978,641.7969,176.1494,77.3517,620.6370,-0.0327,0.0243,0.0006,0.9992,1801.0000,1836.0000,1813.0000,17.2764,20.9201,,
0.1556,151,0,179.2549,45.3739,641.3707,176.9836,77.2279,620.2108,-0.0308,0.0238,0.0006,0.9992,1801.0000,1836.0000,1813.0000,17.2764,20.9201,,
0.1677,151,0,180.0487,45.2488,640.7465,177.9371,77.1139,619.5866,-0.0293,0.0258,0.0006,0.9992,1801.0000,1836.0000,1813.0000,17.2764,20.9201,,
0.1798,151,0,180.0487,45.2488,640.7465,177.9371,77.1139,619.5866,-0.0293,0.0258,0.0006,0.9992,1801.0000,1836.0000,1813.0000,17.2764,20.9201,,
0.1918,151,0,180.2458,45.2956,641.1638,178.1342,77.1606,620.0039,-0.0322,0.0258,0.0006,0.9991,1801.0000,1836.0000,1813.0000,17.2764,20.9201,,
0.2037,151,0,181.4821,45.2573,640.8477,179.3705,77.1223,619.6878,-0.0316,0.0258,0.0006,0.9992,1801.0000,1836.0000,1813.0000,17.2764,20.9201,,
0.2123,151,0,181.4821,45.2573,640.8477,179.3705,77.1223,619.6878,-0.0316,0.0258,0.0006,0.9992,1801.0000,1836.0000,1813.0000,17.2764,20.9201,,
0.2242,151,0,181.4628,45.4390,640.0242,179.6641,77.3232,618.8643,-0.0303,0.0276,0.0003,0.9992,1801.0000,1836.0000,1813.0000,17.2764,20.9201,,
0.2358,151,0,183.0796,45.6369,640.4518,180.8205,77.4918,619.2919,-0.0322,0.0265,0.0000,0.9991,1801.0000,1836.0000,1813.0000,17.2764,20.9201,,
0.2478,151,0,183.0796,45.6369,640.4518,180.8205,77.4918,619.2919,-0.0322,0.0265,0.0000,0.9991,1801.0000,1836.0000,1813.0000,17.2764,20.9201,,
0.2601,151,0,182.8135,45.4458,638.6766,180.7053,77.3110,617.5167,-0.0314,0.0286,0.0003,0.9991,1801.0000,1836.0000,1813.0000,17.2764,20.9201,,
0.2719,151,0,184.2248,44.8655,638.3939,182.4117,76.7489,617.2340,-0.0316,0.0277,0.0006,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.2806,151,0,184.2248,44.8655,638.3939,182.4117,76.7489,617.2340,-0.0316,0.0277,0.0006,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.2917,151,0,184.1585,44.7191,637.6884,182.1949,76.5936,616.5285,-0.0317,0.0286,0.0007,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.3040,151,0,184.9589,45.0731,636.9993,182.9953,76.9476,615.8394,-0.0329,0.0303,0.0002,0.9990,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.3157,151,0,185.8820,45.0590,637.2375,183.4454,76.9008,616.0776,-0.0317,0.0284,0.0004,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.3278,151,0,185.8820,45.0590,637.2375,183.4454,76.9008,616.0776,-0.0317,0.0284,0.0004,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.3365,151,0,186.2247,45.0911,636.8190,179.0942,76.2198,615.6591,0.6617,-0.0050,-0.5599,0.4986,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.3477,151,0,186.0816,45.5231,634.9230,183.8311,77.3786,613.7631,-0.0297,0.0303,0.0006,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.3597,151,0,186.0816,45.5231,634.9230,183.8311,77.3786,613.7631,-0.0297,0.0303,0.0006,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.3719,151,0,186.6935,45.7384,636.2956,184.7299,77.6129,615.1357,-0.0322,0.0291,0.0003,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.3837,151,0,186.5128,46.5456,634.5936,184.2507,78.4003,613.4337,-0.0310,0.0306,-0.0010,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.3958,151,0,186.7290,46.8546,634.4614,184.6035,78.7188,613.3015,-0.0300,0.0293,-0.0012,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.4046,151,0,186.7290,46.8546,634.4614,184.6035,78.7188,613.3015,-0.0300,0.0293,-0.0012,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.4158,151,0,187.7174,47.4040,634.8884,185.6030,79.2689,613.7285,-0.0310,0.0283,-0.0010,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.4278,151,0,187.7174,47.4040,634.8884,185.6030,79.2689,613.7285,-0.0310,0.0283,-0.0010,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.4399,151,0,187.8885,47.5610,634.3461,185.9271,79.4357,613.1862,-0.0308,0.0299,-0.0012,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.4517,151,0,187.9500,47.5955,632.3715,185.8390,79.4605,611.2116,-0.0303,0.0313,-0.0014,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.4638,151,0,187.9723,47.7112,631.9426,185.8428,79.5751,610.7827,-0.0301,0.0327,-0.0017,0.9990,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.4727,151,0,187.9723,47.7112,631.9426,185.8428,79.5751,610.7827,-0.0301,0.0327,-0.0017,0.9990,1801.0000,1836.0000,1813.0000,17.2735,20.9218,,
0.4838,151,0,188.3020,48.0434,632.4033,186.1876,79.9082,611.2433,-0.0323,0.0331,-0.0018,0.9989,1801.0000,1836.0000,1813.0000,17.2735,20.9250,,
0.4957,151,0,189.2238,47.9345,630.3379,187.2759,79.8099,609.1780,-0.0276,0.0314,-0.0022,0.9991,1801.0000,1836.0000,1813.0000,17.2735,20.9250,,
