{HEADER}
user_id: 555
target_id: 054
target_screen_position_mm: [-104.04, -79.88]
fingertip_offset: [3.82, 32.70, 20.56]
completion_time: 7.0359
endpoint_error_mm: [5.0358, 12.6255, 1.2382]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.228209, 14.711411, 15.368706, 8.330723]
control_points_accel: [5.490150, -4.420315, -4.407506, 3.337672]
stiffness_measurements: [0.287478, 0.118531, 0.091125, 0.382771]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,54,0,-175.3199,98.4955,749.1699,-170.9570,131.1245,728.6088,-0.0104,-0.5070,-0.1476,0.8491,1854.0000,1835.0000,1840.0000,-6.8205,-10.8705,,
0.0120,54,0,-175.3199,98.4955,749.1699,-170.9570,131.1245,728.6088,-0.0104,-0.5070,-0.1476,0.8491,1854.0000,1835.0000,1840.0000,-6.8175,-10.8688,,
0.0238,54,0,-176.8027,97.8178,748.2368,-172.0260,130.3888,727.6757,-0.0114,-0.5081,-0.1491,0.8482,1854.0000,1835.0000,1840.0000,-6.8205,-10.8705,,
0.0359,54,0,-177.7245,97.4376,744.3119,-173.4614,130.0798,723.7508,-0.0115,-0.5086,-0.1502,0.8477,1854.0000,1822.0000,1840.0000,-6.8205,-10.8705,,
0.0479,54,0,-177.7245,97.4376,744.3119,-173.4614,130.0798,723.7508,-0.0115,-0.5086,-0.1502,0.8477,1854.0000,1821.0000,1840.0000,-6.8175,-10.8656,,
0.0559,54,0,-179.0338,97.7493,747.4979,-181.2617,130.5932,726.9368,-0.0397,-0.0395,0.0111,0.9984,1854.0000,1821.0000,1840.0000,-6.8175,-10.8656,,
0.0679,54,0,-179.0338,97.7493,747.4979,-181.2617,130.5932,726.9368,-0.0397,-0.0395,0.0111,0.9984,1854.0000,1820.0000,1840.0000,-6.8175,-10.8656,,
0.0800,54,0,-180.1938,98.0355,746.0132,-175.7401,130.6523,725.4521,-0.0119,-0.5092,-0.1517,0.8471,1854.0000,1820.0000,1840.0000,-6.8175,-10.8656,,
0.0920,54,0,-182.1849,97.3058,745.4457,-177.2686,129.8560,724.8846,-0.0131,-0.5097,-0.1538,0.8464,1854.0000,1820.0000,1840.0000,-6.8205,-10.8673,,
0.1039,54,0,-182.1849,97.3058,745.4457,-177.2686,129.8560,724.8846,-0.0131,-0.5097,-0.1538,0.8464,1854.0000,1819.0000,1840.0000,-6.8175,-10.8656,,
0.1118,54,0,-182.8202,97.5081,746.0621,-184.8659,130.3639,725.5010,-0.0366,-0.0393,0.0072,0.9985,1854.0000,1819.0000,1840.0000,-6.8175,-10.8656,,
0.1239,54,0,-182.8202,97.5081,746.0621,-184.8659,130.3639,725.5010,-0.0366,-0.0393,0.0072,0.9985,1854.0000,1819.0000,1840.0000,-6.8175,-10.8656,,
0.1360,54,0,-182.2588,97.3677,743.1654,-177.8470,129.9902,722.6043,-0.0140,-0.5096,-0.1560,0.8460,1854.0000,1806.0000,1840.0000,-6.8205,-10.8673,,
0.1479,54,0,-182.4268,97.1969,743.8635,-177.3300,129.7194,723.3024,-0.0145,-0.5095,-0.1583,0.8457,1854.0000,1806.0000,1840.0000,-6.8175,-10.8656,,
0.1600,54,0,-182.4268,97.1969,743.8635,-177.3300,129.7194,723.3024,-0.0145,-0.5095,-0.1583,0.8457,1854.0000,1806.0000,1840.0000,-6.8175,-10.8656,,
0.1720,54,0,-180.9800,97.1858,743.6846,-176.1516,129.7493,723.1235,-0.0140,-0.5090,-0.1585,0.8459,1854.0000,1805.0000,1840.0000,-6.8175,-10.8656,,
0.1800,54,0,-180.9800,97.1858,743.6846,-176.1516,129.7493,723.1235,-0.0140,-0.5090,-0.1585,0.8459,1854.0000,1805.0000,1840.0000,-6.8175,-10.8656,,
0.1920,54,0,-179.6674,97.4064,742.8015,-181.1396,130.2929,722.2404,-0.0363,-0.0393,0.0017,0.9986,1854.0000,1801.0000,1840.0000,-6.8175,-10.8656,,
0.2040,54,0,-179.6674,97.4064,742.8015,-181.1396,130.2929,722.2404,-0.0363,-0.0393,0.0017,0.9986,1854.0000,1801.0000,1840.0000,-6.8175,-10.8656,,
0.2160,54,0,-178.8585,97.7112,743.2218,-180.3258,130.5979,722.6607,-0.0374,-0.0374,0.0014,0.9986,1854.0000,1801.0000,1840.0000,-6.8175,-10.8656,,
0.2280,54,0,-177.3378,97.8607,742.8295,-172.3131,130.3944,722.2684,-0.0149,-0.5068,-0.1608,0.8468,1854.0000,1801.0000,1840.0000,-6.8175,-10.8656,,
0.2400,54,0,-177.3378,97.8607,742.8295,-172.3131,130.3944,722.2684,-0.0149,-0.5068,-0.1608,0.8468,1854.0000,1801.0000,1840.0000,-6.8175,-10.8656,,
0.2480,54,0,-176.0285,98.0611,742.0483,-170.9617,130.5883,721.4872,-0.0145,-0.5071,-0.1609,0.8466,1854.0000,1793.0000,1840.0000,-6.8175,-10.8656,,
0.2600,54,0,-176.0285,98.0611,742.0483,-170.9617,130.5883,721.4872,-0.0145,-0.5071,-0.1609,0.8466,1854.0000,1793.0000,1840.0000,-6.8175,-10.8656,,
0.2719,54,0,-174.2156,98.0657,740.9669,-175.2866,130.9677,720.4058,-0.0386,-0.0359,0.0006,0.9986,1854.0000,1781.0000,1840.0000,-6.8175,-10.8656,,
0.2840,54,0,-172.3476,97.7009,740.2352,-173.4487,130.6019,719.6741,-0.0384,-0.0343,-0.0005,0.9987,1854.0000,1780.0000,1840.0000,-6.8175,-10.8656,,
