{HEADER}
user_id: 555
target_id: 094
target_screen_position_mm: [104.04, -63.96]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 6.5121
endpoint_error_mm: [-8.7393, -3.4615, 1.6547]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,94,0,3.5501,21.9879,794.7032,5.4255,53.7588,776.0853,-0.0218,-0.0076,-0.0554,0.9982,1861.0000,1874.0000,1827.0000,14.0282,-15.2146,,
0.0080,94,0,1.2472,19.5917,794.8879,2.9329,51.3733,776.2700,-0.0250,-0.0113,-0.0547,0.9981,1861.0000,1874.0000,1827.0000,14.0282,-15.2112,,
0.0198,94,0,1.2472,19.5917,794.8879,2.9329,51.3733,776.2700,-0.0250,-0.0113,-0.0547,0.9981,1861.0000,1874.0000,1827.0000,14.0282,-15.1941,,
0.0318,94,0,-0.5039,18.4759,794.1502,1.1983,50.2566,775.5323,-0.0284,-0.0115,-0.0552,0.9980,1861.0000,1874.0000,1827.0000,14.0282,-15.1906,,
0.0439,94,0,-1.6195,16.0071,796.6263,0.0599,47.7890,778.0084,-0.0267,-0.0123,-0.0549,0.9981,1861.0000,1874.0000,1827.0000,14.0282,-15.1838,,
0.0559,94,0,-1.6195,16.0071,796.6263,0.0599,47.7890,778.0084,-0.0267,-0.0123,-0.0549,0.9981,1861.0000,1874.0000,1827.0000,14.0282,-15.1838,,
0.0639,94,0,-3.1296,15.0127,798.3499,-1.2770,46.7849,779.7319,-0.0300,-0.0144,-0.0552,0.9979,1861.0000,1874.0000,1827.0000,14.0282,-15.1838,,
0.0759,94,0,-3.1296,15.0127,798.3499,-1.2770,46.7849,779.7319,-0.0300,-0.0144,-0.0552,0.9979,1861.0000,1874.0000,1827.0000,14.0282,-15.1838,,
0.0880,94,0,-4.7576,13.3083,797.0336,-2.7180,45.0691,778.4156,-0.0288,-0.0136,-0.0560,0.9979,1861.0000,1874.0000,1827.0000,14.0282,-15.1838,,
0.0999,94,0,-4.9947,13.6310,795.8595,-2.9677,45.3926,777.2416,-0.0258,-0.0161,-0.0556,0.9980,1861.0000,1874.0000,1827.0000,14.0282,-15.1599,,
0.1119,94,0,-4.9947,13.6310,795.8595,-2.9677,45.3926,777.2416,-0.0258,-0.0161,-0.0556,0.9980,1861.0000,1874.0000,1827.0000,14.0282,-15.0949,,
0.1239,94,0,-5.1652,14.0994,795.5902,-3.1256,45.8602,776.9723,-0.0270,-0.0149,-0.0546,0.9980,1861.0000,1874.0000,1827.0000,14.0312,-15.0557,,
0.1319,94,0,-4.9709,14.6328,794.2171,-3.3236,46.4164,775.5992,-0.0278,-0.0160,-0.0538,0.9980,1861.0000,1874.0000,1827.0000,14.0312,-15.0522,,
0.1439,94,0,-4.9709,14.6328,794.2171,-3.3236,46.4164,775.5992,-0.0278,-0.0160,-0.0538,0.9980,1861.0000,1874.0000,1827.0000,14.0312,-15.0522,,
0.1559,94,0,-4.9529,13.9987,792.7516,-3.2340,45.7785,774.1337,-0.0292,-0.0140,-0.0540,0.9980,1861.0000,1874.0000,1827.0000,14.0312,-15.0522,,
0.1680,94,0,-3.8699,14.1715,790.4734,-2.0390,45.9450,771.8555,-0.0300,-0.0134,-0.0524,0.9981,1861.0000,1874.0000,1827.0000,14.0284,-15.0473,,
0.1800,94,0,-3.8699,14.1715,790.4734,-2.0390,45.9450,771.8555,-0.0300,-0.0134,-0.0524,0.9981,1861.0000,1874.0000,1827.0000,14.0284,-15.0165,,
0.1920,94,0,-3.6183,15.4914,788.0165,-1.9788,47.2753,769.3986,-0.0300,-0.0138,-0.0519,0.9981,1861.0000,1874.0000,1827.0000,14.0284,-14.9892,,
0.2000,94,0,-3.6183,15.4914,788.0165,-1.9788,47.2753,769.3986,-0.0300,-0.0138,-0.0519,0.9981,1860.0000,1873.0000,1827.0000,14.0257,-14.9808,,
0.2121,94,0,-1.4055,16.6905,786.5933,0.0494,48.4834,767.9754,-0.0258,-0.0112,-0.0514,0.9983,1860.0000,1873.0000,1827.0000,14.0257,-14.9808,,
0.2240,94,0,1.0039,17.5407,784.9348,2.6329,49.3252,766.3169,-0.0289,-0.0112,-0.0525,0.9981,1856.0000,1868.0000,1827.0000,14.0257,-14.9842,,
0.2360,94,0,2.1554,18.5787,783.2361,3.7844,50.3632,764.6182,-0.0284,-0.0110,-0.0532,0.9981,1856.0000,1868.0000,1827.0000,14.0257,-14.9842,,
0.2480,94,0,2.1554,18.5787,783.2361,3.7844,50.3632,764.6182,-0.0284,-0.0110,-0.0532,0.9981,1853.0000,1866.0000,1827.0000,14.0257,-14.9842,,
0.2560,94,0,3.2543,19.9951,783.1073,5.3030,51.7553,764.4894,-0.0274,-0.0122,-0.0542,0.9981,1853.0000,1866.0000,1827.0000,14.0257,-14.9842,,
0.2680,94,0,3.2543,19.9951,783.1073,5.3030,51.7553,764.4894,-0.0274,-0.0122,-0.0542,0.9981,1852.0000,1866.0000,1827.0000,14.0257,-14.9842,,
0.2800,94,0,4.6744,21.5808,778.9612,6.4851,53.3554,760.3433,-0.0241,-0.0087,-0.0549,0.9982,1852.0000,1866.0000,1827.0000,14.0257,-14.9842,,
0.2920,94,0,6.7287,23.2972,775.7457,8.5394,55.0719,757.1278,-0.0245,-0.0084,-0.0559,0.9981,1844.0000,1861.0000,1827.0000,14.0257,-14.9842,,
0.3040,94,0,6.7287,23.2972,775.7457,8.5394,55.0719,757.1278,-0.0245,-0.0084,-0.0559,0.9981,1836.0000,1857.0000,1827.0000,14.0316,-14.9809,,
0.3160,94,0,7.6398,23.4636,775.2103,9.4105,55.2405,756.5924,-0.0237,-0.0094,-0.0559,0.9981,1834.0000,1856.0000,1827.0000,14.0318,-14.9777,,
0.3240,94,0,9.1940,24.1080,771.1141,10.5949,55.9034,752.4962,-0.0245,-0.0071,-0.0558,0.9981,1825.0000,1851.0000,1827.0000,14.0291,-14.9762,,
0.3360,94,0,9.1940,24.1080,771.1141,10.5949,55.9034,752.4962,-0.0245,-0.0071,-0.0558,0.9981,1824.0000,1852.0000,1827.0000,14.0263,-14.9746,,
0.3480,94,0,9.7882,24.5181,769.2940,11.5816,56.2938,750.6761,-0.0216,-0.0056,-0.0559,0.9982,1819.0000,1850.0000,1827.0000,14.0213,-14.9651,,
0.3600,94,0,11.5640,25.0152,768.0670,13.5217,56.7811,749.4490,-0.0238,-0.0057,-0.0567,0.9981,1818.0000,1851.0000,1827.0000,14.0213,-14.9651,,
0.3720,94,0,11.5640,25.0152,768.0670,13.5217,56.7811,749.4490,-0.0238,-0.0057,-0.0567,0.9981,1814.0000,1850.0000,1827.0000,14.0159,-14.9586,,
0.3840,94,0,12.0592,25.3343,765.8043,14.2038,57.0882,747.1864,-0.0245,-0.0066,-0.0568,0.9981,1807.0000,1849.0000,1827.0000,14.0104,-14.9555,,
0.3921,94,0,12.0592,25.3343,765.8043,14.2038,57.0882,747.1864,-0.0245,-0.0066,-0.0568,0.9981,1806.0000,1849.0000,1827.0000,14.0050,-14.9524,,
0.4040,94,0,14.4497,25.7234,762.8530,16.3683,57.4917,744.2351,-0.0240,-0.0052,-0.0568,0.9981,1797.0000,1847.0000,1827.0000,14.0026,-14.9445,,
0.4160,94,0,15.2010,26.9615,758.0554,17.0988,58.7311,739.4375,-0.0258,-0.0021,-0.0564,0.9981,1784.0000,1843.0000,1827.0000,14.0026,-14.9445,,
0.4279,94,0,16.5625,27.3486,757.2434,18.4604,59.1182,738.6255,-0.0243,-0.0035,-0.0566,0.9981,1782.0000,1844.0000,1827.0000,14.0321,-14.9213,,
0.4400,94,0,16.5625,27.3486,757.2434,18.4604,59.1182,738.6255,-0.0243,-0.0035,-0.0566,0.9981,1778.0000,1844.0000,1827.0000,14.1115,-14.8698,,
0.4479,94,0,18.0711,27.8566,754.6461,19.8027,59.6356,736.0281,-0.0215,-0.0012,-0.0567,0.9982,1769.0000,1843.0000,1827.0000,14.1241,-14.8503,,
0.4600,94,0,18.0711,27.8566,754.6461,19.8027,59.6356,736.0281,-0.0215,-0.0012,-0.0567,0.9982,1767.0000,1844.0000,1827.0000,14.1050,-14.8395,,
0.4720,94,0,17.9180,29.2162,749.8860,13.8920,60.7868,731.2681,0.1826,0.1160,-0.0728,0.9736,1766.0000,1845.0000,1827.0000,14.1023,-14.8380,,
0.4840,94,0,19.3383,31.6071,747.1940,21.5334,63.3576,728.5760,-0.0197,0.0014,-0.0585,0.9981,1744.0000,1838.0000,1827.0000,14.1023,-14.8380,,
0.4960,94,0,19.3383,31.6071,747.1940,21.5334,63.3576,728.5760,-0.0197,0.0014,-0.0585,0.9981,1741.0000,1839.0000,1827.0000,14.1052,-14.8363,,
0.5080,94,0,19.0551,33.4784,744.9912,21.0932,65.2393,726.3733,-0.0213,-0.0009,-0.0604,0.9979,1731.0000,1838.0000,1827.0000,14.1081,-14.8346,,
0.5160,94,0,20.0004,37.0870,739.6873,22.1954,68.8374,721.0694,-0.0196,0.0029,-0.0622,0.9979,1730.0000,1838.0000,1827.0000,14.1081,-14.8346,,
0.5279,94,0,20.0004,37.0870,739.6873,22.1954,68.8374,721.0694,-0.0196,0.0029,-0.0622,0.9979,1710.0000,1833.0000,1827.0000,14.1111,-14.8330,,
0.5400,94,0,20.6632,39.1520,737.7303,22.8139,70.9055,719.1124,-0.0160,0.0024,-0.0630,0.9979,1706.0000,1832.0000,1827.0000,14.1345,-14.8197,,
0.5520,94,0,22.6135,42.3899,733.2891,24.7879,74.1418,714.6711,-0.0134,0.0034,-0.0647,0.9978,1697.0000,1830.0000,1827.0000,14.2727,-14.7246,,
0.5639,94,0,22.6135,42.3899,733.2891,24.7879,74.1418,714.6711,-0.0134,0.0034,-0.0647,0.9978,1676.0000,1825.0000,1828.0000,14.6618,-14.4644,,
0.5760,94,0,23.4917,43.8687,730.0749,26.1750,75.5816,711.4570,-0.0163,0.0053,-0.0656,0.9977,1672.0000,1825.0000,1828.0000,15.0235,-14.0921,,
0.5839,94,0,23.4917,43.8687,730.0749,26.1750,75.5816,711.4570,-0.0163,0.0053,-0.0656,0.9977,1657.0000,1822.0000,1828.0000,15.2676,-13.7619,,
0.5959,94,0,24.8575,46.3945,724.3169,27.3634,78.1219,705.6990,-0.0151,0.0048,-0.0668,0.9976,1652.0000,1822.0000,1828.0000,15.3718,-13.6523,,
0.6080,94,0,23.7919,47.0774,720.8855,26.2308,78.8100,702.2676,-0.0187,0.0079,-0.0680,0.9975,1626.0000,1817.0000,1828.0000,15.5231,-13.5495,,
0.6200,94,0,23.1499,45.1612,717.1044,33.2109,75.3553,698.4865,0.0000,0.0000,0.0000,1.0000,1592.0000,1811.0000,1828.0000,15.8620,-13.3439,,
0.6319,94,0,23.1499,45.1612,717.1044,33.2109,75.3553,698.4865,0.0000,0.0000,0.0000,1.0000,1586.0000,1816.0000,1828.0000,16.0050,-13.2424,,
0.6400,94,0,22.9246,44.6509,715.1459,25.7097,76.3551,696.5280,-0.0171,0.0082,-0.0709,0.9973,1575.0000,1816.0000,1828.0000,16.2346,-13.0816,,
0.6521,94,0,22.9246,44.6509,715.1459,25.7097,76.3551,696.5280,-0.0171,0.0082,-0.0709,0.9973,1574.0000,1814.0000,1828.0000,16.4108,-12.9817,,
0.6640,94,0,24.5280,48.2772,710.4922,27.2644,79.9856,691.8743,-0.0174,0.0082,-0.0715,0.9973,1553.0000,1808.0000,1828.0000,16.4078,-12.9834,,
0.6760,94,0,25.7354,49.6920,705.5575,28.4511,81.4021,686.9396,-0.0175,0.0092,-0.0723,0.9972,1550.0000,1807.0000,1828.0000,16.4078,-12.9834,,
0.6880,94,0,25.7354,49.6920,705.5575,28.4511,81.4021,686.9396,-0.0175,0.0092,-0.0723,0.9972,1527.0000,1802.0000,1828.0000,16.4258,-12.9664,,
0.7000,94,0,26.6476,51.4647,702.4510,29.6991,83.1443,683.8331,-0.0146,0.0089,-0.0741,0.9971,1522.0000,1800.0000,1828.0000,16.7111,-12.6595,,
0.7079,94,0,26.6476,51.4647,702.4510,29.6991,83.1443,683.8331,-0.0146,0.0089,-0.0741,0.9971,1507.0000,1797.0000,1828.0000,16.8108,-12.4473,,
0.7200,94,0,29.3291,54.8937,696.4119,32.3591,86.5753,677.7940,-0.0163,0.0153,-0.0771,0.9968,1473.0000,1792.0000,1828.0000,16.9015,-12.0155,,
0.7320,94,0,33.9860,56.2326,691.3537,36.6357,87.9483,672.7358,-0.0141,0.0163,-0.0756,0.9969,1466.0000,1793.0000,1829.0000,16.8974,-11.5972,,
0.7439,94,0,33.9860,56.2326,691.3537,36.6357,87.9483,672.7358,-0.0141,0.0163,-0.0756,0.9969,1429.0000,1793.0000,1829.0000,17.0127,-11.1949,,
0.7560,94,0,34.5028,54.1291,687.8948,37.9350,85.7697,669.2769,-0.0134,0.0175,-0.0768,0.9968,1420.0000,1795.0000,1829.0000,17.2576,-10.8684,,
0.7680,94,0,35.4252,52.2290,683.7383,38.8793,83.8672,665.1204,-0.0170,0.0173,-0.0820,0.9963,1396.0000,1796.0000,1829.0000,17.5854,-10.6317,,
0.7760,94,0,35.4252,52.2290,683.7383,38.8793,83.8672,665.1204,-0.0170,0.0173,-0.0820,0.9963,1372.0000,1798.0000,1829.0000,17.7424,-10.5520,,
0.7880,94,0,35.2450,51.8082,681.7217,38.8338,83.4315,663.1038,-0.0178,0.0169,-0.0823,0.9963,1356.0000,1802.0000,1829.0000,18.1046,-10.3400,,
0.8000,94,0,32.3059,49.8624,676.0176,35.5211,81.5258,657.3997,-0.0190,0.0172,-0.0805,0.9964,1351.0000,1805.0000,1829.0000,18.3058,-10.2123,,
0.8120,94,0,32.3059,49.8624,676.0176,35.5211,81.5258,657.3997,-0.0190,0.0172,-0.0805,0.9964,1325.0000,1803.0000,1829.0000,18.3669,-10.1675,,
0.8239,94,0,30.7251,51.1394,672.5707,34.1050,82.7857,653.9528,-0.0167,0.0166,-0.0807,0.9965,1310.0000,1801.0000,1829.0000,18.6327,-9.9931,,
0.8320,94,0,30.7251,51.1394,672.5707,34.1050,82.7857,653.9528,-0.0167,0.0166,-0.0807,0.9965,1310.0000,1800.0000,1829.0000,18.6603,-9.9673,,
0.8438,94,0,27.2372,52.6833,668.7783,31.0156,84.2845,650.1604,-0.0193,0.0131,-0.0816,0.9964,1294.0000,1794.0000,1829.0000,18.7922,-9.8351,,
0.8560,94,0,23.4270,55.4381,663.3661,26.6967,87.0960,644.7482,-0.0200,0.0132,-0.0841,0.9962,1297.0000,1790.0000,1829.0000,18.9301,-9.6214,,
0.8681,94,0,23.4270,55.4381,663.3661,26.6967,87.0960,644.7482,-0.0200,0.0132,-0.0841,0.9962,1277.0000,1773.0000,1829.0000,18.9341,-9.5318,,
0.8800,94,0,21.6385,56.6250,659.8693,25.3990,88.2283,641.2514,-0.0164,0.0161,-0.0866,0.9960,1265.0000,1758.0000,1829.0000,19.0737,-9.3169,,
0.8921,94,0,18.9367,57.8456,657.1490,23.0060,89.4106,638.5311,-0.0160,0.0103,-0.0895,0.9958,1268.0000,1747.0000,1829.0000,19.2587,-9.2058,,
