{HEADER}
user_id: 555
target_id: 095
target_screen_position_mm: [119.96, -63.96]
fingertip_offset: [3.82, 32.70, 20.56]
completion_time: 8.1519
endpoint_error_mm: [8.2695, 5.3204, 2.9510]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.228209, 14.711411, 15.368706, 8.330723]
control_points_accel: [5.490150, -4.420315, -4.407506, 3.337672]
stiffness_measurements: [0.287478, 0.118531, 0.091125, 0.382771]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,95,0,-46.7528,-9.7506,851.0543,-55.6409,21.9462,830.4932,0.0218,0.2399,0.0535,0.9691,1842.0000,1820.0000,1842.0000,-9.7938,2.8880,,
0.0118,95,0,-49.1204,-9.0022,849.0635,-43.1330,23.3681,828.5024,-0.0600,-0.5457,-0.1330,0.8252,1842.0000,1820.0000,1842.0000,-9.8358,2.8642,,
0.0238,95,0,-49.1204,-9.0022,849.0635,-43.1330,23.3681,828.5024,-0.0600,-0.5457,-0.1330,0.8252,1842.0000,1820.0000,1842.0000,-9.8229,2.8715,,
0.0359,95,0,-51.5578,-8.0329,849.5944,-52.4815,24.8735,829.0333,-0.0757,-0.0817,-0.0055,0.9938,1842.0000,1820.0000,1842.0000,-9.8229,2.8715,,
0.0479,95,0,-52.9379,-7.6501,848.1749,-51.6763,25.2452,827.6138,0.1578,-0.3749,-0.1418,0.9025,1842.0000,1820.0000,1842.0000,-9.8196,2.8734,,
0.0558,95,0,-52.9379,-7.6501,848.1749,-51.6763,25.2452,827.6138,0.1578,-0.3749,-0.1418,0.9025,1842.0000,1820.0000,1842.0000,-9.8196,2.8734,,
0.0678,95,0,-54.2979,-7.6713,848.4899,-55.4064,25.2295,827.9288,-0.0741,-0.0875,-0.0050,0.9934,1842.0000,1820.0000,1842.0000,-9.8196,2.8734,,
0.0799,95,0,-54.2979,-7.6713,848.4899,-55.4064,25.2295,827.9288,-0.0741,-0.0875,-0.0050,0.9934,1842.0000,1820.0000,1842.0000,-9.8196,2.8734,,
0.0919,95,0,-54.7102,-9.0445,846.7643,-55.5844,23.8633,826.2032,-0.0757,-0.0879,-0.0055,0.9932,1842.0000,1820.0000,1842.0000,-9.8196,2.8734,,
0.1039,95,0,-54.9098,-10.7712,845.0258,-55.5927,22.1412,824.4647,-0.0765,-0.0831,-0.0062,0.9936,1842.0000,1820.0000,1842.0000,-9.8196,2.8734,,
0.1118,95,0,-54.9098,-10.7712,845.0258,-55.5927,22.1412,824.4647,-0.0765,-0.0831,-0.0062,0.9936,1842.0000,1820.0000,1842.0000,-9.8196,2.8734,,
0.1239,95,0,-54.5806,-11.6559,844.3013,-55.4941,21.2509,823.7402,-0.0756,-0.0870,-0.0054,0.9933,1842.0000,1820.0000,1842.0000,-9.8196,2.8734,,
0.1359,95,0,-54.5806,-11.6559,844.3013,-55.4941,21.2509,823.7402,-0.0756,-0.0870,-0.0054,0.9933,1842.0000,1820.0000,1842.0000,-9.8196,2.8734,,
0.1479,95,0,-54.3123,-12.7479,840.4629,-54.9762,20.1648,819.9018,-0.0747,-0.0821,-0.0060,0.9938,1842.0000,1820.0000,1842.0000,-9.8196,2.8734,,
0.1599,95,0,-53.9382,-13.6487,836.6548,-55.0423,19.2522,816.0937,-0.0746,-0.0843,-0.0066,0.9936,1842.0000,1820.0000,1842.0000,-9.8196,2.8734,,
0.1719,95,0,-53.9382,-13.6487,836.6548,-55.0423,19.2522,816.0937,-0.0746,-0.0843,-0.0066,0.9936,1842.0000,1812.0000,1842.0000,-9.8196,2.8734,,
0.1799,95,0,-53.6248,-13.4799,839.2090,-47.2522,18.8168,818.6479,-0.0597,-0.5483,-0.1340,0.8233,1842.0000,1812.0000,1842.0000,-9.8268,2.8774,,
0.1919,95,0,-53.6248,-13.4799,839.2090,-47.2522,18.8168,818.6479,-0.0597,-0.5483,-0.1340,0.8233,1842.0000,1812.0000,1842.0000,-9.9090,2.9240,,
0.2039,95,0,-53.2832,-13.4944,836.5583,-53.9720,19.4178,815.9972,-0.0785,-0.0799,-0.0079,0.9937,1842.0000,1812.0000,1842.0000,-10.0306,2.9930,,
