{HEADER}
user_id: 555
target_id: 137
target_screen_position_mm: [-167.99, -32.12]
fingertip_offset: [3.82, 32.70, 20.56]
completion_time: 5.9960
endpoint_error_mm: [-13.0572, -3.0539, 2.0908]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.228209, 14.711411, 15.368706, 8.330723]
control_points_accel: [5.490150, -4.420315, -4.407506, 3.337672]
stiffness_measurements: [0.287478, 0.118531, 0.091125, 0.382771]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,137,0,-153.4449,-73.7130,735.2932,-152.2655,-40.8147,714.7321,-0.0857,-0.0101,-0.0337,0.9957,1836.0000,1828.0000,1843.0000,0.7190,2.2192,,
0.0120,137,0,-154.0530,-72.2801,730.0345,-160.8015,-40.0598,709.4734,0.0000,0.0000,0.0000,1.0000,1836.0000,1783.0000,1830.0000,0.7155,2.2180,,
0.0238,137,0,-154.0530,-72.2801,730.0345,-160.8015,-40.0598,709.4734,0.0000,0.0000,0.0000,1.0000,1836.0000,1783.0000,1830.0000,0.7190,2.2161,,
0.0359,137,0,-154.4434,-71.0182,725.5240,-153.0858,-38.1267,704.9629,-0.0847,-0.0119,-0.0342,0.9958,1836.0000,1744.0000,1819.0000,0.6464,2.2540,,
0.0479,137,0,-155.7648,-70.7035,728.1789,-154.6257,-37.8038,707.6178,-0.0813,-0.0097,-0.0346,0.9960,1836.0000,1744.0000,1820.0000,0.6222,2.2677,,
0.0599,137,0,-155.7648,-70.7035,728.1789,-154.6257,-37.8038,707.6178,-0.0813,-0.0097,-0.0346,0.9960,1836.0000,1744.0000,1820.0000,0.5531,2.3069,,
0.0679,137,0,-155.6735,-70.1696,726.6791,-154.3159,-37.2782,706.1180,-0.0828,-0.0113,-0.0342,0.9959,1836.0000,1744.0000,1820.0000,0.4667,2.3559,,
0.0798,137,0,-155.6735,-70.1696,726.6791,-154.3159,-37.2782,706.1180,-0.0828,-0.0113,-0.0342,0.9959,1836.0000,1744.0000,1820.0000,0.1414,2.5403,,
0.0918,137,0,-154.1722,-71.0034,727.8478,-160.5016,-38.6982,707.2867,0.0428,0.3154,0.0082,0.9479,1836.0000,1744.0000,1821.0000,0.0790,2.5756,,
0.1039,137,0,-150.7793,-71.5908,726.7274,-149.4518,-38.6981,706.1663,-0.0837,-0.0089,-0.0341,0.9959,1836.0000,1743.0000,1821.0000,-0.0597,2.6542,,
0.1158,137,0,-148.2152,-72.4771,726.2529,-147.0692,-39.5776,705.6918,-0.0859,-0.0074,-0.0339,0.9957,1836.0000,1744.0000,1820.0000,-0.1081,2.6779,,
0.1279,137,0,-148.2152,-72.4771,726.2529,-147.0692,-39.5776,705.6918,-0.0859,-0.0074,-0.0339,0.9957,1836.0000,1744.0000,1820.0000,-0.1012,2.6739,,
0.1359,137,0,-145.6761,-72.6916,727.4964,-144.5167,-39.7926,706.9353,-0.0880,-0.0043,-0.0326,0.9956,1836.0000,1745.0000,1820.0000,-0.0977,2.6720,,
0.1480,137,0,-140.5224,-71.6628,723.7784,-139.5829,-38.7567,703.2173,-0.0854,-0.0025,-0.0298,0.9959,1836.0000,1745.0000,1820.0000,-0.1012,2.6739,,
0.1599,137,0,-140.5224,-71.6628,723.7784,-139.5829,-38.7567,703.2173,-0.0854,-0.0025,-0.0298,0.9959,1836.0000,1732.0000,1816.0000,-0.0977,2.6720,,
0.1719,137,0,-139.7047,-70.6765,721.8702,-138.7490,-37.7709,701.3091,-0.0838,-0.0006,-0.0294,0.9960,1836.0000,1733.0000,1816.0000,-0.1013,2.6810,,
0.1839,137,0,-137.5687,-70.0864,721.8657,-136.4518,-37.1859,701.3046,-0.0844,-0.0035,-0.0298,0.9960,1836.0000,1719.0000,1812.0000,-0.1013,2.6810,,
0.1919,137,0,-137.5687,-70.0864,721.8657,-136.4518,-37.1859,701.3046,-0.0844,-0.0035,-0.0298,0.9960,1836.0000,1719.0000,1812.0000,-0.1013,2.6810,,
0.2040,137,0,-136.0934,-69.6361,720.8112,-134.8076,-36.7418,700.2501,-0.0850,-0.0011,-0.0296,0.9959,1836.0000,1712.0000,1809.0000,-0.1083,2.6849,,
0.2159,137,0,-133.1458,-68.7072,721.0479,-132.2031,-35.8013,700.4868,-0.0863,0.0003,-0.0283,0.9959,1836.0000,1713.0000,1810.0000,-0.1083,2.6849,,
0.2280,137,0,-133.1458,-68.7072,721.0479,-132.2031,-35.8013,700.4868,-0.0863,0.0003,-0.0283,0.9959,1836.0000,1715.0000,1810.0000,-0.1117,2.6869,,
0.2399,137,0,-130.6763,-68.2818,716.7068,-130.1182,-35.3671,696.1458,-0.0846,0.0016,-0.0276,0.9960,1836.0000,1684.0000,1801.0000,-0.1117,2.6869,,
0.2519,137,0,-126.4192,-66.5765,715.1440,-125.5079,-33.6697,694.5829,-0.0836,0.0050,-0.0260,0.9961,1836.0000,1686.0000,1802.0000,-0.1117,2.6869,,
0.2599,137,0,-126.4192,-66.5765,715.1440,-125.5079,-33.6697,694.5829,-0.0836,0.0050,-0.0260,0.9961,1836.0000,1676.0000,1799.0000,-0.1568,2.7124,,
0.2719,137,0,-124.7355,-65.5918,716.3436,-122.9451,-32.7211,695.7825,0.1708,0.3570,-0.1112,0.9116,1836.0000,1678.0000,1799.0000,-0.1603,2.7144,,
0.2839,137,0,-122.2411,-63.9756,715.7300,-121.7114,-31.0604,695.1689,-0.0862,0.0061,-0.0256,0.9959,1836.0000,1680.0000,1800.0000,-0.1603,2.7144,,
0.2960,137,0,-122.2411,-63.9756,715.7300,-121.7114,-31.0604,695.1689,-0.0862,0.0061,-0.0256,0.9959,1836.0000,1682.0000,1801.0000,-0.1603,2.7144,,
0.3080,137,0,-119.6808,-63.1591,712.2245,-127.3795,-31.1526,691.6634,-0.5082,0.3250,0.0890,0.7926,1836.0000,1684.0000,1802.0000,-0.1603,2.7144,,
0.3199,137,0,-119.5890,-62.1885,713.0670,-118.7070,-29.2809,692.5059,-0.0836,0.0101,-0.0261,0.9961,1836.0000,1664.0000,1797.0000,-0.1568,2.7124,,
0.3279,137,0,-119.5890,-62.1885,713.0670,-118.7070,-29.2809,692.5059,-0.0836,0.0101,-0.0261,0.9961,1836.0000,1665.0000,1798.0000,-0.1568,2.7124,,
0.3399,137,0,-115.5324,-59.8960,699.2056,-114.8204,-26.9843,678.6445,-0.0833,0.0058,-0.0264,0.9962,1836.0000,1578.0000,1775.0000,-0.1707,2.7203,,
0.3519,137,0,-115.7151,-59.3692,707.8893,-115.1968,-26.4538,687.3282,-0.0824,0.0101,-0.0254,0.9962,1836.0000,1582.0000,1777.0000,-0.2089,2.7388,,
0.3640,137,0,-115.7151,-59.3692,707.8893,-115.1968,-26.4538,687.3282,-0.0824,0.0101,-0.0254,0.9962,1836.0000,1586.0000,1779.0000,-0.2853,2.7821,,
0.3759,137,0,-114.1486,-58.2185,706.0030,-113.2834,-25.3104,685.4419,-0.0839,0.0107,-0.0246,0.9961,1836.0000,1588.0000,1781.0000,-0.7373,3.0383,,
0.3839,137,0,-111.2191,-57.0529,703.9927,-110.8792,-24.1352,683.4316,-0.0823,0.0100,-0.0257,0.9962,1836.0000,1589.0000,1781.0000,-0.8629,3.1132,,
0.3959,137,0,-111.2191,-57.0529,703.9927,-110.8792,-24.1352,683.4316,-0.0823,0.0100,-0.0257,0.9962,1836.0000,1594.0000,1784.0000,-1.0197,3.2021,,
0.4080,137,0,-108.7866,-56.2661,701.2352,-107.9328,-23.3578,680.6741,-0.0805,0.0119,-0.0259,0.9964,1836.0000,1597.0000,1786.0000,-1.0058,3.1942,,
0.4199,137,0,-103.8185,-57.8208,701.8922,-103.1280,-24.9087,681.3311,-0.0833,0.0171,-0.0245,0.9961,1836.0000,1601.0000,1788.0000,-1.0058,3.1942,,
0.4320,137,0,-100.9845,-57.3547,702.0752,-101.0102,-24.4353,681.5141,-0.0831,0.0164,-0.0225,0.9962,1836.0000,1605.0000,1788.0000,-1.0058,3.1942,,
0.4440,137,0,-100.9845,-57.3547,702.0752,-101.0102,-24.4353,681.5141,-0.0831,0.0164,-0.0225,0.9962,1836.0000,1608.0000,1789.0000,-1.0058,3.1942,,
0.4519,137,0,-100.3577,-56.2299,698.8323,-100.0175,-23.3122,678.2712,-0.0831,0.0174,-0.0222,0.9961,1836.0000,1611.0000,1789.0000,-1.0058,3.1942,,
0.4640,137,0,-97.8614,-55.5983,699.7734,-97.7081,-22.6792,679.2123,-0.0794,0.0220,-0.0236,0.9963,1836.0000,1613.0000,1790.0000,-1.0058,3.1974,,
0.4759,137,0,-97.8614,-55.5983,699.7734,-97.7081,-22.6792,679.2123,-0.0794,0.0220,-0.0236,0.9963,1836.0000,1616.0000,1791.0000,-1.0058,3.1974,,
0.4880,137,0,-96.4393,-54.8296,698.5507,-103.5563,-22.6887,677.9896,0.0553,0.3491,0.0147,0.9353,1836.0000,1619.0000,1792.0000,-1.0058,3.1974,,
0.4999,137,0,-92.4409,-53.3989,692.5894,-91.7918,-20.4859,672.0283,-0.0831,0.0214,-0.0224,0.9961,1836.0000,1586.0000,1785.0000,-1.0025,3.1992,,
0.5119,137,0,-92.4409,-53.3989,692.5894,-91.7918,-20.4859,672.0283,-0.0831,0.0214,-0.0224,0.9961,1836.0000,1591.0000,1786.0000,-1.0025,3.1992,,
0.5199,137,0,-91.1108,-52.8531,692.4827,-90.8181,-19.9350,671.9216,-0.0837,0.0228,-0.0218,0.9960,1836.0000,1594.0000,1787.0000,-1.0129,3.2052,,
0.5319,137,0,-88.6263,-52.4122,692.3257,-88.6866,-19.4928,671.7646,-0.0810,0.0271,-0.0218,0.9961,1836.0000,1597.0000,1789.0000,-1.0129,3.2052,,
0.5440,137,0,-88.6263,-52.4122,692.3257,-88.6866,-19.4928,671.7646,-0.0810,0.0271,-0.0218,0.9961,1836.0000,1599.0000,1789.0000,-1.0129,3.2052,,
0.5559,137,0,-86.2443,-51.3815,686.2042,-85.9657,-18.4633,665.6431,-0.0828,0.0241,-0.0214,0.9960,1836.0000,1572.0000,1783.0000,-1.0201,3.2162,,
0.5680,137,0,-83.2718,-51.2871,683.9249,-83.1608,-18.3679,663.3638,-0.0801,0.0281,-0.0226,0.9961,1836.0000,1575.0000,1785.0000,-1.0236,3.2181,,
0.5759,137,0,-83.2718,-51.2871,683.9249,-83.1608,-18.3679,663.3638,-0.0801,0.0281,-0.0226,0.9961,1836.0000,1566.0000,1783.0000,-1.0445,3.2300,,
0.5879,137,0,-81.8183,-50.9790,685.7233,-81.5305,-18.0608,665.1622,-0.0817,0.0293,-0.0224,0.9960,1836.0000,1569.0000,1783.0000,-1.1350,3.2776,,
0.5999,137,0,-77.4667,-50.0666,680.9860,-77.2038,-17.1482,660.4249,-0.0821,0.0321,-0.0219,0.9959,1836.0000,1559.0000,1781.0000,-1.3306,3.3884,,
0.6120,137,0,-77.4667,-50.0666,680.9860,-77.2038,-17.1482,660.4249,-0.0821,0.0321,-0.0219,0.9959,1836.0000,1563.0000,1782.0000,-1.4284,3.4438,,
