{HEADER}
user_id: 555
target_id: 164
target_screen_position_mm: [-216.03, -15.92]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 5.1480
endpoint_error_mm: [11.9087, 4.7682, -3.3263]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,164,0,-304.1121,-120.0068,891.2105,-303.9700,-88.1809,872.5926,-0.0692,0.0276,-0.0316,0.9967,1851.0000,1844.0000,1843.0000,10.2576,9.9780,,
0.0120,164,0,-304.7886,-121.2099,891.3074,-304.1640,-89.3898,872.6895,-0.0738,0.0250,-0.0308,0.9965,1851.0000,1823.0000,1838.0000,10.0608,10.0335,,
0.0240,164,0,-304.7886,-121.2099,891.3074,-304.1640,-89.3898,872.6895,-0.0738,0.0250,-0.0308,0.9965,1851.0000,1819.0000,1836.0000,9.9530,10.0628,,
0.0320,164,0,-302.2097,-122.1394,888.5593,-302.0665,-90.3135,869.9413,-0.0721,0.0297,-0.0306,0.9965,1851.0000,1818.0000,1835.0000,9.8989,10.0794,,
0.0440,164,0,-302.2097,-122.1394,888.5593,-302.0665,-90.3135,869.9413,-0.0721,0.0297,-0.0306,0.9965,1851.0000,1780.0000,1823.0000,9.8097,10.1125,,
0.0560,164,0,-302.0397,-124.2948,891.7967,-302.1081,-92.4686,873.1788,-0.0747,0.0257,-0.0279,0.9965,1851.0000,1776.0000,1822.0000,9.4910,10.2196,,
0.0680,164,0,-302.2737,-127.0377,895.3873,-302.1198,-95.2118,876.7694,-0.0774,0.0243,-0.0267,0.9963,1851.0000,1771.0000,1819.0000,8.8204,10.4561,,
0.0799,164,0,-302.2737,-127.0377,895.3873,-302.1198,-95.2118,876.7694,-0.0774,0.0243,-0.0267,0.9963,1851.0000,1769.0000,1818.0000,8.5710,10.5381,,
0.0919,164,0,-300.3441,-127.1647,894.6460,-300.3991,-95.3385,876.0281,-0.0748,0.0292,-0.0268,0.9964,1851.0000,1766.0000,1816.0000,8.0704,10.7402,,
0.0999,164,0,-295.8196,-131.8247,899.3436,-296.1186,-99.9999,880.7256,-0.0793,0.0306,-0.0261,0.9960,1851.0000,1765.0000,1816.0000,7.9902,10.7714,,
0.1119,164,0,-295.8196,-131.8247,899.3436,-296.1186,-99.9999,880.7256,-0.0793,0.0306,-0.0261,0.9960,1851.0000,1764.0000,1814.0000,7.9272,10.7687,,
0.1240,164,0,-292.2925,-132.0506,901.7486,-292.8071,-100.2286,883.1307,-0.0779,0.0349,-0.0242,0.9961,1852.0000,1764.0000,1814.0000,7.8779,10.7408,,
0.1360,164,0,-283.9819,-131.8586,897.6581,-284.4905,-100.0364,879.0402,-0.0795,0.0357,-0.0212,0.9960,1852.0000,1764.0000,1813.0000,7.8318,10.7146,,
0.1480,164,0,-283.9819,-131.8586,897.6581,-284.4905,-100.0364,879.0402,-0.0795,0.0357,-0.0212,0.9960,1852.0000,1764.0000,1812.0000,7.7887,10.6902,,
0.1600,164,0,-281.3652,-130.4834,898.1365,-281.6576,-98.6585,879.5186,-0.0784,0.0368,-0.0206,0.9960,1852.0000,1765.0000,1812.0000,7.7580,10.6728,,
0.1680,164,0,-276.4914,-128.4127,895.6221,-276.3481,-96.5868,877.0042,-0.0762,0.0364,-0.0228,0.9962,1852.0000,1765.0000,1812.0000,7.7426,10.6641,,
0.1800,164,0,-276.4914,-128.4127,895.6221,-276.3481,-96.5868,877.0042,-0.0762,0.0364,-0.0228,0.9962,1852.0000,1765.0000,1812.0000,7.7026,10.6415,,
0.1920,164,0,-276.3603,-127.8985,900.0043,-276.6577,-96.0736,881.3864,-0.0783,0.0416,-0.0241,0.9958,1852.0000,1766.0000,1812.0000,7.6782,10.6239,,
0.2041,164,0,-270.9795,-122.6379,894.6518,-270.8699,-90.8119,876.0339,-0.0759,0.0432,-0.0252,0.9959,1852.0000,1766.0000,1812.0000,7.6291,10.5961,,
0.2160,164,0,-270.9795,-122.6379,894.6518,-270.8699,-90.8119,876.0339,-0.0759,0.0432,-0.0252,0.9959,1852.0000,1767.0000,1812.0000,7.5646,10.5595,,
0.2240,164,0,-266.9521,-118.7619,890.4722,-267.0396,-86.9358,871.8543,-0.0730,0.0436,-0.0259,0.9960,1852.0000,1767.0000,1812.0000,7.5339,10.5421,,
0.2361,164,0,-263.5717,-114.8289,896.6602,-263.2245,-83.0046,878.0422,-0.0723,0.0434,-0.0249,0.9961,1852.0000,1767.0000,1813.0000,7.4848,10.5143,,
0.2479,164,0,-263.5717,-114.8289,896.6602,-263.2245,-83.0046,878.0422,-0.0723,0.0434,-0.0249,0.9961,1852.0000,1767.0000,1813.0000,7.3868,10.4519,,
0.2600,164,0,-260.2135,-111.6873,892.0446,-260.3107,-79.8612,873.4267,-0.0697,0.0501,-0.0251,0.9960,1852.0000,1768.0000,1814.0000,7.3561,10.4345,,
0.2720,164,0,-253.4773,-106.1145,885.5078,-253.3771,-74.2884,866.8898,-0.0664,0.0465,-0.0257,0.9964,1852.0000,1721.0000,1796.0000,7.3040,10.4050,,
0.2841,164,0,-251.1599,-104.3302,888.2336,-250.5999,-72.5089,869.6157,-0.0624,0.0513,-0.0256,0.9964,1852.0000,1721.0000,1797.0000,7.2856,10.3946,,
0.2920,164,0,-251.1599,-104.3302,888.2336,-250.5999,-72.5089,869.6157,-0.0624,0.0513,-0.0256,0.9964,1852.0000,1722.0000,1798.0000,7.2228,10.3888,,
0.3041,164,0,-248.2077,-101.1587,889.1531,-248.3096,-69.3327,870.5352,-0.0650,0.0494,-0.0228,0.9964,1853.0000,1722.0000,1799.0000,7.1417,10.3723,,
0.3160,164,0,-248.2077,-101.1587,889.1531,-248.3096,-69.3327,870.5352,-0.0650,0.0494,-0.0228,0.9964,1853.0000,1723.0000,1800.0000,7.0925,10.3513,,
0.3281,164,0,-242.0913,-95.6473,884.7586,-242.6317,-63.8257,866.1407,-0.0652,0.0544,-0.0182,0.9962,1853.0000,1723.0000,1801.0000,7.0436,10.3235,,
0.3401,164,0,-235.3214,-92.1012,884.6112,-235.6537,-60.2767,865.9933,-0.0643,0.0582,-0.0165,0.9961,1853.0000,1712.0000,1798.0000,6.9824,10.2889,,
0.3520,164,0,-232.2146,-89.6038,881.6632,-233.1974,-57.7928,863.0453,-0.0611,0.0599,-0.0145,0.9962,1853.0000,1667.0000,1785.0000,6.9345,10.3021,,
0.3600,164,0,-232.2146,-89.6038,881.6632,-233.1974,-57.7928,863.0453,-0.0611,0.0599,-0.0145,0.9962,1853.0000,1667.0000,1786.0000,6.9053,10.3187,,
0.3720,164,0,-229.3973,-87.2896,878.2942,-230.1608,-55.4726,859.6763,-0.0632,0.0613,-0.0135,0.9960,1853.0000,1618.0000,1772.0000,6.8209,10.3665,,
0.3840,164,0,-226.0506,-86.2244,874.8228,-227.0385,-54.4135,856.2048,-0.0594,0.0631,-0.0140,0.9961,1853.0000,1619.0000,1774.0000,6.5740,10.5065,,
0.3960,164,0,-226.0506,-86.2244,874.8228,-227.0385,-54.4135,856.2048,-0.0594,0.0631,-0.0140,0.9961,1853.0000,1568.0000,1760.0000,6.3006,10.6614,,
0.4080,164,0,-223.8950,-86.0972,872.1342,-224.8917,-54.2866,853.5162,-0.0618,0.0647,-0.0152,0.9959,1853.0000,1569.0000,1763.0000,5.9582,10.8554,,
0.4160,164,0,-223.8950,-86.0972,872.1342,-224.8917,-54.2866,853.5162,-0.0618,0.0647,-0.0152,0.9959,1853.0000,1531.0000,1752.0000,5.7721,10.9641,,
0.4280,164,0,-219.5007,-84.3462,871.7178,-220.0797,-52.5252,853.0999,-0.0603,0.0705,-0.0148,0.9956,1853.0000,1526.0000,1752.0000,5.4121,11.1808,,
0.4400,164,0,-210.7252,-82.3657,865.2699,-211.9068,-50.5614,846.6520,-0.0602,0.0713,-0.0124,0.9956,1853.0000,1528.0000,1754.0000,5.3237,11.2310,,
0.4520,164,0,-203.6115,-80.0372,859.4426,-204.3726,-48.2200,840.8246,-0.0598,0.0757,-0.0120,0.9953,1853.0000,1358.0000,1707.0000,5.1534,11.3240,,
0.4640,164,0,-203.6115,-80.0372,859.4426,-204.3726,-48.2200,840.8246,-0.0598,0.0757,-0.0120,0.9953,1853.0000,1365.0000,1711.0000,5.1041,11.3519,,
0.4760,164,0,-199.8370,-79.7596,859.4967,-201.0527,-47.9566,840.8788,-0.0594,0.0776,-0.0103,0.9952,1853.0000,1371.0000,1713.0000,4.8777,11.4736,,
0.4840,164,0,-192.3459,-74.2028,853.6181,-193.5328,-42.3987,835.0002,-0.0600,0.0805,-0.0086,0.9949,1853.0000,1376.0000,1715.0000,4.3270,11.7479,,
0.4960,164,0,-192.3459,-74.2028,853.6181,-193.5328,-42.3987,835.0002,-0.0600,0.0805,-0.0086,0.9949,1853.0000,1305.0000,1699.0000,3.6839,11.9727,,
0.5081,164,0,-190.0707,-72.7007,853.1297,-191.4704,-40.9053,834.5118,-0.0568,0.0825,-0.0087,0.9949,1853.0000,1310.0000,1703.0000,3.1873,12.0806,,
0.5200,164,0,-180.4155,-68.7220,849.8865,-181.6368,-36.9192,831.2686,-0.0568,0.0854,-0.0119,0.9947,1853.0000,1307.0000,1705.0000,2.8621,12.0955,,
0.5320,164,0,-173.3613,-68.7772,848.4661,-174.5904,-36.9747,829.8482,-0.0603,0.0898,-0.0121,0.9941,1854.0000,1259.0000,1697.0000,2.5770,12.1259,,
0.5440,164,0,-173.3613,-68.7772,848.4661,-174.5904,-36.9747,829.8482,-0.0603,0.0898,-0.0121,0.9941,1854.0000,1270.0000,1702.0000,2.4663,12.1196,,
0.5519,164,0,-167.3485,-66.3952,846.8779,-167.9757,-34.5752,828.2600,-0.0596,0.0956,-0.0113,0.9936,1854.0000,1258.0000,1701.0000,2.3846,12.1455,,
0.5640,164,0,-167.3485,-66.3952,846.8779,-167.9757,-34.5752,828.2600,-0.0596,0.0956,-0.0113,0.9936,1854.0000,1268.0000,1705.0000,2.0499,12.3180,,
0.5760,164,0,-151.6711,-60.1346,840.8871,-152.3464,-28.3156,822.2692,-0.0565,0.1005,-0.0112,0.9933,1854.0000,1277.0000,1709.0000,1.7977,12.4566,,
0.5881,164,0,-138.9271,-53.3975,838.9458,-139.7437,-21.5818,820.3279,-0.0546,0.1066,-0.0098,0.9928,1854.0000,1223.0000,1700.0000,1.7076,12.5300,,
0.6001,164,0,-131.7478,-52.7386,836.3655,-132.5612,-20.9228,817.7476,-0.0556,0.1123,-0.0125,0.9920,1854.0000,1220.0000,1707.0000,1.7076,12.5363,,
0.6080,164,0,-131.7478,-52.7386,836.3655,-132.5612,-20.9228,817.7476,-0.0556,0.1123,-0.0125,0.9920,1854.0000,1208.0000,1709.0000,1.7106,12.5380,,
0.6200,164,0,-126.5184,-53.2498,840.8202,-123.4818,-21.5688,822.2023,0.3915,0.1987,-0.1502,0.8858,1854.0000,1227.0000,1718.0000,1.7073,12.5463,,
