{HEADER}
user_id: 555
target_id: 167
target_screen_position_mm: [-167.99, -15.92]
fingertip_offset: [3.82, 32.70, 20.56]
completion_time: 6.9001
endpoint_error_mm: [-7.1480, 2.3500, 2.7389]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.228209, 14.711411, 15.368706, 8.330723]
control_points_accel: [5.490150, -4.420315, -4.407506, 3.337672]
stiffness_measurements: [0.287478, 0.118531, 0.091125, 0.382771]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,167,0,-89.3120,-42.9710,784.6326,-89.9892,-10.0585,764.0715,-0.0785,0.0266,-0.0129,0.9965,1845.0000,1823.0000,1842.0000,-9.8383,-0.1042,,
0.0120,167,0,-89.3120,-42.9710,784.6326,-89.9892,-10.0585,764.0715,-0.0785,0.0266,-0.0129,0.9965,1845.0000,1823.0000,1842.0000,-9.8383,-0.1042,,
0.0240,167,0,-89.1578,-41.5431,785.1911,-91.4996,-8.7071,764.6300,0.0000,0.0000,0.0000,1.0000,1845.0000,1823.0000,1842.0000,-9.8383,-0.1042,,
0.0320,167,0,-87.7523,-38.7938,783.4127,-81.7924,-6.4184,762.8516,-0.0654,-0.4496,-0.1644,0.8755,1845.0000,1823.0000,1842.0000,-9.8383,-0.1042,,
0.0440,167,0,-87.7523,-38.7938,783.4127,-81.7924,-6.4184,762.8516,-0.0654,-0.4496,-0.1644,0.8755,1845.0000,1823.0000,1842.0000,-9.8383,-0.1042,,
0.0560,167,0,-87.7608,-37.1500,784.0934,-81.3541,-4.8600,763.5323,-0.0651,-0.4494,-0.1657,0.8754,1845.0000,1823.0000,1842.0000,-9.8383,-0.1042,,
0.0680,167,0,-87.5584,-34.9878,780.6602,-87.6613,-2.0686,760.0991,-0.0734,0.0303,-0.0153,0.9967,1845.0000,1823.0000,1842.0000,-9.8348,-0.1062,,
0.0799,167,0,-87.5584,-34.9878,780.6602,-87.6613,-2.0686,760.0991,-0.0734,0.0303,-0.0153,0.9967,1845.0000,1823.0000,1842.0000,-9.8348,-0.1062,,
0.0920,167,0,-87.1057,-33.4881,780.0504,-80.2835,-1.2834,759.4893,-0.0639,-0.4487,-0.1688,0.8753,1845.0000,1823.0000,1842.0000,-9.8348,-0.1062,,
0.1000,167,0,-87.1057,-33.4881,780.0504,-80.2835,-1.2834,759.4893,-0.0639,-0.4487,-0.1688,0.8753,1845.0000,1823.0000,1842.0000,-9.8348,-0.1062,,
0.1121,167,0,-85.4202,-31.2252,780.1741,-85.5327,1.6941,759.6130,-0.0715,0.0288,-0.0156,0.9969,1845.0000,1823.0000,1842.0000,-9.8348,-0.1062,,
0.1240,167,0,-84.0915,-29.3901,779.5235,-77.5803,2.8790,758.9624,-0.0630,-0.4466,-0.1720,0.8758,1845.0000,1823.0000,1842.0000,-9.8348,-0.1062,,
0.1361,167,0,-82.5810,-28.9055,775.7787,-82.5061,4.0139,755.2177,-0.0725,0.0309,-0.0169,0.9967,1845.0000,1823.0000,1842.0000,-9.8348,-0.1062,,
0.1480,167,0,-82.5810,-28.9055,775.7787,-82.5061,4.0139,755.2177,-0.0725,0.0309,-0.0169,0.9967,1845.0000,1823.0000,1842.0000,-9.8313,-0.1018,,
