{HEADER}
user_id: 555
target_id: 178
target_screen_position_mm: [7.96, -15.92]
fingertip_offset: [-0.45, 31.52, 19.74]
completion_time: 5.9721
endpoint_error_mm: [-4.6427, -3.7065, 2.1568]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.910235, 11.334611, 8.883801, 6.058065]
control_points_accel: [-0.504066, -2.719759, -0.471926, 3.695751]
stiffness_measurements: [0.214700, 0.088950, 0.087119, 0.274221]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,178,0,42.1291,6.8787,626.5330,42.6034,38.3934,606.7927,-0.0343,0.0039,-0.0351,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0089,,
0.0109,178,0,42.1291,6.8787,626.5330,42.6034,38.3934,606.7927,-0.0343,0.0039,-0.0351,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0089,,
0.0228,178,0,41.2993,7.1867,627.5502,41.7879,38.7012,607.8099,-0.0342,0.0048,-0.0352,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0089,,
0.0317,178,0,41.2993,7.1867,627.5502,41.7879,38.7012,607.8099,-0.0342,0.0048,-0.0352,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0089,,
0.0436,178,0,41.2825,6.6718,626.7719,41.7691,38.1864,607.0316,-0.0337,0.0037,-0.0351,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.0557,178,0,41.2204,6.9473,627.3245,41.5439,38.4639,607.5842,-0.0346,0.0052,-0.0346,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0089,,
0.0680,178,0,41.2204,6.9473,627.3245,41.5439,38.4639,607.5842,-0.0346,0.0052,-0.0346,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0089,,
0.0764,178,0,41.0231,6.8199,626.9465,41.5069,38.3345,607.2062,-0.0336,0.0057,-0.0346,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.0876,178,0,41.0231,6.8199,626.9465,41.5069,38.3345,607.2062,-0.0336,0.0057,-0.0346,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.0999,178,0,40.4804,7.6591,626.4842,41.1084,39.1711,606.7439,-0.0343,0.0042,-0.0359,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.1118,178,0,40.4491,8.5573,626.0191,40.9120,40.0722,606.2788,-0.0326,0.0056,-0.0360,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.1240,178,0,40.4491,8.5573,626.0191,40.9120,40.0722,606.2788,-0.0326,0.0056,-0.0360,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.1326,178,0,40.6682,8.8521,625.1414,41.2844,40.3643,605.4011,-0.0304,0.0057,-0.0360,0.9989,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.1437,178,0,40.2316,9.7692,625.0547,38.4582,41.2376,605.3144,0.3903,0.2850,-0.1682,0.8591,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.1559,178,0,40.2316,9.7692,625.0547,38.4582,41.2376,605.3144,0.3903,0.2850,-0.1682,0.8591,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.1680,178,0,40.8458,10.0447,624.6928,41.3234,41.5593,604.9525,-0.0316,0.0040,-0.0365,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.1799,178,0,41.7408,11.0673,623.3871,42.3517,42.5797,603.6469,-0.0317,0.0063,-0.0356,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.1918,178,0,41.7408,11.0673,623.3871,42.3517,42.5797,603.6469,-0.0317,0.0063,-0.0356,0.9988,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.2004,178,0,41.6815,11.4950,622.5070,42.1420,43.0099,602.7667,-0.0291,0.0061,-0.0350,0.9989,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.2120,178,0,41.6815,11.4950,622.5070,42.1420,43.0099,602.7667,-0.0291,0.0061,-0.0350,0.9989,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.2242,178,0,42.4774,12.1663,621.1739,43.0770,43.6789,601.4336,-0.0302,0.0070,-0.0344,0.9989,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.2358,178,0,43.5345,13.6740,620.0748,43.9700,45.1893,600.3345,-0.0297,0.0082,-0.0347,0.9989,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.2479,178,0,43.5345,13.6740,620.0748,43.9700,45.1893,600.3345,-0.0297,0.0082,-0.0347,0.9989,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.2598,178,0,43.5749,13.9769,619.2570,43.8760,45.4937,599.5167,-0.0266,0.0086,-0.0343,0.9990,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.2686,178,0,43.5749,13.9769,619.2570,43.8760,45.4937,599.5167,-0.0266,0.0086,-0.0343,0.9990,1849.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.2797,178,0,44.6120,15.3371,618.2756,44.9050,46.8540,598.5353,-0.0291,0.0096,-0.0336,0.9990,1843.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.2929,178,0,45.7539,16.3094,615.5627,46.0434,47.8264,595.8224,-0.0268,0.0085,-0.0343,0.9990,1827.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.3041,178,0,45.7539,16.3094,615.5627,46.0434,47.8264,595.8224,-0.0268,0.0085,-0.0343,0.9990,1826.0000,1882.0000,1864.0000,5.1948,9.0057,,
0.3159,178,0,45.7648,16.6075,616.0235,46.2225,48.1224,596.2832,-0.0290,0.0097,-0.0347,0.9989,1826.0000,1882.0000,1864.0000,5.1983,9.0077,,
0.3245,178,0,45.4186,17.1003,614.8459,45.1827,48.6177,595.1056,-0.0467,0.3376,-0.0006,0.9401,1822.0000,1882.0000,1864.0000,5.1983,9.0077,,
0.3360,178,0,45.4186,17.1003,614.8459,45.1827,48.6177,595.1056,-0.0467,0.3376,-0.0006,0.9401,1822.0000,1882.0000,1864.0000,5.1983,9.0077,,
0.3479,178,0,46.8671,17.4091,613.6862,47.1317,48.9262,593.9459,-0.0279,0.0094,-0.0337,0.9990,1814.0000,1882.0000,1864.0000,5.1983,9.0077,,
0.3599,178,0,46.6541,17.4862,612.4890,46.2383,49.0017,592.7487,-0.0477,0.3377,0.0002,0.9401,1807.0000,1882.0000,1864.0000,5.1983,9.0077,,
0.3721,178,0,46.6541,17.4862,612.4890,46.2383,49.0017,592.7487,-0.0477,0.3377,0.0002,0.9401,1806.0000,1882.0000,1864.0000,5.1983,9.0077,,
0.3841,178,0,46.2980,17.8901,611.3628,46.7037,49.4058,591.6225,-0.0266,0.0115,-0.0335,0.9990,1799.0000,1882.0000,1864.0000,5.2019,9.0097,,
0.3927,178,0,46.2980,17.8901,611.3628,46.7037,49.4058,591.6225,-0.0266,0.0115,-0.0335,0.9990,1799.0000,1882.0000,1864.0000,5.2019,9.0097,,
0.4041,178,0,47.1887,18.0562,610.6917,47.4632,49.5733,590.9514,-0.0283,0.0114,-0.0336,0.9990,1794.0000,1882.0000,1864.0000,5.2019,9.0130,,
0.4162,178,0,47.6207,18.3727,608.5076,47.8747,49.8900,588.7673,-0.0280,0.0117,-0.0337,0.9990,1780.0000,1882.0000,1864.0000,5.2019,9.0130,,
0.4291,178,0,47.6207,18.3727,608.5076,47.8747,49.8900,588.7673,-0.0280,0.0117,-0.0337,0.9990,1780.0000,1882.0000,1864.0000,5.2055,9.0150,,
0.4418,178,0,47.9640,18.4371,607.3391,48.5139,49.9505,587.5988,-0.0279,0.0133,-0.0338,0.9990,1772.0000,1882.0000,1864.0000,5.2090,9.0170,,
0.4520,178,0,48.3744,19.2723,605.5778,48.4910,50.7904,585.8375,-0.0265,0.0138,-0.0330,0.9990,1760.0000,1882.0000,1864.0000,5.2090,9.0170,,
0.4606,178,0,48.3744,19.2723,605.5778,48.4910,50.7904,585.8375,-0.0265,0.0138,-0.0330,0.9990,1760.0000,1882.0000,1864.0000,5.2126,9.0190,,
0.4717,178,0,48.1567,19.5949,604.6462,48.8336,51.1059,584.9059,-0.0273,0.0156,-0.0332,0.9990,1753.0000,1882.0000,1864.0000,5.2161,9.0210,,
0.4837,178,0,48.1567,19.5949,604.6462,48.8336,51.1059,584.9059,-0.0273,0.0156,-0.0332,0.9990,1753.0000,1882.0000,1864.0000,5.2161,9.0210,,
0.4957,178,0,48.6856,20.1780,602.1064,49.0639,51.6940,582.3661,-0.0249,0.0148,-0.0334,0.9990,1735.0000,1882.0000,1864.0000,5.2197,9.0230,,
0.5079,178,0,49.4553,21.3552,600.0624,49.6594,52.8728,580.3221,-0.0239,0.0156,-0.0328,0.9991,1721.0000,1882.0000,1864.0000,5.2197,9.0230,,
0.5168,178,0,49.4553,21.3552,600.0624,49.6594,52.8728,580.3221,-0.0239,0.0156,-0.0328,0.9991,1721.0000,1882.0000,1864.0000,5.2268,9.0271,,
0.5278,178,0,50.0486,21.6989,598.9085,50.4220,53.2149,579.1682,-0.0239,0.0155,-0.0333,0.9990,1712.0000,1882.0000,1864.0000,5.2304,9.0291,,
