{HEADER}
user_id: 555
target_id: 191
target_screen_position_mm: [216.03, -15.92]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 4.0882
endpoint_error_mm: [6.3278, 1.0195, 0.3549]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,191,0,194.3380,-21.3308,682.2926,196.4176,10.4275,663.6747,-0.0599,0.0440,-0.0524,0.9959,1843.0000,1866.0000,1837.0000,21.2522,2.2707,,
0.0121,191,0,196.1702,-25.7102,680.8467,197.9008,6.0689,662.2288,-0.0629,0.0465,-0.0513,0.9956,1827.0000,1866.0000,1837.0000,21.2265,2.2562,,
0.0240,191,0,199.0669,-28.7530,679.5087,200.8201,3.0249,660.8908,-0.0632,0.0439,-0.0488,0.9958,1827.0000,1866.0000,1837.0000,21.2265,2.2562,,
0.0360,191,0,199.0669,-28.7530,679.5087,200.8201,3.0249,660.8908,-0.0632,0.0439,-0.0488,0.9958,1812.0000,1866.0000,1837.0000,21.2233,2.2543,,
0.0482,191,0,200.8954,-29.2948,681.9595,202.7746,2.4759,663.3416,-0.0619,0.0452,-0.0486,0.9959,1812.0000,1866.0000,1837.0000,21.2233,2.2543,,
0.0561,191,0,202.4657,-29.1710,680.9090,204.1656,2.6098,662.2911,-0.0661,0.0484,-0.0480,0.9955,1812.0000,1866.0000,1837.0000,21.2233,2.2543,,
0.0682,191,0,202.4657,-29.1710,680.9090,204.1656,2.6098,662.2911,-0.0661,0.0484,-0.0480,0.9955,1812.0000,1866.0000,1837.0000,21.2233,2.2543,,
0.0802,191,0,202.7133,-28.7036,680.7913,204.1128,3.0918,662.1734,-0.0634,0.0476,-0.0485,0.9957,1812.0000,1866.0000,1837.0000,21.2233,2.2543,,
0.0921,191,0,201.9746,-25.3055,680.0726,203.3574,6.4907,661.4547,-0.0628,0.0473,-0.0507,0.9956,1812.0000,1866.0000,1837.0000,21.2233,2.2511,,
0.1041,191,0,201.9746,-25.3055,680.0726,203.3574,6.4907,661.4547,-0.0628,0.0473,-0.0507,0.9956,1812.0000,1866.0000,1837.0000,21.2262,2.2462,,
0.1161,191,0,202.2198,-23.7516,682.2323,203.7368,8.0384,663.6144,-0.0637,0.0470,-0.0517,0.9955,1812.0000,1866.0000,1837.0000,21.2575,2.2219,,
0.1241,191,0,202.2198,-23.7516,682.2323,203.7368,8.0384,663.6144,-0.0637,0.0470,-0.0517,0.9955,1812.0000,1866.0000,1837.0000,21.3145,2.1864,,
0.1362,191,0,201.0874,-19.4809,681.0471,202.9786,12.2890,662.4292,-0.0601,0.0454,-0.0539,0.9957,1812.0000,1866.0000,1837.0000,21.4336,2.0956,,
0.1482,191,0,199.8318,-14.9459,681.3616,201.7618,16.8218,662.7437,-0.0604,0.0457,-0.0551,0.9956,1811.0000,1867.0000,1837.0000,21.5167,1.9417,,
0.1602,191,0,199.8318,-14.9459,681.3616,201.7618,16.8218,662.7437,-0.0604,0.0457,-0.0551,0.9956,1811.0000,1867.0000,1837.0000,21.5021,1.7669,,
0.1721,191,0,199.2098,-12.5602,681.3427,201.0730,19.2115,662.7247,-0.0569,0.0451,-0.0558,0.9958,1811.0000,1867.0000,1837.0000,21.4697,1.7060,,
0.1801,191,0,196.4424,-5.9888,682.9763,198.5194,25.7695,664.3584,-0.0567,0.0435,-0.0568,0.9958,1811.0000,1867.0000,1837.0000,21.4665,1.7042,,
0.1921,191,0,196.4424,-5.9888,682.9763,198.5194,25.7695,664.3584,-0.0567,0.0435,-0.0568,0.9958,1811.0000,1867.0000,1837.0000,21.4694,1.7026,,
0.2041,191,0,195.1715,-1.5180,683.1528,197.2294,30.2417,664.5349,-0.0557,0.0441,-0.0580,0.9958,1811.0000,1867.0000,1837.0000,21.4864,1.6929,,
0.2161,191,0,192.7537,3.6901,682.3948,194.8147,35.4496,663.7769,-0.0532,0.0429,-0.0607,0.9958,1810.0000,1867.0000,1837.0000,21.5716,1.6446,,
0.2282,191,0,192.7537,3.6901,682.3948,194.8147,35.4496,663.7769,-0.0532,0.0429,-0.0607,0.9958,1810.0000,1867.0000,1837.0000,21.6790,1.5801,,
0.2401,191,0,192.7253,4.9236,684.0520,194.9689,36.6707,665.4341,-0.0522,0.0418,-0.0612,0.9959,1810.0000,1867.0000,1837.0000,21.7386,1.5464,,
0.2481,191,0,190.4826,7.1966,680.3395,192.8619,38.9338,661.7216,-0.0514,0.0433,-0.0602,0.9959,1810.0000,1867.0000,1837.0000,21.7414,1.5448,,
0.2602,191,0,190.4826,7.1966,680.3395,192.8619,38.9338,661.7216,-0.0514,0.0433,-0.0602,0.9959,1810.0000,1867.0000,1837.0000,21.7414,1.5448,,
0.2720,191,0,190.4428,8.2504,682.2805,192.6607,39.9993,663.6626,-0.0501,0.0409,-0.0594,0.9961,1810.0000,1867.0000,1837.0000,21.7414,1.5448,,
0.2840,191,0,190.2206,9.9213,680.1541,192.2568,41.6823,661.5362,-0.0495,0.0424,-0.0597,0.9961,1810.0000,1867.0000,1837.0000,21.7414,1.5448,,
0.2962,191,0,190.2206,9.9213,680.1541,192.2568,41.6823,661.5362,-0.0495,0.0424,-0.0597,0.9961,1809.0000,1867.0000,1837.0000,21.7414,1.5415,,
0.3042,191,0,189.5596,10.4192,677.6270,191.7905,42.1672,659.0090,-0.0489,0.0441,-0.0598,0.9960,1809.0000,1867.0000,1837.0000,21.7414,1.5415,,
0.3161,191,0,190.8992,10.7370,678.2498,198.2056,41.7132,659.6319,0.2377,0.0140,-0.1364,0.9616,1786.0000,1867.0000,1837.0000,21.7386,1.5431,,
0.3282,191,0,190.8992,10.7370,678.2498,198.2056,41.7132,659.6319,0.2377,0.0140,-0.1364,0.9616,1786.0000,1867.0000,1837.0000,21.7386,1.5431,,
0.3402,191,0,190.9073,10.4335,676.6674,197.5923,41.5497,658.0495,0.3163,0.2988,-0.1313,0.8907,1785.0000,1867.0000,1837.0000,21.7386,1.5431,,
0.3521,191,0,190.9073,10.4335,676.6674,197.5923,41.5497,658.0495,0.3163,0.2988,-0.1313,0.8907,1773.0000,1867.0000,1837.0000,21.7386,1.5431,,
0.3642,191,0,191.2502,10.0477,673.5665,193.6088,41.7864,654.9485,-0.0461,0.0456,-0.0575,0.9962,1773.0000,1867.0000,1837.0000,21.7418,1.5449,,
0.3721,191,0,192.4279,10.1233,673.7423,192.3392,41.9494,655.1244,-0.6248,0.3296,0.2260,0.6708,1734.0000,1867.0000,1837.0000,21.7450,1.5467,,
0.3841,191,0,192.4279,10.1233,673.7423,192.3392,41.9494,655.1244,-0.6248,0.3296,0.2260,0.6708,1734.0000,1867.0000,1837.0000,21.7482,1.5485,,
0.3961,191,0,193.1204,10.5201,672.8041,195.3282,42.2696,654.1862,-0.0499,0.0444,-0.0567,0.9962,1734.0000,1867.0000,1837.0000,21.7578,1.5540,,
0.4082,191,0,193.8203,10.9068,671.2980,195.6459,42.6806,652.6801,-0.0504,0.0441,-0.0564,0.9962,1724.0000,1867.0000,1837.0000,21.7578,1.5540,,
0.4202,191,0,193.8203,10.9068,671.2980,195.6459,42.6806,652.6801,-0.0504,0.0441,-0.0564,0.9962,1705.0000,1867.0000,1837.0000,21.7578,1.5540,,
0.4322,191,0,193.7870,11.2912,670.7984,195.7943,43.0540,652.1805,-0.0490,0.0458,-0.0563,0.9962,1698.0000,1867.0000,1837.0000,21.7610,1.5558,,
0.4400,191,0,194.5612,11.4827,668.9716,196.5408,43.2473,650.3536,-0.0454,0.0443,-0.0551,0.9965,1698.0000,1867.0000,1837.0000,21.7610,1.5558,,
0.4521,191,0,194.5612,11.4827,668.9716,196.5408,43.2473,650.3536,-0.0454,0.0443,-0.0551,0.9965,1675.0000,1867.0000,1837.0000,21.7614,1.5592,,
0.4642,191,0,195.4651,12.3112,668.8222,197.2651,44.0865,650.2043,-0.0480,0.0457,-0.0549,0.9963,1673.0000,1867.0000,1837.0000,21.7710,1.5647,,
0.4761,191,0,196.1555,12.5943,666.8972,198.3365,44.3457,648.2793,-0.0473,0.0459,-0.0542,0.9964,1672.0000,1867.0000,1837.0000,21.7742,1.5665,,
0.4882,191,0,196.1555,12.5943,666.8972,198.3365,44.3457,648.2793,-0.0473,0.0459,-0.0542,0.9964,1647.0000,1867.0000,1837.0000,21.7742,1.5665,,
0.4962,191,0,196.2611,12.7217,664.6142,198.0504,44.4976,645.9963,-0.0475,0.0460,-0.0539,0.9964,1647.0000,1867.0000,1837.0000,21.7742,1.5665,,
0.5082,191,0,196.2611,12.7217,664.6142,198.0504,44.4976,645.9963,-0.0475,0.0460,-0.0539,0.9964,1617.0000,1867.0000,1837.0000,21.7898,1.5721,,
0.5201,191,0,198.4018,13.0896,664.5828,200.5201,44.8453,645.9648,-0.0466,0.0460,-0.0524,0.9965,1617.0000,1867.0000,1837.0000,21.8026,1.5794,,
0.5322,191,0,198.8221,13.6603,659.7750,200.8245,45.4235,641.1570,-0.0466,0.0484,-0.0516,0.9964,1553.0000,1867.0000,1837.0000,21.8315,1.5957,,
0.5442,191,0,198.8221,13.6603,659.7750,200.8245,45.4235,641.1570,-0.0466,0.0484,-0.0516,0.9964,1552.0000,1867.0000,1837.0000,21.8347,1.6008,,
0.5563,191,0,199.1088,13.7712,659.3436,200.8933,45.5473,640.7257,-0.0468,0.0472,-0.0519,0.9964,1546.0000,1867.0000,1837.0000,21.8828,1.6281,,
0.5642,191,0,199.1088,13.7712,659.3436,200.8933,45.5473,640.7257,-0.0468,0.0472,-0.0519,0.9964,1545.0000,1867.0000,1837.0000,21.8860,1.6299,,
0.5763,191,0,197.4916,15.1280,654.8654,199.2810,46.9039,636.2474,-0.0445,0.0503,-0.0530,0.9963,1545.0000,1867.0000,1837.0000,21.8860,1.6299,,
0.5882,191,0,197.2617,16.5532,653.8558,199.1733,48.3219,635.2379,-0.0449,0.0485,-0.0544,0.9963,1472.0000,1867.0000,1837.0000,21.8860,1.6299,,
0.6001,191,0,197.1946,16.4490,653.2278,199.1048,48.2179,634.6099,-0.0465,0.0487,-0.0537,0.9963,1472.0000,1867.0000,1837.0000,21.8988,1.6372,,
0.6122,191,0,197.1946,16.4490,653.2278,199.1048,48.2179,634.6099,-0.0465,0.0487,-0.0537,0.9963,1463.0000,1867.0000,1837.0000,22.0848,1.7426,,
0.6243,191,0,197.4719,16.7081,652.9313,199.5392,48.4672,634.3134,-0.0439,0.0471,-0.0542,0.9965,1462.0000,1867.0000,1837.0000,22.2326,1.8263,,
0.6322,191,0,197.4719,16.7081,652.9313,199.5392,48.4672,634.3134,-0.0439,0.0471,-0.0542,0.9965,1457.0000,1867.0000,1837.0000,22.4287,1.9473,,
0.6443,191,0,196.6754,16.8202,649.4949,198.7021,48.5818,630.8770,-0.0479,0.0472,-0.0547,0.9962,1456.0000,1867.0000,1837.0000,22.6379,2.0659,,
0.6562,191,0,194.5330,16.9629,648.0336,196.4375,48.7321,629.4157,-0.0471,0.0470,-0.0554,0.9962,1411.0000,1867.0000,1837.0000,22.6701,2.0874,,
0.6682,191,0,194.5330,16.9629,648.0336,196.4375,48.7321,629.4157,-0.0471,0.0470,-0.0554,0.9962,1392.0000,1867.0000,1837.0000,22.7024,2.1057,,
0.6802,191,0,192.4272,16.0704,644.5665,194.4567,47.8319,625.9485,-0.0461,0.0478,-0.0555,0.9962,1392.0000,1867.0000,1837.0000,22.7120,2.1112,,
