{HEADER}
user_id: 555
target_id: 242
target_screen_position_mm: [71.92, 15.92]
fingertip_offset: [3.82, 32.70, 20.56]
completion_time: 6.9922
endpoint_error_mm: [-3.4763, -1.5866, -3.0111]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.228209, 14.711411, 15.368706, 8.330723]
control_points_accel: [5.490150, -4.420315, -4.407506, 3.337672]
stiffness_measurements: [0.287478, 0.118531, 0.091125, 0.382771]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,242,0,103.3597,73.0507,605.8215,106.4843,105.8215,585.2604,-0.0372,0.0556,-0.0526,0.9964,1855.0000,1827.0000,1840.0000,-13.7368,-7.1792,,
0.0121,242,0,102.1759,72.8331,606.1196,104.9667,105.6340,585.5585,-0.0378,0.0539,-0.0526,0.9964,1855.0000,1827.0000,1840.0000,-13.6370,-7.1226,,
0.0239,242,0,102.1759,72.8331,606.1196,104.9667,105.6340,585.5585,-0.0378,0.0539,-0.0526,0.9964,1855.0000,1827.0000,1840.0000,-13.4103,-6.9902,,
0.0359,242,0,99.6178,72.5251,607.6268,94.6971,105.0747,587.0657,0.1466,0.3334,0.0247,0.9310,1854.0000,1827.0000,1840.0000,-13.3376,-6.9490,,
0.0480,242,0,95.5624,71.5361,608.5059,98.6842,104.3071,587.9448,-0.0392,0.0492,-0.0524,0.9966,1854.0000,1827.0000,1840.0000,-13.2193,-6.8787,,
0.0560,242,0,95.5624,71.5361,608.5059,98.6842,104.3071,587.9448,-0.0392,0.0492,-0.0524,0.9966,1854.0000,1827.0000,1840.0000,-13.1408,-6.8303,,
0.0680,242,0,93.8300,71.1232,608.4719,96.6409,103.9224,587.9108,-0.0379,0.0473,-0.0524,0.9968,1854.0000,1827.0000,1840.0000,-13.1104,-6.8131,,
0.0801,242,0,88.6584,70.7150,609.8939,91.4942,103.5121,589.3328,-0.0366,0.0441,-0.0534,0.9969,1854.0000,1827.0000,1840.0000,-13.0740,-6.7925,,
0.0922,242,0,86.0666,71.0300,610.0989,88.9127,103.8261,589.5378,-0.0394,0.0435,-0.0540,0.9968,1854.0000,1827.0000,1840.0000,-13.0770,-6.7942,,
0.1041,242,0,86.0666,71.0300,610.0989,88.9127,103.8261,589.5378,-0.0394,0.0435,-0.0540,0.9968,1854.0000,1827.0000,1840.0000,-13.0770,-6.7942,,
0.1161,242,0,83.8340,71.6454,610.3525,87.3111,104.3807,589.7914,-0.0369,0.0429,-0.0550,0.9969,1854.0000,1827.0000,1840.0000,-13.0770,-6.7942,,
0.1241,242,0,83.8340,71.6454,610.3525,87.3111,104.3807,589.7914,-0.0369,0.0429,-0.0550,0.9969,1854.0000,1827.0000,1840.0000,-13.0770,-6.7942,,
