{HEADER}
user_id: 555
target_id: 274
target_screen_position_mm: [104.04, 32.12]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 4.9920
endpoint_error_mm: [-1.1279, -1.9536, -0.4368]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,274,0,8.4478,-45.4534,774.8339,5.1241,-13.8012,756.2160,-0.0353,-0.0066,0.0291,0.9989,1845.0000,1777.0000,1835.0000,22.5557,-1.3601,,
0.0120,274,0,8.4478,-45.4534,774.8339,5.1241,-13.8012,756.2160,-0.0353,-0.0066,0.0291,0.9989,1845.0000,1793.0000,1835.0000,22.5529,-1.3585,,
0.0238,274,0,7.1958,-45.2208,770.3805,4.0916,-13.5463,751.7626,-0.0331,-0.0033,0.0287,0.9990,1845.0000,1808.0000,1835.0000,22.4970,-1.3235,,
0.0358,274,0,7.9658,-45.2961,772.4026,4.8349,-13.6242,753.7847,-0.0340,-0.0043,0.0285,0.9990,1845.0000,1789.0000,1835.0000,22.2397,-1.1777,,
0.0439,274,0,7.9658,-45.2961,772.4026,4.8349,-13.6242,753.7847,-0.0340,-0.0043,0.0285,0.9990,1845.0000,1804.0000,1835.0000,22.1580,-1.1317,,
0.0559,274,0,7.8215,-45.4692,770.0287,4.3106,-13.8372,751.4108,-0.0316,-0.0054,0.0290,0.9991,1845.0000,1815.0000,1835.0000,21.9110,-1.0172,,
0.0680,274,0,10.4542,-46.4940,770.4774,6.7649,-14.8823,751.8594,-0.0343,-0.0044,0.0283,0.9990,1845.0000,1829.0000,1835.0000,21.7469,-0.9892,,
0.0800,274,0,10.4542,-46.4940,770.4774,6.7649,-14.8823,751.8594,-0.0343,-0.0044,0.0283,0.9990,1845.0000,1838.0000,1835.0000,21.7314,-0.9948,,
0.0919,274,0,11.5050,-47.1958,765.1984,8.2084,-15.5407,746.5805,-0.0348,-0.0031,0.0264,0.9990,1845.0000,1840.0000,1835.0000,21.7219,-1.0002,,
0.1040,274,0,13.5416,-46.3314,763.4362,10.4466,-14.6561,744.8183,-0.0325,-0.0029,0.0243,0.9992,1845.0000,1851.0000,1831.0000,21.7219,-1.0002,,
0.1119,274,0,13.5416,-46.3314,763.4362,10.4466,-14.6561,744.8183,-0.0325,-0.0029,0.0243,0.9992,1845.0000,1857.0000,1829.0000,21.7219,-1.0002,,
0.1240,274,0,13.7283,-45.6475,764.1138,10.6241,-13.9730,745.4958,-0.0321,-0.0010,0.0241,0.9992,1845.0000,1864.0000,1827.0000,21.7247,-1.0051,,
0.1359,274,0,12.2673,-43.4216,759.2394,9.3606,-11.7283,740.6215,-0.0324,-0.0052,0.0197,0.9993,1845.0000,1869.0000,1827.0000,21.7275,-1.0067,,
0.1480,274,0,12.2673,-43.4216,759.2394,9.3606,-11.7283,740.6215,-0.0324,-0.0052,0.0197,0.9993,1845.0000,1869.0000,1826.0000,21.7303,-1.0083,,
0.1600,274,0,11.5895,-41.9030,758.0242,9.0554,-10.1778,739.4062,-0.0264,-0.0046,0.0161,0.9995,1845.0000,1869.0000,1826.0000,21.7331,-1.0099,,
0.1679,274,0,10.3926,-39.0600,753.5267,8.2361,-7.3069,734.9088,-0.0312,-0.0031,0.0110,0.9994,1845.0000,1869.0000,1824.0000,21.7331,-1.0099,,
0.1800,274,0,10.3926,-39.0600,753.5267,8.2361,-7.3069,734.9088,-0.0312,-0.0031,0.0110,0.9994,1845.0000,1869.0000,1824.0000,21.7331,-1.0099,,
0.1919,274,0,10.4389,-36.7192,752.3107,8.0974,-4.9792,733.6927,-0.0284,-0.0037,0.0090,0.9995,1845.0000,1869.0000,1824.0000,21.7331,-1.0099,,
0.2039,274,0,9.7685,-33.2489,748.8369,8.1660,-1.4630,730.2189,-0.0302,-0.0011,0.0039,0.9995,1844.0000,1869.0000,1825.0000,21.7359,-1.0115,,
0.2159,274,0,9.1778,-31.9343,746.3264,7.3906,-0.1583,727.7084,-0.0269,-0.0020,0.0029,0.9996,1842.0000,1869.0000,1825.0000,21.7359,-1.0115,,
0.2280,274,0,9.1778,-31.9343,746.3264,7.3906,-0.1583,727.7084,-0.0269,-0.0020,0.0029,0.9996,1840.0000,1869.0000,1827.0000,21.7359,-1.0115,,
0.2359,274,0,8.8274,-29.9879,745.7329,7.2249,1.7980,727.1150,-0.0268,-0.0030,0.0007,0.9996,1839.0000,1869.0000,1827.0000,21.7359,-1.0082,,
0.2480,274,0,8.8274,-29.9879,745.7329,7.2249,1.7980,727.1150,-0.0268,-0.0030,0.0007,0.9996,1837.0000,1869.0000,1830.0000,21.7232,-1.0154,,
0.2599,274,0,8.1863,-27.2253,742.8124,6.5838,4.5606,724.1945,-0.0231,-0.0026,-0.0004,0.9997,1836.0000,1869.0000,1831.0000,21.7136,-1.0208,,
0.2718,274,0,6.3338,-25.0804,737.6884,4.7314,6.7055,719.0705,-0.0234,-0.0017,0.0004,0.9997,1832.0000,1869.0000,1834.0000,21.6977,-1.0265,,
0.2840,274,0,6.1270,-24.1395,734.9227,4.5245,7.6463,716.3048,-0.0233,-0.0038,0.0002,0.9997,1831.0000,1869.0000,1835.0000,21.6977,-1.0265,,
0.2959,274,0,6.1270,-24.1395,734.9227,4.5245,7.6463,716.3048,-0.0233,-0.0038,0.0002,0.9997,1828.0000,1869.0000,1835.0000,21.6977,-1.0232,,
0.3039,274,0,5.4065,-22.9176,734.1478,3.8040,8.8682,715.5298,-0.0212,-0.0018,-0.0003,0.9998,1827.0000,1869.0000,1835.0000,21.6977,-1.0232,,
0.3160,274,0,2.6767,-20.5789,729.5613,1.4396,11.2233,710.9434,-0.0198,-0.0036,-0.0026,0.9998,1825.0000,1869.0000,1835.0000,21.6977,-1.0232,,
0.3279,274,0,2.6767,-20.5789,729.5613,1.4396,11.2233,710.9434,-0.0198,-0.0036,-0.0026,0.9998,1822.0000,1869.0000,1835.0000,21.6977,-1.0232,,
0.3399,274,0,1.9433,-19.8495,730.2935,0.5174,11.9448,711.6756,-0.0199,-0.0033,-0.0032,0.9998,1821.0000,1868.0000,1835.0000,21.6977,-1.0232,,
0.3519,274,0,-2.0157,-17.6342,722.9650,-3.4416,14.1601,704.3470,-0.0202,-0.0040,-0.0046,0.9998,1818.0000,1863.0000,1835.0000,21.6977,-1.0232,,
0.3599,274,0,-2.0157,-17.6342,722.9650,-3.4416,14.1601,704.3470,-0.0202,-0.0040,-0.0046,0.9998,1819.0000,1859.0000,1835.0000,21.6977,-1.0232,,
0.3720,274,0,-2.4393,-16.1933,722.8394,-3.8690,15.6008,704.2214,-0.0205,-0.0078,-0.0057,0.9997,1820.0000,1852.0000,1835.0000,21.6977,-1.0100,,
0.3840,274,0,-4.4013,-13.7960,718.9221,-5.4777,18.0120,700.3041,-0.0155,-0.0050,-0.0063,0.9998,1821.0000,1847.0000,1835.0000,21.6949,-1.0051,,
0.3959,274,0,-4.4013,-13.7960,718.9221,-5.4777,18.0120,700.3041,-0.0155,-0.0050,-0.0063,0.9998,1820.0000,1839.0000,1835.0000,21.6949,-1.0018,,
0.4080,274,0,-3.9139,-12.6532,715.4012,-5.1745,19.1480,696.7833,-0.0158,-0.0054,-0.0062,0.9998,1819.0000,1830.0000,1835.0000,21.6921,-1.0002,,
0.4200,274,0,-4.4243,-10.2465,707.8477,-5.3317,21.5668,689.2297,-0.0181,-0.0042,-0.0093,0.9998,1819.0000,1825.0000,1835.0000,21.6865,-0.9937,,
0.4279,274,0,-4.4243,-10.2465,707.8477,-5.3317,21.5668,689.2297,-0.0181,-0.0042,-0.0093,0.9998,1815.0000,1815.0000,1835.0000,21.6781,-0.9889,,
0.4400,274,0,-3.5532,-9.5987,707.3389,-3.7105,22.2272,688.7210,0.5093,0.2382,-0.1462,0.8140,1814.0000,1811.0000,1835.0000,21.6556,-0.9729,,
0.4519,274,0,-2.1744,-8.2909,703.6338,-3.0930,23.5220,685.0159,-0.0156,-0.0033,-0.0116,0.9998,1808.0000,1805.0000,1835.0000,21.5149,-0.8833,,
0.4639,274,0,-2.1744,-8.2909,703.6338,-3.0930,23.5220,685.0159,-0.0156,-0.0033,-0.0116,0.9998,1805.0000,1802.0000,1835.0000,21.5037,-0.8736,,
0.4760,274,0,-1.0159,-7.7131,703.3179,-2.1035,24.0945,684.7000,-0.0149,-0.0032,-0.0106,0.9998,1803.0000,1801.0000,1835.0000,21.5068,-0.8718,,
0.4839,274,0,-1.0159,-7.7131,703.3179,-2.1035,24.0945,684.7000,-0.0149,-0.0032,-0.0106,0.9998,1799.0000,1800.0000,1835.0000,21.5100,-0.8700,,
0.4959,274,0,0.9427,-7.6134,696.1620,-0.4907,24.1805,677.5441,-0.0155,-0.0016,-0.0081,0.9998,1797.0000,1799.0000,1835.0000,21.5100,-0.8634,,
0.5080,274,0,2.1824,-6.3713,691.0889,1.2641,25.4416,672.4709,-0.0155,0.0000,-0.0088,0.9998,1783.0000,1790.0000,1835.0000,21.5076,-0.8551,,
0.5199,274,0,3.0688,-5.6712,690.2704,2.1393,26.1414,671.6525,-0.0129,-0.0002,-0.0092,0.9999,1778.0000,1792.0000,1835.0000,21.4882,-0.8339,,
