{HEADER}
user_id: 555
target_id: 280
target_screen_position_mm: [200.11, 32.12]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 6.4802
endpoint_error_mm: [-9.3192, 8.2169, -1.1950]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,280,0,181.2894,-39.3890,662.0726,181.8570,-7.5679,643.4547,-0.0280,0.0247,-0.0332,0.9988,1843.0000,1857.0000,1838.0000,15.6970,6.7070,,
0.0120,280,0,181.8331,-39.9231,663.4336,182.5704,-8.1054,644.8157,-0.0267,0.0248,-0.0338,0.9988,1843.0000,1857.0000,1838.0000,15.6970,6.7070,,
0.0200,280,0,181.8331,-39.9231,663.4336,182.5704,-8.1054,644.8157,-0.0267,0.0248,-0.0338,0.9988,1843.0000,1857.0000,1838.0000,15.6970,6.7070,,
0.0320,280,0,182.6479,-40.1506,663.7083,183.3533,-8.3321,645.0903,-0.0290,0.0225,-0.0342,0.9987,1843.0000,1857.0000,1838.0000,15.6970,6.7070,,
0.0440,280,0,182.6479,-40.1506,663.7083,183.3533,-8.3321,645.0903,-0.0290,0.0225,-0.0342,0.9987,1843.0000,1857.0000,1838.0000,15.6970,6.7070,,
0.0561,280,0,184.4191,-39.6050,664.5323,185.1808,-7.7879,645.9144,-0.0286,0.0237,-0.0355,0.9987,1843.0000,1857.0000,1838.0000,15.6970,6.7070,,
0.0681,280,0,185.7829,-37.5508,662.7529,186.3330,-5.7293,644.1350,-0.0289,0.0252,-0.0367,0.9986,1843.0000,1857.0000,1838.0000,15.6970,6.7038,,
0.0801,280,0,185.7829,-37.5508,662.7529,186.3330,-5.7293,644.1350,-0.0289,0.0252,-0.0367,0.9986,1843.0000,1857.0000,1838.0000,15.6938,6.7019,,
0.0880,280,0,185.6780,-36.5365,659.6495,186.5950,-4.7234,641.0316,-0.0293,0.0280,-0.0371,0.9985,1843.0000,1857.0000,1838.0000,15.6938,6.7019,,
0.1000,280,0,185.6780,-36.5365,659.6495,186.5950,-4.7234,641.0316,-0.0293,0.0280,-0.0371,0.9985,1843.0000,1857.0000,1838.0000,15.6874,6.6983,,
0.1120,280,0,187.4225,-32.7424,662.2253,188.4968,-0.9343,643.6074,-0.0297,0.0243,-0.0393,0.9985,1843.0000,1857.0000,1838.0000,15.6810,6.6947,,
0.1241,280,0,187.5784,-29.0016,660.5896,188.6526,2.8065,641.9717,-0.0281,0.0266,-0.0410,0.9984,1843.0000,1857.0000,1838.0000,15.6775,6.6893,,
0.1361,280,0,187.5131,-27.0524,659.5229,188.6020,4.7552,640.9050,-0.0264,0.0283,-0.0421,0.9984,1843.0000,1857.0000,1838.0000,15.6943,6.6616,,
0.1440,280,0,187.5131,-27.0524,659.5229,188.6020,4.7552,640.9050,-0.0264,0.0283,-0.0421,0.9984,1843.0000,1857.0000,1838.0000,15.7359,6.6311,,
0.1560,280,0,186.8866,-25.2896,656.4827,188.2891,6.5057,637.8647,-0.0239,0.0286,-0.0429,0.9984,1843.0000,1858.0000,1838.0000,15.9354,6.5011,,
0.1681,280,0,186.8866,-25.2896,656.4827,188.2891,6.5057,637.8647,-0.0239,0.0286,-0.0429,0.9984,1843.0000,1858.0000,1838.0000,16.0426,6.4305,,
0.1800,280,0,187.1556,-21.4196,658.7599,188.5646,10.3755,640.1420,-0.0252,0.0286,-0.0449,0.9983,1843.0000,1858.0000,1838.0000,16.1052,6.3886,,
0.1921,280,0,186.1731,-18.5342,660.5732,187.4180,13.2676,641.9553,-0.0235,0.0267,-0.0450,0.9984,1843.0000,1858.0000,1838.0000,16.2718,6.2552,,
0.2040,280,0,186.1731,-18.5342,660.5732,187.4180,13.2676,641.9553,-0.0235,0.0267,-0.0450,0.9984,1843.0000,1858.0000,1838.0000,16.2956,6.2287,,
0.2120,280,0,184.2346,-17.2613,658.0906,182.4599,14.5154,639.4727,0.2502,0.0511,-0.1246,0.9588,1843.0000,1858.0000,1838.0000,16.3075,6.2187,,
0.2241,280,0,182.7880,-14.6120,660.5858,184.3380,17.1765,641.9679,-0.0221,0.0243,-0.0469,0.9984,1843.0000,1858.0000,1838.0000,16.3104,6.2170,,
0.2361,280,0,182.7880,-14.6120,660.5858,184.3380,17.1765,641.9679,-0.0221,0.0243,-0.0469,0.9984,1843.0000,1858.0000,1838.0000,16.3104,6.2138,,
0.2481,280,0,181.7945,-13.2908,659.8893,183.3189,18.4989,641.2714,-0.0213,0.0255,-0.0477,0.9983,1843.0000,1858.0000,1838.0000,16.3104,6.2138,,
0.2600,280,0,181.2531,-12.9520,658.7066,182.6665,18.8429,640.0887,-0.0218,0.0273,-0.0492,0.9982,1781.0000,1858.0000,1838.0000,16.3104,6.2138,,
0.2721,280,0,181.2531,-12.9520,658.7066,182.6665,18.8429,640.0887,-0.0218,0.0273,-0.0492,0.9982,1781.0000,1858.0000,1838.0000,16.3169,6.2174,,
0.2800,280,0,180.6953,-12.9512,653.8484,186.2155,18.3927,635.2305,0.0000,0.0000,0.0000,1.0000,1781.0000,1858.0000,1838.0000,16.3169,6.2174,,
