{HEADER}
user_id: 555
target_id: 288
target_screen_position_mm: [-152.07, 48.04]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 4.6720
endpoint_error_mm: [20.7550, -2.6034, -1.4558]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,288,0,-197.3406,-60.4913,860.4968,-196.2299,-28.6845,841.8788,-0.0230,0.0348,-0.0449,0.9981,1849.0000,1588.0000,1843.0000,11.7861,10.3520,,
0.0078,288,0,-196.9419,-60.1374,865.9208,-195.7734,-28.3326,847.3029,-0.0282,0.0425,-0.0426,0.9978,1849.0000,1599.0000,1843.0000,11.5631,10.4688,,
0.0199,288,0,-191.2527,-62.8845,861.2523,-189.8441,-31.0895,842.6343,-0.0238,0.0390,-0.0410,0.9981,1849.0000,1610.0000,1843.0000,11.3264,10.6150,,
0.0319,288,0,-191.2527,-62.8845,861.2523,-189.8441,-31.0895,842.6343,-0.0238,0.0390,-0.0410,0.9981,1849.0000,1622.0000,1840.0000,10.2760,11.2234,,
0.0439,288,0,-191.6557,-63.9948,863.7845,-190.5189,-32.1889,845.1666,-0.0256,0.0393,-0.0405,0.9981,1849.0000,1635.0000,1834.0000,9.1716,11.8423,,
0.0560,288,0,-189.9469,-71.4603,865.6573,-189.2217,-39.6423,847.0394,-0.0269,0.0443,-0.0421,0.9978,1850.0000,1644.0000,1829.0000,8.4446,12.2513,,
0.0679,288,0,-184.9494,-77.0630,868.2642,-183.5635,-45.2670,849.6463,-0.0323,0.0437,-0.0450,0.9975,1850.0000,1651.0000,1826.0000,8.2655,12.4335,,
0.0759,288,0,-184.9494,-77.0630,868.2642,-183.5635,-45.2670,849.6463,-0.0323,0.0437,-0.0450,0.9975,1850.0000,1659.0000,1821.0000,8.2624,12.4540,,
0.0880,288,0,-175.4360,-85.4252,863.5310,-174.0638,-53.6285,844.9131,-0.0320,0.0472,-0.0468,0.9973,1850.0000,1665.0000,1819.0000,8.2624,12.4508,,
0.1000,288,0,-166.5390,-94.6344,864.6027,-165.7788,-62.8173,845.9847,-0.0390,0.0507,-0.0402,0.9971,1850.0000,1677.0000,1813.0000,8.2721,12.4421,,
0.1120,288,0,-166.5390,-94.6344,864.6027,-165.7788,-62.8173,845.9847,-0.0390,0.0507,-0.0402,0.9971,1850.0000,1688.0000,1808.0000,8.2754,12.4402,,
0.1239,288,0,-165.1851,-95.3156,864.5369,-164.2404,-63.5034,845.9190,-0.0401,0.0545,-0.0387,0.9970,1850.0000,1697.0000,1804.0000,8.2636,12.4156,,
0.1319,288,0,-164.6945,-94.9105,866.5544,-163.3569,-63.1124,847.9365,-0.0385,0.0543,-0.0447,0.9968,1850.0000,1700.0000,1803.0000,8.2420,12.3965,,
0.1439,288,0,-164.6945,-94.9105,866.5544,-163.3569,-63.1124,847.9365,-0.0385,0.0543,-0.0447,0.9968,1850.0000,1707.0000,1800.0000,8.2172,12.3792,,
0.1560,288,0,-162.3968,-93.8375,858.0565,-160.6280,-62.0605,839.4386,-0.0418,0.0557,-0.0483,0.9964,1850.0000,1711.0000,1798.0000,8.2140,12.3806,,
0.1679,288,0,-161.7991,-88.6903,860.4379,-160.1951,-56.9045,841.8200,-0.0347,0.0587,-0.0505,0.9964,1850.0000,1690.0000,1787.0000,8.2140,12.3806,,
0.1800,288,0,-161.7991,-88.6903,860.4379,-160.1951,-56.9045,841.8200,-0.0347,0.0587,-0.0505,0.9964,1850.0000,1694.0000,1787.0000,8.2075,12.3811,,
0.1920,288,0,-160.5164,-86.9972,858.8912,-158.7835,-55.2182,840.2733,-0.0350,0.0606,-0.0512,0.9962,1850.0000,1696.0000,1786.0000,8.2075,12.3811,,
0.2000,288,0,-159.9130,-82.8067,857.9131,-157.9819,-51.0391,839.2952,-0.0335,0.0607,-0.0512,0.9963,1850.0000,1696.0000,1786.0000,8.2075,12.3811,,
0.2120,288,0,-159.9130,-82.8067,857.9131,-157.9819,-51.0391,839.2952,-0.0335,0.0607,-0.0512,0.9963,1850.0000,1697.0000,1787.0000,8.2075,12.3811,,
0.2240,288,0,-158.1467,-79.0908,853.5388,-156.2460,-47.3214,834.9209,-0.0345,0.0585,-0.0510,0.9964,1850.0000,1656.0000,1771.0000,8.2075,12.3843,,
0.2360,288,0,-157.0601,-72.3176,851.9789,-155.5401,-40.5277,833.3610,-0.0333,0.0597,-0.0494,0.9964,1850.0000,1656.0000,1773.0000,8.2108,12.3856,,
0.2479,288,0,-157.2903,-69.6154,851.8817,-155.7960,-37.8243,833.2638,-0.0311,0.0633,-0.0492,0.9963,1850.0000,1640.0000,1770.0000,8.2075,12.3875,,
0.2600,288,0,-157.2903,-69.6154,851.8817,-155.7960,-37.8243,833.2638,-0.0311,0.0633,-0.0492,0.9963,1850.0000,1638.0000,1773.0000,8.2043,12.3893,,
0.2679,288,0,-156.6825,-68.0251,851.5687,-154.9650,-36.2452,832.9507,-0.0306,0.0607,-0.0503,0.9964,1850.0000,1637.0000,1775.0000,8.2010,12.3912,,
0.2799,288,0,-153.9048,-63.9805,842.5317,-152.0153,-32.2104,823.9138,-0.0310,0.0598,-0.0504,0.9965,1850.0000,1543.0000,1749.0000,8.1945,12.3949,,
0.2920,288,0,-153.9048,-63.9805,842.5317,-152.0153,-32.2104,823.9138,-0.0310,0.0598,-0.0504,0.9965,1850.0000,1541.0000,1753.0000,8.1880,12.3986,,
