{HEADER}
user_id: 555
target_id: 301
target_screen_position_mm: [56.00, 48.04]
fingertip_offset: [3.82, 32.70, 20.56]
completion_time: 7.2600
endpoint_error_mm: [-7.8631, 5.4188, -4.3828]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.228209, 14.711411, 15.368706, 8.330723]
control_points_accel: [5.490150, -4.420315, -4.407506, 3.337672]
stiffness_measurements: [0.287478, 0.118531, 0.091125, 0.382771]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,301,0,-104.3264,-143.4051,749.0234,-96.1650,-111.5134,728.4623,-0.0768,-0.5527,-0.1539,0.8154,1839.0000,1835.0000,1842.0000,3.9961,-2.4966,,
0.0119,301,0,-104.3264,-143.4051,749.0234,-96.1650,-111.5134,728.4623,-0.0768,-0.5527,-0.1539,0.8154,1839.0000,1835.0000,1842.0000,3.9961,-2.4966,,
0.0238,301,0,-105.4970,-143.8442,748.2112,-104.3904,-110.9434,727.6501,-0.0924,-0.0914,-0.0353,0.9909,1839.0000,1835.0000,1842.0000,3.9961,-2.4966,,
0.0359,301,0,-107.9230,-143.0029,747.7301,-106.6002,-110.1100,727.1690,-0.0940,-0.0910,-0.0362,0.9907,1839.0000,1835.0000,1842.0000,3.9961,-2.4998,,
0.0439,301,0,-107.9230,-143.0029,747.7301,-106.6002,-110.1100,727.1690,-0.0940,-0.0910,-0.0362,0.9907,1839.0000,1835.0000,1842.0000,3.9961,-2.4998,,
0.0559,301,0,-109.2684,-142.0827,745.7834,-100.9400,-110.2342,725.2223,-0.0766,-0.5547,-0.1559,0.8137,1839.0000,1835.0000,1842.0000,3.9961,-2.4998,,
0.0679,301,0,-109.2684,-142.0827,745.7834,-100.9400,-110.2342,725.2223,-0.0766,-0.5547,-0.1559,0.8137,1839.0000,1835.0000,1842.0000,3.9961,-2.4998,,
0.0799,301,0,-111.6380,-140.8552,744.5713,-103.4751,-108.9639,724.0102,-0.0761,-0.5558,-0.1565,0.8129,1839.0000,1835.0000,1842.0000,3.9961,-2.4998,,
0.0919,301,0,-111.6380,-140.8552,744.5713,-103.4751,-108.9639,724.0102,-0.0761,-0.5558,-0.1565,0.8129,1839.0000,1835.0000,1842.0000,3.9961,-2.4998,,
0.0999,301,0,-112.5260,-138.9815,744.3205,-111.2663,-106.0862,723.7594,-0.0975,-0.0968,-0.0369,0.9898,1839.0000,1835.0000,1842.0000,3.9961,-2.4998,,
0.1119,301,0,-114.3840,-136.8671,742.7015,-106.3193,-104.9508,722.1404,-0.0741,-0.5567,-0.1581,0.8122,1839.0000,1835.0000,1842.0000,3.9961,-2.4998,,
0.1240,301,0,-114.3840,-136.8671,742.7015,-106.3193,-104.9508,722.1404,-0.0741,-0.5567,-0.1581,0.8122,1839.0000,1835.0000,1842.0000,3.9961,-2.4998,,
0.1360,301,0,-113.7887,-135.9786,742.1876,-112.3680,-103.0899,721.6265,-0.0933,-0.0980,-0.0374,0.9901,1839.0000,1835.0000,1842.0000,3.9961,-2.4998,,
0.1480,301,0,-113.7887,-135.9786,742.1876,-112.3680,-103.0899,721.6265,-0.0933,-0.0980,-0.0374,0.9901,1839.0000,1835.0000,1842.0000,3.9961,-2.4998,,
