{HEADER}
user_id: 555
target_id: 314
target_screen_position_mm: [-216.03, 63.96]
fingertip_offset: [-0.45, 31.52, 19.74]
completion_time: 5.5078
endpoint_error_mm: [-16.2708, 21.5033, 9.8004]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.910235, 11.334611, 8.883801, 6.058065]
control_points_accel: [-0.504066, -2.719759, -0.471926, 3.695751]
stiffness_measurements: [0.214700, 0.088950, 0.087119, 0.274221]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,314,0,-139.1869,-59.4284,574.7446,-140.4465,-27.9353,555.0043,-0.0306,0.0441,-0.0046,0.9985,1850.0000,1883.0000,1866.0000,4.8742,9.9567,,
0.0091,314,0,-139.1869,-59.4284,574.7446,-140.4465,-27.9353,555.0043,-0.0306,0.0441,-0.0046,0.9985,1850.0000,1883.0000,1866.0000,4.8742,9.9567,,
0.0198,314,0,-139.4462,-59.0340,574.1307,-140.8502,-27.5471,554.3904,-0.0319,0.0422,-0.0044,0.9986,1850.0000,1883.0000,1866.0000,4.8742,9.9567,,
0.0317,314,0,-139.4462,-59.0340,574.1307,-140.8502,-27.5471,554.3904,-0.0319,0.0422,-0.0044,0.9986,1850.0000,1883.0000,1866.0000,4.8742,9.9567,,
0.0435,314,0,-140.2866,-58.7326,573.7063,-141.2880,-27.2303,553.9660,-0.0325,0.0414,-0.0049,0.9986,1850.0000,1883.0000,1866.0000,4.8742,9.9567,,
0.0555,314,0,-140.7475,-58.8093,574.1044,-142.2706,-27.3278,554.3641,-0.0310,0.0422,-0.0050,0.9986,1850.0000,1883.0000,1866.0000,4.8742,9.9567,,
0.0677,314,0,-140.7475,-58.8093,574.1044,-142.2706,-27.3278,554.3641,-0.0310,0.0422,-0.0050,0.9986,1850.0000,1883.0000,1866.0000,4.8742,9.9567,,
0.0765,314,0,-140.5090,-58.2586,573.2861,-141.7686,-26.7655,553.5458,-0.0318,0.0420,-0.0047,0.9986,1850.0000,1883.0000,1866.0000,4.8742,9.9567,,
0.0875,314,0,-140.5090,-58.2586,573.2861,-141.7686,-26.7655,553.5458,-0.0318,0.0420,-0.0047,0.9986,1850.0000,1883.0000,1866.0000,4.8742,9.9567,,
0.0996,314,0,-140.6226,-58.0520,573.6899,-141.7594,-26.5543,553.9496,-0.0298,0.0418,-0.0049,0.9987,1850.0000,1883.0000,1866.0000,4.8742,9.9567,,
