{HEADER}
user_id: 555
target_id: 319
target_screen_position_mm: [-136.15, 63.96]
fingertip_offset: [0.71, 31.67, 21.52]
completion_time: 8.9201
endpoint_error_mm: [-7.1535, -5.0755, 5.4358]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,319,0,-52.0306,-118.5361,616.9220,-50.3461,-86.8996,595.4017,-0.3760,0.3093,0.0503,0.8720,1846.0000,1864.0000,1836.0000,8.2935,6.0390,,
0.0119,319,0,-52.3552,-119.2430,617.4741,-53.1295,-87.5711,595.9538,-0.0736,0.0704,-0.0119,0.9947,1846.0000,1864.0000,1836.0000,8.2935,6.0390,,
0.0239,319,0,-52.3552,-119.2430,617.4741,-53.1295,-87.5711,595.9538,-0.0736,0.0704,-0.0119,0.9947,1846.0000,1864.0000,1836.0000,8.2935,6.0390,,
0.0360,319,0,-51.9709,-120.4759,616.7682,-52.9372,-88.8093,595.2479,-0.0714,0.0676,-0.0127,0.9951,1846.0000,1864.0000,1836.0000,8.2935,6.0390,,
0.0480,319,0,-52.5413,-120.1783,616.4979,-53.6352,-88.5158,594.9776,-0.0714,0.0678,-0.0136,0.9950,1846.0000,1864.0000,1836.0000,8.2935,6.0390,,
0.0601,319,0,-52.5413,-120.1783,616.4979,-53.6352,-88.5158,594.9776,-0.0714,0.0678,-0.0136,0.9950,1846.0000,1864.0000,1836.0000,8.2935,6.0390,,
0.0680,319,0,-53.2259,-119.5564,616.6101,-53.7111,-87.8788,595.0898,-0.0731,0.0687,-0.0129,0.9949,1846.0000,1864.0000,1836.0000,8.2935,6.0390,,
0.0800,319,0,-54.0685,-118.1965,614.7153,-54.8703,-86.5253,593.1949,-0.0737,0.0694,-0.0138,0.9948,1846.0000,1864.0000,1836.0000,8.2935,6.0390,,
0.0920,319,0,-54.0685,-118.1965,614.7153,-54.8703,-86.5253,593.1949,-0.0737,0.0694,-0.0138,0.9948,1846.0000,1864.0000,1836.0000,8.2935,6.0390,,
0.1040,319,0,-54.2919,-118.0203,616.1572,-55.2513,-86.3535,594.6368,-0.0709,0.0686,-0.0152,0.9950,1846.0000,1864.0000,1836.0000,8.2935,6.0423,,
0.1160,319,0,-54.8957,-116.2258,613.7032,-55.8182,-84.5579,592.1829,-0.0714,0.0674,-0.0158,0.9950,1846.0000,1864.0000,1836.0000,8.2935,6.0423,,
0.1280,319,0,-54.8957,-116.2258,613.7032,-55.8182,-84.5579,592.1829,-0.0714,0.0674,-0.0158,0.9950,1846.0000,1864.0000,1836.0000,8.2935,6.0423,,
0.1359,319,0,-55.9990,-115.3980,615.5430,-56.8009,-83.7268,594.0226,-0.0715,0.0685,-0.0159,0.9950,1846.0000,1864.0000,1836.0000,8.2935,6.0456,,
0.1480,319,0,-57.2890,-113.8707,614.6346,-57.9255,-82.1957,593.1143,-0.0694,0.0679,-0.0174,0.9951,1846.0000,1864.0000,1836.0000,8.2935,6.0489,,
0.1600,319,0,-57.2890,-113.8707,614.6346,-57.9255,-82.1957,593.1143,-0.0694,0.0679,-0.0174,0.9951,1846.0000,1864.0000,1836.0000,8.2935,6.0489,,
0.1719,319,0,-57.9638,-113.4439,614.0994,-58.7350,-81.7720,592.5791,-0.0690,0.0683,-0.0188,0.9951,1846.0000,1864.0000,1836.0000,8.2935,6.0489,,
0.1839,319,0,-58.3530,-112.4163,611.0781,-58.7258,-80.7371,589.5577,-0.0693,0.0662,-0.0206,0.9952,1846.0000,1864.0000,1836.0000,8.2935,6.0489,,
0.1919,319,0,-58.3530,-112.4163,611.0781,-58.7258,-80.7371,589.5577,-0.0693,0.0662,-0.0206,0.9952,1846.0000,1864.0000,1836.0000,8.2935,6.0489,,
0.2040,319,0,-58.7434,-111.5773,611.5863,-59.2683,-79.9003,590.0660,-0.0678,0.0660,-0.0206,0.9953,1846.0000,1864.0000,1836.0000,8.2935,6.0521,,
0.2161,319,0,-58.7434,-111.5773,611.5863,-59.2683,-79.9003,590.0660,-0.0678,0.0660,-0.0206,0.9953,1846.0000,1864.0000,1836.0000,8.2935,6.0521,,
0.2280,319,0,-59.2764,-110.3766,612.6048,-55.6920,-78.8986,591.0845,0.1682,0.4270,-0.0837,0.8845,1846.0000,1864.0000,1836.0000,8.2935,6.0521,,
0.2400,319,0,-59.0922,-109.1191,609.9302,-59.1821,-77.4379,588.4099,-0.0673,0.0682,-0.0226,0.9951,1846.0000,1864.0000,1836.0000,8.2935,6.0521,,
0.2520,319,0,-59.0922,-109.1191,609.9302,-59.1821,-77.4379,588.4099,-0.0673,0.0682,-0.0226,0.9951,1846.0000,1864.0000,1836.0000,8.2935,6.0521,,
0.2600,319,0,-58.8490,-108.3806,609.5889,-58.9127,-76.6994,588.0686,-0.0659,0.0681,-0.0229,0.9952,1846.0000,1864.0000,1836.0000,8.2935,6.0521,,
0.2720,319,0,-58.4000,-107.1794,607.8288,-58.6283,-75.4988,586.3085,-0.0668,0.0688,-0.0228,0.9951,1846.0000,1864.0000,1836.0000,8.2935,6.0521,,
0.2840,319,0,-58.4000,-107.1794,607.8288,-58.6283,-75.4988,586.3085,-0.0668,0.0688,-0.0228,0.9951,1846.0000,1864.0000,1836.0000,8.2935,6.0521,,
0.2960,319,0,-57.6833,-106.5537,604.9867,-57.9005,-74.8731,583.4664,-0.0654,0.0683,-0.0229,0.9953,1846.0000,1864.0000,1836.0000,8.2935,6.0554,,
0.3080,319,0,-58.0680,-105.4145,604.0270,-58.4460,-73.7354,582.5067,-0.0656,0.0680,-0.0228,0.9953,1846.0000,1864.0000,1836.0000,8.2935,6.0554,,
0.3200,319,0,-58.0680,-105.4145,604.0270,-58.4460,-73.7354,582.5067,-0.0656,0.0680,-0.0228,0.9953,1846.0000,1864.0000,1836.0000,8.2935,6.0587,,
0.3280,319,0,-58.3332,-104.7971,604.3882,-62.0440,-73.3339,582.8679,0.2838,-0.2925,0.0509,0.9118,1846.0000,1864.0000,1836.0000,8.2935,6.0587,,
0.3401,319,0,-58.3332,-104.7971,604.3882,-62.0440,-73.3339,582.8679,0.2838,-0.2925,0.0509,0.9118,1846.0000,1864.0000,1836.0000,8.2935,6.0653,,
0.3520,319,0,-58.3908,-104.3184,602.6962,-58.3761,-72.6371,581.1759,-0.0638,0.0700,-0.0235,0.9952,1846.0000,1864.0000,1836.0000,8.2935,6.0653,,
0.3640,319,0,-58.2134,-103.3387,600.2325,-58.3547,-71.6577,578.7122,-0.0637,0.0705,-0.0243,0.9952,1846.0000,1864.0000,1836.0000,8.2935,6.0685,,
