{HEADER}
user_id: 555
target_id: 352
target_screen_position_mm: [-40.08, 79.88]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 5.8960
endpoint_error_mm: [0.0645, -0.1920, 5.5403]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,352,0,-29.7706,-86.9249,600.8735,-31.2148,-55.1315,582.2556,-0.0263,0.0296,0.0054,0.9992,1856.0000,1852.0000,1842.0000,12.8486,3.8881,,
0.0121,352,0,-29.7706,-86.9249,600.8735,-31.2148,-55.1315,582.2556,-0.0263,0.0296,0.0054,0.9992,1856.0000,1852.0000,1842.0000,12.8271,3.9035,,
0.0239,352,0,-30.4178,-86.7039,598.7960,-32.1705,-54.9260,580.1780,-0.0264,0.0286,0.0060,0.9992,1856.0000,1852.0000,1842.0000,12.8271,3.9035,,
0.0359,352,0,-30.4178,-86.7039,598.7960,-32.1705,-54.9260,580.1780,-0.0264,0.0286,0.0060,0.9992,1856.0000,1852.0000,1842.0000,12.8271,3.9035,,
0.0479,352,0,-32.7371,-85.8444,598.2921,-34.6317,-54.0746,579.6741,-0.0256,0.0274,0.0075,0.9993,1856.0000,1852.0000,1842.0000,12.8271,3.9035,,
0.0559,352,0,-32.7371,-85.8444,598.2921,-34.6317,-54.0746,579.6741,-0.0256,0.0274,0.0075,0.9993,1856.0000,1852.0000,1842.0000,12.8271,3.9035,,
0.0680,352,0,-34.2641,-85.2713,597.7023,-36.1587,-53.5015,579.0844,-0.0250,0.0278,0.0068,0.9993,1856.0000,1852.0000,1842.0000,12.8271,3.9035,,
0.0800,352,0,-36.4520,-84.5386,595.5531,-38.4940,-52.7779,576.9352,-0.0241,0.0281,0.0073,0.9993,1856.0000,1852.0000,1842.0000,12.8271,3.9035,,
0.0919,352,0,-36.4520,-84.5386,595.5531,-38.4940,-52.7779,576.9352,-0.0241,0.0281,0.0073,0.9993,1856.0000,1852.0000,1836.0000,12.8271,3.9035,,
0.1039,352,0,-37.2624,-84.5461,595.4537,-39.3038,-52.7854,576.8358,-0.0262,0.0284,0.0072,0.9992,1856.0000,1852.0000,1836.0000,12.8271,3.9035,,
0.1159,352,0,-38.2211,-85.0614,593.6804,-39.6813,-53.2687,575.0624,-0.0246,0.0260,0.0068,0.9993,1856.0000,1852.0000,1835.0000,12.8271,3.9035,,
0.1238,352,0,-38.2211,-85.0614,593.6804,-39.6813,-53.2687,575.0624,-0.0246,0.0260,0.0068,0.9993,1856.0000,1851.0000,1828.0000,12.8271,3.9003,,
0.1359,352,0,-39.2773,-85.3378,591.6208,-41.1550,-53.5670,573.0029,-0.0250,0.0275,0.0069,0.9993,1856.0000,1851.0000,1828.0000,12.8271,3.9003,,
0.1480,352,0,-40.7434,-85.2160,590.9401,-42.6431,-53.4465,572.3222,-0.0249,0.0276,0.0069,0.9993,1856.0000,1850.0000,1819.0000,12.8271,3.9003,,
0.1600,352,0,-40.7434,-85.2160,590.9401,-42.6431,-53.4465,572.3222,-0.0249,0.0276,0.0069,0.9993,1856.0000,1849.0000,1816.0000,12.8241,3.8954,,
0.1720,352,0,-41.4664,-85.3138,590.5460,-37.5381,-53.7309,571.9280,0.2274,0.0539,-0.0767,0.9693,1856.0000,1848.0000,1814.0000,12.8241,3.8922,,
0.1800,352,0,-42.1819,-84.8249,587.3292,-44.2184,-53.0639,568.7113,-0.0245,0.0258,0.0076,0.9993,1856.0000,1848.0000,1814.0000,12.8241,3.8922,,
0.1920,352,0,-42.1819,-84.8249,587.3292,-44.2184,-53.0639,568.7113,-0.0245,0.0258,0.0076,0.9993,1856.0000,1845.0000,1801.0000,12.8241,3.8890,,
0.2040,352,0,-42.1465,-84.9613,586.6760,-44.1934,-53.2010,568.0580,-0.0258,0.0252,0.0082,0.9993,1856.0000,1844.0000,1800.0000,12.8241,3.8794,,
0.2160,352,0,-43.6840,-84.2571,584.8575,-48.1268,-52.7425,566.2396,-0.1365,0.3853,0.0201,0.9124,1856.0000,1841.0000,1789.0000,12.8242,3.8632,,
0.2280,352,0,-43.6840,-84.2571,584.8575,-48.1268,-52.7425,566.2396,-0.1365,0.3853,0.0201,0.9124,1856.0000,1840.0000,1789.0000,12.8242,3.8504,,
0.2400,352,0,-44.3911,-84.1780,585.2394,-46.5567,-52.4255,566.6215,-0.0232,0.0257,0.0113,0.9993,1856.0000,1839.0000,1789.0000,12.8242,3.8504,,
0.2479,352,0,-45.2945,-82.8502,581.2213,-47.7539,-51.1191,562.6033,-0.0266,0.0240,0.0125,0.9993,1856.0000,1838.0000,1789.0000,12.8242,3.8504,,
0.2600,352,0,-45.2945,-82.8502,581.2213,-47.7539,-51.1191,562.6033,-0.0266,0.0240,0.0125,0.9993,1856.0000,1833.0000,1773.0000,12.8273,3.8487,,
0.2720,352,0,-45.9416,-82.0769,580.9530,-48.2464,-50.3343,562.3351,-0.0239,0.0250,0.0134,0.9993,1856.0000,1831.0000,1772.0000,12.8273,3.8391,,
0.2840,352,0,-46.5836,-80.5090,579.9860,-49.1531,-48.7867,561.3680,-0.0215,0.0261,0.0158,0.9993,1856.0000,1830.0000,1772.0000,12.8273,3.8199,,
0.2961,352,0,-46.5836,-80.5090,579.9860,-49.1531,-48.7867,561.3680,-0.0215,0.0261,0.0158,0.9993,1856.0000,1828.0000,1768.0000,12.8273,3.8071,,
0.3080,352,0,-46.5534,-79.5877,578.2388,-49.2764,-47.8781,559.6208,-0.0238,0.0258,0.0157,0.9993,1856.0000,1826.0000,1769.0000,12.8242,3.8054,,
0.3159,352,0,-46.0088,-77.6334,575.6176,-48.7271,-45.9235,556.9997,-0.0220,0.0256,0.0152,0.9993,1856.0000,1823.0000,1761.0000,12.8273,3.8071,,
0.3279,352,0,-46.0088,-77.6334,575.6176,-48.7271,-45.9235,556.9997,-0.0220,0.0256,0.0152,0.9993,1856.0000,1817.0000,1752.0000,12.8273,3.8071,,
0.3399,352,0,-45.6204,-76.2750,573.0156,-50.6837,-44.8541,554.3976,-0.2176,0.3339,0.0801,0.9136,1856.0000,1816.0000,1752.0000,12.8242,3.8089,,
0.3519,352,0,-44.5984,-75.0604,573.4338,-46.8941,-43.3171,554.8159,-0.0211,0.0290,0.0160,0.9992,1856.0000,1810.0000,1743.0000,12.8242,3.8057,,
0.3640,352,0,-44.5984,-75.0604,573.4338,-46.8941,-43.3171,554.8159,-0.0211,0.0290,0.0160,0.9992,1856.0000,1809.0000,1744.0000,12.8181,3.8025,,
