{HEADER}
user_id: 556
target_id: 122
target_screen_position_mm: [71.92, -48.04]
fingertip_offset: [0.66, 32.01, 21.19]
completion_time: 6.2195
endpoint_error_mm: [-10.2337, 21.8829, 1.7454]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [11.454477, 14.568182, 15.733547, 5.883597]
control_points_accel: [-5.588929, 2.910698, -10.791656, 13.469886]
stiffness_measurements: [0.172994, 0.080154, 0.098687, 0.137555]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,122,0,99.0996,66.4525,652.6548,96.4068,98.3563,631.4651,-0.0265,-0.0125,0.0189,0.9994,1815.0000,1862.0000,1841.0000,-0.0937,2.0311,,
0.0123,122,0,99.0996,66.4525,652.6548,96.4068,98.3563,631.4651,-0.0265,-0.0125,0.0189,0.9994,1815.0000,1862.0000,1841.0000,-0.0937,2.0311,,
0.0214,122,0,99.7286,66.4639,651.9752,95.3103,98.1748,630.7855,0.3876,-0.0360,0.0431,0.9201,1815.0000,1862.0000,1841.0000,-0.0937,2.0311,,
0.0323,122,0,99.7286,66.4639,651.9752,95.3103,98.1748,630.7855,0.3876,-0.0360,0.0431,0.9201,1815.0000,1862.0000,1841.0000,-0.0937,2.0311,,
0.0436,122,0,100.5806,65.6804,651.7280,97.4012,97.5394,630.5383,0.2964,0.1306,-0.0292,0.9457,1815.0000,1862.0000,1841.0000,-0.0937,2.0311,,
0.0556,122,0,99.8324,65.4054,649.9025,96.8471,97.2832,628.7128,-0.0282,-0.0134,0.0190,0.9993,1815.0000,1862.0000,1841.0000,-0.0937,2.0311,,
0.0676,122,0,99.8324,65.4054,649.9025,96.8471,97.2832,628.7128,-0.0282,-0.0134,0.0190,0.9993,1815.0000,1862.0000,1841.0000,-0.0966,2.0327,,
0.0766,122,0,101.4028,64.8375,651.9900,98.8794,96.7551,630.8003,-0.0279,-0.0130,0.0188,0.9994,1815.0000,1862.0000,1841.0000,-0.0966,2.0327,,
0.0876,122,0,101.4028,64.8375,651.9900,98.8794,96.7551,630.8003,-0.0279,-0.0130,0.0188,0.9994,1815.0000,1862.0000,1841.0000,-0.0966,2.0327,,
0.0996,122,0,100.4859,64.2227,651.3852,97.6374,96.1130,630.1955,-0.0271,-0.0124,0.0183,0.9994,1815.0000,1862.0000,1841.0000,-0.0966,2.0327,,
0.1118,122,0,99.7784,63.3330,651.2133,97.0797,95.2363,630.0236,-0.0275,-0.0100,0.0189,0.9994,1815.0000,1862.0000,1841.0000,-0.0966,2.0327,,
0.1236,122,0,99.6937,63.1888,650.3795,97.1512,95.1049,629.1898,-0.0278,-0.0113,0.0186,0.9994,1815.0000,1862.0000,1841.0000,-0.0966,2.0327,,
