{HEADER}
user_id: 556
target_id: 217
target_screen_position_mm: [152.07, 0.00]
fingertip_offset: [0.66, 32.01, 21.19]
completion_time: 11.6078
endpoint_error_mm: [-8.7860, 6.0111, -6.0137]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [11.454477, 14.568182, 15.733547, 5.883597]
control_points_accel: [-5.588929, 2.910698, -10.791656, 13.469886]
stiffness_measurements: [0.172994, 0.080154, 0.098687, 0.137555]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,217,0,49.6132,2.8793,773.1906,47.8282,34.8467,752.0009,-0.0294,-0.1058,0.0003,0.9940,1810.0000,1869.0000,1838.0000,9.6819,0.0629,,
0.0123,217,0,50.6912,1.2021,773.7188,48.7023,33.1575,752.5291,-0.0272,-0.1053,0.0013,0.9941,1810.0000,1869.0000,1838.0000,9.6819,0.0629,,
0.0251,217,0,50.6912,1.2021,773.7188,48.7023,33.1575,752.5291,-0.0272,-0.1053,0.0013,0.9941,1810.0000,1869.0000,1838.0000,9.6819,0.0629,,
0.0361,217,0,49.5294,0.3674,772.5703,47.5459,32.3232,751.3806,-0.0329,-0.1042,0.0010,0.9940,1810.0000,1869.0000,1838.0000,9.6819,0.0629,,
0.0448,217,0,49.5294,0.3674,772.5703,47.5459,32.3232,751.3806,-0.0329,-0.1042,0.0010,0.9940,1810.0000,1869.0000,1838.0000,9.6819,0.0629,,
0.0559,217,0,49.3326,-0.7671,774.5809,47.5488,31.2004,753.3912,-0.0311,-0.1070,0.0004,0.9938,1810.0000,1869.0000,1838.0000,9.6819,0.0629,,
0.0678,217,0,48.7193,-1.1310,772.3438,46.7250,30.8240,751.1541,-0.0297,-0.1058,-0.0000,0.9939,1810.0000,1869.0000,1838.0000,9.6782,0.0576,,
0.0805,217,0,48.7193,-1.1310,772.3438,46.7250,30.8240,751.1541,-0.0297,-0.1058,-0.0000,0.9939,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.0921,217,0,49.4841,-1.2502,774.1018,47.4963,30.7053,752.9121,-0.0299,-0.1041,0.0007,0.9941,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.1042,217,0,48.5087,-1.0104,768.7420,46.7186,30.9568,747.5523,-0.0290,-0.1060,0.0015,0.9939,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.1128,217,0,48.5087,-1.0104,768.7420,46.7186,30.9568,747.5523,-0.0290,-0.1060,0.0015,0.9939,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.1248,217,0,48.6542,-0.8974,769.6111,46.8231,31.0674,748.4214,-0.0307,-0.1034,0.0010,0.9942,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.1359,217,0,48.2401,-1.8829,772.9841,46.6609,30.0954,751.7944,-0.0317,-0.1050,0.0005,0.9940,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.1486,217,0,48.2401,-1.8829,772.9841,46.6609,30.0954,751.7944,-0.0317,-0.1050,0.0005,0.9940,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.1617,217,0,46.8835,-1.3777,770.3893,45.2965,30.6001,749.1996,-0.0314,-0.1051,-0.0001,0.9940,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.1706,217,0,46.1897,-1.8086,772.3823,44.6156,30.1699,751.1926,-0.0309,-0.1052,0.0000,0.9940,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.1798,217,0,46.1897,-1.8086,772.3823,44.6156,30.1699,751.1926,-0.0309,-0.1052,0.0000,0.9940,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.1918,217,0,45.3237,-1.6772,769.4196,43.7467,30.3012,748.2299,-0.0299,-0.1074,-0.0006,0.9938,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.2038,217,0,45.3237,-1.6772,769.4196,43.7467,30.3012,748.2299,-0.0299,-0.1074,-0.0006,0.9938,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.2159,217,0,45.1499,-1.6364,769.7476,43.3701,30.3313,748.5579,-0.0308,-0.1062,-0.0011,0.9939,1810.0000,1869.0000,1838.0000,9.6745,0.0522,,
0.2282,217,0,45.4386,-1.6221,770.1641,43.5770,30.3410,748.9744,-0.2681,0.0164,0.0167,0.9631,1810.0000,1869.0000,1838.0000,9.6745,0.0522,,
0.2373,217,0,45.4386,-1.6221,770.1641,43.5770,30.3410,748.9744,-0.2681,0.0164,0.0167,0.9631,1810.0000,1869.0000,1838.0000,9.6745,0.0522,,
0.2478,217,0,45.4325,-0.6902,768.9785,43.7993,31.2853,747.7888,-0.0274,-0.1059,-0.0014,0.9940,1810.0000,1869.0000,1838.0000,9.6745,0.0522,,
0.2598,217,0,45.1764,-0.2988,768.7814,43.3979,31.6690,747.5917,-0.0332,-0.1055,-0.0015,0.9939,1810.0000,1869.0000,1838.0000,9.6745,0.0522,,
0.2718,217,0,45.1764,-0.2988,768.7814,43.3979,31.6690,747.5917,-0.0332,-0.1055,-0.0015,0.9939,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.2839,217,0,44.9907,0.1715,766.8967,43.0174,32.1279,745.7070,-0.0298,-0.1028,-0.0016,0.9942,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.2959,217,0,45.7903,0.9960,768.0045,44.2082,32.9742,746.8148,-0.0311,-0.1074,-0.0021,0.9937,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.3047,217,0,45.7903,0.9960,768.0045,44.2082,32.9742,746.8148,-0.0311,-0.1074,-0.0021,0.9937,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.3159,217,0,45.1298,1.1356,765.4513,43.3491,33.1033,744.2616,-0.0294,-0.1068,-0.0024,0.9938,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.3278,217,0,45.6108,2.7055,762.8742,43.6213,34.6608,741.6845,-0.0300,-0.1077,-0.0023,0.9937,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.3397,217,0,45.6108,2.7055,762.8742,43.6213,34.6608,741.6845,-0.0300,-0.1077,-0.0023,0.9937,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.3518,217,0,46.1248,2.9014,763.3979,44.5516,34.8799,742.2082,-0.0291,-0.1057,-0.0030,0.9940,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.3607,217,0,46.1248,2.9014,763.3979,44.5516,34.8799,742.2082,-0.0291,-0.1057,-0.0030,0.9940,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.3718,217,0,47.4974,3.4441,764.1136,45.8776,35.4203,742.9239,-0.0287,-0.1042,-0.0035,0.9941,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
0.3839,217,0,48.3689,3.7132,763.3510,46.4427,35.6724,742.1613,-0.0300,-0.1039,-0.0030,0.9941,1810.0000,1869.0000,1838.0000,9.6745,0.0554,,
