{HEADER}
user_id: 556
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [0.66, 32.01, 21.19]
completion_time: 8.4346
endpoint_error_mm: [-17.0352, -7.4334, -2.0647]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [11.454477, 14.568182, 15.733547, 5.883597]
control_points_accel: [-5.588929, 2.910698, -10.791656, 13.469886]
stiffness_measurements: [0.172994, 0.080154, 0.098687, 0.137555]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-43.7209,-60.2075,685.9899,-44.8016,-28.2086,664.8002,-0.0078,-0.0305,-0.0079,0.9995,1825.0000,1866.0000,1837.0000,-2.0468,0.9184,,
0.0113,354,0,-43.7209,-60.2075,685.9899,-44.8016,-28.2086,664.8002,-0.0078,-0.0305,-0.0079,0.9995,1825.0000,1866.0000,1837.0000,-2.0468,0.9184,,
0.0229,354,0,-43.9466,-59.5356,686.0427,-44.6821,-27.5268,664.8530,-0.0056,-0.0295,-0.0090,0.9995,1825.0000,1866.0000,1837.0000,-2.0468,0.9184,,
0.0349,354,0,-44.1269,-58.9290,684.8055,-45.0477,-26.9250,663.6158,-0.0058,-0.0296,-0.0088,0.9995,1825.0000,1865.0000,1836.0000,-2.0468,0.9184,,
0.0468,354,0,-44.1539,-58.9129,684.2645,-45.0750,-26.9089,663.0748,-0.0050,-0.0285,-0.0084,0.9995,1825.0000,1865.0000,1836.0000,-2.0468,0.9152,,
0.0588,354,0,-44.1539,-58.9129,684.2645,-45.0750,-26.9089,663.0748,-0.0050,-0.0285,-0.0084,0.9995,1825.0000,1864.0000,1835.0000,-2.0462,0.9188,,
0.0674,354,0,-44.3853,-58.8142,683.5165,-45.3064,-26.8103,662.3268,-0.0074,-0.0282,-0.0083,0.9995,1825.0000,1864.0000,1834.0000,-2.0462,0.9188,,
0.0788,354,0,-44.3853,-58.8142,683.5165,-45.3064,-26.8103,662.3268,-0.0074,-0.0282,-0.0083,0.9995,1825.0000,1863.0000,1834.0000,-2.0491,0.9204,,
0.0910,354,0,-44.8838,-58.6469,682.3885,-45.8012,-26.6428,661.1988,-0.0030,-0.0292,-0.0080,0.9995,1825.0000,1862.0000,1833.0000,-2.0491,0.9204,,
0.1028,354,0,-45.7570,-57.6434,682.1692,-47.0013,-25.6504,660.9795,-0.0036,-0.0278,-0.0081,0.9996,1825.0000,1861.0000,1832.0000,-2.0491,0.9204,,
0.1149,354,0,-45.7570,-57.6434,682.1692,-47.0013,-25.6504,660.9795,-0.0036,-0.0278,-0.0081,0.9996,1825.0000,1861.0000,1832.0000,-2.0491,0.9204,,
0.1239,354,0,-46.0367,-57.5464,681.3002,-47.2954,-25.5539,660.1105,-0.0053,-0.0291,-0.0082,0.9995,1825.0000,1860.0000,1831.0000,-2.0519,0.9220,,
