{HEADER}
user_id: 557
target_id: 182
target_screen_position_mm: [71.92, -15.92]
fingertip_offset: [2.22, 32.55, 20.53]
completion_time: 3.8159
endpoint_error_mm: [1.1990, -2.9547, 1.2198]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.080284, 10.094810, 11.601222, 6.393821]
control_points_accel: [1.905966, -0.799570, -4.806690, 3.700294]
stiffness_measurements: [0.281301, 0.389743, 0.154518, 0.363417]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,182,0,180.8591,-1.7325,462.1677,178.2863,30.7950,441.6411,-0.0481,0.0729,0.0030,0.9962,1600.0000,1828.0000,1851.0000,24.3530,1.8106,,
0.0123,182,0,180.6753,-1.7012,462.5823,178.3628,30.8459,442.0557,-0.0477,0.0719,0.0027,0.9963,1507.0000,1828.0000,1851.0000,24.3963,1.8352,,
0.0245,182,0,179.5583,-1.9671,463.6666,177.2131,30.5777,443.1400,-0.0477,0.0711,0.0025,0.9963,1434.0000,1828.0000,1851.0000,24.4802,1.8827,,
0.0358,182,0,179.5583,-1.9671,463.6666,177.2131,30.5777,443.1400,-0.0477,0.0711,0.0025,0.9963,1384.0000,1828.0000,1851.0000,24.7813,2.0588,,
0.0445,182,0,178.9729,-2.2091,464.3639,176.6586,30.3379,443.8373,-0.0474,0.0711,0.0026,0.9963,1351.0000,1828.0000,1851.0000,24.9554,2.1575,,
0.0556,182,0,177.3789,-2.7739,464.9261,175.1637,29.7800,444.3995,-0.0477,0.0698,0.0025,0.9964,1312.0000,1828.0000,1851.0000,25.3422,2.3821,,
0.0676,182,0,177.3789,-2.7739,464.9261,175.1637,29.7800,444.3995,-0.0477,0.0698,0.0025,0.9964,1281.0000,1828.0000,1851.0000,25.7798,2.6410,,
0.0798,182,0,176.4626,-3.2133,465.5215,174.0199,29.3243,444.9949,-0.0498,0.0694,0.0026,0.9963,1259.0000,1828.0000,1851.0000,26.0461,2.8000,,
0.0917,182,0,172.8913,-4.4151,467.7567,170.5452,28.1296,447.2301,-0.0493,0.0663,0.0013,0.9966,1239.0000,1828.0000,1851.0000,26.8129,3.2563,,
0.1038,182,0,172.8913,-4.4151,467.7567,170.5452,28.1296,447.2301,-0.0493,0.0663,0.0013,0.9966,1227.0000,1828.0000,1851.0000,27.1611,3.4672,,
0.1122,182,0,170.4166,-5.7116,468.7660,168.1074,26.8358,448.2394,-0.0512,0.0635,0.0010,0.9967,1219.0000,1828.0000,1851.0000,27.2468,3.5158,,
0.1242,182,0,164.1366,-7.7165,472.2663,161.7991,24.8288,451.7397,-0.0512,0.0574,-0.0021,0.9970,1214.0000,1828.0000,1851.0000,27.2971,3.5443,,
0.1358,182,0,164.1366,-7.7165,472.2663,161.7991,24.8288,451.7397,-0.0512,0.0574,-0.0021,0.9970,1214.0000,1828.0000,1851.0000,27.3533,3.5762,,
0.1477,182,0,161.0064,-8.2687,474.0160,159.0382,24.3011,453.4894,-0.0543,0.0547,-0.0046,0.9970,1215.0000,1828.0000,1851.0000,27.4865,3.6517,,
0.1597,182,0,157.0859,-8.3471,475.3521,155.3323,24.2349,454.8255,-0.0540,0.0517,-0.0076,0.9972,1218.0000,1828.0000,1851.0000,27.5280,3.6779,,
0.1717,182,0,157.0859,-8.3471,475.3521,155.3323,24.2349,454.8255,-0.0540,0.0517,-0.0076,0.9972,1222.0000,1828.0000,1851.0000,27.5369,3.6884,,
0.1803,182,0,156.9982,-8.8268,475.5916,154.9192,23.7360,455.0650,-0.0525,0.0515,-0.0071,0.9973,1225.0000,1828.0000,1851.0000,27.5451,3.7200,,
0.1917,182,0,156.1586,-11.2337,475.4570,154.1878,21.3359,454.9304,-0.0551,0.0518,-0.0045,0.9971,1229.0000,1828.0000,1851.0000,27.5231,3.7587,,
0.2037,182,0,156.1586,-11.2337,475.4570,154.1878,21.3359,454.9304,-0.0551,0.0518,-0.0045,0.9971,1233.0000,1828.0000,1851.0000,27.4168,3.8929,,
0.2158,182,0,155.7052,-10.7742,475.2298,153.7127,21.7941,454.7032,-0.0552,0.0522,-0.0059,0.9971,1237.0000,1828.0000,1851.0000,27.4414,4.1045,,
0.2278,182,0,155.3757,-9.8993,474.4709,153.6457,22.6840,453.9443,-0.0543,0.0530,-0.0079,0.9971,1239.0000,1828.0000,1851.0000,27.4433,4.1466,,
0.2370,182,0,155.3757,-9.8993,474.4709,153.6457,22.6840,453.9443,-0.0543,0.0530,-0.0079,0.9971,1241.0000,1828.0000,1851.0000,27.4065,4.1674,,
0.2476,182,0,155.4619,-9.9603,474.1428,153.7319,22.6230,453.6162,-0.0538,0.0521,-0.0086,0.9972,1242.0000,1828.0000,1851.0000,27.4033,4.1726,,
0.2596,182,0,153.1570,-10.3155,474.3230,151.4270,22.2678,453.7964,-0.0538,0.0517,-0.0096,0.9972,1243.0000,1828.0000,1851.0000,27.4033,4.1726,,
0.2718,182,0,153.1570,-10.3155,474.3230,151.4270,22.2678,453.7964,-0.0538,0.0517,-0.0096,0.9972,1246.0000,1828.0000,1851.0000,27.4033,4.1753,,
0.2837,182,0,152.1040,-9.3612,474.3876,150.7258,23.2389,453.8610,-0.0548,0.0503,-0.0117,0.9972,1249.0000,1828.0000,1851.0000,27.4033,4.1780,,
0.2957,182,0,149.5111,-8.2746,474.7200,148.3419,24.3336,454.1934,-0.0534,0.0491,-0.0142,0.9973,1250.0000,1828.0000,1851.0000,27.4033,4.1834,,
