{HEADER}
user_id: 557
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [2.22, 32.55, 20.53]
completion_time: 7.2158
endpoint_error_mm: [-13.0063, -6.9272, 4.0917]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.080284, 10.094810, 11.601222, 6.393821]
control_points_accel: [1.905966, -0.799570, -4.806690, 3.700294]
stiffness_measurements: [0.281301, 0.389743, 0.154518, 0.363417]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-33.4331,2.7636,664.5095,-31.9321,35.3582,643.9830,0.0194,-0.0300,-0.0641,0.9973,1869.0000,1816.0000,1849.0000,0.9215,-3.2600,,
0.0124,354,0,-33.0930,3.4463,663.7113,-31.9286,36.0547,643.1848,0.0207,-0.0270,-0.0622,0.9975,1869.0000,1814.0000,1849.0000,0.9215,-3.2600,,
0.0241,354,0,-33.0930,3.4463,663.7113,-31.9286,36.0547,643.1848,0.0207,-0.0270,-0.0622,0.9975,1869.0000,1814.0000,1849.0000,0.9215,-3.2600,,
0.0358,354,0,-32.8211,4.1322,664.0485,-31.3593,36.7286,643.5220,0.0220,-0.0288,-0.0628,0.9974,1869.0000,1813.0000,1849.0000,0.9182,-3.2582,,
0.0444,354,0,-32.8211,4.1322,664.0485,-31.3593,36.7286,643.5220,0.0220,-0.0288,-0.0628,0.9974,1869.0000,1813.0000,1849.0000,0.9215,-3.2600,,
0.0564,354,0,-33.2815,5.3246,663.7209,-31.5992,37.9104,643.1944,0.0225,-0.0274,-0.0629,0.9974,1869.0000,1812.0000,1849.0000,0.9182,-3.2582,,
0.0679,354,0,-33.0502,6.3530,662.9650,-31.7403,38.9559,642.4384,0.0212,-0.0289,-0.0630,0.9974,1869.0000,1808.0000,1849.0000,0.9182,-3.2582,,
0.0798,354,0,-33.0502,6.3530,662.9650,-31.7403,38.9559,642.4384,0.0212,-0.0289,-0.0630,0.9974,1869.0000,1807.0000,1849.0000,0.9182,-3.2582,,
0.0917,354,0,-33.7300,7.2154,661.7134,-32.2176,39.8095,641.1868,0.0192,-0.0277,-0.0630,0.9974,1869.0000,1799.0000,1849.0000,0.9182,-3.2582,,
0.1001,354,0,-34.1822,7.9609,660.5682,-33.2049,40.5754,640.0417,0.0216,-0.0283,-0.0629,0.9974,1869.0000,1791.0000,1849.0000,0.9182,-3.2582,,
0.1116,354,0,-34.1822,7.9609,660.5682,-33.2049,40.5754,640.0417,0.0216,-0.0283,-0.0629,0.9974,1869.0000,1790.0000,1849.0000,0.9150,-3.2563,,
0.1238,354,0,-33.6955,8.9284,660.8190,-32.5452,41.5373,640.2924,0.0228,-0.0291,-0.0630,0.9973,1869.0000,1789.0000,1849.0000,0.9150,-3.2563,,
0.1361,354,0,-34.7260,10.3549,660.4691,-33.5946,42.9645,639.9426,0.0244,-0.0286,-0.0637,0.9973,1869.0000,1787.0000,1849.0000,0.9118,-3.2518,,
0.1479,354,0,-34.5076,10.9520,659.7787,-33.2181,43.5557,639.2521,0.0246,-0.0297,-0.0638,0.9972,1869.0000,1781.0000,1849.0000,0.9118,-3.2518,,
0.1597,354,0,-34.5076,10.9520,659.7787,-33.2181,43.5557,639.2521,0.0246,-0.0297,-0.0638,0.9972,1869.0000,1780.0000,1849.0000,0.9118,-3.2518,,
0.1683,354,0,-34.8793,11.3424,658.6595,-33.4357,43.9397,638.1330,0.0252,-0.0279,-0.0639,0.9972,1869.0000,1771.0000,1849.0000,0.9085,-3.2499,,
0.1797,354,0,-34.8793,11.3424,658.6595,-33.4357,43.9397,638.1330,0.0252,-0.0279,-0.0639,0.9972,1869.0000,1770.0000,1849.0000,0.9085,-3.2499,,
0.1919,354,0,-34.7597,12.3225,658.0004,-33.3119,44.9195,637.4738,0.0254,-0.0302,-0.0645,0.9971,1869.0000,1765.0000,1849.0000,0.9053,-3.2481,,
0.2039,354,0,-34.7478,13.3825,657.3544,-33.2994,45.9795,636.8279,0.0237,-0.0277,-0.0645,0.9973,1869.0000,1759.0000,1849.0000,0.9053,-3.2481,,
0.2167,354,0,-35.2200,13.9735,655.5418,-33.9508,46.5780,635.0153,0.0245,-0.0274,-0.0639,0.9973,1869.0000,1743.0000,1849.0000,0.9053,-3.2481,,
0.2280,354,0,-35.2200,13.9735,655.5418,-33.9508,46.5780,635.0153,0.0245,-0.0274,-0.0639,0.9973,1869.0000,1742.0000,1849.0000,0.9021,-3.2381,,
0.2369,354,0,-35.3883,14.4896,656.4293,-33.8356,47.0818,635.9028,0.0253,-0.0267,-0.0642,0.9973,1869.0000,1741.0000,1849.0000,0.8956,-3.2344,,
0.2478,354,0,-35.3883,14.4896,656.4293,-33.8356,47.0818,635.9028,0.0253,-0.0267,-0.0642,0.9973,1869.0000,1741.0000,1849.0000,0.8859,-3.2262,,
0.2598,354,0,-35.2895,14.8063,654.9297,-33.8835,47.4052,634.4031,0.0276,-0.0274,-0.0646,0.9972,1869.0000,1735.0000,1849.0000,0.8859,-3.2262,,
0.2717,354,0,-34.6901,15.0983,653.5887,-32.9328,47.6801,633.0621,0.0250,-0.0269,-0.0655,0.9972,1869.0000,1723.0000,1849.0000,0.8891,-3.2280,,
0.2838,354,0,-34.6901,15.0983,653.5887,-32.9328,47.6801,633.0621,0.0250,-0.0269,-0.0655,0.9972,1869.0000,1722.0000,1849.0000,0.8834,-3.2276,,
0.2924,354,0,-34.3371,15.4180,654.1036,-33.0678,48.0225,633.5771,0.0264,-0.0264,-0.0655,0.9972,1869.0000,1722.0000,1849.0000,0.8834,-3.2276,,
0.3038,354,0,-32.4547,15.4980,652.0781,-31.0417,48.0965,631.5515,0.0265,-0.0270,-0.0652,0.9972,1869.0000,1709.0000,1849.0000,0.8802,-3.2258,,
0.3158,354,0,-32.4547,15.4980,652.0781,-31.0417,48.0965,631.5515,0.0265,-0.0270,-0.0652,0.9972,1869.0000,1709.0000,1849.0000,0.8802,-3.2258,,
0.3279,354,0,-31.5852,15.5109,651.5095,-30.0316,48.1031,630.9830,0.0263,-0.0263,-0.0655,0.9972,1869.0000,1704.0000,1849.0000,0.8705,-3.2203,,
0.3399,354,0,-29.5356,15.5407,650.5909,-27.8195,48.1247,630.0643,0.0277,-0.0234,-0.0665,0.9971,1869.0000,1696.0000,1849.0000,0.8705,-3.2203,,
0.3520,354,0,-29.5356,15.5407,650.5909,-27.8195,48.1247,630.0643,0.0277,-0.0234,-0.0665,0.9971,1869.0000,1697.0000,1849.0000,0.8672,-3.2184,,
0.3608,354,0,-28.0427,15.6922,650.6447,-26.3582,48.2778,630.1181,0.0273,-0.0240,-0.0666,0.9971,1869.0000,1697.0000,1849.0000,0.8672,-3.2184,,
0.3717,354,0,-25.7364,15.4388,648.6140,-24.3627,48.0390,628.0874,0.0257,-0.0202,-0.0653,0.9973,1869.0000,1681.0000,1849.0000,0.8640,-3.2166,,
0.3838,354,0,-25.7364,15.4388,648.6140,-24.3627,48.0390,628.0874,0.0257,-0.0202,-0.0653,0.9973,1869.0000,1683.0000,1849.0000,0.8640,-3.2166,,
0.3961,354,0,-24.3309,15.1405,647.8870,-22.7832,47.7329,627.3605,0.0264,-0.0208,-0.0648,0.9973,1869.0000,1678.0000,1849.0000,0.8478,-3.2074,,
0.4079,354,0,-21.2325,14.5565,646.1503,-19.7031,47.1498,625.6237,0.0263,-0.0205,-0.0636,0.9974,1867.0000,1665.0000,1849.0000,0.8511,-3.2093,,
0.4170,354,0,-21.2325,14.5565,646.1503,-19.7031,47.1498,625.6237,0.0263,-0.0205,-0.0636,0.9974,1865.0000,1668.0000,1849.0000,0.8478,-3.2074,,
0.4280,354,0,-19.8604,14.5297,645.6688,-18.4860,47.1299,625.1423,0.0247,-0.0181,-0.0631,0.9975,1862.0000,1666.0000,1849.0000,0.8414,-3.2038,,
0.4396,354,0,-19.8604,14.5297,645.6688,-18.4860,47.1299,625.1423,0.0247,-0.0181,-0.0631,0.9975,1860.0000,1668.0000,1849.0000,0.8349,-3.2001,,
0.4517,354,0,-15.7737,13.6529,643.3434,-14.5786,46.2602,622.8169,0.0245,-0.0171,-0.0614,0.9977,1856.0000,1652.0000,1849.0000,0.8341,-3.1968,,
0.4639,354,0,-11.7696,13.1255,641.1223,-10.4148,45.7265,620.5957,0.0218,-0.0140,-0.0604,0.9978,1850.0000,1640.0000,1849.0000,0.8341,-3.1968,,
0.4758,354,0,-10.3614,12.7743,641.3118,-8.8494,45.3684,620.7852,0.0256,-0.0108,-0.0600,0.9978,1844.0000,1646.0000,1849.0000,0.8237,-3.1881,,
0.4844,354,0,-10.3614,12.7743,641.3118,-8.8494,45.3684,620.7852,0.0256,-0.0108,-0.0600,0.9978,1840.0000,1650.0000,1849.0000,0.8011,-3.1725,,
0.4959,354,0,-7.3543,12.2968,639.4358,-6.0177,44.8986,618.9092,0.0258,-0.0131,-0.0609,0.9977,1832.0000,1643.0000,1849.0000,0.7622,-3.1505,,
0.5076,354,0,-7.3543,12.2968,639.4358,-6.0177,44.8986,618.9092,0.0258,-0.0131,-0.0609,0.9977,1826.0000,1649.0000,1849.0000,0.7363,-3.1358,,
0.5197,354,0,-3.3950,11.8115,636.4081,-2.2171,44.4194,615.8815,0.0251,-0.0097,-0.0605,0.9978,1815.0000,1634.0000,1849.0000,0.6683,-3.0973,,
0.5316,354,0,1.1773,11.0866,635.4497,2.6311,43.6833,614.9232,0.0237,-0.0079,-0.0600,0.9979,1805.0000,1637.0000,1849.0000,0.5347,-3.0187,,
0.5436,354,0,1.1773,11.0866,635.4497,2.6311,43.6833,614.9232,0.0237,-0.0079,-0.0600,0.9979,1793.0000,1647.0000,1849.0000,0.4796,-2.9875,,
0.5521,354,0,2.9107,11.0788,633.5716,4.2101,43.6821,613.0450,0.0233,-0.0041,-0.0597,0.9979,1782.0000,1643.0000,1849.0000,0.4399,-2.9622,,
