{HEADER}
user_id: 557
target_id: 356
target_screen_position_mm: [23.88, 79.88]
fingertip_offset: [2.22, 32.55, 20.53]
completion_time: 6.5023
endpoint_error_mm: [-9.7389, -2.7700, 5.9663]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.080284, 10.094810, 11.601222, 6.393821]
control_points_accel: [1.905966, -0.799570, -4.806690, 3.700294]
stiffness_measurements: [0.281301, 0.389743, 0.154518, 0.363417]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,356,0,-59.1268,-33.9861,651.5129,-60.4377,-1.3832,630.9864,-0.0188,-0.0463,-0.0167,0.9986,1850.0000,1819.0000,1853.0000,12.8530,3.3732,,
0.0108,356,0,-59.1268,-33.9861,651.5129,-60.4377,-1.3832,630.9864,-0.0188,-0.0463,-0.0167,0.9986,1850.0000,1819.0000,1853.0000,12.8498,3.3750,,
0.0224,356,0,-58.4234,-34.4315,652.9477,-60.0866,-1.8447,632.4211,-0.0141,-0.0455,-0.0161,0.9987,1850.0000,1819.0000,1853.0000,12.8498,3.3750,,
0.0344,356,0,-57.6068,-34.3886,652.4427,-59.4237,-1.8100,631.9162,-0.0140,-0.0437,-0.0165,0.9988,1850.0000,1819.0000,1853.0000,12.8498,3.3750,,
0.0430,356,0,-57.6068,-34.3886,652.4427,-59.4237,-1.8100,631.9162,-0.0140,-0.0437,-0.0165,0.9988,1850.0000,1819.0000,1853.0000,12.8525,3.3766,,
0.0543,356,0,-57.0969,-34.4258,651.3342,-58.9210,-1.8476,630.8076,-0.0165,-0.0440,-0.0171,0.9987,1850.0000,1819.0000,1853.0000,12.8470,3.3735,,
0.0660,356,0,-57.0969,-34.4258,651.3342,-58.9210,-1.8476,630.8076,-0.0165,-0.0440,-0.0171,0.9987,1850.0000,1819.0000,1853.0000,12.8525,3.3766,,
0.0781,356,0,-56.2232,-34.1449,651.4835,-58.0397,-1.5664,630.9570,-0.0148,-0.0430,-0.0178,0.9988,1850.0000,1819.0000,1853.0000,12.8498,3.3750,,
0.0902,356,0,-55.7644,-33.6054,651.0261,-57.4304,-1.0188,630.4996,-0.0152,-0.0444,-0.0177,0.9987,1850.0000,1819.0000,1853.0000,12.8498,3.3750,,
0.1022,356,0,-55.5080,-33.2713,650.9465,-57.6523,-0.7127,630.4199,-0.0160,-0.0429,-0.0173,0.9988,1850.0000,1819.0000,1853.0000,12.8498,3.3750,,
0.1108,356,0,-55.5080,-33.2713,650.9465,-57.6523,-0.7127,630.4199,-0.0160,-0.0429,-0.0173,0.9988,1850.0000,1819.0000,1853.0000,12.8498,3.3750,,
0.1223,356,0,-55.6426,-32.7166,650.0434,-57.2862,-0.1288,629.5168,-0.0171,-0.0425,-0.0181,0.9988,1850.0000,1819.0000,1853.0000,12.8525,3.3766,,
0.1342,356,0,-55.6426,-32.7166,650.0434,-57.2862,-0.1288,629.5168,-0.0171,-0.0425,-0.0181,0.9988,1850.0000,1819.0000,1853.0000,12.8498,3.3750,,
0.1462,356,0,-55.3678,-32.0664,650.2908,-56.8649,0.5284,629.7642,-0.0162,-0.0438,-0.0186,0.9987,1850.0000,1819.0000,1853.0000,12.8498,3.3750,,
0.1586,356,0,-54.6600,-30.8172,649.6560,-56.3163,1.7699,629.1295,-0.0136,-0.0425,-0.0188,0.9988,1850.0000,1819.0000,1853.0000,12.8525,3.3766,,
0.1671,356,0,-54.6600,-30.8172,649.6560,-56.3163,1.7699,629.1295,-0.0136,-0.0425,-0.0188,0.9988,1850.0000,1819.0000,1853.0000,12.8498,3.3750,,
0.1782,356,0,-54.3997,-30.7468,649.4249,-55.7236,1.8555,628.8983,-0.0119,-0.0429,-0.0190,0.9988,1850.0000,1819.0000,1853.0000,12.8470,3.3735,,
0.1903,356,0,-53.4308,-29.4602,647.1605,-55.2474,3.1184,626.6339,-0.0148,-0.0411,-0.0198,0.9988,1850.0000,1819.0000,1853.0000,12.8470,3.3735,,
0.2030,356,0,-53.1447,-28.7762,646.5032,-54.6446,3.8184,625.9766,-0.0151,-0.0405,-0.0201,0.9989,1850.0000,1816.0000,1853.0000,12.8502,3.3716,,
0.2142,356,0,-53.1447,-28.7762,646.5032,-54.6446,3.8184,625.9766,-0.0151,-0.0405,-0.0201,0.9989,1850.0000,1816.0000,1853.0000,12.8498,3.3750,,
0.2266,356,0,-51.3920,-27.9764,647.1729,-52.7158,4.6260,626.6464,-0.0160,-0.0406,-0.0202,0.9988,1850.0000,1816.0000,1853.0000,12.8434,3.3786,,
