{HEADER}
user_id: 558
target_id: 251
target_screen_position_mm: [216.03, 15.92]
fingertip_offset: [4.77, 32.92, 22.47]
completion_time: 5.6119
endpoint_error_mm: [3.3300, 2.4098, 1.3826]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [11.518785, 8.800805, 9.492031, 10.986540]
control_points_accel: [-2.719680, 2.816329, -0.255444, 0.158794]
stiffness_measurements: [0.194895, 0.026543, 0.154207, 0.122753]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,251,0,169.6010,19.6223,570.0537,165.4438,52.6285,547.5854,-0.0094,-0.0244,0.0198,0.9995,1843.0000,1799.0000,1856.0000,5.6546,14.2338,,
0.0120,251,0,169.6010,19.6223,570.0537,165.4438,52.6285,547.5854,-0.0094,-0.0244,0.0198,0.9995,1843.0000,1799.0000,1856.0000,5.6483,14.2341,,
0.0207,251,0,170.1203,20.3993,571.0027,165.8164,53.3866,548.5345,0.4929,0.2727,-0.1145,0.8182,1843.0000,1799.0000,1856.0000,5.6483,14.2341,,
0.0315,251,0,170.1203,20.3993,571.0027,165.8164,53.3866,548.5345,0.4929,0.2727,-0.1145,0.8182,1843.0000,1799.0000,1856.0000,5.6483,14.2341,,
0.0433,251,0,169.4922,21.4933,568.8111,167.6225,54.7077,546.3428,0.1705,0.1585,-0.0251,0.9722,1843.0000,1799.0000,1856.0000,5.6483,14.2341,,
0.0554,251,0,169.9277,21.3800,569.1648,165.7514,54.3838,546.6965,-0.0083,-0.0238,0.0206,0.9995,1843.0000,1799.0000,1856.0000,5.6483,14.2341,,
0.0684,251,0,169.9277,21.3800,569.1648,165.7514,54.3838,546.6965,-0.0083,-0.0238,0.0206,0.9995,1843.0000,1799.0000,1856.0000,5.6483,14.2341,,
0.0770,251,0,169.8716,21.2426,568.7045,165.5614,54.2291,546.2362,-0.0080,-0.0237,0.0208,0.9995,1843.0000,1799.0000,1856.0000,5.6448,14.2361,,
0.0875,251,0,169.8716,21.2426,568.7045,165.5614,54.2291,546.2362,-0.0080,-0.0237,0.0208,0.9995,1843.0000,1799.0000,1856.0000,5.6483,14.2341,,
0.0995,251,0,170.0674,21.9752,567.5481,165.9051,54.9807,545.0798,-0.0081,-0.0241,0.0198,0.9995,1843.0000,1799.0000,1856.0000,5.6483,14.2341,,
0.1116,251,0,169.2507,23.4402,564.8469,165.0818,56.4448,542.3787,-0.0084,-0.0226,0.0183,0.9995,1843.0000,1799.0000,1856.0000,5.6518,14.2322,,
0.1234,251,0,169.2507,23.4402,564.8469,165.0818,56.4448,542.3787,-0.0084,-0.0226,0.0183,0.9995,1843.0000,1799.0000,1856.0000,5.6518,14.2322,,
0.1354,251,0,169.3506,24.0991,564.3407,165.4835,57.1405,541.8724,-0.0076,-0.0219,0.0171,0.9996,1843.0000,1799.0000,1856.0000,5.6518,14.2322,,
0.1439,251,0,169.5269,25.6121,563.2370,165.3934,58.6212,540.7687,-0.0080,-0.0226,0.0154,0.9996,1843.0000,1799.0000,1856.0000,5.6518,14.2348,,
