{HEADER}
user_id: 558
target_id: 328
target_screen_position_mm: [7.96, 63.96]
fingertip_offset: [4.77, 32.92, 22.47]
completion_time: 4.9874
endpoint_error_mm: [-0.6332, -2.6698, 0.3067]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [11.518785, 8.800805, 9.492031, 10.986540]
control_points_accel: [-2.719680, 2.816329, -0.255444, 0.158794]
stiffness_measurements: [0.194895, 0.026543, 0.154207, 0.122753]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,328,0,9.1435,-18.0919,586.8257,5.3383,14.9567,564.3575,-0.0112,-0.0034,0.0177,0.9998,1850.0000,1812.0000,1853.0000,10.8663,5.5317,,
0.0094,328,0,9.1435,-18.0919,586.8257,5.3383,14.9567,564.3575,-0.0112,-0.0034,0.0177,0.9998,1850.0000,1812.0000,1853.0000,10.8636,5.5302,,
0.0197,328,0,8.3898,-18.3350,586.7751,4.7294,14.7300,564.3068,-0.0106,-0.0019,0.0179,0.9998,1850.0000,1812.0000,1853.0000,10.8636,5.5302,,
0.0315,328,0,8.3898,-18.3350,586.7751,4.7294,14.7300,564.3068,-0.0106,-0.0019,0.0179,0.9998,1850.0000,1812.0000,1853.0000,10.8719,5.5349,,
0.0438,328,0,6.4428,-18.6467,584.5393,2.6323,14.4013,562.0710,-0.0118,-0.0014,0.0177,0.9998,1850.0000,1812.0000,1853.0000,10.8636,5.5302,,
0.0555,328,0,4.7355,-18.4181,584.8168,0.9248,14.6298,562.3485,-0.0106,-0.0022,0.0170,0.9998,1849.0000,1812.0000,1853.0000,10.8691,5.5333,,
0.0674,328,0,4.7355,-18.4181,584.8168,0.9248,14.6298,562.3485,-0.0106,-0.0022,0.0170,0.9998,1849.0000,1812.0000,1853.0000,10.8691,5.5333,,
0.0759,328,0,3.6654,-18.3735,583.1018,-0.1398,14.6751,560.6335,-0.0115,-0.0028,0.0167,0.9998,1849.0000,1812.0000,1853.0000,10.8663,5.5317,,
0.0878,328,0,3.2396,-17.4145,584.0220,-0.7208,15.6159,561.5537,-0.0106,-0.0047,0.0168,0.9998,1849.0000,1812.0000,1853.0000,10.8663,5.5317,,
0.0993,328,0,3.2396,-17.4145,584.0220,-0.7208,15.6159,561.5537,-0.0106,-0.0047,0.0168,0.9998,1849.0000,1811.0000,1853.0000,10.8636,5.5302,,
