{HEADER}
user_id: 558
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [4.77, 32.92, 22.47]
completion_time: 7.4501
endpoint_error_mm: [-3.6975, 11.7717, -0.4160]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [11.518785, 8.800805, 9.492031, 10.986540]
control_points_accel: [-2.719680, 2.816329, -0.255444, 0.158794]
stiffness_measurements: [0.194895, 0.026543, 0.154207, 0.122753]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-62.1024,-4.3295,636.8463,-69.2478,28.1610,614.3780,0.0088,-0.0266,0.0641,0.9975,1871.0000,1813.0000,1849.0000,-0.0748,-3.4784,,
0.0109,354,0,-62.1024,-4.3295,636.8463,-69.2478,28.1610,614.3780,0.0088,-0.0266,0.0641,0.9975,1871.0000,1813.0000,1849.0000,-0.0748,-3.4784,,
0.0227,354,0,-61.3686,-4.3426,637.3883,-68.4792,28.1555,614.9200,0.0100,-0.0256,0.0645,0.9975,1871.0000,1813.0000,1849.0000,-0.0748,-3.4784,,
0.0313,354,0,-61.3686,-4.3426,637.3883,-68.4792,28.1555,614.9200,0.0100,-0.0256,0.0645,0.9975,1871.0000,1813.0000,1849.0000,-0.0748,-3.4784,,
0.0421,354,0,-59.8713,-4.0542,636.2201,-66.9794,28.4444,613.7518,0.0075,-0.0281,0.0647,0.9975,1871.0000,1811.0000,1849.0000,-0.0748,-3.4784,,
0.0542,354,0,-59.6758,-3.6491,635.6130,-66.7972,28.8466,613.1448,0.0067,-0.0252,0.0649,0.9976,1871.0000,1809.0000,1849.0000,-0.0748,-3.4784,,
0.0665,354,0,-59.6758,-3.6491,635.6130,-66.7972,28.8466,613.1448,0.0067,-0.0252,0.0649,0.9976,1871.0000,1808.0000,1849.0000,-0.0748,-3.4784,,
0.0784,354,0,-58.5413,-3.6993,635.3045,-65.6574,28.7976,612.8362,0.0082,-0.0259,0.0648,0.9975,1871.0000,1807.0000,1849.0000,-0.0748,-3.4784,,
0.0873,354,0,-57.9532,-2.7971,634.6886,-65.3790,29.6305,612.2203,0.0067,-0.0241,0.0650,0.9976,1871.0000,1804.0000,1849.0000,-0.0748,-3.4784,,
0.0982,354,0,-57.9532,-2.7971,634.6886,-65.3790,29.6305,612.2203,0.0067,-0.0241,0.0650,0.9976,1871.0000,1803.0000,1849.0000,-0.0748,-3.4784,,
0.1103,354,0,-57.7454,-2.5996,634.7403,-64.9959,29.8676,612.2720,0.0073,-0.0252,0.0647,0.9976,1871.0000,1803.0000,1849.0000,-0.0748,-3.4784,,
0.1221,354,0,-58.0516,-2.1181,635.1545,-65.1212,30.3889,612.6863,0.0082,-0.0250,0.0658,0.9975,1871.0000,1803.0000,1849.0000,-0.0748,-3.4784,,
0.1341,354,0,-58.0516,-2.1181,635.1545,-65.1212,30.3889,612.6863,0.0082,-0.0250,0.0658,0.9975,1871.0000,1803.0000,1849.0000,-0.0748,-3.4784,,
0.1461,354,0,-58.3458,-2.1124,634.4450,-65.4666,30.3835,611.9767,0.0093,-0.0259,0.0659,0.9974,1871.0000,1801.0000,1849.0000,-0.0748,-3.4784,,
0.1546,354,0,-58.9844,-1.5479,635.1070,-66.3907,30.8841,612.6387,0.0103,-0.0263,0.0651,0.9975,1871.0000,1801.0000,1849.0000,-0.0748,-3.4784,,
