{HEADER}
user_id: 717
target_id: 120
target_screen_position_mm: [40.08, -48.04]
fingertip_offset: [3.37, 31.56, 20.91]
completion_time: 6.4921
endpoint_error_mm: [-2.9303, 3.7129, -1.5102]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.657391, 14.311193, 12.898843, 6.186414]
control_points_accel: [1.291358, -3.652137, -3.865630, 6.226409]
stiffness_measurements: [0.228816, 0.154924, 0.119880, 0.587023]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,120,0,-78.4580,-57.8267,666.8901,-82.6020,-26.3586,645.9752,-0.0948,-0.1259,0.0547,0.9860,1845.0000,1817.0000,1844.0000,0.4389,9.1144,,
0.0120,120,0,-80.0242,-53.3125,661.5620,-84.2313,-21.8527,640.6470,-0.0914,-0.1245,0.0544,0.9865,1845.0000,1817.0000,1844.0000,0.4292,9.1198,,
0.0240,120,0,-79.3143,-51.3867,662.7587,-83.7052,-19.9521,641.8438,-0.0933,-0.1245,0.0532,0.9864,1845.0000,1817.0000,1844.0000,0.3487,9.1655,,
0.0320,120,0,-79.3143,-51.3867,662.7587,-83.7052,-19.9521,641.8438,-0.0933,-0.1245,0.0532,0.9864,1845.0000,1817.0000,1844.0000,0.3262,9.1810,,
0.0440,120,0,-77.8693,-50.4542,661.3705,-81.8067,-18.9595,640.4556,-0.0933,-0.1239,0.0531,0.9865,1845.0000,1817.0000,1844.0000,0.2714,9.2121,,
0.0560,120,0,-76.5734,-48.0923,660.3306,-80.7094,-16.6231,639.4156,-0.0917,-0.1238,0.0527,0.9867,1845.0000,1817.0000,1844.0000,0.1908,9.2578,,
0.0680,120,0,-76.5734,-48.0923,660.3306,-80.7094,-16.6231,639.4156,-0.0917,-0.1238,0.0527,0.9867,1845.0000,1817.0000,1844.0000,0.1940,9.2559,,
0.0800,120,0,-77.8896,-46.1686,658.7560,-82.1809,-14.7203,637.8411,-0.0912,-0.1233,0.0521,0.9868,1845.0000,1817.0000,1844.0000,0.1876,9.2596,,
0.0920,120,0,-75.8371,-44.2861,653.9330,-80.1699,-12.8434,633.0181,-0.0873,-0.1206,0.0519,0.9875,1845.0000,1817.0000,1844.0000,0.1908,9.2578,,
0.1000,120,0,-75.8371,-44.2861,653.9330,-80.1699,-12.8434,633.0181,-0.0873,-0.1206,0.0519,0.9875,1845.0000,1817.0000,1844.0000,0.1876,9.2568,,
0.1120,120,0,-76.3514,-42.9316,653.1943,-80.4469,-11.4571,632.2794,-0.0850,-0.1207,0.0522,0.9877,1845.0000,1817.0000,1844.0000,0.1876,9.2568,,
0.1240,120,0,-76.3514,-42.9316,653.1943,-80.4469,-11.4571,632.2794,-0.0850,-0.1207,0.0522,0.9877,1845.0000,1817.0000,1844.0000,0.1876,9.2568,,
0.1359,120,0,-75.8838,-41.7427,651.6594,-79.9691,-10.2669,630.7444,-0.0857,-0.1184,0.0509,0.9879,1845.0000,1817.0000,1844.0000,0.1844,9.2586,,
0.1480,120,0,-76.2266,-39.1465,645.7263,-80.3042,-7.6696,624.8113,-0.0902,-0.1210,0.0493,0.9873,1845.0000,1817.0000,1844.0000,0.1811,9.2604,,
0.1600,120,0,-76.2266,-39.1465,645.7263,-80.3042,-7.6696,624.8113,-0.0902,-0.1210,0.0493,0.9873,1845.0000,1817.0000,1844.0000,0.1553,9.2751,,
0.1680,120,0,-72.6768,-41.5230,643.5574,-76.7399,-10.0443,622.6425,-0.0827,-0.1206,0.0502,0.9880,1845.0000,1817.0000,1844.0000,0.1199,9.2952,,
0.1800,120,0,-76.6160,-37.4722,641.0737,-80.4418,-5.9639,620.1588,-0.0853,-0.1184,0.0475,0.9882,1845.0000,1816.0000,1844.0000,0.0295,9.3492,,
0.1920,120,0,-76.6160,-37.4722,641.0737,-80.4418,-5.9639,620.1588,-0.0853,-0.1184,0.0475,0.9882,1845.0000,1816.0000,1844.0000,0.0295,9.3492,,
0.2040,120,0,-71.4333,-39.1939,634.1504,-75.4820,-7.7134,613.2355,-0.0836,-0.1166,0.0469,0.9885,1845.0000,1816.0000,1844.0000,0.0295,9.3492,,
0.2160,120,0,-71.6862,-39.4813,634.4529,-75.1513,-7.9312,613.5380,-0.0807,-0.1154,0.0454,0.9890,1845.0000,1780.0000,1840.0000,0.0295,9.3492,,
0.2240,120,0,-71.6862,-39.4813,634.4529,-75.1513,-7.9312,613.5380,-0.0807,-0.1154,0.0454,0.9890,1845.0000,1780.0000,1840.0000,0.0295,9.3492,,
0.2360,120,0,-70.6748,-39.5045,630.3842,-74.2989,-7.9723,609.4693,-0.0829,-0.1122,0.0440,0.9892,1845.0000,1758.0000,1837.0000,-0.0738,9.4078,,
0.2480,120,0,-68.5687,-39.2376,628.1627,-72.0738,-7.6920,607.2477,-0.0857,-0.1105,0.0408,0.9893,1845.0000,1758.0000,1837.0000,-0.1934,9.4783,,
