{HEADER}
user_id: 717
target_id: 187
target_screen_position_mm: [152.07, -15.92]
fingertip_offset: [3.37, 31.56, 20.91]
completion_time: 6.4721
endpoint_error_mm: [-2.7260, -5.2688, -3.2880]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.657391, 14.311193, 12.898843, 6.186414]
control_points_accel: [1.291358, -3.652137, -3.865630, 6.226409]
stiffness_measurements: [0.228816, 0.154924, 0.119880, 0.587023]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,187,0,80.8421,-118.3492,668.6751,77.0145,-86.8410,647.7602,-0.1075,-0.0898,0.0524,0.9888,1834.0000,1819.0000,1846.0000,8.0768,12.8627,,
0.0120,187,0,80.8421,-118.3492,668.6751,77.0145,-86.8410,647.7602,-0.1075,-0.0898,0.0524,0.9888,1834.0000,1819.0000,1846.0000,8.0768,12.8627,,
0.0239,187,0,76.6233,-117.2568,666.1923,72.3747,-85.8026,645.2773,-0.1053,-0.0896,0.0524,0.9890,1834.0000,1819.0000,1846.0000,8.0768,12.8627,,
0.0359,187,0,78.6567,-117.2993,665.1526,74.6070,-85.8189,644.2377,-0.1074,-0.0895,0.0515,0.9888,1816.0000,1819.0000,1792.0000,8.0768,12.8627,,
0.0479,187,0,78.6567,-117.2993,665.1526,74.6070,-85.8189,644.2377,-0.1074,-0.0895,0.0515,0.9888,1816.0000,1819.0000,1792.0000,8.0768,12.8515,,
0.0559,187,0,78.0678,-116.8917,664.4103,73.9963,-85.4141,643.4954,-0.1053,-0.0891,0.0517,0.9891,1816.0000,1819.0000,1792.0000,8.0798,12.8421,,
0.0680,187,0,78.0678,-116.8917,664.4103,73.9963,-85.4141,643.4954,-0.1053,-0.0891,0.0517,0.9891,1813.0000,1819.0000,1781.0000,8.0830,12.8347,,
0.0800,187,0,79.0870,-116.8271,661.7091,74.6621,-85.3972,640.7942,-0.1026,-0.0889,0.0523,0.9894,1813.0000,1819.0000,1781.0000,8.0830,12.8319,,
0.0920,187,0,82.1282,-118.7290,669.1173,77.6966,-87.3000,648.2024,-0.1032,-0.0901,0.0518,0.9892,1799.0000,1819.0000,1740.0000,8.0830,12.8319,,
0.1040,187,0,82.1282,-118.7290,669.1173,77.6966,-87.3000,648.2024,-0.1032,-0.0901,0.0518,0.9892,1799.0000,1819.0000,1740.0000,8.0860,12.8225,,
0.1160,187,0,74.6032,-114.4336,668.9227,70.4208,-82.9705,648.0078,-0.1052,-0.0896,0.0518,0.9890,1798.0000,1819.0000,1740.0000,8.0860,12.7000,,
0.1239,187,0,79.7441,-117.8550,672.0278,75.5482,-86.3938,651.1129,-0.1033,-0.0919,0.0524,0.9890,1799.0000,1819.0000,1740.0000,8.0892,12.5561,,
0.1360,187,0,79.7441,-117.8550,672.0278,75.5482,-86.3938,651.1129,-0.1033,-0.0919,0.0524,0.9890,1799.0000,1819.0000,1740.0000,8.0892,12.5170,,
0.1480,187,0,80.8458,-117.3699,670.3215,76.6613,-85.9072,649.4066,-0.1054,-0.0897,0.0510,0.9891,1799.0000,1819.0000,1740.0000,8.0862,12.5181,,
0.1600,187,0,80.9386,-113.0504,669.3965,76.5071,-81.6215,648.4816,-0.1017,-0.0893,0.0509,0.9895,1799.0000,1819.0000,1740.0000,8.0862,12.5181,,
0.1720,187,0,80.9386,-113.0504,669.3965,76.5071,-81.6215,648.4816,-0.1017,-0.0893,0.0509,0.9895,1798.0000,1819.0000,1741.0000,8.0862,12.5181,,
0.1801,187,0,77.0888,-107.0881,661.5120,73.2668,-75.5793,640.5971,-0.0999,-0.0886,0.0510,0.9897,1797.0000,1819.0000,1742.0000,8.0862,12.5181,,
0.1920,187,0,77.0888,-107.0881,661.5120,73.2668,-75.5793,640.5971,-0.0999,-0.0886,0.0510,0.9897,1796.0000,1819.0000,1742.0000,8.0862,12.5181,,
0.2040,187,0,83.4310,-111.0499,668.9510,79.2159,-79.5912,648.0361,-0.1004,-0.0886,0.0505,0.9897,1795.0000,1819.0000,1744.0000,8.0894,12.5163,,
0.2160,187,0,81.8190,-106.4286,659.1329,77.4695,-74.9882,638.2180,-0.0959,-0.0886,0.0510,0.9901,1794.0000,1819.0000,1745.0000,8.0894,12.5163,,
0.2280,187,0,81.8190,-106.4286,659.1329,77.4695,-74.9882,638.2180,-0.0959,-0.0886,0.0510,0.9901,1779.0000,1819.0000,1714.0000,8.0894,12.5163,,
0.2400,187,0,79.4458,-103.8337,663.5836,75.2492,-72.3725,642.6687,-0.1005,-0.0866,0.0495,0.9899,1778.0000,1819.0000,1717.0000,8.0894,12.5107,,
0.2479,187,0,80.2651,-99.8986,654.8804,76.2741,-68.4107,633.9655,-0.0953,-0.0845,0.0497,0.9906,1778.0000,1819.0000,1718.0000,8.0894,12.5107,,
0.2600,187,0,80.2651,-99.8986,654.8804,76.2741,-68.4107,633.9655,-0.0953,-0.0845,0.0497,0.9906,1751.0000,1819.0000,1668.0000,8.0894,12.5107,,
0.2720,187,0,85.4735,-105.2280,661.8347,81.4511,-73.7441,640.9198,-0.0987,-0.0857,0.0496,0.9902,1749.0000,1819.0000,1672.0000,8.0924,12.4761,,
0.2840,187,0,85.8985,-101.5217,652.0492,81.7587,-70.0530,631.1343,-0.0893,-0.0818,0.0505,0.9914,1747.0000,1819.0000,1672.0000,8.0924,12.4175,,
0.2960,187,0,85.8985,-101.5217,652.0492,81.7587,-70.0530,631.1343,-0.0893,-0.0818,0.0505,0.9914,1725.0000,1819.0000,1641.0000,8.0924,12.2499,,
