{HEADER}
user_id: 717
target_id: 202
target_screen_position_mm: [-88.11, 0.00]
fingertip_offset: [3.37, 31.56, 20.91]
completion_time: 7.6921
endpoint_error_mm: [1.1174, 4.0882, -0.7836]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.657391, 14.311193, 12.898843, 6.186414]
control_points_accel: [1.291358, -3.652137, -3.865630, 6.226409]
stiffness_measurements: [0.228816, 0.154924, 0.119880, 0.587023]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,202,0,-109.1351,-104.7340,620.8007,-115.8441,-73.7113,599.8857,-0.0812,-0.0622,0.0918,0.9905,1841.0000,1815.0000,1423.0000,1.2134,11.2182,,
0.0120,202,0,-108.6405,-104.5458,618.9029,-115.1465,-73.4800,597.9880,-0.0862,-0.0643,0.0914,0.9900,1841.0000,1815.0000,1438.0000,1.2134,11.2182,,
0.0239,202,0,-108.6405,-104.5458,618.9029,-115.1465,-73.4800,597.9880,-0.0862,-0.0643,0.0914,0.9900,1841.0000,1815.0000,1471.0000,1.2134,10.8962,,
0.0361,202,0,-108.6086,-104.7484,620.3638,-115.3087,-73.7238,599.4489,-0.0860,-0.0626,0.0908,0.9902,1841.0000,1703.0000,1504.0000,1.2134,10.0435,,
0.0481,202,0,-104.3213,-105.8993,617.6116,-110.8274,-74.8335,596.6967,-0.0845,-0.0613,0.0912,0.9903,1841.0000,1649.0000,1516.0000,1.1396,9.3828,,
0.0561,202,0,-104.3213,-105.8993,617.6116,-110.8274,-74.8335,596.6967,-0.0845,-0.0613,0.0912,0.9903,1842.0000,1614.0000,1505.0000,0.6938,9.1308,,
0.0681,202,0,-106.8799,-103.5498,618.9928,-113.5499,-72.5187,598.0779,-0.0811,-0.0578,0.0914,0.9908,1842.0000,1586.0000,1506.0000,0.3928,9.2212,,
0.0801,202,0,-106.7165,-81.4574,621.0933,-114.0168,-50.5686,600.1783,-0.0735,-0.0623,0.0944,0.9909,1842.0000,1553.0000,1521.0000,-0.6809,9.5606,,
0.0920,202,0,-106.7165,-81.4574,621.0933,-114.0168,-50.5686,600.1783,-0.0735,-0.0623,0.0944,0.9909,1843.0000,1528.0000,1551.0000,-0.9676,9.6874,,
0.1041,202,0,-103.6667,-76.4725,619.7260,-110.6893,-45.5193,598.8111,-0.0616,-0.0597,0.0937,0.9919,1843.0000,1511.0000,1572.0000,-1.6054,9.8605,,
0.1160,202,0,-92.6867,-82.3994,616.3893,-99.9938,-51.5122,595.4744,-0.0629,-0.0528,0.0932,0.9923,1843.0000,1490.0000,1584.0000,-2.2442,10.1340,,
0.1240,202,0,-92.6867,-82.3994,616.3893,-99.9938,-51.5122,595.4744,-0.0629,-0.0528,0.0932,0.9923,1843.0000,1489.0000,1588.0000,-2.2442,10.1340,,
0.1360,202,0,-93.3761,-78.9120,620.4813,-100.2731,-47.9306,599.5664,-0.0630,-0.0468,0.0949,0.9924,1843.0000,1486.0000,1601.0000,-2.4355,10.2936,,
0.1480,202,0,-82.2207,-81.6596,616.1196,-83.6666,-49.9527,595.2047,-0.2480,0.7070,0.1696,0.6403,1843.0000,1484.0000,1611.0000,-2.4619,10.3085,,
0.1599,202,0,-77.6583,-84.1195,615.7679,-79.1666,-52.4155,594.8530,-0.2480,0.7086,0.1683,0.6388,1843.0000,1491.0000,1609.0000,-2.4982,10.3291,,
0.1719,202,0,-77.6583,-84.1195,615.7679,-79.1666,-52.4155,594.8530,-0.2480,0.7086,0.1683,0.6388,1843.0000,1501.0000,1607.0000,-2.5907,10.3815,,
0.1840,202,0,-73.2365,-86.4881,612.8829,-80.6946,-55.6370,591.9680,-0.0617,-0.0343,0.0944,0.9930,1843.0000,1509.0000,1605.0000,-2.6369,10.4049,,
0.1919,202,0,-67.8893,-84.9986,609.3433,-75.1152,-54.0922,588.4283,-0.0628,-0.0339,0.0920,0.9932,1843.0000,1464.0000,1558.0000,-2.6535,10.4142,,
0.2039,202,0,-67.8893,-84.9986,609.3433,-75.1152,-54.0922,588.4283,-0.0628,-0.0339,0.0920,0.9932,1843.0000,1471.0000,1555.0000,-2.6568,10.4133,,
0.2160,202,0,-65.5003,-84.9019,610.1517,-72.4942,-53.9423,589.2368,-0.0656,-0.0346,0.0918,0.9930,1843.0000,1481.0000,1550.0000,-2.6832,10.4141,,
0.2279,202,0,-62.2622,-84.3112,606.3609,-69.0604,-53.3080,585.4460,-0.0621,-0.0283,0.0911,0.9935,1843.0000,1490.0000,1545.0000,-2.7262,10.4384,,
0.2400,202,0,-60.9665,-83.6150,604.1904,-67.8926,-52.6401,583.2755,-0.0628,-0.0262,0.0902,0.9936,1843.0000,1475.0000,1521.0000,-2.7427,10.4478,,
0.2479,202,0,-60.9665,-83.6150,604.1904,-67.8926,-52.6401,583.2755,-0.0628,-0.0262,0.0902,0.9936,1843.0000,1470.0000,1503.0000,-2.7460,10.4497,,
0.2599,202,0,-58.4171,-83.2585,602.9066,-65.3542,-52.2860,581.9916,-0.0639,-0.0275,0.0887,0.9936,1843.0000,1472.0000,1490.0000,-2.8519,10.4983,,
0.2720,202,0,-58.4171,-83.2585,602.9066,-65.3542,-52.2860,581.9916,-0.0639,-0.0275,0.0887,0.9936,1843.0000,1480.0000,1488.0000,-2.9081,10.5245,,
0.2839,202,0,-53.0728,-83.8756,598.8360,-60.1270,-52.9296,577.9211,-0.0589,-0.0203,0.0867,0.9943,1843.0000,1488.0000,1484.0000,-3.0439,10.5901,,
0.2960,202,0,-46.6492,-82.3967,594.8564,-47.0573,-50.6595,573.9415,-0.2364,0.7261,0.1553,0.6266,1843.0000,1454.0000,1418.0000,-3.0704,10.5965,,
0.3080,202,0,-43.2603,-81.6348,594.1784,-49.7491,-50.5654,573.2635,-0.0597,-0.0122,0.0822,0.9947,1843.0000,1481.0000,1411.0000,-3.0704,10.5795,,
0.3159,202,0,-43.2603,-81.6348,594.1784,-49.7491,-50.5654,573.2635,-0.0597,-0.0122,0.0822,0.9947,1843.0000,1491.0000,1402.0000,-3.0704,10.4913,,
0.3279,202,0,-40.8715,-79.9087,590.6613,-47.9191,-48.9612,569.7464,-0.0575,-0.0070,0.0817,0.9950,1843.0000,1508.0000,1398.0000,-3.0704,10.3489,,
0.3399,202,0,-29.0186,-79.5122,587.9540,-35.2611,-48.3923,567.0391,-0.0586,-0.0053,0.0799,0.9951,1843.0000,1502.0000,1346.0000,-3.0704,10.2121,,
0.3521,202,0,-29.0186,-79.5122,587.9540,-35.2611,-48.3923,567.0391,-0.0586,-0.0053,0.0799,0.9951,1843.0000,1533.0000,1338.0000,-3.0671,10.0932,,
0.3641,202,0,-25.0051,-77.5647,585.0804,-31.4318,-46.4823,564.1655,-0.0593,-0.0033,0.0787,0.9951,1843.0000,1562.0000,1329.0000,-3.0671,10.0361,,
