{HEADER}
user_id: 717
target_id: 269
target_screen_position_mm: [23.88, 32.12]
fingertip_offset: [3.37, 31.56, 20.91]
completion_time: 5.3522
endpoint_error_mm: [7.9382, -4.7463, -2.2134]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.657391, 14.311193, 12.898843, 6.186414]
control_points_accel: [1.291358, -3.652137, -3.865630, 6.226409]
stiffness_measurements: [0.228816, 0.154924, 0.119880, 0.587023]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,269,0,-101.3471,-86.7433,598.6193,-105.3790,-55.2606,577.7044,-0.0689,-0.0889,0.0467,0.9926,1860.0000,1818.0000,1841.0000,-7.4830,2.0246,,
0.0119,269,0,-101.3471,-86.7433,598.6193,-105.3790,-55.2606,577.7044,-0.0689,-0.0889,0.0467,0.9926,1860.0000,1818.0000,1841.0000,-7.4830,2.0246,,
0.0240,269,0,-101.4878,-86.7109,599.2244,-105.7115,-55.2533,578.3095,-0.0689,-0.0875,0.0459,0.9927,1860.0000,1818.0000,1841.0000,-7.4830,2.0246,,
0.0360,269,0,-101.4878,-86.7109,599.2244,-105.7115,-55.2533,578.3095,-0.0689,-0.0875,0.0459,0.9927,1860.0000,1818.0000,1841.0000,-7.4862,2.0264,,
0.0440,269,0,-100.7915,-86.0331,599.5734,-105.0152,-54.5756,578.6585,-0.0696,-0.0869,0.0451,0.9928,1860.0000,1818.0000,1841.0000,-7.4926,2.0300,,
0.0560,269,0,-99.9921,-85.4982,599.1880,-104.0028,-54.0128,578.2731,-0.0704,-0.0874,0.0453,0.9926,1860.0000,1818.0000,1841.0000,-7.4958,2.0318,,
0.0681,269,0,-99.9921,-85.4982,599.1880,-104.0028,-54.0128,578.2731,-0.0704,-0.0874,0.0453,0.9926,1860.0000,1818.0000,1841.0000,-7.5054,2.0373,,
0.0800,269,0,-97.8314,-86.7017,602.0291,-102.0177,-55.2392,581.1141,-0.0673,-0.0873,0.0463,0.9928,1860.0000,1818.0000,1841.0000,-7.5054,2.0373,,
0.0920,269,0,-99.2273,-84.6517,598.4452,-103.2651,-53.1697,577.5303,-0.0677,-0.0857,0.0449,0.9930,1860.0000,1818.0000,1841.0000,-7.5151,2.0428,,
0.1041,269,0,-99.2273,-84.6517,598.4452,-103.2651,-53.1697,577.5303,-0.0677,-0.0857,0.0449,0.9930,1860.0000,1817.0000,1841.0000,-7.5568,2.0664,,
0.1119,269,0,-98.0425,-85.4589,599.3541,-102.0456,-53.9725,578.4391,-0.0668,-0.0862,0.0452,0.9930,1860.0000,1817.0000,1841.0000,-7.5729,2.0755,,
0.1240,269,0,-98.0425,-85.4589,599.3541,-102.0456,-53.9725,578.4391,-0.0668,-0.0862,0.0452,0.9930,1860.0000,1817.0000,1841.0000,-7.6082,2.0956,,
0.1360,269,0,-98.0014,-84.2746,595.6101,-102.0045,-52.7882,574.6952,-0.0651,-0.0858,0.0453,0.9932,1860.0000,1817.0000,1841.0000,-7.6564,2.1229,,
0.1480,269,0,-97.2726,-84.2599,595.7927,-97.5664,-52.5215,574.8778,-0.6653,-0.2141,-0.3547,0.6211,1860.0000,1817.0000,1841.0000,-7.7593,2.1812,,
0.1600,269,0,-96.4260,-84.6774,593.7147,-100.3930,-53.1865,572.7997,-0.0689,-0.0850,0.0448,0.9930,1860.0000,1817.0000,1841.0000,-7.8237,2.2205,,
0.1680,269,0,-96.4260,-84.6774,593.7147,-100.3930,-53.1865,572.7997,-0.0689,-0.0850,0.0448,0.9930,1860.0000,1817.0000,1841.0000,-7.8494,2.2351,,
0.1800,269,0,-96.6045,-84.7527,591.3349,-100.3863,-53.2390,570.4200,-0.0692,-0.0820,0.0441,0.9932,1860.0000,1817.0000,1841.0000,-7.8430,2.2315,,
0.1921,269,0,-96.6045,-84.7527,591.3349,-100.3863,-53.2390,570.4200,-0.0692,-0.0820,0.0441,0.9932,1860.0000,1817.0000,1841.0000,-7.8462,2.2333,,
0.2040,269,0,-94.4924,-86.1970,588.9789,-98.4482,-54.7047,568.0640,-0.0695,-0.0833,0.0428,0.9932,1860.0000,1817.0000,1841.0000,-7.8462,2.2333,,
0.2160,269,0,-93.6537,-86.2072,587.4478,-97.5983,-54.7134,566.5328,-0.0690,-0.0830,0.0422,0.9933,1860.0000,1817.0000,1841.0000,-7.8462,2.2333,,
0.2281,269,0,-93.6537,-86.2072,587.4478,-97.5983,-54.7134,566.5328,-0.0690,-0.0830,0.0422,0.9933,1860.0000,1817.0000,1841.0000,-7.8462,2.2333,,
0.2360,269,0,-94.6533,-84.6650,583.0654,-98.4519,-53.1533,562.1505,-0.0675,-0.0817,0.0414,0.9935,1860.0000,1817.0000,1841.0000,-7.8462,2.2333,,
0.2481,269,0,-93.7404,-84.0359,579.1180,-97.7171,-52.5462,558.2031,-0.0655,-0.0822,0.0406,0.9936,1860.0000,1753.0000,1796.0000,-7.8462,2.2333,,
