{HEADER}
user_id: 717
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [3.37, 31.56, 20.91]
completion_time: 6.2681
endpoint_error_mm: [1.1438, -3.9956, 3.4820]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.657391, 14.311193, 12.898843, 6.186414]
control_points_accel: [1.291358, -3.652137, -3.865630, 6.226409]
stiffness_measurements: [0.228816, 0.154924, 0.119880, 0.587023]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-256.0995,-43.5773,568.8501,-259.4143,-12.0111,547.9352,-0.0390,-0.1682,0.0259,0.9846,1872.0000,1820.0000,1840.0000,-12.4654,-2.4561,,
0.0120,354,0,-256.4190,-43.8309,569.0159,-260.1626,-12.3127,548.1010,-0.0396,-0.1690,0.0259,0.9845,1872.0000,1820.0000,1840.0000,-12.4654,-2.4532,,
0.0239,354,0,-257.2992,-44.5480,568.2936,-260.8920,-13.0122,547.3787,-0.0395,-0.1686,0.0266,0.9845,1872.0000,1815.0000,1840.0000,-12.4630,-2.4518,,
0.0359,354,0,-257.2992,-44.5480,568.2936,-260.8920,-13.0122,547.3787,-0.0395,-0.1686,0.0266,0.9845,1872.0000,1814.0000,1840.0000,-12.4630,-2.4518,,
0.0439,354,0,-256.9264,-44.8165,568.7424,-260.5285,-13.2817,547.8275,-0.0370,-0.1662,0.0262,0.9850,1872.0000,1813.0000,1840.0000,-12.4662,-2.4500,,
0.0559,354,0,-256.9264,-44.8165,568.7424,-260.5285,-13.2817,547.8275,-0.0370,-0.1662,0.0262,0.9850,1872.0000,1813.0000,1840.0000,-12.4694,-2.4482,,
0.0680,354,0,-258.2647,-45.4451,568.6815,-261.9775,-13.9232,547.7666,-0.0401,-0.1690,0.0262,0.9844,1872.0000,1812.0000,1840.0000,-12.4725,-2.4464,,
0.0799,354,0,-259.0274,-45.6875,566.3033,-262.6203,-14.1517,545.3884,-0.0403,-0.1706,0.0260,0.9842,1872.0000,1780.0000,1839.0000,-12.4725,-2.4435,,
0.0919,354,0,-259.0274,-45.6875,566.3033,-262.6203,-14.1517,545.3884,-0.0403,-0.1706,0.0260,0.9842,1872.0000,1779.0000,1838.0000,-12.4694,-2.4454,,
0.1039,354,0,-258.8789,-46.0154,566.7461,-262.6068,-14.4953,545.8312,-0.0389,-0.1713,0.0254,0.9841,1872.0000,1777.0000,1838.0000,-12.5075,-2.4237,,
0.1119,354,0,-258.8789,-46.0154,566.7461,-262.6068,-14.4953,545.8312,-0.0389,-0.1713,0.0254,0.9841,1872.0000,1776.0000,1838.0000,-12.5234,-2.4147,,
0.1239,354,0,-259.7189,-46.5139,565.7317,-263.2338,-14.9693,544.8168,-0.0405,-0.1686,0.0242,0.9846,1872.0000,1764.0000,1838.0000,-12.5457,-2.4021,,
0.1359,354,0,-259.8196,-46.5605,565.4549,-263.4125,-15.0246,544.5400,-0.0415,-0.1713,0.0236,0.9841,1872.0000,1763.0000,1838.0000,-12.5584,-2.3949,,
0.1480,354,0,-258.8144,-46.5689,564.8201,-262.4037,-15.0327,543.9052,-0.0411,-0.1704,0.0237,0.9842,1872.0000,1745.0000,1837.0000,-12.6189,-2.3606,,
