{HEADER}
user_id: 789
target_id: 196
target_screen_position_mm: [-183.92, 0.00]
fingertip_offset: [-1.99, 32.86, 20.26]
completion_time: 7.5185
endpoint_error_mm: [-1.1099, 4.1014, 29.8001]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.166339, 14.558929, 12.456643, 8.418297]
control_points_accel: [3.646828, -5.379620, -0.353702, 2.086494]
stiffness_measurements: [0.175111, 0.116433, 0.156206, 0.181919]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,196,0,-121.3413,-143.9227,840.6130,-116.1929,-111.4078,820.3520,-0.0654,0.0987,-0.1111,0.9867,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.0128,196,0,-121.8446,-143.2104,840.6057,-117.1411,-110.6281,820.3447,-0.0617,0.0976,-0.1113,0.9870,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.0221,196,0,-121.8446,-143.2104,840.6057,-117.1411,-110.6281,820.3447,-0.0617,0.0976,-0.1113,0.9870,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.0329,196,0,-122.8667,-142.5415,840.9462,-117.9334,-109.9932,820.6852,-0.0652,0.0973,-0.1109,0.9869,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.0423,196,0,-122.8667,-142.5415,840.9462,-117.9334,-109.9932,820.6852,-0.0652,0.0973,-0.1109,0.9869,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.0542,196,0,-124.3350,-141.2569,840.6696,-119.3892,-108.7105,820.4086,-0.0653,0.0961,-0.1102,0.9871,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.0670,196,0,-125.8265,-140.0151,841.0854,-121.1278,-107.4321,820.8244,-0.0630,0.0978,-0.1101,0.9871,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.0760,196,0,-125.8265,-140.0151,841.0854,-121.1278,-107.4321,820.8244,-0.0630,0.0978,-0.1101,0.9871,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.0885,196,0,-125.9498,-138.9008,838.9113,-121.0759,-106.3436,818.6503,-0.0609,0.0959,-0.1102,0.9874,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.0983,196,0,-127.8134,-138.6577,840.2759,-122.8810,-106.1092,820.0150,-0.0636,0.0956,-0.1104,0.9872,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.1104,196,0,-127.8134,-138.6577,840.2759,-122.8810,-106.1092,820.0150,-0.0636,0.0956,-0.1104,0.9872,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.1225,196,0,-128.6714,-138.8519,840.7240,-120.6821,-106.9160,820.4630,0.5658,0.3989,-0.1308,0.7097,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.1346,196,0,-129.4920,-138.7250,840.0853,-124.5795,-106.1736,819.8243,-0.0599,0.0957,-0.1121,0.9873,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.1433,196,0,-129.4920,-138.7250,840.0853,-124.5795,-106.1736,819.8243,-0.0599,0.0957,-0.1121,0.9873,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.1545,196,0,-129.7031,-137.8271,838.6744,-124.4910,-105.3223,818.4135,-0.0634,0.0952,-0.1114,0.9872,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.1665,196,0,-129.5898,-137.4416,839.5466,-124.4995,-104.9175,819.2856,-0.0573,0.0971,-0.1115,0.9873,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.1785,196,0,-129.5898,-137.4416,839.5466,-124.4995,-104.9175,819.2856,-0.0573,0.0971,-0.1115,0.9873,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.1905,196,0,-129.1765,-136.9142,839.5887,-124.1214,-104.3847,819.3278,-0.0583,0.0966,-0.1110,0.9874,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.2025,196,0,-127.9106,-134.9123,836.0744,-122.8391,-102.3853,815.8134,-0.0612,0.0945,-0.1102,0.9875,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.2112,196,0,-127.9106,-134.9123,836.0744,-122.8391,-102.3853,815.8134,-0.0612,0.0945,-0.1102,0.9875,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.2224,196,0,-127.2883,-134.3594,835.8415,-122.1616,-101.8410,815.5805,-0.0592,0.0949,-0.1109,0.9875,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.2345,196,0,-125.3974,-132.7047,835.9360,-120.7382,-100.1161,815.6750,-0.0582,0.0962,-0.1108,0.9875,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
0.2465,196,0,-125.3974,-132.7047,835.9360,-120.7382,-100.1161,815.6750,-0.0582,0.0962,-0.1108,0.9875,1858.0000,1789.0000,1811.0000,-1.7331,15.1010,,
