{HEADER}
user_id: 789
target_id: 205
target_screen_position_mm: [-40.08, 0.00]
fingertip_offset: [-1.99, 32.86, 20.26]
completion_time: 8.3438
endpoint_error_mm: [-17.8031, -19.0223, 30.4023]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.166339, 14.558929, 12.456643, 8.418297]
control_points_accel: [3.646828, -5.379620, -0.353702, 2.086494]
stiffness_measurements: [0.175111, 0.116433, 0.156206, 0.181919]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,205,0,20.8644,-2.0905,766.6450,18.3594,30.7340,746.3840,-0.0082,0.0333,0.0042,0.9994,1870.0000,1766.0000,1773.0000,-0.5156,-1.0268,,
0.0122,205,0,21.1166,-1.8437,766.3492,18.8762,31.0000,746.0882,-0.0080,0.0331,0.0035,0.9994,1870.0000,1775.0000,1784.0000,-0.5156,-1.0235,,
0.0215,205,0,21.1166,-1.8437,766.3492,18.8762,31.0000,746.0882,-0.0080,0.0331,0.0035,0.9994,1870.0000,1781.0000,1792.0000,-0.5582,-0.9994,,
0.0321,205,0,21.3850,-1.6734,765.6282,24.4331,31.1052,745.3672,0.5409,0.4350,-0.1577,0.7024,1870.0000,1786.0000,1798.0000,-0.5877,-0.9826,,
0.0435,205,0,21.3850,-1.6734,765.6282,24.4331,31.1052,745.3672,0.5409,0.4350,-0.1577,0.7024,1870.0000,1793.0000,1805.0000,-0.6401,-0.9529,,
0.0556,205,0,21.6788,-1.6096,765.3146,19.5319,31.2404,745.0536,-0.0097,0.0330,0.0048,0.9994,1870.0000,1798.0000,1807.0000,-0.6401,-0.9529,,
0.0681,205,0,22.2588,-1.5094,765.0599,19.9484,31.3294,744.7990,-0.0078,0.0323,0.0038,0.9994,1870.0000,1803.0000,1807.0000,-0.6401,-0.9529,,
0.0769,205,0,22.6718,-1.6488,764.7389,20.3692,31.1906,744.4779,-0.0080,0.0325,0.0035,0.9994,1869.0000,1805.0000,1807.0000,-0.6401,-0.9529,,
0.0874,205,0,22.6718,-1.6488,764.7389,20.3692,31.1906,744.4779,-0.0080,0.0325,0.0035,0.9994,1866.0000,1807.0000,1807.0000,-0.6401,-0.9529,,
0.0994,205,0,22.9388,-1.6585,763.8872,20.6506,31.1819,743.6262,-0.0082,0.0329,0.0034,0.9994,1862.0000,1808.0000,1807.0000,-0.6401,-0.9496,,
0.1114,205,0,22.9907,-1.6171,763.8629,20.9275,31.2382,743.6019,-0.0104,0.0339,0.0030,0.9994,1859.0000,1809.0000,1807.0000,-0.6377,-0.9449,,
0.1236,205,0,22.9907,-1.6171,763.8629,20.9275,31.2382,743.6019,-0.0104,0.0339,0.0030,0.9994,1857.0000,1810.0000,1807.0000,-0.6352,-0.9435,,
0.1357,205,0,23.0682,-2.1892,762.9976,21.0298,30.6676,742.7366,-0.0067,0.0338,0.0027,0.9994,1854.0000,1811.0000,1807.0000,-0.6302,-0.9407,,
0.1445,205,0,23.9568,-2.8732,763.2089,21.8925,29.9821,742.9479,-0.0075,0.0367,0.0032,0.9993,1853.0000,1812.0000,1807.0000,-0.6253,-0.9379,,
0.1557,205,0,23.9568,-2.8732,763.2089,21.8925,29.9821,742.9479,-0.0075,0.0367,0.0032,0.9993,1851.0000,1813.0000,1807.0000,-0.6253,-0.9379,,
0.1675,205,0,24.7374,-3.3282,762.6281,22.3498,29.5051,742.3671,-0.0083,0.0360,0.0038,0.9993,1850.0000,1813.0000,1807.0000,-0.6228,-0.9365,,
0.1794,205,0,25.7824,-3.4199,762.1340,23.3536,29.4104,741.8730,-0.0093,0.0371,0.0042,0.9993,1848.0000,1813.0000,1807.0000,-0.6228,-0.9365,,
0.1914,205,0,26.1958,-3.4177,761.9109,23.9651,29.4267,741.6500,-0.0085,0.0352,0.0038,0.9993,1847.0000,1813.0000,1807.0000,-0.6178,-0.9336,,
0.2034,205,0,26.1958,-3.4177,761.9109,23.9651,29.4267,741.6500,-0.0085,0.0352,0.0038,0.9993,1846.0000,1813.0000,1807.0000,-0.6104,-0.9294,,
0.2122,205,0,26.4918,-3.4660,760.8475,24.0538,29.3636,740.5865,-0.0099,0.0355,0.0032,0.9993,1843.0000,1813.0000,1807.0000,-0.6104,-0.9294,,
0.2235,205,0,26.7686,-3.1051,760.2635,24.5751,29.7417,740.0025,-0.0098,0.0380,0.0031,0.9992,1842.0000,1813.0000,1807.0000,-0.6087,-0.9248,,
0.2355,205,0,26.7686,-3.1051,760.2635,24.5751,29.7417,740.0025,-0.0098,0.0380,0.0031,0.9992,1841.0000,1813.0000,1807.0000,-0.6063,-0.9201,,
0.2475,205,0,27.2153,-2.8280,759.6556,24.8064,30.0037,739.3947,-0.0065,0.0371,0.0035,0.9993,1839.0000,1813.0000,1807.0000,-0.6038,-0.9186,,
0.2594,205,0,27.7357,-2.1755,758.4139,25.6626,30.6792,738.1529,-0.0066,0.0380,0.0035,0.9993,1836.0000,1813.0000,1807.0000,-0.6038,-0.9186,,
0.2684,205,0,27.7357,-2.1755,758.4139,25.6626,30.6792,738.1529,-0.0066,0.0380,0.0035,0.9993,1836.0000,1813.0000,1807.0000,-0.6038,-0.9186,,
0.2795,205,0,28.5006,-1.3929,757.9044,26.3387,31.4561,737.6434,-0.0090,0.0363,0.0034,0.9993,1834.0000,1813.0000,1807.0000,-0.6038,-0.9186,,
0.2916,205,0,29.4496,-0.1577,755.7565,27.1641,32.6829,735.4955,-0.0066,0.0373,0.0026,0.9993,1830.0000,1813.0000,1807.0000,-0.6046,-0.9154,,
0.3036,205,0,29.9505,0.8132,756.0089,27.7854,33.6619,735.7479,-0.0073,0.0381,0.0022,0.9992,1829.0000,1813.0000,1807.0000,-0.6021,-0.9140,,
0.3153,205,0,29.9505,0.8132,756.0089,27.7854,33.6619,735.7479,-0.0073,0.0381,0.0022,0.9992,1828.0000,1813.0000,1807.0000,-0.5930,-0.9051,,
0.3274,205,0,30.6911,1.5367,755.1468,28.4746,34.3820,734.8858,-0.0058,0.0388,0.0019,0.9992,1825.0000,1813.0000,1807.0000,-0.5880,-0.8911,,
0.3363,205,0,31.7218,2.8812,752.6401,29.9194,35.7518,732.3792,-0.0043,0.0398,0.0008,0.9992,1820.0000,1813.0000,1807.0000,-0.5879,-0.8799,,
