{HEADER}
user_id: 790
target_id: 216
target_screen_position_mm: [135.88, 0.00]
fingertip_offset: [-0.06, 33.09, 21.49]
completion_time: 5.5440
endpoint_error_mm: [-9.3061, 13.6886, 28.6024]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.201843, 12.199990, 12.138453, 7.347800]
control_points_accel: [-0.394181, -0.770353, -3.964669, 5.129203]
stiffness_measurements: [0.196251, 0.271653, 0.229283, 0.129463]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,216,0,149.6575,-7.6082,546.0201,148.0271,25.4436,524.5291,-0.0433,0.1074,-0.0037,0.9933,1691.0000,1819.0000,1832.0000,-5.4967,-5.4485,,
0.0159,216,0,149.0739,-7.3179,545.1190,147.5175,25.7375,523.6279,-0.0429,0.1092,-0.0048,0.9931,1604.0000,1819.0000,1832.0000,-5.4942,-5.4471,,
0.0266,216,0,149.0739,-7.3179,545.1190,147.5175,25.7375,523.6279,-0.0429,0.1092,-0.0048,0.9931,1554.0000,1819.0000,1832.0000,-5.4829,-5.4366,,
0.0352,216,0,149.4145,-7.4711,545.2446,147.9105,25.5867,523.7535,-0.0427,0.1087,-0.0050,0.9931,1525.0000,1819.0000,1832.0000,-5.4655,-5.4267,,
0.0438,216,0,150.7231,-8.7484,544.8257,148.9911,24.2982,523.3347,-0.0443,0.1095,-0.0031,0.9930,1495.0000,1819.0000,1832.0000,-5.3744,-5.3710,,
0.0560,216,0,150.7231,-8.7484,544.8257,148.9911,24.2982,523.3347,-0.0443,0.1095,-0.0031,0.9930,1465.0000,1819.0000,1832.0000,-5.3046,-5.3315,,
0.0680,216,0,151.3885,-9.1476,544.4305,149.6524,23.8988,522.9395,-0.0450,0.1101,-0.0023,0.9929,1436.0000,1819.0000,1832.0000,-5.2980,-5.1853,,
0.0799,216,0,152.0457,-9.5658,543.7446,150.3224,23.4813,522.2535,-0.0452,0.1100,-0.0020,0.9929,1407.0000,1819.0000,1832.0000,-5.3779,-5.0635,,
0.0924,216,0,152.3443,-10.3487,543.8235,150.6252,22.6986,522.3324,-0.0461,0.1105,-0.0021,0.9928,1390.0000,1819.0000,1832.0000,-5.3317,-5.0047,,
0.1010,216,0,152.3443,-10.3487,543.8235,150.6252,22.6986,522.3324,-0.0461,0.1105,-0.0021,0.9928,1381.0000,1819.0000,1832.0000,-5.1483,-4.8845,,
0.1119,216,0,153.1419,-11.5018,543.1069,151.4151,21.5451,521.6158,-0.0471,0.1117,-0.0019,0.9926,1361.0000,1819.0000,1832.0000,-5.0223,-4.7397,,
