{HEADER}
user_id: 790
target_id: 294
target_screen_position_mm: [-56.00, 48.04]
fingertip_offset: [-0.06, 33.09, 21.49]
completion_time: 5.7600
endpoint_error_mm: [3.6152, -15.7747, 28.7392]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.201843, 12.199990, 12.138453, 7.347800]
control_points_accel: [-0.394181, -0.770353, -3.964669, 5.129203]
stiffness_measurements: [0.196251, 0.271653, 0.229283, 0.129463]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,294,0,-68.1350,122.8348,608.3870,-63.2324,155.5616,586.8959,0.1284,0.0670,-0.0913,0.9852,1897.0000,810.0000,1817.0000,8.6873,-29.8535,,
0.0124,294,0,-68.0174,123.0826,608.7455,-62.9632,155.7864,587.2545,0.1292,0.0664,-0.0921,0.9851,1897.0000,903.0000,1817.0000,8.6808,-29.8498,,
0.0241,294,0,-68.1160,122.7895,608.7900,-63.0453,155.4906,587.2990,0.1288,0.0674,-0.0920,0.9851,1897.0000,970.0000,1817.0000,6.7193,-28.7381,,
0.0331,294,0,-68.1160,122.7895,608.7900,-63.0453,155.4906,587.2990,0.1288,0.0674,-0.0920,0.9851,1897.0000,1007.0000,1817.0000,2.8822,-26.6116,,
0.0435,294,0,-67.6441,122.2132,608.1197,-57.4572,153.6982,586.6286,0.6622,0.3682,-0.1977,0.6220,1897.0000,1042.0000,1818.0000,1.2161,-25.7458,,
0.0557,294,0,-65.0418,121.9458,608.7043,-59.6660,154.5982,587.2133,0.1287,0.0692,-0.0943,0.9848,1898.0000,1086.0000,1818.0000,-1.8084,-24.2251,,
0.0676,294,0,-49.5767,118.2530,608.2661,-44.4713,150.9487,586.7750,0.1241,0.0797,-0.1015,0.9838,1898.0000,1119.0000,1818.0000,-2.2221,-24.0340,,
0.0795,294,0,-27.9946,105.9200,619.3130,-23.0993,138.6479,597.8219,0.1120,0.0932,-0.1022,0.9840,1892.0000,1159.0000,1819.0000,-2.7235,-23.6915,,
0.0918,294,0,0.7795,97.0923,642.8607,2.7686,130.1245,621.3696,0.0543,0.0874,-0.0739,0.9919,1861.0000,1212.0000,1819.0000,-2.7916,-23.4636,,
0.1016,294,0,0.7795,97.0923,642.8607,2.7686,130.1245,621.3696,0.0543,0.0874,-0.0739,0.9919,1828.0000,1269.0000,1819.0000,-2.7814,-23.4694,,
0.1117,294,0,29.0302,91.4686,621.0668,31.4455,124.4723,599.5757,0.1001,0.1268,-0.0498,0.9856,1801.0000,1316.0000,1819.0000,-2.7478,-23.4699,,
0.1238,294,0,43.7423,85.3181,620.8770,44.3863,118.4038,599.3859,0.0918,0.1426,-0.0202,0.9853,1759.0000,1390.0000,1819.0000,-2.6862,-23.4544,,
0.1359,294,0,38.6098,83.1748,621.6897,39.7821,116.2460,600.1986,0.0915,0.1379,-0.0315,0.9857,1720.0000,1459.0000,1819.0000,-2.6196,-23.4205,,
0.1479,294,0,31.1235,83.0810,622.2748,33.3726,116.0964,600.7837,0.0907,0.1348,-0.0468,0.9856,1695.0000,1507.0000,1819.0000,-2.4958,-23.3624,,
0.1598,294,0,31.1235,83.0810,622.2748,33.3726,116.0964,600.7837,0.0907,0.1348,-0.0468,0.9856,1679.0000,1549.0000,1819.0000,-2.4061,-23.3168,,
0.1700,294,0,26.6804,83.0983,622.9537,29.4475,116.0744,601.4626,0.0937,0.1314,-0.0569,0.9853,1669.0000,1577.0000,1819.0000,-2.1214,-22.9755,,
0.1799,294,0,27.9211,81.3954,622.7543,30.6930,114.3711,601.2632,0.0923,0.1315,-0.0554,0.9854,1662.0000,1596.0000,1819.0000,-1.8214,-22.6501,,
0.1919,294,0,27.9211,81.3954,622.7543,30.6930,114.3711,601.2632,0.0923,0.1315,-0.0554,0.9854,1656.0000,1616.0000,1819.0000,-1.6615,-22.4794,,
0.2038,294,0,29.1742,79.3700,623.0574,31.6976,112.3656,601.5663,0.0917,0.1321,-0.0513,0.9856,1651.0000,1631.0000,1820.0000,-1.2590,-22.1266,,
0.2158,294,0,26.4884,72.9141,623.6375,29.2221,105.8930,602.1464,0.0859,0.1314,-0.0526,0.9862,1647.0000,1646.0000,1820.0000,-0.8254,-21.8919,,
0.2243,294,0,23.4270,67.4676,623.1589,26.2477,100.4392,601.6678,0.0810,0.1275,-0.0567,0.9869,1647.0000,1655.0000,1820.0000,-0.6378,-21.8620,,
0.2359,294,0,23.4270,67.4676,623.1589,26.2477,100.4392,601.6678,0.0810,0.1275,-0.0567,0.9869,1650.0000,1664.0000,1820.0000,-0.3912,-21.7811,,
0.2484,294,0,19.6193,62.1417,624.5153,22.7901,95.0815,603.0242,0.0791,0.1248,-0.0614,0.9871,1653.0000,1674.0000,1820.0000,-0.3865,-21.7678,,
0.2599,294,0,11.8890,55.2108,624.4690,15.4184,88.1141,602.9779,0.0730,0.1192,-0.0684,0.9878,1659.0000,1680.0000,1820.0000,-0.3841,-21.6888,,
0.2718,294,0,9.1158,54.3410,623.6469,12.7735,87.2303,602.1558,0.0749,0.1155,-0.0712,0.9879,1670.0000,1682.0000,1820.0000,-0.3721,-21.3680,,
0.2839,294,0,9.1158,54.3410,623.6469,12.7735,87.2303,602.1558,0.0749,0.1155,-0.0712,0.9879,1681.0000,1682.0000,1821.0000,-0.3506,-21.2677,,
0.2925,294,0,8.0297,52.3954,623.7873,12.0211,85.2458,602.2962,0.0727,0.1166,-0.0731,0.9878,1686.0000,1682.0000,1821.0000,-0.2526,-21.0044,,
0.3037,294,0,10.4002,45.9597,622.3362,13.8942,78.8667,600.8452,0.0669,0.1169,-0.0706,0.9884,1694.0000,1682.0000,1821.0000,-0.1761,-20.8907,,
0.3157,294,0,10.4002,45.9597,622.3362,13.8942,78.8667,600.8452,0.0669,0.1169,-0.0706,0.9884,1701.0000,1687.0000,1821.0000,-0.0994,-20.6960,,
0.3288,294,0,12.2004,40.3710,621.4717,15.4036,73.3076,599.9806,0.0612,0.1179,-0.0687,0.9888,1707.0000,1691.0000,1821.0000,-0.0946,-20.6265,,
0.3399,294,0,12.7393,29.7934,620.7064,16.0840,62.7159,599.2153,0.0558,0.1168,-0.0676,0.9893,1713.0000,1699.0000,1821.0000,-0.0946,-20.5633,,
0.3519,294,0,12.0393,24.8383,619.6864,15.3515,57.7641,598.1953,0.0535,0.1165,-0.0692,0.9893,1721.0000,1710.0000,1821.0000,-0.0922,-20.5620,,
0.3605,294,0,12.0393,24.8383,619.6864,15.3515,57.7641,598.1953,0.0535,0.1165,-0.0692,0.9893,1727.0000,1718.0000,1821.0000,-0.0946,-20.5633,,
0.3716,294,0,11.7247,22.5550,619.1204,14.7534,55.5081,597.6293,0.0513,0.1159,-0.0700,0.9895,1734.0000,1726.0000,1821.0000,-0.0936,-20.5666,,
0.3839,294,0,12.8298,20.9897,616.2553,15.9128,53.9378,594.7642,0.0508,0.1162,-0.0661,0.9897,1740.0000,1734.0000,1821.0000,-0.0902,-20.5685,,
0.3959,294,0,14.1240,21.7728,614.7231,16.8935,54.7487,593.2320,0.0494,0.1165,-0.0628,0.9900,1745.0000,1742.0000,1821.0000,-0.0902,-20.5685,,
0.4080,294,0,14.1240,21.7728,614.7231,16.8935,54.7487,593.2320,0.0494,0.1165,-0.0628,0.9900,1749.0000,1749.0000,1821.0000,-0.0868,-20.5705,,
0.4166,294,0,15.5031,22.6867,614.0217,18.3945,55.6522,592.5306,0.0503,0.1172,-0.0610,0.9900,1751.0000,1753.0000,1821.0000,-0.0834,-20.5724,,
0.4277,294,0,18.9525,23.3795,609.8444,21.4345,56.3783,588.3533,0.0524,0.1195,-0.0602,0.9896,1751.0000,1758.0000,1821.0000,-0.0834,-20.5724,,
0.4397,294,0,18.9525,23.3795,609.8444,21.4345,56.3783,588.3533,0.0524,0.1195,-0.0602,0.9896,1751.0000,1765.0000,1821.0000,-0.0799,-20.5744,,
0.4518,294,0,20.7195,23.9936,608.4860,23.5055,56.9681,586.9949,0.0515,0.1198,-0.0601,0.9896,1750.0000,1770.0000,1821.0000,-0.0741,-20.5749,,
0.4639,294,0,25.0442,24.9927,605.5721,27.7519,57.9737,584.0811,0.0538,0.1236,-0.0588,0.9891,1735.0000,1771.0000,1821.0000,-0.0707,-20.5769,,
0.4760,294,0,27.4576,25.6627,603.7100,29.9310,58.6622,582.2189,0.0544,0.1248,-0.0581,0.9890,1721.0000,1776.0000,1821.0000,-0.0639,-20.5808,,
0.4846,294,0,27.4576,25.6627,603.7100,29.9310,58.6622,582.2189,0.0544,0.1248,-0.0581,0.9890,1717.0000,1782.0000,1821.0000,-0.0556,-20.5800,,
0.4959,294,0,29.2181,26.7611,601.2421,31.9258,59.7422,579.7510,0.0544,0.1265,-0.0569,0.9888,1700.0000,1786.0000,1821.0000,-0.0043,-20.5547,,
0.5079,294,0,32.7533,29.7664,596.8762,35.1909,62.7685,575.3851,0.0558,0.1286,-0.0547,0.9886,1670.0000,1788.0000,1821.0000,0.1767,-20.4832,,
0.5213,294,0,32.7533,29.7664,596.8762,35.1909,62.7685,575.3851,0.0558,0.1286,-0.0547,0.9886,1661.0000,1796.0000,1821.0000,0.4086,-20.4757,,
0.5319,294,0,34.1992,31.3338,594.9350,36.2906,64.3596,573.4439,0.0582,0.1300,-0.0531,0.9884,1643.0000,1800.0000,1821.0000,0.8005,-20.4548,,
0.5439,294,0,35.6034,34.9392,590.0652,37.7155,67.9637,568.5742,0.0599,0.1309,-0.0493,0.9884,1606.0000,1801.0000,1821.0000,1.1445,-20.3952,,
0.5526,294,0,35.6034,34.9392,590.0652,37.7155,67.9637,568.5742,0.0599,0.1309,-0.0493,0.9884,1598.0000,1805.0000,1821.0000,1.2760,-20.3710,,
0.5638,294,0,35.4559,36.5416,587.8931,37.5469,69.5675,566.4020,0.0617,0.1304,-0.0478,0.9884,1576.0000,1806.0000,1821.0000,1.5259,-20.3259,,
0.5760,294,0,33.7860,40.7681,584.0919,35.9714,73.7879,562.6008,0.0644,0.1303,-0.0474,0.9882,1542.0000,1805.0000,1821.0000,1.7373,-20.2571,,
0.5879,294,0,32.9463,42.4000,581.6094,35.1859,75.4161,560.1183,0.0658,0.1286,-0.0491,0.9883,1516.0000,1799.0000,1821.0000,1.9767,-20.1165,,
0.5999,294,0,32.9463,42.4000,581.6094,35.1859,75.4161,560.1183,0.0658,0.1286,-0.0491,0.9883,1508.0000,1793.0000,1821.0000,2.2988,-19.8672,,
0.6089,294,0,32.9894,44.1117,579.5801,35.2802,77.1243,558.0890,0.0680,0.1288,-0.0512,0.9880,1488.0000,1787.0000,1821.0000,2.5029,-19.7097,,
0.6198,294,0,34.9586,46.4218,575.3089,37.3832,79.4249,553.8178,0.0694,0.1304,-0.0519,0.9877,1451.0000,1778.0000,1822.0000,2.9377,-19.3370,,
0.6318,294,0,34.9586,46.4218,575.3089,37.3832,79.4249,553.8178,0.0694,0.1304,-0.0519,0.9877,1440.0000,1775.0000,1822.0000,3.4440,-18.7942,,
0.6438,294,0,36.0698,46.5160,572.6221,44.8553,78.4205,551.1310,0.6711,-0.1157,0.1313,0.7204,1410.0000,1772.0000,1822.0000,3.6002,-18.6321,,
0.6558,294,0,36.6544,44.3321,569.2230,39.3807,77.3116,547.7319,0.0684,0.1309,-0.0559,0.9875,1370.0000,1780.0000,1822.0000,3.9059,-18.2664,,
0.6695,294,0,36.5331,42.8086,567.0734,39.3429,75.7811,545.5823,0.0664,0.1291,-0.0589,0.9876,1347.0000,1781.0000,1822.0000,3.9507,-18.1886,,
0.6783,294,0,36.5331,42.8086,567.0734,39.3429,75.7811,545.5823,0.0664,0.1291,-0.0589,0.9876,1344.0000,1783.0000,1822.0000,4.1377,-18.0197,,
0.6879,294,0,36.4525,40.9814,565.4052,39.6089,73.9225,543.9141,0.0655,0.1295,-0.0617,0.9875,1328.0000,1783.0000,1822.0000,4.3510,-17.8852,,
0.7006,294,0,38.4820,38.2230,561.5794,41.7909,71.1492,540.0883,0.0643,0.1301,-0.0641,0.9873,1296.0000,1786.0000,1822.0000,4.5581,-17.7685,,
0.7119,294,0,38.4820,38.2230,561.5794,41.7909,71.1492,540.0883,0.0643,0.1301,-0.0641,0.9873,1294.0000,1797.0000,1822.0000,4.7448,-17.6352,,
0.7239,294,0,40.1406,38.5132,559.0131,43.2547,71.4583,537.5220,0.0635,0.1312,-0.0632,0.9873,1272.0000,1805.0000,1823.0000,4.9384,-17.4730,,
0.7324,294,0,41.5136,39.8741,554.1261,44.6123,72.8207,532.6350,0.0639,0.1324,-0.0598,0.9873,1230.0000,1813.0000,1823.0000,5.0551,-17.3758,,
