{HEADER}
user_id: 791
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [0.40, 33.44, 23.16]
completion_time: 10.7916
endpoint_error_mm: [2.4123, -0.2401, 27.4705]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [10.927567, 9.985579, 10.120739, 9.858398]
control_points_accel: [-1.954779, 1.386970, -0.973794, 1.541603]
stiffness_measurements: [0.226669, 0.155536, 0.122788, 0.348330]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-30.6713,-170.9143,644.0670,-32.9564,-137.5452,620.9109,-0.0597,0.0700,0.0088,0.9957,1859.0000,1799.0000,1815.0000,4.6829,-8.0462,,
0.0121,354,0,-30.3348,-170.4706,643.7750,-32.6407,-137.1029,620.6190,-0.0603,0.0701,0.0086,0.9957,1859.0000,1799.0000,1813.0000,4.6899,-8.0502,,
0.0215,354,0,-30.3348,-170.4706,643.7750,-32.6407,-137.1029,620.6190,-0.0603,0.0701,0.0086,0.9957,1859.0000,1799.0000,1813.0000,4.6794,-8.0443,,
0.0317,354,0,-30.1708,-170.3497,643.1114,-32.4716,-136.9816,619.9553,-0.0598,0.0698,0.0088,0.9957,1859.0000,1799.0000,1805.0000,4.6864,-8.0482,,
0.0436,354,0,-30.1708,-170.3497,643.1114,-32.4716,-136.9816,619.9553,-0.0598,0.0698,0.0088,0.9957,1859.0000,1799.0000,1803.0000,4.6933,-8.0521,,
0.0557,354,0,-29.7074,-170.1172,642.2573,-32.1025,-136.7558,619.1013,-0.0597,0.0695,0.0094,0.9957,1859.0000,1799.0000,1789.0000,4.6899,-8.0502,,
0.0678,354,0,-29.1987,-169.8761,641.5923,-31.4360,-136.5037,618.4363,-0.0605,0.0707,0.0094,0.9956,1859.0000,1799.0000,1775.0000,4.6829,-8.0462,,
0.0767,354,0,-29.1987,-169.8761,641.5923,-31.4360,-136.5037,618.4363,-0.0605,0.0707,0.0094,0.9956,1859.0000,1799.0000,1773.0000,4.6933,-8.0554,,
0.0888,354,0,-28.6164,-169.8451,641.4464,-30.8663,-136.4736,618.2903,-0.0596,0.0707,0.0089,0.9957,1859.0000,1799.0000,1768.0000,4.6899,-8.0566,,
0.0997,354,0,-27.4170,-169.7292,641.1691,-29.7637,-136.3643,618.0130,-0.0587,0.0711,0.0093,0.9957,1859.0000,1799.0000,1761.0000,4.6829,-8.0527,,
0.1118,354,0,-27.4170,-169.7292,641.1691,-29.7637,-136.3643,618.0130,-0.0587,0.0711,0.0093,0.9957,1859.0000,1799.0000,1759.0000,4.6899,-8.0598,,
0.1252,354,0,-26.9394,-169.4636,640.9899,-29.1199,-136.0874,617.8338,-0.0581,0.0722,0.0095,0.9957,1859.0000,1799.0000,1754.0000,4.6864,-8.0610,,
0.1357,354,0,-25.6390,-168.9029,639.7715,-28.0221,-135.5406,616.6155,-0.0589,0.0731,0.0098,0.9955,1859.0000,1799.0000,1728.0000,4.6829,-8.0591,,
0.1444,354,0,-25.6390,-168.9029,639.7715,-28.0221,-135.5406,616.6155,-0.0589,0.0731,0.0098,0.9955,1859.0000,1799.0000,1727.0000,4.6829,-8.0623,,
0.1559,354,0,-25.0599,-168.6932,639.3090,-27.4101,-135.3285,616.1530,-0.0592,0.0734,0.0097,0.9955,1859.0000,1799.0000,1716.0000,4.6899,-8.0855,,
0.1677,354,0,-23.4109,-167.8218,638.2073,-25.8495,-134.4635,615.0513,-0.0597,0.0718,0.0108,0.9956,1859.0000,1799.0000,1692.0000,4.6864,-8.1189,,
0.1797,354,0,-22.9896,-167.5536,638.0764,-25.3917,-134.1927,614.9203,-0.0583,0.0725,0.0113,0.9956,1859.0000,1799.0000,1688.0000,4.6829,-8.1426,,
0.1914,354,0,-22.9896,-167.5536,638.0764,-25.3917,-134.1927,614.9203,-0.0583,0.0725,0.0113,0.9956,1859.0000,1799.0000,1688.0000,4.6899,-8.1659,,
0.2036,354,0,-22.9281,-166.9932,637.7390,-25.4881,-133.6440,614.5829,-0.0577,0.0748,0.0115,0.9955,1859.0000,1799.0000,1680.0000,4.6899,-8.2655,,
0.2122,354,0,-21.9555,-164.6070,637.1440,-24.4931,-131.2561,613.9879,-0.0588,0.0743,0.0121,0.9954,1859.0000,1799.0000,1667.0000,4.6829,-8.3260,,
0.2237,354,0,-21.9555,-164.6070,637.1440,-24.4931,-131.2561,613.9879,-0.0588,0.0743,0.0121,0.9954,1859.0000,1799.0000,1667.0000,4.6899,-8.4458,,
0.2356,354,0,-21.6603,-164.1007,637.3768,-21.4491,-130.6540,614.2208,0.6652,0.0463,-0.4942,0.5578,1859.0000,1799.0000,1667.0000,4.6899,-8.4909,,
0.2478,354,0,-21.2621,-160.5188,637.0556,-23.7489,-127.1641,613.8995,-0.0536,0.0746,0.0120,0.9957,1859.0000,1799.0000,1665.0000,4.6829,-8.4902,,
0.2600,354,0,-21.2621,-160.5188,637.0556,-23.7489,-127.1641,613.8995,-0.0536,0.0746,0.0120,0.9957,1859.0000,1799.0000,1666.0000,4.6829,-8.4902,,
0.2687,354,0,-20.9879,-158.1129,637.1147,-23.3209,-124.7470,613.9587,-0.0521,0.0749,0.0122,0.9958,1859.0000,1799.0000,1667.0000,4.6899,-8.4941,,
0.2796,354,0,-20.3321,-155.1918,637.3285,-22.7884,-121.8348,614.1724,-0.0501,0.0758,0.0121,0.9958,1859.0000,1799.0000,1668.0000,4.6829,-8.4902,,
0.2917,354,0,-20.3321,-155.1918,637.3285,-22.7884,-121.8348,614.1724,-0.0501,0.0758,0.0121,0.9958,1859.0000,1799.0000,1670.0000,4.6864,-8.4921,,
0.3037,354,0,-20.3502,-154.7908,636.4421,-22.8409,-121.4364,613.2860,-0.0512,0.0768,0.0123,0.9957,1859.0000,1799.0000,1658.0000,4.6829,-8.4902,,
0.3156,354,0,-19.5850,-153.2048,635.6610,-21.8755,-119.8360,612.5049,-0.0489,0.0765,0.0125,0.9958,1859.0000,1799.0000,1644.0000,4.6794,-8.4882,,
