{HEADER}
user_id: 795
target_id: 266
target_screen_position_mm: [-24.16, 32.12]
fingertip_offset: [0.63, 33.38, 23.53]
completion_time: 6.3193
endpoint_error_mm: [-4.6612, 3.6066, 26.9274]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.416233, 12.234168, 13.635418, 6.455830]
control_points_accel: [-0.914396, 0.574472, -7.260165, 7.600089]
stiffness_measurements: [0.288490, 0.289500, 0.219428, 0.294233]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,266,0,-9.4870,-177.4758,690.0739,-8.1104,-144.1204,666.5460,-0.0792,0.1365,-0.0538,0.9860,1895.0000,1550.0000,1366.0000,0.2066,-1.2252,,
0.0092,266,0,-9.4870,-177.4758,690.0739,-8.1104,-144.1204,666.5460,-0.0792,0.1365,-0.0538,0.9860,1895.0000,1674.0000,1282.0000,0.2066,-1.2583,,
0.0205,266,0,-9.9607,-177.2565,690.2063,-8.8182,-143.8923,666.6783,-0.0738,0.1379,-0.0547,0.9862,1895.0000,1776.0000,1214.0000,-0.0890,-1.6646,,
0.0317,266,0,-10.2890,-176.1295,690.8415,-9.1226,-142.7662,667.3135,-0.0747,0.1353,-0.0540,0.9865,1895.0000,1833.0000,1142.0000,-0.4876,-2.6582,,
0.0433,266,0,-10.2890,-176.1295,690.8415,-9.1226,-142.7662,667.3135,-0.0747,0.1353,-0.0540,0.9865,1895.0000,1833.0000,1087.0000,-0.4332,-3.2633,,
0.0553,266,0,-10.8852,-175.3273,691.3727,-3.8162,-142.7005,667.8447,0.6451,-0.3994,-0.5506,-0.3481,1895.0000,1833.0000,1037.0000,-0.2134,-5.0752,,
0.0673,266,0,-7.8542,-166.5730,691.6737,-6.2155,-133.2295,668.1458,-0.0735,0.1353,-0.0532,0.9866,1895.0000,1833.0000,995.0000,-0.1730,-5.5703,,
0.0762,266,0,-8.9028,-146.6982,703.1631,-7.9056,-113.3293,679.6352,-0.0588,0.1366,-0.0483,0.9877,1895.0000,1833.0000,985.0000,-0.1360,-6.3243,,
0.0876,266,0,-8.9028,-146.6982,703.1631,-7.9056,-113.3293,679.6352,-0.0588,0.1366,-0.0483,0.9877,1895.0000,1833.0000,996.0000,-0.1067,-6.8824,,
0.0995,266,0,-13.0935,-121.3401,709.5923,-12.2241,-87.9676,686.0643,-0.0424,0.1357,-0.0389,0.9891,1895.0000,1833.0000,1007.0000,-0.0909,-7.0807,,
0.1115,266,0,-17.0418,-84.3086,715.6306,-16.5003,-50.9292,692.1027,-0.0202,0.1326,-0.0355,0.9903,1895.0000,1834.0000,1058.0000,-0.0626,-7.3901,,
0.1238,266,0,-19.3930,-72.1745,717.2218,-17.7118,-38.8330,693.6938,0.6805,0.0204,-0.5166,0.5193,1895.0000,1834.0000,1150.0000,-0.0530,-7.3812,,
0.1330,266,0,-19.3930,-72.1745,717.2218,-17.7118,-38.8330,693.6938,0.6805,0.0204,-0.5166,0.5193,1895.0000,1834.0000,1220.0000,-0.0482,-7.3716,,
0.1435,266,0,-21.0094,-62.9994,718.2565,-20.0920,-29.6282,694.7286,-0.0073,0.1299,-0.0371,0.9908,1895.0000,1834.0000,1288.0000,-0.0099,-7.3224,,
0.1555,266,0,-21.4565,-55.3514,718.4486,-20.6921,-21.9763,694.9207,-0.0007,0.1301,-0.0355,0.9909,1895.0000,1834.0000,1362.0000,0.0644,-7.2253,,
0.1674,266,0,-20.9554,-56.8812,718.2433,-20.3409,-23.5031,694.7153,-0.0028,0.1299,-0.0331,0.9910,1894.0000,1834.0000,1431.0000,0.1940,-7.1210,,
0.1794,266,0,-20.9554,-56.8812,718.2433,-20.3409,-23.5031,694.7153,-0.0028,0.1299,-0.0331,0.9910,1894.0000,1834.0000,1483.0000,0.2709,-7.0637,,
0.1914,266,0,-18.6460,-58.2235,716.8099,-18.3813,-24.8408,693.2819,-0.0064,0.1311,-0.0304,0.9909,1894.0000,1834.0000,1524.0000,0.2733,-7.0348,,
0.2002,266,0,-15.0953,-65.1628,715.0707,-14.9167,-31.7795,691.5427,-0.0104,0.1344,-0.0276,0.9905,1894.0000,1834.0000,1546.0000,0.2733,-7.0280,,
0.2113,266,0,-15.0953,-65.1628,715.0707,-14.9167,-31.7795,691.5427,-0.0104,0.1344,-0.0276,0.9905,1894.0000,1834.0000,1560.0000,0.2733,-7.0211,,
0.2236,266,0,-14.7938,-68.2570,714.1287,-14.3827,-34.8758,690.6007,-0.0122,0.1329,-0.0276,0.9907,1894.0000,1834.0000,1571.0000,0.2742,-7.0209,,
0.2355,266,0,-13.7246,-68.4852,712.9203,-13.0349,-35.1086,689.3923,-0.0124,0.1338,-0.0328,0.9904,1894.0000,1834.0000,1576.0000,0.2776,-7.0194,,
0.2491,266,0,-12.7737,-68.0700,710.6440,-12.2004,-34.6912,687.1160,-0.0141,0.1330,-0.0343,0.9904,1894.0000,1834.0000,1580.0000,0.2776,-7.0194,,
0.2582,266,0,-12.7737,-68.0700,710.6440,-12.2004,-34.6912,687.1160,-0.0141,0.1330,-0.0343,0.9904,1894.0000,1834.0000,1582.0000,0.2776,-7.0057,,
0.2674,266,0,-12.3229,-66.9349,709.9485,-11.4899,-33.5615,686.4205,-0.0126,0.1352,-0.0349,0.9901,1894.0000,1834.0000,1584.0000,0.2824,-6.9274,,
0.2795,266,0,-11.2752,-63.9474,708.2090,-7.9740,-30.7273,684.6811,0.6787,0.0131,-0.5270,0.5114,1894.0000,1834.0000,1588.0000,0.2848,-6.8746,,
0.2922,266,0,-11.2752,-63.9474,708.2090,-7.9740,-30.7273,684.6811,0.6787,0.0131,-0.5270,0.5114,1894.0000,1834.0000,1594.0000,0.3017,-6.7039,,
0.3035,266,0,-10.4134,-62.7923,707.0615,-7.8686,-29.5057,683.5335,0.6793,0.0165,-0.5265,0.5110,1894.0000,1834.0000,1599.0000,0.3329,-6.6450,,
0.3154,266,0,-7.2779,-62.6979,704.4033,-6.3661,-29.3266,680.8753,-0.0114,0.1371,-0.0350,0.9899,1894.0000,1834.0000,1604.0000,0.3738,-6.6218,,
0.3244,266,0,-7.2779,-62.6979,704.4033,-6.3661,-29.3266,680.8753,-0.0114,0.1371,-0.0350,0.9899,1894.0000,1834.0000,1607.0000,0.3931,-6.6075,,
0.3353,266,0,-5.0434,-63.6247,704.0645,-4.1759,-30.2522,680.5366,-0.0104,0.1387,-0.0348,0.9897,1894.0000,1834.0000,1611.0000,0.4075,-6.5993,,
0.3473,266,0,0.1497,-61.5941,701.2113,0.8222,-28.2171,677.6833,-0.0115,0.1419,-0.0318,0.9893,1894.0000,1834.0000,1613.0000,0.4027,-6.6020,,
0.3595,266,0,0.1497,-61.5941,701.2113,0.8222,-28.2171,677.6833,-0.0115,0.1419,-0.0318,0.9893,1894.0000,1834.0000,1615.0000,0.4075,-6.5993,,
0.3714,266,0,1.8698,-58.9191,700.0626,5.3085,-25.7129,676.5347,0.6794,0.0335,-0.5109,0.5256,1894.0000,1834.0000,1618.0000,0.4051,-6.6007,,
0.3835,266,0,5.6988,-54.9488,698.2804,6.4341,-21.5731,674.7524,-0.0081,0.1448,-0.0305,0.9890,1894.0000,1834.0000,1623.0000,0.4099,-6.5980,,
0.3926,266,0,7.5814,-52.4655,696.5530,8.1492,-19.0866,673.0250,-0.0074,0.1451,-0.0300,0.9889,1894.0000,1834.0000,1631.0000,0.4171,-6.5939,,
0.4034,266,0,7.5814,-52.4655,696.5530,8.1492,-19.0866,673.0250,-0.0074,0.1451,-0.0300,0.9889,1894.0000,1834.0000,1640.0000,0.4234,-6.5865,,
0.4156,266,0,9.1454,-50.4118,695.4670,9.8131,-17.0347,671.9390,-0.0077,0.1478,-0.0294,0.9885,1894.0000,1834.0000,1653.0000,0.4957,-6.5421,,
0.4279,266,0,12.9822,-47.1580,693.4672,13.7303,-13.7826,669.9392,-0.0037,0.1496,-0.0284,0.9883,1894.0000,1834.0000,1664.0000,0.5077,-6.5353,,
0.4402,266,0,12.9822,-47.1580,693.4672,13.7303,-13.7826,669.9392,-0.0037,0.1496,-0.0284,0.9883,1894.0000,1834.0000,1679.0000,0.5150,-6.5278,,
0.4492,266,0,14.3230,-45.3189,691.8489,14.9784,-11.9415,668.3209,-0.0031,0.1517,-0.0276,0.9880,1894.0000,1834.0000,1687.0000,0.5150,-6.5278,,
0.4600,266,0,16.7815,-41.6151,688.2892,17.2691,-8.2349,664.7613,-0.0043,0.1531,-0.0258,0.9879,1894.0000,1834.0000,1694.0000,0.5150,-6.5278,,
0.4715,266,0,16.7815,-41.6151,688.2892,17.2691,-8.2349,664.7613,-0.0043,0.1531,-0.0258,0.9879,1888.0000,1834.0000,1708.0000,0.5357,-6.4300,,
0.4833,266,0,18.3739,-39.3869,687.7982,18.8818,-6.0070,664.2703,-0.0032,0.1525,-0.0260,0.9880,1875.0000,1834.0000,1719.0000,0.6105,-6.2986,,
0.4954,266,0,19.8958,-35.0587,685.5175,20.8852,-1.6896,661.9895,0.0017,0.1539,-0.0278,0.9877,1862.0000,1834.0000,1729.0000,0.7844,-6.0734,,
0.5077,266,0,19.8958,-35.0587,685.5175,20.8852,-1.6896,661.9895,0.0017,0.1539,-0.0278,0.9877,1847.0000,1834.0000,1745.0000,0.9199,-5.9042,,
0.5167,266,0,20.6863,-33.2202,683.7916,21.5334,0.1528,660.2637,0.0000,0.0000,0.0000,1.0000,1835.0000,1834.0000,1755.0000,1.0048,-5.8322,,
