{HEADER}
user_id: 801
target_id: 300
target_screen_position_mm: [40.08, 48.04]
fingertip_offset: [2.38, 32.01, 21.90]
completion_time: 11.4024
endpoint_error_mm: [2.3643, -0.6964, 28.2952]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.481085, 8.959431, 10.310367, 11.795253]
control_points_accel: [1.675292, 0.552823, 0.667007, -2.895123]
stiffness_measurements: [0.159483, 0.135938, 0.259365, 0.279000]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,300,0,67.6253,-30.1847,698.6335,67.2418,1.9109,676.7330,-0.0294,0.0842,-0.0091,0.9960,1870.0000,1423.0000,1834.0000,10.5615,-6.2214,,
0.0108,300,0,66.7780,-30.2886,698.2137,66.0217,1.8003,676.3132,-0.0318,0.0849,-0.0088,0.9958,1870.0000,1551.0000,1834.0000,10.5615,-6.2214,,
0.0232,300,0,66.5252,-30.2671,698.6542,65.7413,1.8212,676.7537,-0.0306,0.0850,-0.0090,0.9959,1870.0000,1684.0000,1834.0000,10.1927,-6.0123,,
0.0345,300,0,66.5252,-30.2671,698.6542,65.7413,1.8212,676.7537,-0.0306,0.0850,-0.0090,0.9959,1869.0000,1787.0000,1834.0000,9.1512,-5.4054,,
0.0434,300,0,66.1516,-30.2572,698.7274,65.7429,1.8381,676.8268,-0.0299,0.0841,-0.0091,0.9960,1844.0000,1833.0000,1834.0000,8.7769,-5.1762,,
0.0543,300,0,66.3954,-30.0530,698.9537,65.7500,2.0383,677.0532,-0.0310,0.0830,-0.0095,0.9960,1816.0000,1843.0000,1834.0000,8.5338,-5.1383,,
0.0665,300,0,66.3954,-30.0530,698.9537,65.7500,2.0383,677.0532,-0.0310,0.0830,-0.0095,0.9960,1786.0000,1843.0000,1834.0000,8.6727,-5.2455,,
0.0784,300,0,71.7106,-29.6519,698.1580,71.1492,2.4411,676.2575,-0.0311,0.0866,-0.0126,0.9957,1767.0000,1843.0000,1834.0000,8.9877,-5.4305,,
0.0905,300,0,82.9511,-40.8787,694.6107,82.4784,-8.7843,672.7102,-0.0393,0.0943,-0.0118,0.9947,1739.0000,1844.0000,1834.0000,9.2683,-5.5834,,
0.0993,300,0,84.6114,-40.0122,695.8691,83.7049,-7.9271,673.9686,-0.0376,0.0956,-0.0043,0.9947,1723.0000,1844.0000,1834.0000,9.2935,-5.6011,,
0.1103,300,0,84.6114,-40.0122,695.8691,83.7049,-7.9271,673.9686,-0.0376,0.0956,-0.0043,0.9947,1705.0000,1844.0000,1834.0000,9.3142,-5.6069,,
