{HEADER}
user_id: 928
target_id: 145
target_screen_position_mm: [-40.08, -32.12]
fingertip_offset: [2.18, 31.17, 22.66]
completion_time: 5.1282
endpoint_error_mm: [-8.2977, -2.3439, -1.5249]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.109131, 21.138405, 22.451189, 6.679077]
control_points_accel: [3.560253, -4.239471, -12.661745, 13.340962]
stiffness_measurements: [0.217527, 0.082819, 0.115755, 0.188711]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,145,0,42.3702,39.9435,538.3893,43.5842,71.1671,515.7271,-0.0614,0.0239,-0.0410,0.9970,1811.0000,1810.0000,1823.0000,0.1325,22.4866,,
0.0120,145,0,40.7812,39.0286,537.8563,41.7674,70.2602,515.1941,-0.0592,0.0223,-0.0405,0.9972,1811.0000,1810.0000,1823.0000,0.1325,22.4866,,
0.0240,145,0,40.7812,39.0286,537.8563,41.7674,70.2602,515.1941,-0.0592,0.0223,-0.0405,0.9972,1811.0000,1810.0000,1823.0000,0.1325,22.4866,,
0.0359,145,0,40.1633,38.9709,537.5168,41.4003,70.1936,514.8546,-0.0599,0.0228,-0.0407,0.9971,1811.0000,1810.0000,1823.0000,0.1325,22.4866,,
0.0440,145,0,38.9110,38.7824,537.2435,32.4625,69.3569,514.5812,0.5188,0.2919,-0.2197,0.7729,1811.0000,1810.0000,1823.0000,0.1325,22.4866,,
0.0561,145,0,38.9110,38.7824,537.2435,32.4625,69.3569,514.5812,0.5188,0.2919,-0.2197,0.7729,1811.0000,1810.0000,1823.0000,0.1325,22.4866,,
0.0680,145,0,37.9848,38.8904,536.6117,39.2116,70.1135,513.9495,-0.0592,0.0206,-0.0415,0.9972,1811.0000,1810.0000,1823.0000,0.1325,22.4866,,
0.0799,145,0,37.2507,38.8593,535.0927,38.3705,70.0864,512.4304,-0.0587,0.0211,-0.0413,0.9972,1811.0000,1810.0000,1823.0000,0.1325,22.4866,,
0.0920,145,0,37.2507,38.8593,535.0927,38.3705,70.0864,512.4304,-0.0587,0.0211,-0.0413,0.9972,1811.0000,1810.0000,1823.0000,0.1325,22.4866,,
0.1040,145,0,37.0662,39.5235,536.0215,38.6449,70.7308,513.3593,0.5511,0.3178,-0.2128,0.7416,1811.0000,1810.0000,1823.0000,0.1325,22.4866,,
0.1119,145,0,36.8133,40.0233,534.7415,37.4619,71.2637,512.0793,0.1558,0.0105,0.0644,0.9856,1811.0000,1810.0000,1823.0000,0.1325,22.4866,,
0.1240,145,0,36.8133,40.0233,534.7415,37.4619,71.2637,512.0793,0.1558,0.0105,0.0644,0.9856,1811.0000,1810.0000,1823.0000,0.1358,22.4885,,
0.1360,145,0,36.7266,40.3164,533.8611,37.6726,71.5493,511.1989,-0.0593,0.0223,-0.0389,0.9972,1811.0000,1810.0000,1823.0000,0.1358,22.4885,,
