{HEADER}
user_id: 928
target_id: 187
target_screen_position_mm: [152.07, -15.92]
fingertip_offset: [2.18, 31.17, 22.66]
completion_time: 5.8721
endpoint_error_mm: [2.1651, 2.2554, -1.2265]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.109131, 21.138405, 22.451189, 6.679077]
control_points_accel: [3.560253, -4.239471, -12.661745, 13.340962]
stiffness_measurements: [0.217527, 0.082819, 0.115755, 0.188711]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,187,0,148.5248,-21.1284,590.0093,146.9876,10.0810,567.3470,-0.0766,-0.0594,0.0007,0.9953,1804.0000,1811.0000,1827.0000,6.1312,27.4386,,
0.0118,187,0,148.5248,-21.1284,590.0093,146.9876,10.0810,567.3470,-0.0766,-0.0594,0.0007,0.9953,1804.0000,1811.0000,1827.0000,6.1278,27.4337,,
0.0239,187,0,148.0203,-20.8864,588.9639,146.4730,10.3224,566.3017,-0.0768,-0.0602,-0.0001,0.9952,1804.0000,1811.0000,1827.0000,6.1245,27.4295,,
0.0319,187,0,148.0203,-20.8864,588.9639,146.4730,10.3224,566.3017,-0.0768,-0.0602,-0.0001,0.9952,1804.0000,1811.0000,1827.0000,6.1211,27.4275,,
0.0439,187,0,147.6365,-20.1968,589.8194,146.1897,11.0169,567.1572,-0.0755,-0.0611,-0.0015,0.9953,1804.0000,1811.0000,1827.0000,6.1178,27.4294,,
0.0559,187,0,147.0038,-19.7729,589.3733,145.3157,11.4287,566.7111,-0.0770,-0.0616,-0.0032,0.9951,1804.0000,1811.0000,1827.0000,6.1112,27.4301,,
0.0679,187,0,147.0038,-19.7729,589.3733,145.3157,11.4287,566.7111,-0.0770,-0.0616,-0.0032,0.9951,1804.0000,1811.0000,1827.0000,6.1079,27.4320,,
0.0800,187,0,146.3475,-19.4728,587.7176,145.1795,11.7525,565.0554,-0.0777,-0.0586,-0.0039,0.9952,1804.0000,1811.0000,1827.0000,6.1079,27.4320,,
0.0919,187,0,146.3652,-19.5266,587.1579,144.6762,11.6749,564.4957,-0.0774,-0.0606,-0.0036,0.9951,1804.0000,1811.0000,1827.0000,6.1079,27.4320,,
0.0999,187,0,146.3652,-19.5266,587.1579,144.6762,11.6749,564.4957,-0.0774,-0.0606,-0.0036,0.9951,1804.0000,1811.0000,1827.0000,6.1079,27.4320,,
0.1120,187,0,146.7547,-19.2914,587.0309,145.4585,11.9289,564.3687,-0.0770,-0.0594,-0.0042,0.9953,1804.0000,1811.0000,1827.0000,6.1079,27.4320,,
0.1239,187,0,145.8399,-18.9785,584.3425,144.4307,12.2369,561.6802,-0.0767,-0.0589,-0.0052,0.9953,1804.0000,1811.0000,1827.0000,6.1079,27.4320,,
0.1359,187,0,145.8399,-18.9785,584.3425,144.4307,12.2369,561.6802,-0.0767,-0.0589,-0.0052,0.9953,1804.0000,1811.0000,1827.0000,6.1079,27.4320,,
0.1479,187,0,146.9922,-18.4779,585.5564,145.9956,12.7534,562.8942,-0.0782,-0.0603,-0.0057,0.9951,1804.0000,1811.0000,1827.0000,6.1079,27.4320,,
0.1559,187,0,146.9922,-18.4779,585.5564,145.9956,12.7534,562.8942,-0.0782,-0.0603,-0.0057,0.9951,1804.0000,1811.0000,1827.0000,6.1079,27.4320,,
0.1679,187,0,147.6782,-17.0255,583.7337,146.5884,14.2027,561.0715,0.1329,0.3747,-0.0318,0.9170,1804.0000,1811.0000,1827.0000,6.1079,27.4320,,
0.1799,187,0,147.5666,-15.8929,580.2669,146.8009,15.3449,557.6047,-0.0774,-0.0574,-0.0103,0.9953,1804.0000,1811.0000,1827.0000,6.1079,27.4350,,
0.1920,187,0,147.5666,-15.8929,580.2669,146.8009,15.3449,557.6047,-0.0774,-0.0574,-0.0103,0.9953,1804.0000,1811.0000,1827.0000,6.1079,27.4350,,
0.2039,187,0,148.3381,-15.7024,580.1989,147.6957,15.5382,557.5367,-0.0786,-0.0579,-0.0110,0.9952,1804.0000,1811.0000,1827.0000,6.1079,27.4350,,
0.2159,187,0,149.0954,-14.8670,577.0013,148.3297,16.3708,554.3391,-0.0775,-0.0567,-0.0130,0.9953,1804.0000,1811.0000,1827.0000,6.1079,27.4350,,
0.2239,187,0,149.0954,-14.8670,577.0013,148.3297,16.3708,554.3391,-0.0775,-0.0567,-0.0130,0.9953,1804.0000,1811.0000,1827.0000,6.1079,27.4350,,
0.2359,187,0,149.2050,-14.3732,576.1081,148.4472,16.8648,553.4459,-0.0775,-0.0558,-0.0137,0.9953,1804.0000,1811.0000,1827.0000,6.1079,27.4350,,
0.2479,187,0,151.1448,-13.7153,572.6644,150.3716,17.5223,550.0022,-0.0766,-0.0544,-0.0146,0.9955,1804.0000,1811.0000,1827.0000,6.1079,27.4350,,
0.2600,187,0,151.1448,-13.7153,572.6644,150.3716,17.5223,550.0022,-0.0766,-0.0544,-0.0146,0.9955,1804.0000,1811.0000,1827.0000,6.1079,27.4350,,
0.2720,187,0,152.2664,-13.1217,571.8345,151.5862,18.1180,549.1722,-0.0786,-0.0533,-0.0152,0.9954,1804.0000,1811.0000,1827.0000,6.1079,27.4381,,
0.2840,187,0,153.9236,-12.1253,568.2481,153.1786,19.1130,545.5859,-0.0785,-0.0522,-0.0154,0.9954,1804.0000,1811.0000,1827.0000,6.1079,27.4381,,
0.2919,187,0,153.9236,-12.1253,568.2481,153.1786,19.1130,545.5859,-0.0785,-0.0522,-0.0154,0.9954,1781.0000,1811.0000,1827.0000,6.1045,27.4361,,
0.3039,187,0,155.2367,-12.1938,566.4901,154.3437,19.0407,543.8278,-0.0776,-0.0520,-0.0150,0.9955,1745.0000,1811.0000,1827.0000,6.1045,27.4392,,
0.3160,187,0,157.3335,-10.7375,562.3167,156.7793,20.5048,539.6544,-0.0774,-0.0492,-0.0148,0.9957,1745.0000,1811.0000,1827.0000,6.1012,27.4410,,
0.3279,187,0,157.3335,-10.7375,562.3167,156.7793,20.5048,539.6544,-0.0774,-0.0492,-0.0148,0.9957,1660.0000,1811.0000,1827.0000,6.0979,27.4429,,
0.3399,187,0,158.4809,-9.9550,560.7740,157.7169,21.2829,538.1118,-0.0778,-0.0487,-0.0144,0.9957,1659.0000,1811.0000,1827.0000,6.1013,27.4448,,
0.3479,187,0,160.8724,-8.5798,555.7779,160.0692,22.6571,533.1157,-0.0768,-0.0465,-0.0126,0.9959,1523.0000,1811.0000,1827.0000,6.1013,27.4448,,
0.3599,187,0,160.8724,-8.5798,555.7779,160.0692,22.6571,533.1157,-0.0768,-0.0465,-0.0126,0.9959,1521.0000,1811.0000,1827.0000,6.1081,27.4487,,
0.3719,187,0,162.4036,-7.9984,553.8130,161.3617,23.2314,531.1508,-0.0752,-0.0464,-0.0105,0.9960,1478.0000,1811.0000,1827.0000,6.1965,27.4988,,
0.3840,187,0,165.2004,-6.1348,549.3408,156.9298,23.9980,526.6785,0.0000,0.0000,0.0000,1.0000,1476.0000,1811.0000,1827.0000,6.1932,27.5037,,
0.3959,187,0,165.2004,-6.1348,549.3408,156.9298,23.9980,526.6785,0.0000,0.0000,0.0000,1.0000,1382.0000,1811.0000,1827.0000,6.1803,27.5226,,
0.4079,187,0,166.9122,-5.0438,547.7098,165.8670,26.1860,525.0475,-0.0741,-0.0428,-0.0072,0.9963,1346.0000,1811.0000,1827.0000,6.2391,27.5964,,
