{HEADER}
user_id: 928
target_id: 256
target_screen_position_mm: [-183.92, 32.12]
fingertip_offset: [2.18, 31.17, 22.66]
completion_time: 4.6520
endpoint_error_mm: [-5.4684, 13.8088, 1.3942]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.109131, 21.138405, 22.451189, 6.679077]
control_points_accel: [3.560253, -4.239471, -12.661745, 13.340962]
stiffness_measurements: [0.217527, 0.082819, 0.115755, 0.188711]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,256,0,-202.0653,-25.7240,428.6660,-208.7504,4.7997,406.0037,-0.0642,-0.1465,0.0738,0.9844,1824.0000,1428.0000,1713.0000,4.3878,11.0504,,
0.0119,256,0,-202.0653,-25.7240,428.6660,-208.7504,4.7997,406.0037,-0.0642,-0.1465,0.0738,0.9844,1824.0000,1359.0000,1740.0000,4.3878,11.0473,,
0.0199,256,0,-201.7764,-25.4932,428.4093,-208.2771,5.0703,405.7471,-0.0635,-0.1462,0.0734,0.9845,1824.0000,1313.0000,1755.0000,4.2930,11.0763,,
0.0319,256,0,-201.7764,-25.4932,428.4093,-208.2771,5.0703,405.7471,-0.0635,-0.1462,0.0734,0.9845,1824.0000,1268.0000,1768.0000,3.1465,11.5489,,
0.0440,256,0,-200.9505,-24.7015,426.9205,-207.4094,5.8709,404.2583,-0.0617,-0.1455,0.0719,0.9848,1824.0000,1216.0000,1782.0000,1.4168,12.3791,,
0.0560,256,0,-200.1343,-23.1608,426.1394,-206.5497,7.4207,403.4772,-0.0625,-0.1442,0.0708,0.9850,1824.0000,1147.0000,1792.0000,-0.2962,13.2141,,
0.0680,256,0,-196.9927,-22.3897,427.8015,-203.0139,8.2719,405.1392,-0.0597,-0.1401,0.0683,0.9860,1824.0000,1124.0000,1798.0000,-1.9273,13.9812,,
0.0800,256,0,-196.9927,-22.3897,427.8015,-203.0139,8.2719,405.1392,-0.0597,-0.1401,0.0683,0.9860,1824.0000,1091.0000,1810.0000,-3.4310,14.6555,,
0.0880,256,0,-189.9066,-22.9918,430.0072,-195.7310,7.7078,407.3450,0.0030,0.3251,0.0175,0.9455,1825.0000,1075.0000,1816.0000,-4.6578,15.1820,,
0.1000,256,0,-171.8782,-21.5592,436.9874,-178.6601,8.9431,414.3252,-0.0635,-0.1161,0.0817,0.9878,1825.0000,1063.0000,1821.0000,-5.4898,15.5245,,
0.1120,256,0,-164.6897,-21.3240,441.8765,-171.9374,9.0711,419.2143,-0.0621,-0.1069,0.0861,0.9886,1825.0000,1065.0000,1823.0000,-5.7533,15.6017,,
0.1240,256,0,-159.1925,-20.8990,445.7646,-166.6111,9.4548,423.1023,-0.0601,-0.0995,0.0884,0.9893,1825.0000,1074.0000,1823.0000,-6.0203,15.6105,,
0.1360,256,0,-159.1925,-20.8990,445.7646,-166.6111,9.4548,423.1023,-0.0601,-0.0995,0.0884,0.9893,1825.0000,1083.0000,1823.0000,-6.0482,15.5947,,
0.1440,256,0,-153.4322,-19.5845,446.7461,-161.1102,10.7047,424.0839,-0.0602,-0.0944,0.0899,0.9896,1825.0000,1090.0000,1823.0000,-6.0762,15.5819,,
0.1560,256,0,-146.7089,-18.6323,446.3235,-154.1473,11.7166,423.6612,-0.0572,-0.0882,0.0943,0.9900,1825.0000,1099.0000,1823.0000,-6.0793,15.5988,,
0.1679,256,0,-146.7089,-18.6323,446.3235,-154.1473,11.7166,423.6612,-0.0572,-0.0882,0.0943,0.9900,1825.0000,1115.0000,1823.0000,-6.0825,15.6874,,
0.1800,256,0,-145.2406,-17.6253,445.5373,-152.9257,12.6621,422.8750,-0.0577,-0.0873,0.0945,0.9900,1825.0000,1124.0000,1823.0000,-6.1380,15.8705,,
0.1920,256,0,-142.7658,-19.4105,443.3756,-150.6108,10.8358,420.7134,-0.0577,-0.0846,0.0938,0.9903,1825.0000,1133.0000,1823.0000,-6.4220,16.0655,,
0.2041,256,0,-142.7658,-19.4105,443.3756,-150.6108,10.8358,420.7134,-0.0577,-0.0846,0.0938,0.9903,1825.0000,1143.0000,1823.0000,-6.7983,16.2787,,
0.2120,256,0,-141.1855,-20.5151,442.8035,-149.0580,9.7241,420.1413,-0.0599,-0.0837,0.0939,0.9902,1825.0000,1146.0000,1823.0000,-7.0015,16.3939,,
0.2240,256,0,-136.2005,-26.5626,441.9583,-143.5671,3.8039,419.2961,-0.0652,-0.0791,0.0907,0.9906,1825.0000,1158.0000,1823.0000,-7.3758,16.6061,,
0.2360,256,0,-136.2005,-26.5626,441.9583,-143.5671,3.8039,419.2961,-0.0652,-0.0791,0.0907,0.9906,1825.0000,1168.0000,1823.0000,-7.6095,16.7447,,
0.2480,256,0,-132.5415,-27.9512,442.8886,-139.9647,2.4015,420.2264,-0.0638,-0.0743,0.0895,0.9912,1825.0000,1179.0000,1823.0000,-7.8434,16.8989,,
0.2600,256,0,-123.8191,-30.4704,445.0205,-131.6471,-0.2197,422.3583,-0.0656,-0.0647,0.0937,0.9913,1825.0000,1189.0000,1823.0000,-7.8929,16.9331,,
0.2680,256,0,-118.3701,-32.2242,441.4290,-126.3446,-2.0117,418.7667,-0.0671,-0.0621,0.0954,0.9912,1825.0000,1204.0000,1823.0000,-7.8962,16.9598,,
0.2799,256,0,-118.3701,-32.2242,441.4290,-126.3446,-2.0117,418.7667,-0.0671,-0.0621,0.0954,0.9912,1825.0000,1220.0000,1824.0000,-7.8962,17.0030,,
0.2920,256,0,-115.6576,-33.7029,442.5218,-123.1968,-3.3788,419.8595,-0.0678,-0.0594,0.0952,0.9914,1825.0000,1234.0000,1824.0000,-7.8962,17.0525,,
0.3041,256,0,-108.3785,-38.2964,440.0219,-115.9147,-7.9716,417.3597,-0.0701,-0.0550,0.0927,0.9917,1825.0000,1254.0000,1824.0000,-7.8962,17.2377,,
0.3160,256,0,-105.7502,-39.8519,441.1326,-113.2631,-9.5213,418.4703,-0.0703,-0.0511,0.0923,0.9919,1825.0000,1270.0000,1820.0000,-7.8962,17.2470,,
0.3280,256,0,-105.7502,-39.8519,441.1326,-113.2631,-9.5213,418.4703,-0.0703,-0.0511,0.0923,0.9919,1825.0000,1288.0000,1812.0000,-7.8962,17.2439,,
0.3360,256,0,-101.3704,-42.3917,439.2889,-108.8455,-12.0518,416.6266,0.1069,0.0950,0.0318,0.9892,1825.0000,1296.0000,1809.0000,-7.8962,17.2439,,
0.3480,256,0,-94.3172,-47.9481,436.9226,-101.6102,-17.5639,414.2604,-0.0762,-0.0423,0.0910,0.9920,1825.0000,1315.0000,1800.0000,-7.8962,17.2439,,
0.3600,256,0,-94.3172,-47.9481,436.9226,-101.6102,-17.5639,414.2604,-0.0762,-0.0423,0.0910,0.9920,1825.0000,1332.0000,1791.0000,-7.8962,17.2439,,
