{HEADER}
user_id: 928
target_id: 262
target_screen_position_mm: [-88.11, 32.12]
fingertip_offset: [2.18, 31.17, 22.66]
completion_time: 3.8041
endpoint_error_mm: [-4.8539, -13.9133, -2.9299]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.109131, 21.138405, 22.451189, 6.679077]
control_points_accel: [3.560253, -4.239471, -12.661745, 13.340962]
stiffness_measurements: [0.217527, 0.082819, 0.115755, 0.188711]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,262,0,-20.3371,-47.7076,504.6168,-21.2612,-16.4741,481.9546,-0.0730,0.0017,-0.0078,0.9973,1808.0000,1812.0000,1826.0000,4.5848,24.6326,,
0.0080,262,0,-19.7054,-47.3073,503.8685,-20.8701,-16.0818,481.2063,-0.0740,0.0031,-0.0064,0.9972,1808.0000,1812.0000,1826.0000,4.5749,24.6382,,
0.0199,262,0,-19.7054,-47.3073,503.8685,-20.8701,-16.0818,481.2063,-0.0740,0.0031,-0.0064,0.9972,1808.0000,1812.0000,1826.0000,4.5651,24.6438,,
0.0319,262,0,-18.7129,-47.2076,502.2313,-19.7665,-15.9781,479.5691,-0.0726,0.0024,-0.0059,0.9973,1808.0000,1812.0000,1826.0000,4.5618,24.6456,,
0.0439,262,0,-17.8618,-46.7950,501.5309,-19.0379,-15.5700,478.8686,-0.0720,0.0046,-0.0048,0.9974,1808.0000,1810.0000,1822.0000,4.5585,24.6475,,
0.0559,262,0,-17.8618,-46.7950,501.5309,-19.0379,-15.5700,478.8686,-0.0720,0.0046,-0.0048,0.9974,1808.0000,1810.0000,1822.0000,4.5585,24.6475,,
0.0679,262,0,-17.0722,-46.8053,500.3429,-18.0134,-15.5723,477.6806,-0.0724,0.0058,-0.0045,0.9973,1808.0000,1810.0000,1822.0000,4.5585,24.6475,,
0.0760,262,0,-16.4969,-45.9661,498.7862,-17.8024,-14.7462,476.1239,-0.0728,0.0062,-0.0032,0.9973,1808.0000,1809.0000,1821.0000,4.5585,24.6475,,
0.0880,262,0,-16.4969,-45.9661,498.7862,-17.8024,-14.7462,476.1239,-0.0728,0.0062,-0.0032,0.9973,1808.0000,1807.0000,1818.0000,4.5585,24.6475,,
0.1000,262,0,-16.2327,-45.7537,497.5447,-17.4140,-14.5289,474.8825,-0.0720,0.0085,-0.0033,0.9974,1808.0000,1806.0000,1817.0000,4.5585,24.6475,,
